epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
55,1.0,tanh,RMSprop,15,1,2,0.8657846
30,1.0,tanh,RMSprop,15,1,2,0.84844106
15,1.0,tanh,RMSprop,5,1,2,0.842734
50,1.0,tanh,RMSprop,15,1,2,0.8418998
55,1.0,tanh,RMSprop,10,1,2,0.83652174
80,1.0,tanh,RMSprop,10,1,2,0.8327045
50,1.0,tanh,RMSprop,10,1,2,0.82307094
25,1.0,tanh,RMSprop,5,1,2,0.81835467
20,1.0,tanh,RMSprop,10,1,2,0.81713426
85,1.0,tanh,RMSprop,5,1,2,0.8151733
25,1.0,tanh,RMSprop,15,1,2,0.81270456
10,1.0,tanh,RMSprop,10,1,2,0.8085502
10,1.0,tanh,RMSprop,5,1,2,0.80257356
25,1.0,tanh,RMSprop,10,1,2,0.8005441
75,1.0,tanh,RMSprop,10,1,2,0.79706204
65,1.0,tanh,RMSprop,10,1,2,0.7930653
50,1.0,tanh,RMSprop,5,1,2,0.78508484
60,1.0,tanh,RMSprop,10,1,2,0.781954
30,1.0,tanh,RMSprop,10,1,2,0.7775465
35,1.0,tanh,RMSprop,10,1,2,0.7775096
90,1.0,tanh,RMSprop,5,1,2,0.77597314
95,1.0,tanh,RMSprop,5,1,2,0.7706921
100,1.0,tanh,RMSprop,5,1,2,0.7637791
35,1.0,tanh,RMSprop,15,1,2,0.7592875
65,1.0,tanh,RMSprop,5,1,2,0.75836146
35,1.0,tanh,RMSprop,5,1,2,0.7562708
100,1.0,tanh,RMSprop,10,1,2,0.755521
45,1.0,tanh,RMSprop,5,1,2,0.7544781
55,1.0,tanh,RMSprop,5,1,2,0.7544729
90,1.0,tanh,RMSprop,15,1,2,0.75354564
5,1.0,tanh,RMSprop,5,1,2,0.7521165
45,1.0,tanh,RMSprop,10,1,2,0.74532187
15,1.0,tanh,RMSprop,10,1,2,0.7404434
75,1.0,tanh,RMSprop,5,1,2,0.7262874
95,1.0,tanh,RMSprop,10,1,2,0.7259918
85,1.0,tanh,RMSprop,20,1,2,0.7238555
65,1.0,tanh,RMSprop,15,1,2,0.72064024
90,1.0,tanh,RMSprop,10,1,2,0.719874
70,1.0,tanh,RMSprop,10,1,2,0.7160944
70,1.0,tanh,RMSprop,5,1,2,0.7156632
40,1.0,tanh,RMSprop,10,1,2,0.70951766
80,1.0,tanh,RMSprop,25,1,2,0.7026303
95,1.0,tanh,RMSprop,15,1,2,0.69835466
40,1.0,tanh,RMSprop,5,1,2,0.6945589
85,1.0,tanh,RMSprop,10,1,2,0.69135267
5,1.0,tanh,RMSprop,15,1,2,0.6862721
35,1.0,tanh,RMSprop,20,1,2,0.68554324
20,1.0,tanh,RMSprop,5,1,2,0.6751894
60,1.0,tanh,RMSprop,5,1,2,0.6662918
