epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
60,1.0,tanh,RMSprop,30,1,2,0.7922909
55,1.0,tanh,RMSprop,85,1,2,0.7019703
25,1.0,tanh,RMSprop,45,1,2,0.69157857
15,1.0,tanh,RMSprop,85,1,2,0.66876125
20,1.0,tanh,RMSprop,95,1,2,0.6597872
65,1.0,tanh,RMSprop,95,1,2,0.656603
50,1.0,tanh,RMSprop,15,1,2,0.6551519
10,1.0,tanh,RMSprop,75,1,2,0.64897
25,1.0,tanh,RMSprop,85,1,2,0.646297
35,1.0,tanh,RMSprop,15,1,2,0.6424743
40,1.0,tanh,RMSprop,100,1,2,0.6397584
100,1.0,tanh,RMSprop,20,1,2,0.6395268
65,1.0,tanh,RMSprop,65,1,2,0.63262963
25,1.0,tanh,RMSprop,90,1,2,0.63065004
70,1.0,tanh,RMSprop,50,1,2,0.63005364
65,1.0,tanh,RMSprop,100,1,2,0.6297605
65,1.0,tanh,RMSprop,25,1,2,0.62883514
90,1.0,tanh,RMSprop,85,1,2,0.6274297
10,1.0,tanh,RMSprop,25,1,2,0.624854
15,1.0,tanh,RMSprop,70,1,2,0.624754
65,1.0,tanh,RMSprop,10,1,2,0.62155545
85,1.0,tanh,RMSprop,35,1,2,0.6124207
30,1.0,tanh,RMSprop,75,1,2,0.6106741
50,1.0,tanh,RMSprop,80,1,2,0.60998195
75,1.0,tanh,RMSprop,70,1,2,0.60618716
70,1.0,tanh,RMSprop,5,1,2,0.6037558
25,1.0,tanh,RMSprop,100,1,2,0.602851
10,1.0,tanh,RMSprop,85,1,2,0.59550035
60,1.0,tanh,RMSprop,5,1,2,0.59298646
45,1.0,tanh,RMSprop,25,1,2,0.5901413
90,1.0,tanh,RMSprop,35,1,2,0.5871712
85,1.0,tanh,RMSprop,10,1,2,0.58679825
55,1.0,tanh,RMSprop,20,1,2,0.57968503
10,1.0,tanh,RMSprop,80,1,2,0.5790927
90,1.0,tanh,RMSprop,40,1,2,0.578989
10,1.0,tanh,RMSprop,100,1,2,0.5788807
25,1.0,tanh,RMSprop,70,1,2,0.57864463
10,1.0,tanh,RMSprop,60,1,2,0.5775838
70,1.0,tanh,RMSprop,40,1,2,0.56801087
15,1.0,tanh,RMSprop,80,1,2,0.5667153
10,1.0,tanh,RMSprop,55,1,2,0.5633693
40,1.0,tanh,RMSprop,10,1,2,0.5593145
30,1.0,tanh,RMSprop,30,1,2,0.55567837
25,1.0,tanh,RMSprop,15,1,2,0.5527425
20,1.0,tanh,RMSprop,10,1,2,0.5526585
40,1.0,tanh,RMSprop,25,1,2,0.54952234
100,1.0,tanh,RMSprop,30,1,2,0.5486211
40,1.0,tanh,RMSprop,15,1,2,0.54641217
55,1.0,tanh,RMSprop,35,1,2,0.54370743
25,1.0,tanh,RMSprop,10,1,2,0.54249334
50,1.0,tanh,RMSprop,30,1,2,0.5382884
75,1.0,tanh,RMSprop,45,1,2,0.53656673
55,1.0,tanh,RMSprop,60,1,2,0.53639406
5,1.0,tanh,RMSprop,90,1,2,0.53317195
10,1.0,tanh,RMSprop,10,1,2,0.5322252
5,1.0,tanh,RMSprop,15,1,2,0.52995753
10,1.0,tanh,RMSprop,95,1,2,0.5263319
20,1.0,tanh,RMSprop,20,1,2,0.5259702
65,1.0,tanh,RMSprop,30,1,2,0.52593374
15,1.0,tanh,RMSprop,60,1,2,0.52424806
20,1.0,tanh,RMSprop,90,1,2,0.52401465
25,1.0,tanh,RMSprop,65,1,2,0.5191649
65,1.0,tanh,RMSprop,50,1,2,0.51913047
60,1.0,tanh,RMSprop,95,1,2,0.51900613
60,1.0,tanh,RMSprop,20,1,2,0.5137353
70,1.0,tanh,RMSprop,35,1,2,0.5130983
95,1.0,tanh,RMSprop,25,1,2,0.5057901
85,1.0,tanh,RMSprop,70,1,2,0.50251114
40,1.0,tanh,RMSprop,95,1,2,0.50194824
