epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
55,1.0,tanh,RMSprop,60,1,2,0.8383184
30,1.0,tanh,RMSprop,40,1,2,0.8266616
35,1.0,tanh,RMSprop,55,1,2,0.8183258
70,1.0,tanh,RMSprop,40,1,2,0.7907557
60,1.0,tanh,RMSprop,45,1,2,0.7689838
15,1.0,tanh,RMSprop,100,1,2,0.72780585
15,1.0,tanh,RMSprop,90,1,2,0.7020678
60,1.0,tanh,RMSprop,80,1,2,0.69800246
15,1.0,tanh,RMSprop,65,1,2,0.6738426
40,1.0,tanh,RMSprop,70,1,2,0.67154586
75,1.0,tanh,RMSprop,35,1,2,0.6570905
10,1.0,tanh,RMSprop,100,1,2,0.65333134
25,1.0,tanh,RMSprop,70,1,2,0.6378989
20,1.0,tanh,RMSprop,70,1,2,0.6373351
70,1.0,tanh,RMSprop,20,1,2,0.63673925
15,1.0,tanh,RMSprop,80,1,2,0.61634666
25,1.0,tanh,RMSprop,90,1,2,0.60144544
35,1.0,tanh,RMSprop,20,1,2,0.589851
45,1.0,tanh,RMSprop,5,1,2,0.5871791
100,1.0,tanh,RMSprop,100,1,2,0.57634985
15,1.0,tanh,RMSprop,85,1,2,0.5755816
20,1.0,tanh,RMSprop,100,1,2,0.57361776
80,1.0,tanh,RMSprop,25,1,2,0.5677683
40,1.0,tanh,RMSprop,55,1,2,0.5602146
10,1.0,tanh,RMSprop,10,1,2,0.55605817
20,1.0,tanh,RMSprop,85,1,2,0.53410566
100,1.0,tanh,RMSprop,30,1,2,0.53083897
30,1.0,tanh,RMSprop,35,1,2,0.5211529
5,1.0,tanh,RMSprop,10,1,2,0.5165284
10,1.0,tanh,RMSprop,85,1,2,0.5138431
5,1.0,tanh,RMSprop,70,1,2,0.5132138
50,1.0,tanh,RMSprop,90,1,2,0.49395028
10,1.0,tanh,RMSprop,20,1,2,0.49168417
65,1.0,tanh,RMSprop,25,1,2,0.4900193
15,1.0,tanh,RMSprop,95,1,2,0.48870006
65,1.0,tanh,RMSprop,50,1,2,0.48648375
10,1.0,tanh,RMSprop,90,1,2,0.48479372
