epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
55,1.0,tanh,RMSprop,20,1,2,0.70506895
55,1.0,tanh,RMSprop,95,1,2,0.6935782
95,1.0,tanh,RMSprop,10,1,2,0.6857776
45,1.0,tanh,RMSprop,10,1,2,0.6795584
60,1.0,tanh,RMSprop,25,1,2,0.67441183
95,1.0,tanh,RMSprop,20,1,2,0.6713962
70,1.0,tanh,RMSprop,70,1,2,0.66216266
45,1.0,tanh,RMSprop,20,1,2,0.6486871
55,1.0,tanh,RMSprop,15,1,2,0.6140604
90,1.0,tanh,RMSprop,5,1,2,0.61244655
70,1.0,tanh,RMSprop,25,1,2,0.6078507
80,1.0,tanh,RMSprop,5,1,2,0.5882295
20,1.0,tanh,RMSprop,20,1,2,0.58152753
75,1.0,tanh,RMSprop,5,1,2,0.55290544
40,1.0,tanh,RMSprop,15,1,2,0.55239254
75,1.0,tanh,RMSprop,15,1,2,0.5515247
50,1.0,tanh,RMSprop,10,1,2,0.542062
60,1.0,tanh,RMSprop,5,1,2,0.5387417
100,1.0,tanh,RMSprop,80,1,2,0.53713036
15,1.0,tanh,RMSprop,20,1,2,0.53215563
30,1.0,tanh,RMSprop,5,1,2,0.52104014
85,1.0,tanh,RMSprop,10,1,2,0.5207774
20,1.0,tanh,RMSprop,25,1,2,0.52006996
85,1.0,tanh,RMSprop,65,1,2,0.5120232
40,1.0,tanh,RMSprop,25,1,2,0.5055862
20,1.0,tanh,RMSprop,15,1,2,0.5049753
25,1.0,tanh,RMSprop,60,1,2,0.5036347
25,1.0,tanh,RMSprop,25,1,2,0.50228417
5,1.0,tanh,RMSprop,35,1,2,0.50208914
40,1.0,tanh,RMSprop,20,1,2,0.49443668
60,1.0,tanh,RMSprop,10,1,2,0.49410495
50,1.0,tanh,RMSprop,20,1,2,0.49321526
20,1.0,tanh,RMSprop,100,1,2,0.4922691
70,1.0,tanh,RMSprop,15,1,2,0.49214238
10,1.0,tanh,RMSprop,10,1,2,0.49082667
5,1.0,tanh,RMSprop,20,1,2,0.4878437
60,1.0,tanh,RMSprop,75,1,2,0.4874843
10,1.0,tanh,RMSprop,15,1,2,0.48483562
55,1.0,tanh,RMSprop,5,1,2,0.48340952
80,1.0,tanh,RMSprop,10,1,2,0.48274106
90,1.0,tanh,RMSprop,60,1,2,0.47432905
5,1.0,tanh,RMSprop,25,1,2,0.47090903
65,1.0,tanh,RMSprop,5,1,2,0.47036463
25,1.0,tanh,RMSprop,35,1,2,0.46817446
35,1.0,tanh,RMSprop,5,1,2,0.4663769
15,1.0,tanh,RMSprop,10,1,2,0.45036685
15,1.0,tanh,RMSprop,5,1,2,0.44521022
25,1.0,tanh,RMSprop,20,1,2,0.4417804
10,1.0,tanh,RMSprop,25,1,2,0.43703076
95,1.0,tanh,RMSprop,5,1,2,0.43687686
40,1.0,tanh,RMSprop,5,1,2,0.43235227
90,1.0,tanh,RMSprop,100,1,2,0.42468932
25,1.0,tanh,RMSprop,10,1,2,0.4191881
15,1.0,tanh,RMSprop,15,1,2,0.41755244
30,1.0,tanh,RMSprop,15,1,2,0.4158154
60,1.0,tanh,RMSprop,15,1,2,0.4083513
25,1.0,tanh,RMSprop,5,1,2,0.40263283
100,1.0,tanh,RMSprop,5,1,2,0.39597073
65,1.0,tanh,RMSprop,75,1,2,0.39459684
55,1.0,tanh,RMSprop,80,1,2,0.39382008
75,1.0,tanh,RMSprop,10,1,2,0.3931903
5,1.0,tanh,RMSprop,5,1,2,0.38893542
5,1.0,tanh,RMSprop,30,1,2,0.38505888
20,1.0,tanh,RMSprop,10,1,2,0.3760513
30,1.0,tanh,RMSprop,85,1,2,0.35360506
30,1.0,tanh,RMSprop,10,1,2,0.3528692
80,1.0,tanh,RMSprop,100,1,2,0.34761927
20,1.0,tanh,RMSprop,5,1,2,0.33902472
50,1.0,tanh,RMSprop,5,1,2,0.33846864
45,1.0,tanh,RMSprop,5,1,2,0.33111483
30,1.0,tanh,RMSprop,20,1,2,0.33047876
25,1.0,tanh,RMSprop,15,1,2,0.330443
25,1.0,tanh,RMSprop,50,1,2,0.32279006
95,1.0,tanh,RMSprop,80,1,2,0.31825387
40,1.0,tanh,RMSprop,35,1,2,0.31664935
10,1.0,tanh,RMSprop,5,1,2,0.31290612
35,1.0,tanh,RMSprop,10,1,2,0.3099314
90,1.0,tanh,RMSprop,15,1,2,0.2966852
70,1.0,tanh,RMSprop,20,1,2,0.29536057
85,1.0,tanh,RMSprop,20,1,2,0.29462793
70,1.0,tanh,RMSprop,90,1,2,0.27937734
80,1.0,tanh,RMSprop,30,1,2,0.27390984
90,1.0,tanh,RMSprop,85,1,2,0.26301315
5,1.0,tanh,RMSprop,15,1,2,0.2616072
50,1.0,tanh,RMSprop,75,1,2,0.25845826
75,1.0,tanh,RMSprop,60,1,2,0.2525609
75,1.0,tanh,RMSprop,75,1,2,0.25173336
65,1.0,tanh,RMSprop,15,1,2,0.25027913
35,1.0,tanh,RMSprop,85,1,2,0.24207014
80,1.0,tanh,RMSprop,15,1,2,0.2418194
40,1.0,tanh,RMSprop,100,1,2,0.2363271
40,1.0,tanh,RMSprop,10,1,2,0.23250835
90,1.0,tanh,RMSprop,95,1,2,0.2295776
90,1.0,tanh,RMSprop,80,1,2,0.22552042
60,1.0,tanh,RMSprop,85,1,2,0.22479285
60,1.0,tanh,RMSprop,95,1,2,0.22356978
10,1.0,tanh,RMSprop,100,1,2,0.2146426
100,1.0,tanh,RMSprop,15,1,2,0.21264744
65,1.0,tanh,RMSprop,25,1,2,0.20107004
35,1.0,tanh,RMSprop,45,1,2,0.19825207
60,1.0,tanh,RMSprop,20,1,2,0.19211096
90,1.0,tanh,RMSprop,65,1,2,0.1883405
60,1.0,tanh,RMSprop,100,1,2,0.18691929
30,1.0,tanh,RMSprop,100,1,2,0.18454649
65,1.0,tanh,RMSprop,95,1,2,0.17652209
60,1.0,tanh,RMSprop,65,1,2,0.17647646
35,1.0,tanh,RMSprop,15,1,2,0.17627126
85,1.0,tanh,RMSprop,15,1,2,0.16897923
90,1.0,tanh,RMSprop,75,1,2,0.1580061
55,1.0,tanh,RMSprop,85,1,2,0.14793804
30,1.0,tanh,RMSprop,90,1,2,0.14767084
55,1.0,tanh,RMSprop,10,1,2,0.1464315
80,1.0,tanh,RMSprop,45,1,2,0.14272434
100,1.0,tanh,RMSprop,50,1,2,0.14166063
95,1.0,tanh,RMSprop,45,1,2,0.1290996
60,1.0,tanh,RMSprop,80,1,2,0.12869845
95,1.0,tanh,RMSprop,50,1,2,0.11995074
40,1.0,tanh,RMSprop,85,1,2,0.119585425
75,1.0,tanh,RMSprop,70,1,2,0.119345754
45,1.0,tanh,RMSprop,95,1,2,0.11360609
85,1.0,tanh,RMSprop,85,1,2,0.10814709
40,1.0,tanh,RMSprop,80,1,2,0.106519654
100,1.0,tanh,RMSprop,10,1,2,0.1006845
95,1.0,tanh,RMSprop,90,1,2,0.10007013
75,1.0,tanh,RMSprop,45,1,2,0.097541966
45,1.0,tanh,RMSprop,75,1,2,0.09031794
45,1.0,tanh,RMSprop,35,1,2,0.09022129
100,1.0,tanh,RMSprop,25,1,2,0.08900314
95,1.0,tanh,RMSprop,100,1,2,0.08336434
85,1.0,tanh,RMSprop,5,1,2,0.0824057
60,1.0,tanh,RMSprop,40,1,2,0.082180515
80,1.0,tanh,RMSprop,70,1,2,0.07150125
55,1.0,tanh,RMSprop,25,1,2,0.07108841
50,1.0,tanh,RMSprop,95,1,2,0.06895558
90,1.0,tanh,RMSprop,40,1,2,0.065418914
45,1.0,tanh,RMSprop,70,1,2,0.06349896
85,1.0,tanh,RMSprop,75,1,2,0.048942737
65,1.0,tanh,RMSprop,70,1,2,0.042078104
65,1.0,tanh,RMSprop,55,1,2,0.039415043
70,1.0,tanh,RMSprop,60,1,2,0.03924397
70,1.0,tanh,RMSprop,5,1,2,0.037824843
85,1.0,tanh,RMSprop,70,1,2,0.03779258
35,1.0,tanh,RMSprop,100,1,2,0.029205667
55,1.0,tanh,RMSprop,90,1,2,0.028380167
100,1.0,tanh,RMSprop,95,1,2,0.027333697
85,1.0,tanh,RMSprop,90,1,2,0.025829062
35,1.0,tanh,RMSprop,95,1,2,0.025378503
95,1.0,tanh,RMSprop,75,1,2,0.01696292
65,1.0,tanh,RMSprop,45,1,2,0.010577791
70,1.0,tanh,RMSprop,55,1,2,0.010314541
75,1.0,tanh,RMSprop,90,1,2,0.006093176
95,1.0,tanh,RMSprop,15,1,2,-4.3400203e-05
90,1.0,tanh,RMSprop,20,1,2,-0.5912006
45,1.0,tanh,RMSprop,80,1,2,-0.58604735
75,1.0,tanh,RMSprop,95,1,2,-0.55251455
95,1.0,tanh,RMSprop,70,1,2,-0.52584964
95,1.0,tanh,RMSprop,85,1,2,-0.5141347
70,1.0,tanh,RMSprop,10,1,2,-0.44784617
80,1.0,tanh,RMSprop,25,1,2,-0.44391474
65,1.0,tanh,RMSprop,85,1,2,-0.38970864
65,1.0,tanh,RMSprop,60,1,2,-0.37655604
35,1.0,tanh,RMSprop,20,1,2,-0.35709733
65,1.0,tanh,RMSprop,80,1,2,-0.35403392
80,1.0,tanh,RMSprop,50,1,2,-0.34501117
50,1.0,tanh,RMSprop,25,1,2,-0.33749092
65,1.0,tanh,RMSprop,100,1,2,-0.327383
60,1.0,tanh,RMSprop,90,1,2,-0.32664508
100,1.0,tanh,RMSprop,60,1,2,-0.3134385
85,1.0,tanh,RMSprop,45,1,2,-0.30974606
30,1.0,tanh,RMSprop,25,1,2,-0.3083081
100,1.0,tanh,RMSprop,20,1,2,-0.3045273
100,1.0,tanh,RMSprop,70,1,2,-0.30326054
