epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
55,1.0,tanh,RMSprop,60,1,2,0.68554294
20,1.0,tanh,RMSprop,80,1,2,0.65080756
40,1.0,tanh,RMSprop,65,1,2,0.6359088
40,1.0,tanh,RMSprop,55,1,2,0.6055743
70,1.0,tanh,RMSprop,15,1,2,0.60337925
80,1.0,tanh,RMSprop,60,1,2,0.577506
30,1.0,tanh,RMSprop,30,1,2,0.55970675
90,1.0,tanh,RMSprop,90,1,2,0.5595152
55,1.0,tanh,RMSprop,85,1,2,0.5585772
20,1.0,tanh,RMSprop,60,1,2,0.54670286
60,1.0,tanh,RMSprop,20,1,2,0.5025142
90,1.0,tanh,RMSprop,40,1,2,0.50181496
15,1.0,tanh,RMSprop,100,1,2,0.4991985
100,1.0,tanh,RMSprop,25,1,2,0.4930328
65,1.0,tanh,RMSprop,25,1,2,0.49105796
45,1.0,tanh,RMSprop,80,1,2,0.4860581
10,1.0,tanh,RMSprop,30,1,2,0.4856681
70,1.0,tanh,RMSprop,30,1,2,0.480597
25,1.0,tanh,RMSprop,80,1,2,0.47108918
30,1.0,tanh,RMSprop,95,1,2,0.45908546
55,1.0,tanh,RMSprop,65,1,2,0.4429639
60,1.0,tanh,RMSprop,40,1,2,0.43980095
65,1.0,tanh,RMSprop,35,1,2,0.42500263
10,1.0,tanh,RMSprop,55,1,2,0.42013034
10,1.0,tanh,RMSprop,25,1,2,0.41922092
55,1.0,tanh,RMSprop,55,1,2,0.41263637
20,1.0,tanh,RMSprop,55,1,2,0.412
35,1.0,tanh,RMSprop,50,1,2,0.41056567
15,1.0,tanh,RMSprop,95,1,2,0.40900344
40,1.0,tanh,RMSprop,85,1,2,0.40810862
30,1.0,tanh,RMSprop,35,1,2,0.4003702
45,1.0,tanh,RMSprop,30,1,2,0.3967152
25,1.0,tanh,RMSprop,95,1,2,0.39626312
70,1.0,tanh,RMSprop,45,1,2,0.39302868
70,1.0,tanh,RMSprop,80,1,2,0.36018178
40,1.0,tanh,RMSprop,80,1,2,0.35932592
15,1.0,tanh,RMSprop,85,1,2,0.35240957
10,1.0,tanh,RMSprop,70,1,2,0.34537816
25,1.0,tanh,RMSprop,45,1,2,0.34057984
35,1.0,tanh,RMSprop,90,1,2,0.33924812
15,1.0,tanh,RMSprop,30,1,2,0.33293927
55,1.0,tanh,RMSprop,70,1,2,0.3272646
40,1.0,tanh,RMSprop,100,1,2,0.3215583
30,1.0,tanh,RMSprop,70,1,2,0.3211516
100,1.0,tanh,RMSprop,40,1,2,0.31753018
30,1.0,tanh,RMSprop,65,1,2,0.29639065
25,1.0,tanh,RMSprop,85,1,2,0.29450208
60,1.0,tanh,RMSprop,80,1,2,0.28365895
100,1.0,tanh,RMSprop,75,1,2,0.27880713
75,1.0,tanh,RMSprop,20,1,2,0.27866897
30,1.0,tanh,RMSprop,90,1,2,0.27783537
35,1.0,tanh,RMSprop,35,1,2,0.27271894
45,1.0,tanh,RMSprop,70,1,2,0.2720527
95,1.0,tanh,RMSprop,85,1,2,0.2679966
85,1.0,tanh,RMSprop,75,1,2,0.2663192
10,1.0,tanh,RMSprop,80,1,2,0.26467976
90,1.0,tanh,RMSprop,20,1,2,0.2635205
100,1.0,tanh,RMSprop,15,1,2,0.2628521
80,1.0,tanh,RMSprop,65,1,2,0.26284766
80,1.0,tanh,RMSprop,50,1,2,0.26191914
15,1.0,tanh,RMSprop,80,1,2,0.25628915
50,1.0,tanh,RMSprop,50,1,2,0.25356972
15,1.0,tanh,RMSprop,60,1,2,0.25221187
80,1.0,tanh,RMSprop,5,1,2,0.25041842
65,1.0,tanh,RMSprop,30,1,2,0.24738431
25,1.0,tanh,RMSprop,100,1,2,0.24701503
60,1.0,tanh,RMSprop,75,1,2,0.24076872
15,1.0,tanh,RMSprop,50,1,2,0.24037547
45,1.0,tanh,RMSprop,60,1,2,0.23700428
55,1.0,tanh,RMSprop,15,1,2,0.23621197
10,1.0,tanh,RMSprop,75,1,2,0.2304551
95,1.0,tanh,RMSprop,90,1,2,0.22871329
65,1.0,tanh,RMSprop,40,1,2,0.22557622
20,1.0,tanh,RMSprop,75,1,2,0.2186392
50,1.0,tanh,RMSprop,35,1,2,0.21696101
100,1.0,tanh,RMSprop,70,1,2,0.21620458
60,1.0,tanh,RMSprop,65,1,2,0.20767528
30,1.0,tanh,RMSprop,45,1,2,0.18484877
50,1.0,tanh,RMSprop,90,1,2,0.17950985
75,1.0,tanh,RMSprop,70,1,2,0.17610104
65,1.0,tanh,RMSprop,85,1,2,0.17524466
10,1.0,tanh,RMSprop,100,1,2,0.17094378
75,1.0,tanh,RMSprop,35,1,2,0.17006296
25,1.0,tanh,RMSprop,40,1,2,0.16931896
40,1.0,tanh,RMSprop,60,1,2,0.16450523
70,1.0,tanh,RMSprop,40,1,2,0.1595983
80,1.0,tanh,RMSprop,35,1,2,0.15317817
20,1.0,tanh,RMSprop,50,1,2,0.14747143
75,1.0,tanh,RMSprop,55,1,2,0.13677827
90,1.0,tanh,RMSprop,30,1,2,0.13496616
15,1.0,tanh,RMSprop,20,1,2,0.1337664
85,1.0,tanh,RMSprop,80,1,2,0.13167095
100,1.0,tanh,RMSprop,90,1,2,0.12832625
15,1.0,tanh,RMSprop,65,1,2,0.121602975
55,1.0,tanh,RMSprop,30,1,2,0.11978121
55,1.0,tanh,RMSprop,75,1,2,0.11873076
35,1.0,tanh,RMSprop,65,1,2,0.115292184
25,1.0,tanh,RMSprop,55,1,2,0.115250856
70,1.0,tanh,RMSprop,20,1,2,0.11483067
10,1.0,tanh,RMSprop,85,1,2,0.11247374
90,1.0,tanh,RMSprop,60,1,2,0.11077232
15,1.0,tanh,RMSprop,75,1,2,0.10984016
10,1.0,tanh,RMSprop,60,1,2,0.10710491
95,1.0,tanh,RMSprop,45,1,2,0.10693097
35,1.0,tanh,RMSprop,55,1,2,0.1052364
60,1.0,tanh,RMSprop,5,1,2,0.102648996
50,1.0,tanh,RMSprop,75,1,2,0.099354744
20,1.0,tanh,RMSprop,20,1,2,0.09773808
30,1.0,tanh,RMSprop,50,1,2,0.09406006
65,1.0,tanh,RMSprop,60,1,2,0.09300559
60,1.0,tanh,RMSprop,95,1,2,0.09213746
10,1.0,tanh,RMSprop,10,1,2,0.09206142
60,1.0,tanh,RMSprop,45,1,2,0.09101286
100,1.0,tanh,RMSprop,5,1,2,0.08932771
95,1.0,tanh,RMSprop,40,1,2,0.08913477
95,1.0,tanh,RMSprop,95,1,2,0.088855125
100,1.0,tanh,RMSprop,30,1,2,0.08794925
85,1.0,tanh,RMSprop,25,1,2,0.087224
10,1.0,tanh,RMSprop,95,1,2,0.08628063
70,1.0,tanh,RMSprop,65,1,2,0.08434533
65,1.0,tanh,RMSprop,100,1,2,0.08388512
70,1.0,tanh,RMSprop,50,1,2,0.08212607
45,1.0,tanh,RMSprop,85,1,2,0.08125236
35,1.0,tanh,RMSprop,95,1,2,0.080054015
45,1.0,tanh,RMSprop,55,1,2,0.07996012
25,1.0,tanh,RMSprop,30,1,2,0.07858391
95,1.0,tanh,RMSprop,65,1,2,0.07483055
20,1.0,tanh,RMSprop,35,1,2,0.072453275
55,1.0,tanh,RMSprop,100,1,2,0.071328655
75,1.0,tanh,RMSprop,85,1,2,0.070822194
15,1.0,tanh,RMSprop,25,1,2,0.06906376
15,1.0,tanh,RMSprop,40,1,2,0.06518037
20,1.0,tanh,RMSprop,30,1,2,0.06427812
95,1.0,tanh,RMSprop,20,1,2,0.05108352
35,1.0,tanh,RMSprop,75,1,2,0.04659564
70,1.0,tanh,RMSprop,95,1,2,0.044247128
95,1.0,tanh,RMSprop,30,1,2,0.043250147
95,1.0,tanh,RMSprop,50,1,2,0.04314234
10,1.0,tanh,RMSprop,15,1,2,0.04158485
25,1.0,tanh,RMSprop,60,1,2,0.04151092
40,1.0,tanh,RMSprop,90,1,2,0.040910445
80,1.0,tanh,RMSprop,45,1,2,0.039999124
10,1.0,tanh,RMSprop,65,1,2,0.03987736
85,1.0,tanh,RMSprop,95,1,2,0.038209252
90,1.0,tanh,RMSprop,35,1,2,0.03228493
15,1.0,tanh,RMSprop,45,1,2,0.031117165
50,1.0,tanh,RMSprop,80,1,2,0.027436461
30,1.0,tanh,RMSprop,20,1,2,0.02592724
70,1.0,tanh,RMSprop,85,1,2,0.023102555
80,1.0,tanh,RMSprop,100,1,2,0.022475492
75,1.0,tanh,RMSprop,65,1,2,0.01865645
50,1.0,tanh,RMSprop,60,1,2,0.018434305
40,1.0,tanh,RMSprop,25,1,2,0.017072532
20,1.0,tanh,RMSprop,10,1,2,0.014933569
55,1.0,tanh,RMSprop,90,1,2,0.013873127
25,1.0,tanh,RMSprop,70,1,2,0.011374691
45,1.0,tanh,RMSprop,20,1,2,0.0063518346
80,1.0,tanh,RMSprop,15,1,2,0.005858171
65,1.0,tanh,RMSprop,55,1,2,0.0048033446
90,1.0,tanh,RMSprop,55,1,2,0.0029052717
90,1.0,tanh,RMSprop,50,1,2,0.0020762077
75,1.0,tanh,RMSprop,30,1,2,0.0019543322
100,1.0,tanh,RMSprop,50,1,2,-0.6730508
100,1.0,tanh,RMSprop,35,1,2,-0.61848474
50,1.0,tanh,RMSprop,25,1,2,-0.57934827
75,1.0,tanh,RMSprop,100,1,2,-0.5504467
70,1.0,tanh,RMSprop,90,1,2,-0.5453464
90,1.0,tanh,RMSprop,45,1,2,-0.53099597
35,1.0,tanh,RMSprop,100,1,2,-0.5301976
20,1.0,tanh,RMSprop,85,1,2,-0.52959543
90,1.0,tanh,RMSprop,25,1,2,-0.49509615
100,1.0,tanh,RMSprop,45,1,2,-0.48621765
50,1.0,tanh,RMSprop,100,1,2,-0.4758592
50,1.0,tanh,RMSprop,55,1,2,-0.4737355
80,1.0,tanh,RMSprop,90,1,2,-0.47339427
95,1.0,tanh,RMSprop,60,1,2,-0.47270766
55,1.0,tanh,RMSprop,50,1,2,-0.46717945
100,1.0,tanh,RMSprop,55,1,2,-0.4629714
65,1.0,tanh,RMSprop,80,1,2,-0.4629544
80,1.0,tanh,RMSprop,25,1,2,-0.45784
55,1.0,tanh,RMSprop,25,1,2,-0.4578196
95,1.0,tanh,RMSprop,15,1,2,-0.4452465
90,1.0,tanh,RMSprop,10,1,2,-0.44351035
70,1.0,tanh,RMSprop,55,1,2,-0.4418782
75,1.0,tanh,RMSprop,80,1,2,-0.44049835
15,1.0,tanh,RMSprop,90,1,2,-0.43547216
65,1.0,tanh,RMSprop,20,1,2,-0.42442298
90,1.0,tanh,RMSprop,75,1,2,-0.42123052
30,1.0,tanh,RMSprop,55,1,2,-0.41547453
50,1.0,tanh,RMSprop,15,1,2,-0.41159123
60,1.0,tanh,RMSprop,55,1,2,-0.41074777
100,1.0,tanh,RMSprop,80,1,2,-0.39902171
20,1.0,tanh,RMSprop,95,1,2,-0.3905688
25,1.0,tanh,RMSprop,90,1,2,-0.3897317
45,1.0,tanh,RMSprop,15,1,2,-0.38478097
90,1.0,tanh,RMSprop,80,1,2,-0.3828956
50,1.0,tanh,RMSprop,45,1,2,-0.38052315
35,1.0,tanh,RMSprop,45,1,2,-0.37731647
70,1.0,tanh,RMSprop,35,1,2,-0.37569067
85,1.0,tanh,RMSprop,30,1,2,-0.37437478
75,1.0,tanh,RMSprop,40,1,2,-0.37252572
80,1.0,tanh,RMSprop,30,1,2,-0.37193882
85,1.0,tanh,RMSprop,35,1,2,-0.361457
35,1.0,tanh,RMSprop,70,1,2,-0.36048302
85,1.0,tanh,RMSprop,10,1,2,-0.3596538
95,1.0,tanh,RMSprop,10,1,2,-0.35783085
65,1.0,tanh,RMSprop,50,1,2,-0.3555428
40,1.0,tanh,RMSprop,75,1,2,-0.35529462
90,1.0,tanh,RMSprop,65,1,2,-0.3530374
60,1.0,tanh,RMSprop,35,1,2,-0.34409586
5,1.0,tanh,RMSprop,90,1,2,-0.34307262
75,1.0,tanh,RMSprop,45,1,2,-0.33559504
35,1.0,tanh,RMSprop,85,1,2,-0.3351437
50,1.0,tanh,RMSprop,20,1,2,-0.3340386
10,1.0,tanh,RMSprop,5,1,2,-0.33167413
60,1.0,tanh,RMSprop,30,1,2,-0.329596
5,1.0,tanh,RMSprop,50,1,2,-0.32797924
85,1.0,tanh,RMSprop,40,1,2,-0.3276319
40,1.0,tanh,RMSprop,5,1,2,-0.32385787
35,1.0,tanh,RMSprop,20,1,2,-0.3236059
30,1.0,tanh,RMSprop,40,1,2,-0.3235995
20,1.0,tanh,RMSprop,45,1,2,-0.31967863
55,1.0,tanh,RMSprop,40,1,2,-0.31878635
20,1.0,tanh,RMSprop,90,1,2,-0.3145776
5,1.0,tanh,RMSprop,85,1,2,-0.31386793
20,1.0,tanh,RMSprop,5,1,2,-0.31173772
100,1.0,tanh,RMSprop,100,1,2,-0.3087638
55,1.0,tanh,RMSprop,95,1,2,-0.3083309
40,1.0,tanh,RMSprop,30,1,2,-0.30011517
80,1.0,tanh,RMSprop,40,1,2,-0.29841256
60,1.0,tanh,RMSprop,25,1,2,-0.2974074
95,1.0,tanh,RMSprop,100,1,2,-0.29518855
5,1.0,tanh,RMSprop,80,1,2,-0.2950477
40,1.0,tanh,RMSprop,70,1,2,-0.2903784
90,1.0,tanh,RMSprop,95,1,2,-0.28950638
85,1.0,tanh,RMSprop,100,1,2,-0.28452766
85,1.0,tanh,RMSprop,90,1,2,-0.28407505
25,1.0,tanh,RMSprop,25,1,2,-0.28314707
