epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
50,1.0,tanh,RMSprop,20,1,2,0.71333283
20,1.0,tanh,RMSprop,5,1,2,0.700848
5,1.0,tanh,RMSprop,5,1,2,0.66788
5,1.0,tanh,RMSprop,15,1,2,0.5953173
85,1.0,tanh,RMSprop,5,1,2,0.5887119
10,1.0,tanh,RMSprop,5,1,2,0.548874
15,1.0,tanh,RMSprop,5,1,2,0.50528353
50,1.0,tanh,RMSprop,15,1,2,0.4731388
5,1.0,tanh,RMSprop,25,1,2,0.46631128
5,1.0,tanh,RMSprop,30,1,2,0.46613798
5,1.0,tanh,RMSprop,35,1,2,0.46177042
90,1.0,tanh,RMSprop,15,1,2,0.4580755
5,1.0,tanh,RMSprop,40,1,2,0.4471699
5,1.0,tanh,RMSprop,55,1,2,0.44199637
5,1.0,tanh,RMSprop,50,1,2,0.4389021
5,1.0,tanh,RMSprop,45,1,2,0.43676394
5,1.0,tanh,RMSprop,60,1,2,0.43296587
5,1.0,tanh,RMSprop,65,1,2,0.42967224
5,1.0,tanh,RMSprop,70,1,2,0.42753735
5,1.0,tanh,RMSprop,75,1,2,0.42475584
5,1.0,tanh,RMSprop,80,1,2,0.42305964
5,1.0,tanh,RMSprop,90,1,2,0.42165285
5,1.0,tanh,RMSprop,85,1,2,0.42137715
5,1.0,tanh,RMSprop,100,1,2,0.4163819
5,1.0,tanh,RMSprop,95,1,2,0.4153107
10,1.0,tanh,RMSprop,35,1,2,0.3855055
10,1.0,tanh,RMSprop,30,1,2,0.38510144
15,1.0,tanh,RMSprop,25,1,2,0.37978598
10,1.0,tanh,RMSprop,40,1,2,0.3786798
10,1.0,tanh,RMSprop,45,1,2,0.37568614
75,1.0,tanh,RMSprop,5,1,2,0.3739875
10,1.0,tanh,RMSprop,50,1,2,0.37321472
15,1.0,tanh,RMSprop,30,1,2,0.3725898
10,1.0,tanh,RMSprop,70,1,2,0.37023684
15,1.0,tanh,RMSprop,35,1,2,0.37020776
10,1.0,tanh,RMSprop,55,1,2,0.37019467
10,1.0,tanh,RMSprop,65,1,2,0.36813426
10,1.0,tanh,RMSprop,75,1,2,0.3673758
20,1.0,tanh,RMSprop,30,1,2,0.36650985
10,1.0,tanh,RMSprop,60,1,2,0.36636585
15,1.0,tanh,RMSprop,40,1,2,0.3661868
15,1.0,tanh,RMSprop,45,1,2,0.36560884
25,1.0,tanh,RMSprop,30,1,2,0.3653879
15,1.0,tanh,RMSprop,50,1,2,0.361973
10,1.0,tanh,RMSprop,80,1,2,0.3618852
15,1.0,tanh,RMSprop,55,1,2,0.36081183
15,1.0,tanh,RMSprop,65,1,2,0.36078674
10,1.0,tanh,RMSprop,85,1,2,0.3605844
10,1.0,tanh,RMSprop,90,1,2,0.36001977
10,1.0,tanh,RMSprop,95,1,2,0.35962886
20,1.0,tanh,RMSprop,45,1,2,0.3595952
15,1.0,tanh,RMSprop,60,1,2,0.35956848
20,1.0,tanh,RMSprop,35,1,2,0.35937995
25,1.0,tanh,RMSprop,35,1,2,0.35937294
20,1.0,tanh,RMSprop,40,1,2,0.35872728
30,1.0,tanh,RMSprop,30,1,2,0.35854378
15,1.0,tanh,RMSprop,70,1,2,0.35841134
30,1.0,tanh,RMSprop,35,1,2,0.35840863
10,1.0,tanh,RMSprop,100,1,2,0.35790783
15,1.0,tanh,RMSprop,75,1,2,0.35767615
15,1.0,tanh,RMSprop,80,1,2,0.3568778
25,1.0,tanh,RMSprop,50,1,2,0.3557642
15,1.0,tanh,RMSprop,85,1,2,0.35522935
15,1.0,tanh,RMSprop,100,1,2,0.3552095
20,1.0,tanh,RMSprop,50,1,2,0.35495946
20,1.0,tanh,RMSprop,65,1,2,0.354879
15,1.0,tanh,RMSprop,95,1,2,0.35457462
25,1.0,tanh,RMSprop,40,1,2,0.35408804
25,1.0,tanh,RMSprop,45,1,2,0.3539239
20,1.0,tanh,RMSprop,55,1,2,0.35345882
50,1.0,tanh,RMSprop,25,1,2,0.3533952
15,1.0,tanh,RMSprop,90,1,2,0.353275
20,1.0,tanh,RMSprop,60,1,2,0.35291472
20,1.0,tanh,RMSprop,70,1,2,0.35270932
20,1.0,tanh,RMSprop,75,1,2,0.3526063
40,1.0,tanh,RMSprop,30,1,2,0.35211796
65,1.0,tanh,RMSprop,10,1,2,0.35090902
25,1.0,tanh,RMSprop,60,1,2,0.35090324
35,1.0,tanh,RMSprop,35,1,2,0.35070074
50,1.0,tanh,RMSprop,30,1,2,0.34985802
20,1.0,tanh,RMSprop,95,1,2,0.34965074
20,1.0,tanh,RMSprop,80,1,2,0.3491569
25,1.0,tanh,RMSprop,55,1,2,0.34882757
20,1.0,tanh,RMSprop,100,1,2,0.34870827
20,1.0,tanh,RMSprop,90,1,2,0.34865674
40,1.0,tanh,RMSprop,35,1,2,0.3483079
25,1.0,tanh,RMSprop,65,1,2,0.34803838
30,1.0,tanh,RMSprop,45,1,2,0.3478489
30,1.0,tanh,RMSprop,40,1,2,0.34760535
55,1.0,tanh,RMSprop,30,1,2,0.34676814
30,1.0,tanh,RMSprop,50,1,2,0.34670353
45,1.0,tanh,RMSprop,30,1,2,0.34647557
25,1.0,tanh,RMSprop,80,1,2,0.34640455
20,1.0,tanh,RMSprop,85,1,2,0.3463763
25,1.0,tanh,RMSprop,75,1,2,0.3462468
35,1.0,tanh,RMSprop,40,1,2,0.3460068
25,1.0,tanh,RMSprop,70,1,2,0.34589693
30,1.0,tanh,RMSprop,55,1,2,0.34587988
30,1.0,tanh,RMSprop,70,1,2,0.34570885
25,1.0,tanh,RMSprop,95,1,2,0.345337
30,1.0,tanh,RMSprop,60,1,2,0.34520906
35,1.0,tanh,RMSprop,50,1,2,0.34505227
45,1.0,tanh,RMSprop,35,1,2,0.34499812
