epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
85,1.0,tanh,RMSprop,65,1,2,0.67236364
50,1.0,tanh,RMSprop,5,1,2,0.65216446
25,1.0,tanh,RMSprop,15,1,2,0.65132815
55,1.0,tanh,RMSprop,5,1,2,0.64273244
95,1.0,tanh,RMSprop,20,1,2,0.6383677
60,1.0,tanh,RMSprop,20,1,2,0.6305651
5,1.0,tanh,RMSprop,20,1,2,0.6252323
90,1.0,tanh,RMSprop,10,1,2,0.6249121
70,1.0,tanh,RMSprop,10,1,2,0.62259
15,1.0,tanh,RMSprop,10,1,2,0.6206626
20,1.0,tanh,RMSprop,15,1,2,0.6194177
95,1.0,tanh,RMSprop,45,1,2,0.6167184
80,1.0,tanh,RMSprop,15,1,2,0.61670023
20,1.0,tanh,RMSprop,20,1,2,0.6154335
100,1.0,tanh,RMSprop,5,1,2,0.6149108
45,1.0,tanh,RMSprop,15,1,2,0.61435634
70,1.0,tanh,RMSprop,60,1,2,0.61355096
85,1.0,tanh,RMSprop,10,1,2,0.6100312
60,1.0,tanh,RMSprop,60,1,2,0.6094856
25,1.0,tanh,RMSprop,20,1,2,0.6086833
45,1.0,tanh,RMSprop,95,1,2,0.60815674
50,1.0,tanh,RMSprop,10,1,2,0.6070107
75,1.0,tanh,RMSprop,55,1,2,0.60448843
100,1.0,tanh,RMSprop,15,1,2,0.60322255
100,1.0,tanh,RMSprop,10,1,2,0.6030276
60,1.0,tanh,RMSprop,25,1,2,0.6029415
65,1.0,tanh,RMSprop,10,1,2,0.6029134
60,1.0,tanh,RMSprop,10,1,2,0.6027221
15,1.0,tanh,RMSprop,15,1,2,0.601596
85,1.0,tanh,RMSprop,45,1,2,0.5996242
35,1.0,tanh,RMSprop,5,1,2,0.5993434
75,1.0,tanh,RMSprop,10,1,2,0.59886456
45,1.0,tanh,RMSprop,10,1,2,0.5988451
10,1.0,tanh,RMSprop,30,1,2,0.5987862
35,1.0,tanh,RMSprop,20,1,2,0.59877014
20,1.0,tanh,RMSprop,10,1,2,0.59859276
35,1.0,tanh,RMSprop,10,1,2,0.5985832
10,1.0,tanh,RMSprop,20,1,2,0.59742814
40,1.0,tanh,RMSprop,5,1,2,0.59712565
100,1.0,tanh,RMSprop,65,1,2,0.59666884
90,1.0,tanh,RMSprop,55,1,2,0.5954421
65,1.0,tanh,RMSprop,55,1,2,0.5905525
65,1.0,tanh,RMSprop,20,1,2,0.58950865
95,1.0,tanh,RMSprop,50,1,2,0.58943325
40,1.0,tanh,RMSprop,10,1,2,0.58893305
50,1.0,tanh,RMSprop,70,1,2,0.58826864
75,1.0,tanh,RMSprop,60,1,2,0.58777803
35,1.0,tanh,RMSprop,15,1,2,0.58632505
65,1.0,tanh,RMSprop,50,1,2,0.58544433
30,1.0,tanh,RMSprop,5,1,2,0.58538085
85,1.0,tanh,RMSprop,40,1,2,0.5825295
25,1.0,tanh,RMSprop,10,1,2,0.5817518
15,1.0,tanh,RMSprop,5,1,2,0.57983905
60,1.0,tanh,RMSprop,5,1,2,0.5792137
40,1.0,tanh,RMSprop,15,1,2,0.57870543
100,1.0,tanh,RMSprop,25,1,2,0.5777704
70,1.0,tanh,RMSprop,65,1,2,0.5771026
80,1.0,tanh,RMSprop,40,1,2,0.5771017
45,1.0,tanh,RMSprop,20,1,2,0.57635164
55,1.0,tanh,RMSprop,10,1,2,0.5750778
85,1.0,tanh,RMSprop,60,1,2,0.5746261
60,1.0,tanh,RMSprop,65,1,2,0.5737052
70,1.0,tanh,RMSprop,55,1,2,0.5734695
10,1.0,tanh,RMSprop,5,1,2,0.5732856
100,1.0,tanh,RMSprop,55,1,2,0.571726
100,1.0,tanh,RMSprop,50,1,2,0.5702683
10,1.0,tanh,RMSprop,15,1,2,0.5684131
75,1.0,tanh,RMSprop,75,1,2,0.5675017
75,1.0,tanh,RMSprop,15,1,2,0.5667421
15,1.0,tanh,RMSprop,45,1,2,0.5662864
50,1.0,tanh,RMSprop,15,1,2,0.5632056
70,1.0,tanh,RMSprop,15,1,2,0.5630177
75,1.0,tanh,RMSprop,5,1,2,0.5619196
5,1.0,tanh,RMSprop,25,1,2,0.5615482
20,1.0,tanh,RMSprop,5,1,2,0.5611648
95,1.0,tanh,RMSprop,35,1,2,0.5595217
40,1.0,tanh,RMSprop,25,1,2,0.5580036
30,1.0,tanh,RMSprop,15,1,2,0.5576396
100,1.0,tanh,RMSprop,75,1,2,0.5563482
80,1.0,tanh,RMSprop,50,1,2,0.55629367
100,1.0,tanh,RMSprop,40,1,2,0.5557494
95,1.0,tanh,RMSprop,40,1,2,0.55519855
90,1.0,tanh,RMSprop,45,1,2,0.5547973
80,1.0,tanh,RMSprop,10,1,2,0.5514753
30,1.0,tanh,RMSprop,20,1,2,0.5484911
65,1.0,tanh,RMSprop,15,1,2,0.5445327
100,1.0,tanh,RMSprop,45,1,2,0.5444429
65,1.0,tanh,RMSprop,65,1,2,0.54442847
80,1.0,tanh,RMSprop,5,1,2,0.53351265
30,1.0,tanh,RMSprop,10,1,2,0.5320585
90,1.0,tanh,RMSprop,50,1,2,0.5312234
45,1.0,tanh,RMSprop,5,1,2,0.5290845
70,1.0,tanh,RMSprop,5,1,2,0.5267526
80,1.0,tanh,RMSprop,55,1,2,0.521311
25,1.0,tanh,RMSprop,5,1,2,0.5187707
5,1.0,tanh,RMSprop,5,1,2,0.5160534
95,1.0,tanh,RMSprop,55,1,2,0.5141545
90,1.0,tanh,RMSprop,65,1,2,0.5123919
75,1.0,tanh,RMSprop,65,1,2,0.5109152
85,1.0,tanh,RMSprop,15,1,2,0.5086449
65,1.0,tanh,RMSprop,5,1,2,0.507027
95,1.0,tanh,RMSprop,5,1,2,0.5050012
55,1.0,tanh,RMSprop,15,1,2,0.5044413
100,1.0,tanh,RMSprop,20,1,2,0.50261223
100,1.0,tanh,RMSprop,60,1,2,0.50190115
40,1.0,tanh,RMSprop,20,1,2,0.49776912
5,1.0,tanh,RMSprop,15,1,2,0.49501958
85,1.0,tanh,RMSprop,50,1,2,0.49045682
85,1.0,tanh,RMSprop,25,1,2,0.48513204
5,1.0,tanh,RMSprop,10,1,2,0.47617143
85,1.0,tanh,RMSprop,35,1,2,0.47543037
10,1.0,tanh,RMSprop,10,1,2,0.47258312
80,1.0,tanh,RMSprop,45,1,2,0.470464
95,1.0,tanh,RMSprop,70,1,2,0.4536247
80,1.0,tanh,RMSprop,65,1,2,0.4530972
35,1.0,tanh,RMSprop,25,1,2,0.45092645
65,1.0,tanh,RMSprop,60,1,2,0.447388
60,1.0,tanh,RMSprop,30,1,2,0.4362414
20,1.0,tanh,RMSprop,45,1,2,0.4360749
90,1.0,tanh,RMSprop,70,1,2,0.4309573
85,1.0,tanh,RMSprop,5,1,2,0.41752884
100,1.0,tanh,RMSprop,30,1,2,0.41580954
75,1.0,tanh,RMSprop,30,1,2,0.40850073
50,1.0,tanh,RMSprop,30,1,2,0.40672204
75,1.0,tanh,RMSprop,25,1,2,0.4026965
25,1.0,tanh,RMSprop,30,1,2,0.39257717
80,1.0,tanh,RMSprop,35,1,2,0.3798782
90,1.0,tanh,RMSprop,5,1,2,0.37768093
95,1.0,tanh,RMSprop,15,1,2,0.36413312
55,1.0,tanh,RMSprop,25,1,2,0.3240141
40,1.0,tanh,RMSprop,35,1,2,0.32200876
30,1.0,tanh,RMSprop,25,1,2,0.3202982
65,1.0,tanh,RMSprop,30,1,2,0.32016566
55,1.0,tanh,RMSprop,20,1,2,0.30940816
75,1.0,tanh,RMSprop,45,1,2,0.30155763
35,1.0,tanh,RMSprop,30,1,2,0.2906693
70,1.0,tanh,RMSprop,50,1,2,0.28499126
90,1.0,tanh,RMSprop,40,1,2,0.27915618
60,1.0,tanh,RMSprop,15,1,2,0.2714138
85,1.0,tanh,RMSprop,55,1,2,0.27081284
80,1.0,tanh,RMSprop,60,1,2,0.25470537
70,1.0,tanh,RMSprop,20,1,2,0.25054142
75,1.0,tanh,RMSprop,20,1,2,0.22644557
70,1.0,tanh,RMSprop,70,1,2,0.22209285
75,1.0,tanh,RMSprop,50,1,2,0.20547897
5,1.0,tanh,RMSprop,30,1,2,0.20372683
5,1.0,tanh,RMSprop,40,1,2,0.2034853
5,1.0,tanh,RMSprop,35,1,2,0.20339453
5,1.0,tanh,RMSprop,55,1,2,0.20334797
5,1.0,tanh,RMSprop,45,1,2,0.20329683
5,1.0,tanh,RMSprop,50,1,2,0.203293
5,1.0,tanh,RMSprop,60,1,2,0.20320313
5,1.0,tanh,RMSprop,65,1,2,0.20312364
5,1.0,tanh,RMSprop,70,1,2,0.20259166
5,1.0,tanh,RMSprop,75,1,2,0.20242183
5,1.0,tanh,RMSprop,80,1,2,0.20147537
5,1.0,tanh,RMSprop,90,1,2,0.20145494
5,1.0,tanh,RMSprop,85,1,2,0.2014341
5,1.0,tanh,RMSprop,95,1,2,0.20126855
5,1.0,tanh,RMSprop,100,1,2,0.20117728
75,1.0,tanh,RMSprop,40,1,2,0.19775555
10,1.0,tanh,RMSprop,45,1,2,0.19774085
70,1.0,tanh,RMSprop,45,1,2,0.19619623
70,1.0,tanh,RMSprop,40,1,2,0.19360705
80,1.0,tanh,RMSprop,30,1,2,0.19343442
60,1.0,tanh,RMSprop,55,1,2,0.19226381
65,1.0,tanh,RMSprop,40,1,2,0.19211526
55,1.0,tanh,RMSprop,65,1,2,0.19121616
65,1.0,tanh,RMSprop,35,1,2,0.19114675
10,1.0,tanh,RMSprop,35,1,2,0.1910126
70,1.0,tanh,RMSprop,30,1,2,0.19035505
65,1.0,tanh,RMSprop,45,1,2,0.19027023
10,1.0,tanh,RMSprop,25,1,2,0.19004723
60,1.0,tanh,RMSprop,50,1,2,0.19003566
55,1.0,tanh,RMSprop,60,1,2,0.18971099
60,1.0,tanh,RMSprop,45,1,2,0.18913324
65,1.0,tanh,RMSprop,25,1,2,0.18890563
50,1.0,tanh,RMSprop,60,1,2,0.18862058
60,1.0,tanh,RMSprop,35,1,2,0.18855843
55,1.0,tanh,RMSprop,55,1,2,0.1877492
55,1.0,tanh,RMSprop,50,1,2,0.18752119
55,1.0,tanh,RMSprop,40,1,2,0.1872004
55,1.0,tanh,RMSprop,35,1,2,0.18648386
50,1.0,tanh,RMSprop,65,1,2,0.18642372
45,1.0,tanh,RMSprop,60,1,2,0.18548894
45,1.0,tanh,RMSprop,65,1,2,0.18532483
50,1.0,tanh,RMSprop,55,1,2,0.18526581
60,1.0,tanh,RMSprop,40,1,2,0.1852383
10,1.0,tanh,RMSprop,40,1,2,0.18505551
55,1.0,tanh,RMSprop,45,1,2,0.18484099
50,1.0,tanh,RMSprop,50,1,2,0.18470186
50,1.0,tanh,RMSprop,45,1,2,0.18459578
80,1.0,tanh,RMSprop,20,1,2,0.18416989
45,1.0,tanh,RMSprop,50,1,2,0.18369925
45,1.0,tanh,RMSprop,45,1,2,0.18357179
45,1.0,tanh,RMSprop,55,1,2,0.18349151
55,1.0,tanh,RMSprop,30,1,2,0.18344049
50,1.0,tanh,RMSprop,40,1,2,0.18270361
45,1.0,tanh,RMSprop,40,1,2,0.18251483
50,1.0,tanh,RMSprop,35,1,2,0.18245524
40,1.0,tanh,RMSprop,55,1,2,0.1816672
40,1.0,tanh,RMSprop,65,1,2,0.18165725
40,1.0,tanh,RMSprop,60,1,2,0.18138376
45,1.0,tanh,RMSprop,35,1,2,0.1813569
45,1.0,tanh,RMSprop,25,1,2,0.18109475
40,1.0,tanh,RMSprop,50,1,2,0.18041612
40,1.0,tanh,RMSprop,40,1,2,0.18032242
35,1.0,tanh,RMSprop,65,1,2,0.18010329
35,1.0,tanh,RMSprop,75,1,2,0.17989354
35,1.0,tanh,RMSprop,50,1,2,0.17978507
40,1.0,tanh,RMSprop,30,1,2,0.17960203
10,1.0,tanh,RMSprop,50,1,2,0.17951831
35,1.0,tanh,RMSprop,60,1,2,0.17945153
40,1.0,tanh,RMSprop,45,1,2,0.17914464
10,1.0,tanh,RMSprop,60,1,2,0.17898987
35,1.0,tanh,RMSprop,55,1,2,0.17893207
10,1.0,tanh,RMSprop,55,1,2,0.17884527
35,1.0,tanh,RMSprop,45,1,2,0.17884329
35,1.0,tanh,RMSprop,40,1,2,0.17855138
35,1.0,tanh,RMSprop,70,1,2,0.1781951
35,1.0,tanh,RMSprop,35,1,2,0.17816417
30,1.0,tanh,RMSprop,55,1,2,0.17800783
30,1.0,tanh,RMSprop,45,1,2,0.1780069
30,1.0,tanh,RMSprop,50,1,2,0.17743902
30,1.0,tanh,RMSprop,60,1,2,0.17735517
30,1.0,tanh,RMSprop,40,1,2,0.17733797
30,1.0,tanh,RMSprop,30,1,2,0.17727406
15,1.0,tanh,RMSprop,25,1,2,0.17700154
15,1.0,tanh,RMSprop,30,1,2,0.17685199
30,1.0,tanh,RMSprop,65,1,2,0.17680359
25,1.0,tanh,RMSprop,40,1,2,0.17660378
10,1.0,tanh,RMSprop,70,1,2,0.17641778
10,1.0,tanh,RMSprop,65,1,2,0.17629226
15,1.0,tanh,RMSprop,20,1,2,0.17596385
25,1.0,tanh,RMSprop,50,1,2,0.17569315
25,1.0,tanh,RMSprop,60,1,2,0.17540902
25,1.0,tanh,RMSprop,55,1,2,0.17528105
10,1.0,tanh,RMSprop,75,1,2,0.17514974
20,1.0,tanh,RMSprop,30,1,2,0.17505848
20,1.0,tanh,RMSprop,60,1,2,0.17485747
10,1.0,tanh,RMSprop,80,1,2,0.17482442
30,1.0,tanh,RMSprop,70,1,2,0.17479388
20,1.0,tanh,RMSprop,55,1,2,0.1747666
15,1.0,tanh,RMSprop,40,1,2,0.17467451
10,1.0,tanh,RMSprop,85,1,2,0.17466848
10,1.0,tanh,RMSprop,90,1,2,0.1746057
25,1.0,tanh,RMSprop,35,1,2,0.17450681
10,1.0,tanh,RMSprop,100,1,2,0.17447034
10,1.0,tanh,RMSprop,95,1,2,0.17443897
20,1.0,tanh,RMSprop,40,1,2,0.17440476
20,1.0,tanh,RMSprop,35,1,2,0.17434211
15,1.0,tanh,RMSprop,35,1,2,0.17431118
15,1.0,tanh,RMSprop,50,1,2,0.17426322
20,1.0,tanh,RMSprop,25,1,2,0.17425689
25,1.0,tanh,RMSprop,45,1,2,0.1742013
20,1.0,tanh,RMSprop,50,1,2,0.17415906
15,1.0,tanh,RMSprop,55,1,2,0.17415532
50,1.0,tanh,RMSprop,85,1,2,0.17410567
15,1.0,tanh,RMSprop,65,1,2,0.17396091
25,1.0,tanh,RMSprop,70,1,2,0.17395446
15,1.0,tanh,RMSprop,60,1,2,0.17395216
25,1.0,tanh,RMSprop,65,1,2,0.17392828
25,1.0,tanh,RMSprop,85,1,2,0.17392783
25,1.0,tanh,RMSprop,75,1,2,0.173886
15,1.0,tanh,RMSprop,85,1,2,0.1738846
15,1.0,tanh,RMSprop,70,1,2,0.17385963
20,1.0,tanh,RMSprop,100,1,2,0.17383346
20,1.0,tanh,RMSprop,85,1,2,0.1738313
15,1.0,tanh,RMSprop,100,1,2,0.17382915
15,1.0,tanh,RMSprop,75,1,2,0.17382348
15,1.0,tanh,RMSprop,95,1,2,0.17382243
20,1.0,tanh,RMSprop,65,1,2,0.17382224
20,1.0,tanh,RMSprop,75,1,2,0.17381759
20,1.0,tanh,RMSprop,70,1,2,0.17380862
25,1.0,tanh,RMSprop,90,1,2,0.1738081
15,1.0,tanh,RMSprop,80,1,2,0.1738077
30,1.0,tanh,RMSprop,90,1,2,0.17380357
15,1.0,tanh,RMSprop,90,1,2,0.17380305
20,1.0,tanh,RMSprop,95,1,2,0.1737973
25,1.0,tanh,RMSprop,80,1,2,0.17379564
30,1.0,tanh,RMSprop,100,1,2,0.17379439
