epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
55,1.0,tanh,RMSprop,85,1,2,0.848855
30,1.0,tanh,RMSprop,30,1,2,0.8154402
25,1.0,tanh,RMSprop,65,1,2,0.8062479
80,1.0,tanh,RMSprop,40,1,2,0.79796124
50,1.0,tanh,RMSprop,30,1,2,0.7929362
45,1.0,tanh,RMSprop,20,1,2,0.7840698
65,1.0,tanh,RMSprop,85,1,2,0.78364134
40,1.0,tanh,RMSprop,100,1,2,0.7749101
70,1.0,tanh,RMSprop,15,1,2,0.77020675
80,1.0,tanh,RMSprop,20,1,2,0.76201594
55,1.0,tanh,RMSprop,100,1,2,0.7578343
75,1.0,tanh,RMSprop,15,1,2,0.75700545
90,1.0,tanh,RMSprop,30,1,2,0.7568951
15,1.0,tanh,RMSprop,50,1,2,0.7557582
65,1.0,tanh,RMSprop,35,1,2,0.7546625
100,1.0,tanh,RMSprop,90,1,2,0.75254554
95,1.0,tanh,RMSprop,15,1,2,0.7505114
20,1.0,tanh,RMSprop,45,1,2,0.74970806
40,1.0,tanh,RMSprop,95,1,2,0.7422132
70,1.0,tanh,RMSprop,90,1,2,0.7394865
75,1.0,tanh,RMSprop,75,1,2,0.7378143
65,1.0,tanh,RMSprop,95,1,2,0.7356839
70,1.0,tanh,RMSprop,60,1,2,0.7355196
55,1.0,tanh,RMSprop,10,1,2,0.7343957
5,1.0,tanh,RMSprop,15,1,2,0.7334739
25,1.0,tanh,RMSprop,60,1,2,0.7333019
100,1.0,tanh,RMSprop,45,1,2,0.73142195
25,1.0,tanh,RMSprop,35,1,2,0.731189
100,1.0,tanh,RMSprop,5,1,2,0.7304002
40,1.0,tanh,RMSprop,10,1,2,0.72930694
15,1.0,tanh,RMSprop,35,1,2,0.7250795
90,1.0,tanh,RMSprop,100,1,2,0.7233567
5,1.0,tanh,RMSprop,20,1,2,0.7231061
60,1.0,tanh,RMSprop,30,1,2,0.72286737
75,1.0,tanh,RMSprop,40,1,2,0.72233933
30,1.0,tanh,RMSprop,75,1,2,0.722239
40,1.0,tanh,RMSprop,80,1,2,0.721674
45,1.0,tanh,RMSprop,15,1,2,0.7203235
50,1.0,tanh,RMSprop,25,1,2,0.72030276
15,1.0,tanh,RMSprop,45,1,2,0.7178702
20,1.0,tanh,RMSprop,15,1,2,0.71740294
95,1.0,tanh,RMSprop,60,1,2,0.71739334
75,1.0,tanh,RMSprop,90,1,2,0.71730936
95,1.0,tanh,RMSprop,45,1,2,0.7169947
55,1.0,tanh,RMSprop,55,1,2,0.71564734
35,1.0,tanh,RMSprop,25,1,2,0.7150348
35,1.0,tanh,RMSprop,60,1,2,0.71456623
35,1.0,tanh,RMSprop,80,1,2,0.71347046
40,1.0,tanh,RMSprop,70,1,2,0.71192557
20,1.0,tanh,RMSprop,65,1,2,0.7113232
35,1.0,tanh,RMSprop,65,1,2,0.7097569
15,1.0,tanh,RMSprop,10,1,2,0.7097327
20,1.0,tanh,RMSprop,75,1,2,0.7088381
45,1.0,tanh,RMSprop,65,1,2,0.70733535
40,1.0,tanh,RMSprop,15,1,2,0.7064617
15,1.0,tanh,RMSprop,55,1,2,0.7048032
90,1.0,tanh,RMSprop,15,1,2,0.703264
90,1.0,tanh,RMSprop,10,1,2,0.7017279
85,1.0,tanh,RMSprop,35,1,2,0.69974655
20,1.0,tanh,RMSprop,50,1,2,0.6992569
30,1.0,tanh,RMSprop,20,1,2,0.6989357
5,1.0,tanh,RMSprop,10,1,2,0.69819385
20,1.0,tanh,RMSprop,10,1,2,0.6948362
40,1.0,tanh,RMSprop,30,1,2,0.69373965
85,1.0,tanh,RMSprop,40,1,2,0.69229794
95,1.0,tanh,RMSprop,30,1,2,0.69219166
10,1.0,tanh,RMSprop,20,1,2,0.6908373
10,1.0,tanh,RMSprop,15,1,2,0.69045365
70,1.0,tanh,RMSprop,25,1,2,0.6884256
75,1.0,tanh,RMSprop,95,1,2,0.6876604
100,1.0,tanh,RMSprop,10,1,2,0.6873709
70,1.0,tanh,RMSprop,65,1,2,0.6868971
55,1.0,tanh,RMSprop,90,1,2,0.6866737
85,1.0,tanh,RMSprop,55,1,2,0.6866084
70,1.0,tanh,RMSprop,45,1,2,0.6864604
80,1.0,tanh,RMSprop,70,1,2,0.6861772
30,1.0,tanh,RMSprop,90,1,2,0.68536776
15,1.0,tanh,RMSprop,90,1,2,0.6850926
75,1.0,tanh,RMSprop,20,1,2,0.6846064
40,1.0,tanh,RMSprop,60,1,2,0.683938
45,1.0,tanh,RMSprop,60,1,2,0.6838607
95,1.0,tanh,RMSprop,95,1,2,0.6829816
30,1.0,tanh,RMSprop,10,1,2,0.68257195
40,1.0,tanh,RMSprop,25,1,2,0.682419
10,1.0,tanh,RMSprop,60,1,2,0.68191624
35,1.0,tanh,RMSprop,70,1,2,0.68130964
30,1.0,tanh,RMSprop,70,1,2,0.6808263
35,1.0,tanh,RMSprop,100,1,2,0.68048483
45,1.0,tanh,RMSprop,35,1,2,0.6802948
30,1.0,tanh,RMSprop,60,1,2,0.6799987
65,1.0,tanh,RMSprop,80,1,2,0.67942196
15,1.0,tanh,RMSprop,80,1,2,0.67899024
35,1.0,tanh,RMSprop,5,1,2,0.6788119
10,1.0,tanh,RMSprop,10,1,2,0.67751724
85,1.0,tanh,RMSprop,20,1,2,0.67716175
25,1.0,tanh,RMSprop,45,1,2,0.6768874
20,1.0,tanh,RMSprop,80,1,2,0.67664
60,1.0,tanh,RMSprop,45,1,2,0.67368656
35,1.0,tanh,RMSprop,30,1,2,0.6729441
25,1.0,tanh,RMSprop,85,1,2,0.6726263
30,1.0,tanh,RMSprop,5,1,2,0.6724342
40,1.0,tanh,RMSprop,45,1,2,0.6704778
25,1.0,tanh,RMSprop,25,1,2,0.6703071
100,1.0,tanh,RMSprop,35,1,2,0.6694414
30,1.0,tanh,RMSprop,15,1,2,0.6688289
75,1.0,tanh,RMSprop,65,1,2,0.66857404
70,1.0,tanh,RMSprop,75,1,2,0.66764724
35,1.0,tanh,RMSprop,15,1,2,0.6675019
50,1.0,tanh,RMSprop,15,1,2,0.6671476
45,1.0,tanh,RMSprop,10,1,2,0.6666229
15,1.0,tanh,RMSprop,40,1,2,0.6663068
15,1.0,tanh,RMSprop,25,1,2,0.66479534
55,1.0,tanh,RMSprop,25,1,2,0.6647394
10,1.0,tanh,RMSprop,75,1,2,0.6639091
40,1.0,tanh,RMSprop,5,1,2,0.66379446
80,1.0,tanh,RMSprop,45,1,2,0.66343856
35,1.0,tanh,RMSprop,75,1,2,0.6634275
10,1.0,tanh,RMSprop,5,1,2,0.6628431
45,1.0,tanh,RMSprop,90,1,2,0.6623773
40,1.0,tanh,RMSprop,85,1,2,0.6623635
60,1.0,tanh,RMSprop,20,1,2,0.66144425
100,1.0,tanh,RMSprop,20,1,2,0.6612894
10,1.0,tanh,RMSprop,50,1,2,0.6609529
10,1.0,tanh,RMSprop,25,1,2,0.6608468
95,1.0,tanh,RMSprop,35,1,2,0.6604928
5,1.0,tanh,RMSprop,25,1,2,0.6603578
65,1.0,tanh,RMSprop,100,1,2,0.65927625
50,1.0,tanh,RMSprop,85,1,2,0.6583405
50,1.0,tanh,RMSprop,5,1,2,0.65803874
15,1.0,tanh,RMSprop,95,1,2,0.6549589
75,1.0,tanh,RMSprop,80,1,2,0.6541993
25,1.0,tanh,RMSprop,5,1,2,0.65416545
40,1.0,tanh,RMSprop,40,1,2,0.65163785
15,1.0,tanh,RMSprop,75,1,2,0.65104914
95,1.0,tanh,RMSprop,100,1,2,0.6504218
70,1.0,tanh,RMSprop,30,1,2,0.6502898
15,1.0,tanh,RMSprop,100,1,2,0.6496469
15,1.0,tanh,RMSprop,85,1,2,0.6482402
20,1.0,tanh,RMSprop,5,1,2,0.64766943
55,1.0,tanh,RMSprop,45,1,2,0.64751536
20,1.0,tanh,RMSprop,70,1,2,0.6469236
5,1.0,tanh,RMSprop,65,1,2,0.64588064
55,1.0,tanh,RMSprop,5,1,2,0.645775
30,1.0,tanh,RMSprop,95,1,2,0.64574784
50,1.0,tanh,RMSprop,10,1,2,0.6449403
15,1.0,tanh,RMSprop,15,1,2,0.6441672
75,1.0,tanh,RMSprop,5,1,2,0.64414555
45,1.0,tanh,RMSprop,25,1,2,0.6437833
50,1.0,tanh,RMSprop,35,1,2,0.64337
10,1.0,tanh,RMSprop,45,1,2,0.6433427
25,1.0,tanh,RMSprop,20,1,2,0.6386178
5,1.0,tanh,RMSprop,55,1,2,0.6378301
5,1.0,tanh,RMSprop,45,1,2,0.63755935
5,1.0,tanh,RMSprop,35,1,2,0.63755435
10,1.0,tanh,RMSprop,55,1,2,0.6364855
80,1.0,tanh,RMSprop,10,1,2,0.6350675
10,1.0,tanh,RMSprop,30,1,2,0.634261
20,1.0,tanh,RMSprop,100,1,2,0.63374764
50,1.0,tanh,RMSprop,20,1,2,0.63370717
90,1.0,tanh,RMSprop,95,1,2,0.63335276
5,1.0,tanh,RMSprop,40,1,2,0.6331904
60,1.0,tanh,RMSprop,10,1,2,0.6329461
55,1.0,tanh,RMSprop,70,1,2,0.63282084
60,1.0,tanh,RMSprop,65,1,2,0.6324358
80,1.0,tanh,RMSprop,95,1,2,0.63156676
85,1.0,tanh,RMSprop,5,1,2,0.6307991
60,1.0,tanh,RMSprop,55,1,2,0.629569
95,1.0,tanh,RMSprop,20,1,2,0.6274856
10,1.0,tanh,RMSprop,40,1,2,0.6273691
30,1.0,tanh,RMSprop,25,1,2,0.6269668
25,1.0,tanh,RMSprop,15,1,2,0.62663174
65,1.0,tanh,RMSprop,55,1,2,0.6257014
85,1.0,tanh,RMSprop,10,1,2,0.624901
25,1.0,tanh,RMSprop,40,1,2,0.62378424
60,1.0,tanh,RMSprop,25,1,2,0.6213295
95,1.0,tanh,RMSprop,75,1,2,0.62106925
5,1.0,tanh,RMSprop,30,1,2,0.6198549
20,1.0,tanh,RMSprop,20,1,2,0.6196278
95,1.0,tanh,RMSprop,80,1,2,0.61869705
45,1.0,tanh,RMSprop,75,1,2,0.61750257
70,1.0,tanh,RMSprop,10,1,2,0.617221
35,1.0,tanh,RMSprop,10,1,2,0.6171402
45,1.0,tanh,RMSprop,5,1,2,0.61584634
90,1.0,tanh,RMSprop,40,1,2,0.6146561
5,1.0,tanh,RMSprop,50,1,2,0.6119836
70,1.0,tanh,RMSprop,5,1,2,0.6117204
80,1.0,tanh,RMSprop,5,1,2,0.61108494
75,1.0,tanh,RMSprop,55,1,2,0.60929257
35,1.0,tanh,RMSprop,35,1,2,0.60871726
35,1.0,tanh,RMSprop,20,1,2,0.6080019
65,1.0,tanh,RMSprop,15,1,2,0.6073731
25,1.0,tanh,RMSprop,80,1,2,0.604393
70,1.0,tanh,RMSprop,95,1,2,0.60432035
100,1.0,tanh,RMSprop,70,1,2,0.60399073
30,1.0,tanh,RMSprop,55,1,2,0.6034377
55,1.0,tanh,RMSprop,35,1,2,0.6028781
60,1.0,tanh,RMSprop,5,1,2,0.6022775
20,1.0,tanh,RMSprop,30,1,2,0.5990599
25,1.0,tanh,RMSprop,10,1,2,0.598356
55,1.0,tanh,RMSprop,75,1,2,0.5980114
60,1.0,tanh,RMSprop,80,1,2,0.5959934
10,1.0,tanh,RMSprop,35,1,2,0.59515375
40,1.0,tanh,RMSprop,90,1,2,0.59298116
85,1.0,tanh,RMSprop,45,1,2,0.5895069
5,1.0,tanh,RMSprop,5,1,2,0.58924544
55,1.0,tanh,RMSprop,20,1,2,0.5887065
50,1.0,tanh,RMSprop,65,1,2,0.58806235
95,1.0,tanh,RMSprop,10,1,2,0.5873017
5,1.0,tanh,RMSprop,60,1,2,0.584049
95,1.0,tanh,RMSprop,5,1,2,0.5839228
15,1.0,tanh,RMSprop,20,1,2,0.5838079
25,1.0,tanh,RMSprop,90,1,2,0.583774
85,1.0,tanh,RMSprop,85,1,2,0.58361894
70,1.0,tanh,RMSprop,20,1,2,0.5810043
55,1.0,tanh,RMSprop,15,1,2,0.57749707
65,1.0,tanh,RMSprop,5,1,2,0.5774178
60,1.0,tanh,RMSprop,60,1,2,0.57731074
45,1.0,tanh,RMSprop,80,1,2,0.5754627
45,1.0,tanh,RMSprop,55,1,2,0.5752881
40,1.0,tanh,RMSprop,55,1,2,0.57377625
25,1.0,tanh,RMSprop,75,1,2,0.5733743
70,1.0,tanh,RMSprop,70,1,2,0.5733507
30,1.0,tanh,RMSprop,80,1,2,0.5729964
90,1.0,tanh,RMSprop,45,1,2,0.57215565
25,1.0,tanh,RMSprop,30,1,2,0.5696884
65,1.0,tanh,RMSprop,10,1,2,0.5682534
20,1.0,tanh,RMSprop,40,1,2,0.56261235
70,1.0,tanh,RMSprop,55,1,2,0.561681
70,1.0,tanh,RMSprop,80,1,2,0.55912167
95,1.0,tanh,RMSprop,55,1,2,0.5572403
50,1.0,tanh,RMSprop,50,1,2,0.55689615
85,1.0,tanh,RMSprop,15,1,2,0.55353916
25,1.0,tanh,RMSprop,70,1,2,0.54883975
