epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
65,1.0,tanh,RMSprop,25,1,2,0.8175257
100,1.0,tanh,RMSprop,10,1,2,0.7845576
95,1.0,tanh,RMSprop,10,1,2,0.74389786
80,1.0,tanh,RMSprop,10,1,2,0.73862344
75,1.0,tanh,RMSprop,20,1,2,0.7277747
10,1.0,tanh,RMSprop,10,1,2,0.7117619
60,1.0,tanh,RMSprop,10,1,2,0.7108647
85,1.0,tanh,RMSprop,25,1,2,0.7088889
45,1.0,tanh,RMSprop,10,1,2,0.7072201
55,1.0,tanh,RMSprop,20,1,2,0.7063894
25,1.0,tanh,RMSprop,25,1,2,0.70537966
80,1.0,tanh,RMSprop,25,1,2,0.70272416
5,1.0,tanh,RMSprop,10,1,2,0.69844896
30,1.0,tanh,RMSprop,20,1,2,0.69456273
50,1.0,tanh,RMSprop,10,1,2,0.6910368
55,1.0,tanh,RMSprop,5,1,2,0.6905406
40,1.0,tanh,RMSprop,5,1,2,0.6872885
70,1.0,tanh,RMSprop,20,1,2,0.6852914
70,1.0,tanh,RMSprop,5,1,2,0.67714167
10,1.0,tanh,RMSprop,15,1,2,0.6757032
45,1.0,tanh,RMSprop,25,1,2,0.6736545
95,1.0,tanh,RMSprop,5,1,2,0.6727365
65,1.0,tanh,RMSprop,5,1,2,0.6715764
5,1.0,tanh,RMSprop,5,1,2,0.67115
15,1.0,tanh,RMSprop,15,1,2,0.6692669
40,1.0,tanh,RMSprop,10,1,2,0.6682952
35,1.0,tanh,RMSprop,5,1,2,0.66779816
50,1.0,tanh,RMSprop,5,1,2,0.66106176
45,1.0,tanh,RMSprop,5,1,2,0.66060776
15,1.0,tanh,RMSprop,20,1,2,0.6602091
100,1.0,tanh,RMSprop,5,1,2,0.65599453
70,1.0,tanh,RMSprop,15,1,2,0.6530866
80,1.0,tanh,RMSprop,5,1,2,0.65074223
30,1.0,tanh,RMSprop,50,1,2,0.6504904
15,1.0,tanh,RMSprop,30,1,2,0.6421517
40,1.0,tanh,RMSprop,15,1,2,0.63881
15,1.0,tanh,RMSprop,10,1,2,0.6341085
70,1.0,tanh,RMSprop,10,1,2,0.62782204
30,1.0,tanh,RMSprop,15,1,2,0.62598646
55,1.0,tanh,RMSprop,10,1,2,0.6252336
20,1.0,tanh,RMSprop,15,1,2,0.61466527
20,1.0,tanh,RMSprop,5,1,2,0.6138132
60,1.0,tanh,RMSprop,5,1,2,0.61077714
25,1.0,tanh,RMSprop,15,1,2,0.61076486
35,1.0,tanh,RMSprop,10,1,2,0.60863
90,1.0,tanh,RMSprop,30,1,2,0.60796016
50,1.0,tanh,RMSprop,80,1,2,0.6065464
60,1.0,tanh,RMSprop,15,1,2,0.6053967
10,1.0,tanh,RMSprop,25,1,2,0.6006379
20,1.0,tanh,RMSprop,20,1,2,0.59935117
25,1.0,tanh,RMSprop,10,1,2,0.5984183
75,1.0,tanh,RMSprop,10,1,2,0.59780157
50,1.0,tanh,RMSprop,15,1,2,0.59506154
75,1.0,tanh,RMSprop,25,1,2,0.5917898
10,1.0,tanh,RMSprop,20,1,2,0.5870824
65,1.0,tanh,RMSprop,55,1,2,0.5852439
10,1.0,tanh,RMSprop,5,1,2,0.5845443
25,1.0,tanh,RMSprop,35,1,2,0.5828286
40,1.0,tanh,RMSprop,35,1,2,0.5793363
45,1.0,tanh,RMSprop,95,1,2,0.57654524
100,1.0,tanh,RMSprop,40,1,2,0.57326186
90,1.0,tanh,RMSprop,10,1,2,0.5711364
10,1.0,tanh,RMSprop,30,1,2,0.56935275
35,1.0,tanh,RMSprop,15,1,2,0.5673361
25,1.0,tanh,RMSprop,5,1,2,0.5668296
90,1.0,tanh,RMSprop,5,1,2,0.5652474
55,1.0,tanh,RMSprop,95,1,2,0.5642684
5,1.0,tanh,RMSprop,35,1,2,0.56166524
50,1.0,tanh,RMSprop,100,1,2,0.56100994
80,1.0,tanh,RMSprop,20,1,2,0.5600017
45,1.0,tanh,RMSprop,15,1,2,0.55632496
25,1.0,tanh,RMSprop,20,1,2,0.5534315
20,1.0,tanh,RMSprop,10,1,2,0.5510979
5,1.0,tanh,RMSprop,15,1,2,0.54613066
85,1.0,tanh,RMSprop,75,1,2,0.5460389
30,1.0,tanh,RMSprop,90,1,2,0.5394475
30,1.0,tanh,RMSprop,5,1,2,0.5346443
60,1.0,tanh,RMSprop,85,1,2,0.5322779
55,1.0,tanh,RMSprop,15,1,2,0.5197611
75,1.0,tanh,RMSprop,30,1,2,0.5154699
35,1.0,tanh,RMSprop,95,1,2,0.50353104
90,1.0,tanh,RMSprop,90,1,2,0.49988186
55,1.0,tanh,RMSprop,25,1,2,0.49597704
85,1.0,tanh,RMSprop,15,1,2,0.48993102
20,1.0,tanh,RMSprop,25,1,2,0.48466524
30,1.0,tanh,RMSprop,100,1,2,0.48388082
30,1.0,tanh,RMSprop,10,1,2,0.47765023
5,1.0,tanh,RMSprop,100,1,2,0.47707823
50,1.0,tanh,RMSprop,65,1,2,0.47474343
95,1.0,tanh,RMSprop,30,1,2,0.47456717
65,1.0,tanh,RMSprop,10,1,2,0.46008882
5,1.0,tanh,RMSprop,75,1,2,0.45891425
85,1.0,tanh,RMSprop,10,1,2,0.45779628
55,1.0,tanh,RMSprop,45,1,2,0.45294607
95,1.0,tanh,RMSprop,15,1,2,0.45099074
95,1.0,tanh,RMSprop,25,1,2,0.44378763
85,1.0,tanh,RMSprop,5,1,2,0.43571714
10,1.0,tanh,RMSprop,90,1,2,0.4320727
35,1.0,tanh,RMSprop,35,1,2,0.4303441
40,1.0,tanh,RMSprop,20,1,2,0.42147553
100,1.0,tanh,RMSprop,60,1,2,0.421318
5,1.0,tanh,RMSprop,20,1,2,0.41789907
75,1.0,tanh,RMSprop,5,1,2,0.40802214
100,1.0,tanh,RMSprop,20,1,2,0.4012509
20,1.0,tanh,RMSprop,75,1,2,0.39873868
75,1.0,tanh,RMSprop,15,1,2,0.38910756
65,1.0,tanh,RMSprop,95,1,2,0.37666664
5,1.0,tanh,RMSprop,25,1,2,0.37602085
60,1.0,tanh,RMSprop,45,1,2,0.36526275
5,1.0,tanh,RMSprop,30,1,2,0.3601533
5,1.0,tanh,RMSprop,40,1,2,0.3527215
5,1.0,tanh,RMSprop,55,1,2,0.35203734
5,1.0,tanh,RMSprop,45,1,2,0.35154948
100,1.0,tanh,RMSprop,95,1,2,0.3503996
5,1.0,tanh,RMSprop,70,1,2,0.34991357
5,1.0,tanh,RMSprop,50,1,2,0.34805182
