epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
5,1.0,tanh,RMSprop,60,1,2,0.668667
5,1.0,tanh,RMSprop,85,1,2,0.6501203
50,1.0,tanh,RMSprop,5,1,2,0.64588696
30,1.0,tanh,RMSprop,5,1,2,0.6288931
5,1.0,tanh,RMSprop,65,1,2,0.6241382
65,1.0,tanh,RMSprop,5,1,2,0.60359055
5,1.0,tanh,RMSprop,10,1,2,0.597187
5,1.0,tanh,RMSprop,20,1,2,0.590492
15,1.0,tanh,RMSprop,5,1,2,0.5860347
55,1.0,tanh,RMSprop,5,1,2,0.5824665
10,1.0,tanh,RMSprop,15,1,2,0.5778888
85,1.0,tanh,RMSprop,5,1,2,0.55535084
15,1.0,tanh,RMSprop,35,1,2,0.5511794
5,1.0,tanh,RMSprop,80,1,2,0.54930747
20,1.0,tanh,RMSprop,10,1,2,0.5448882
80,1.0,tanh,RMSprop,5,1,2,0.53506464
10,1.0,tanh,RMSprop,5,1,2,0.5247773
50,1.0,tanh,RMSprop,10,1,2,0.5085164
60,1.0,tanh,RMSprop,5,1,2,0.5067665
5,1.0,tanh,RMSprop,45,1,2,0.50671643
5,1.0,tanh,RMSprop,50,1,2,0.49340072
5,1.0,tanh,RMSprop,25,1,2,0.48025596
5,1.0,tanh,RMSprop,30,1,2,0.47928134
5,1.0,tanh,RMSprop,55,1,2,0.47313097
75,1.0,tanh,RMSprop,25,1,2,0.45757967
10,1.0,tanh,RMSprop,10,1,2,0.4513405
5,1.0,tanh,RMSprop,5,1,2,0.4436179
5,1.0,tanh,RMSprop,35,1,2,0.4410391
85,1.0,tanh,RMSprop,90,1,2,0.43653837
85,1.0,tanh,RMSprop,35,1,2,0.4360116
65,1.0,tanh,RMSprop,10,1,2,0.43497527
75,1.0,tanh,RMSprop,5,1,2,0.43286622
45,1.0,tanh,RMSprop,5,1,2,0.42522895
35,1.0,tanh,RMSprop,50,1,2,0.41912585
45,1.0,tanh,RMSprop,10,1,2,0.418478
95,1.0,tanh,RMSprop,60,1,2,0.41644558
90,1.0,tanh,RMSprop,25,1,2,0.41213217
45,1.0,tanh,RMSprop,15,1,2,0.41149178
95,1.0,tanh,RMSprop,40,1,2,0.40793177
5,1.0,tanh,RMSprop,40,1,2,0.4033588
55,1.0,tanh,RMSprop,15,1,2,0.40242246
55,1.0,tanh,RMSprop,10,1,2,0.39704332
90,1.0,tanh,RMSprop,15,1,2,0.39437544
70,1.0,tanh,RMSprop,5,1,2,0.3865761
85,1.0,tanh,RMSprop,70,1,2,0.38239905
100,1.0,tanh,RMSprop,45,1,2,0.38234252
40,1.0,tanh,RMSprop,5,1,2,0.38141674
10,1.0,tanh,RMSprop,65,1,2,0.37982988
75,1.0,tanh,RMSprop,20,1,2,0.37210086
90,1.0,tanh,RMSprop,20,1,2,0.36564976
100,1.0,tanh,RMSprop,30,1,2,0.36029327
65,1.0,tanh,RMSprop,20,1,2,0.34662324
100,1.0,tanh,RMSprop,15,1,2,0.34458566
35,1.0,tanh,RMSprop,20,1,2,0.344501
25,1.0,tanh,RMSprop,10,1,2,0.34199595
95,1.0,tanh,RMSprop,10,1,2,0.34191063
25,1.0,tanh,RMSprop,70,1,2,0.34146854
80,1.0,tanh,RMSprop,95,1,2,0.33623657
55,1.0,tanh,RMSprop,30,1,2,0.33510926
10,1.0,tanh,RMSprop,45,1,2,0.33267573
50,1.0,tanh,RMSprop,50,1,2,0.33259216
25,1.0,tanh,RMSprop,35,1,2,0.32928365
70,1.0,tanh,RMSprop,15,1,2,0.3258893
10,1.0,tanh,RMSprop,70,1,2,0.32162473
60,1.0,tanh,RMSprop,20,1,2,0.32142776
25,1.0,tanh,RMSprop,20,1,2,0.32131425
95,1.0,tanh,RMSprop,5,1,2,0.32118535
85,1.0,tanh,RMSprop,10,1,2,0.3199025
95,1.0,tanh,RMSprop,20,1,2,0.31463405
10,1.0,tanh,RMSprop,75,1,2,0.3133582
25,1.0,tanh,RMSprop,80,1,2,0.31099626
55,1.0,tanh,RMSprop,20,1,2,0.30607158
85,1.0,tanh,RMSprop,80,1,2,0.3012854
100,1.0,tanh,RMSprop,10,1,2,0.2971331
10,1.0,tanh,RMSprop,90,1,2,0.2925101
10,1.0,tanh,RMSprop,95,1,2,0.28598428
65,1.0,tanh,RMSprop,100,1,2,0.28359333
20,1.0,tanh,RMSprop,15,1,2,0.27982533
45,1.0,tanh,RMSprop,95,1,2,0.27872217
70,1.0,tanh,RMSprop,80,1,2,0.27446184
100,1.0,tanh,RMSprop,50,1,2,0.2739219
5,1.0,tanh,RMSprop,15,1,2,0.2718045
45,1.0,tanh,RMSprop,35,1,2,0.2685188
