epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
80,1.0,tanh,RMSprop,5,1,2,0.6457329
60,1.0,tanh,RMSprop,15,1,2,0.5888485
25,1.0,tanh,RMSprop,85,1,2,0.57096726
15,1.0,tanh,RMSprop,10,1,2,0.5609049
35,1.0,tanh,RMSprop,60,1,2,0.55943424
90,1.0,tanh,RMSprop,20,1,2,0.5584918
50,1.0,tanh,RMSprop,20,1,2,0.5491262
25,1.0,tanh,RMSprop,35,1,2,0.5465362
50,1.0,tanh,RMSprop,30,1,2,0.5438932
65,1.0,tanh,RMSprop,95,1,2,0.541573
25,1.0,tanh,RMSprop,90,1,2,0.53932333
60,1.0,tanh,RMSprop,90,1,2,0.53872836
30,1.0,tanh,RMSprop,35,1,2,0.5312976
30,1.0,tanh,RMSprop,55,1,2,0.5304089
20,1.0,tanh,RMSprop,30,1,2,0.5222273
25,1.0,tanh,RMSprop,75,1,2,0.5169835
55,1.0,tanh,RMSprop,5,1,2,0.5166815
85,1.0,tanh,RMSprop,5,1,2,0.51657265
15,1.0,tanh,RMSprop,20,1,2,0.51240075
15,1.0,tanh,RMSprop,25,1,2,0.51057094
20,1.0,tanh,RMSprop,90,1,2,0.50961804
20,1.0,tanh,RMSprop,15,1,2,0.505653
55,1.0,tanh,RMSprop,85,1,2,0.50361
50,1.0,tanh,RMSprop,100,1,2,0.5023665
40,1.0,tanh,RMSprop,50,1,2,0.49946243
85,1.0,tanh,RMSprop,25,1,2,0.4971033
50,1.0,tanh,RMSprop,70,1,2,0.4964641
25,1.0,tanh,RMSprop,20,1,2,0.49601626
20,1.0,tanh,RMSprop,20,1,2,0.49062985
15,1.0,tanh,RMSprop,35,1,2,0.4894756
30,1.0,tanh,RMSprop,20,1,2,0.48567516
30,1.0,tanh,RMSprop,25,1,2,0.48241398
35,1.0,tanh,RMSprop,30,1,2,0.4815148
10,1.0,tanh,RMSprop,15,1,2,0.4803788
55,1.0,tanh,RMSprop,20,1,2,0.4796757
30,1.0,tanh,RMSprop,10,1,2,0.47896534
65,1.0,tanh,RMSprop,90,1,2,0.47704375
40,1.0,tanh,RMSprop,5,1,2,0.47608387
50,1.0,tanh,RMSprop,15,1,2,0.47528118
25,1.0,tanh,RMSprop,10,1,2,0.4748951
60,1.0,tanh,RMSprop,65,1,2,0.47376886
15,1.0,tanh,RMSprop,15,1,2,0.47363582
20,1.0,tanh,RMSprop,35,1,2,0.4727946
25,1.0,tanh,RMSprop,25,1,2,0.46609917
40,1.0,tanh,RMSprop,30,1,2,0.4653828
55,1.0,tanh,RMSprop,30,1,2,0.46341604
75,1.0,tanh,RMSprop,45,1,2,0.4590781
75,1.0,tanh,RMSprop,15,1,2,0.45870286
25,1.0,tanh,RMSprop,65,1,2,0.4586335
45,1.0,tanh,RMSprop,95,1,2,0.45699155
70,1.0,tanh,RMSprop,5,1,2,0.45557246
35,1.0,tanh,RMSprop,15,1,2,0.4555453
20,1.0,tanh,RMSprop,10,1,2,0.4529064
40,1.0,tanh,RMSprop,60,1,2,0.4514758
20,1.0,tanh,RMSprop,50,1,2,0.4510452
75,1.0,tanh,RMSprop,20,1,2,0.4500564
5,1.0,tanh,RMSprop,10,1,2,0.44936752
90,1.0,tanh,RMSprop,25,1,2,0.44802344
55,1.0,tanh,RMSprop,25,1,2,0.43837434
65,1.0,tanh,RMSprop,5,1,2,0.43571427
50,1.0,tanh,RMSprop,5,1,2,0.43507227
20,1.0,tanh,RMSprop,25,1,2,0.43404055
60,1.0,tanh,RMSprop,30,1,2,0.43402043
5,1.0,tanh,RMSprop,15,1,2,0.43345892
45,1.0,tanh,RMSprop,10,1,2,0.43051088
100,1.0,tanh,RMSprop,5,1,2,0.43043378
