epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
40,1.0,tanh,RMSprop,10,1,2,0.763954
95,1.0,tanh,RMSprop,10,1,2,0.6998285
75,1.0,tanh,RMSprop,15,1,2,0.6748004
75,1.0,tanh,RMSprop,5,1,2,0.6563839
50,1.0,tanh,RMSprop,5,1,2,0.6538902
45,1.0,tanh,RMSprop,10,1,2,0.6532918
55,1.0,tanh,RMSprop,5,1,2,0.6529595
25,1.0,tanh,RMSprop,15,1,2,0.64888275
20,1.0,tanh,RMSprop,10,1,2,0.6466778
35,1.0,tanh,RMSprop,5,1,2,0.64618325
20,1.0,tanh,RMSprop,5,1,2,0.6459444
65,1.0,tanh,RMSprop,5,1,2,0.64502347
30,1.0,tanh,RMSprop,10,1,2,0.64362985
85,1.0,tanh,RMSprop,10,1,2,0.633636
40,1.0,tanh,RMSprop,5,1,2,0.6272701
95,1.0,tanh,RMSprop,5,1,2,0.6266288
15,1.0,tanh,RMSprop,5,1,2,0.61975193
45,1.0,tanh,RMSprop,5,1,2,0.61854696
25,1.0,tanh,RMSprop,10,1,2,0.60888153
25,1.0,tanh,RMSprop,5,1,2,0.6053898
65,1.0,tanh,RMSprop,15,1,2,0.603707
5,1.0,tanh,RMSprop,10,1,2,0.5833418
50,1.0,tanh,RMSprop,20,1,2,0.57127553
55,1.0,tanh,RMSprop,10,1,2,0.5624334
70,1.0,tanh,RMSprop,10,1,2,0.55344564
100,1.0,tanh,RMSprop,30,1,2,0.5491437
50,1.0,tanh,RMSprop,10,1,2,0.53585786
10,1.0,tanh,RMSprop,15,1,2,0.50288343
10,1.0,tanh,RMSprop,5,1,2,0.5022316
100,1.0,tanh,RMSprop,10,1,2,0.4925221
15,1.0,tanh,RMSprop,10,1,2,0.48776963
5,1.0,tanh,RMSprop,5,1,2,0.46866682
50,1.0,tanh,RMSprop,85,1,2,0.46341535
60,1.0,tanh,RMSprop,5,1,2,0.41551563
10,1.0,tanh,RMSprop,10,1,2,0.4118718
70,1.0,tanh,RMSprop,55,1,2,0.40006462
95,1.0,tanh,RMSprop,15,1,2,0.38900483
85,1.0,tanh,RMSprop,5,1,2,0.38047943
50,1.0,tanh,RMSprop,90,1,2,0.3745214
65,1.0,tanh,RMSprop,80,1,2,0.3460611
35,1.0,tanh,RMSprop,10,1,2,0.33686286
95,1.0,tanh,RMSprop,70,1,2,0.3110685
85,1.0,tanh,RMSprop,55,1,2,0.2918578
75,1.0,tanh,RMSprop,85,1,2,0.2741768
100,1.0,tanh,RMSprop,85,1,2,0.27213255
90,1.0,tanh,RMSprop,5,1,2,0.26942796
55,1.0,tanh,RMSprop,90,1,2,0.2659249
80,1.0,tanh,RMSprop,10,1,2,0.23291385
75,1.0,tanh,RMSprop,60,1,2,0.20647183
50,1.0,tanh,RMSprop,95,1,2,0.1915625
65,1.0,tanh,RMSprop,100,1,2,0.18776838
60,1.0,tanh,RMSprop,85,1,2,0.18425873
85,1.0,tanh,RMSprop,60,1,2,0.1828952
60,1.0,tanh,RMSprop,90,1,2,0.17530717
85,1.0,tanh,RMSprop,70,1,2,0.17004001
65,1.0,tanh,RMSprop,70,1,2,0.15971313
70,1.0,tanh,RMSprop,60,1,2,0.1495133
60,1.0,tanh,RMSprop,95,1,2,0.14469704
15,1.0,tanh,RMSprop,15,1,2,0.14351656
65,1.0,tanh,RMSprop,20,1,2,0.12901096
50,1.0,tanh,RMSprop,80,1,2,0.1193383
85,1.0,tanh,RMSprop,100,1,2,0.117251046
50,1.0,tanh,RMSprop,100,1,2,0.10127905
80,1.0,tanh,RMSprop,70,1,2,0.09151244
80,1.0,tanh,RMSprop,20,1,2,0.090100735
95,1.0,tanh,RMSprop,60,1,2,0.086712405
45,1.0,tanh,RMSprop,90,1,2,0.08419544
65,1.0,tanh,RMSprop,65,1,2,0.08296548
45,1.0,tanh,RMSprop,85,1,2,0.06875835
70,1.0,tanh,RMSprop,65,1,2,0.052501254
85,1.0,tanh,RMSprop,50,1,2,0.04855376
95,1.0,tanh,RMSprop,50,1,2,0.046288956
55,1.0,tanh,RMSprop,95,1,2,0.043623433
55,1.0,tanh,RMSprop,70,1,2,0.042241726
60,1.0,tanh,RMSprop,75,1,2,0.03989869
70,1.0,tanh,RMSprop,15,1,2,0.037149813
100,1.0,tanh,RMSprop,75,1,2,0.030132424
90,1.0,tanh,RMSprop,25,1,2,0.021208249
75,1.0,tanh,RMSprop,75,1,2,0.02055529
90,1.0,tanh,RMSprop,80,1,2,0.018269882
75,1.0,tanh,RMSprop,65,1,2,0.008707401
55,1.0,tanh,RMSprop,30,1,2,-0.65121156
35,1.0,tanh,RMSprop,20,1,2,-0.59922814
50,1.0,tanh,RMSprop,25,1,2,-0.5944049
45,1.0,tanh,RMSprop,20,1,2,-0.59226346
40,1.0,tanh,RMSprop,15,1,2,-0.5861859
75,1.0,tanh,RMSprop,25,1,2,-0.5674306
95,1.0,tanh,RMSprop,85,1,2,-0.5655747
70,1.0,tanh,RMSprop,25,1,2,-0.5593703
60,1.0,tanh,RMSprop,25,1,2,-0.55460244
20,1.0,tanh,RMSprop,20,1,2,-0.54323184
40,1.0,tanh,RMSprop,25,1,2,-0.53719246
80,1.0,tanh,RMSprop,95,1,2,-0.5277543
90,1.0,tanh,RMSprop,75,1,2,-0.51608014
