epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
85,1.0,tanh,RMSprop,10,1,2,0.53556126
60,1.0,tanh,RMSprop,20,1,2,0.48158333
80,1.0,tanh,RMSprop,35,1,2,0.40837792
45,1.0,tanh,RMSprop,10,1,2,0.40072417
100,1.0,tanh,RMSprop,10,1,2,0.36790666
85,1.0,tanh,RMSprop,20,1,2,0.36125875
55,1.0,tanh,RMSprop,5,1,2,0.35646594
30,1.0,tanh,RMSprop,20,1,2,0.35214952
45,1.0,tanh,RMSprop,5,1,2,0.34780434
75,1.0,tanh,RMSprop,20,1,2,0.3452796
30,1.0,tanh,RMSprop,85,1,2,0.34271857
25,1.0,tanh,RMSprop,10,1,2,0.33954138
60,1.0,tanh,RMSprop,85,1,2,0.3329506
75,1.0,tanh,RMSprop,5,1,2,0.3282541
60,1.0,tanh,RMSprop,10,1,2,0.32660985
80,1.0,tanh,RMSprop,5,1,2,0.3228391
70,1.0,tanh,RMSprop,10,1,2,0.32164904
50,1.0,tanh,RMSprop,35,1,2,0.320539
20,1.0,tanh,RMSprop,5,1,2,0.31968042
15,1.0,tanh,RMSprop,10,1,2,0.3144352
35,1.0,tanh,RMSprop,5,1,2,0.30474544
50,1.0,tanh,RMSprop,10,1,2,0.30409405
15,1.0,tanh,RMSprop,5,1,2,0.30350375
35,1.0,tanh,RMSprop,15,1,2,0.3032432
10,1.0,tanh,RMSprop,5,1,2,0.30141863
70,1.0,tanh,RMSprop,5,1,2,0.30097815
90,1.0,tanh,RMSprop,20,1,2,0.29448342
95,1.0,tanh,RMSprop,10,1,2,0.29436585
75,1.0,tanh,RMSprop,55,1,2,0.29183942
90,1.0,tanh,RMSprop,15,1,2,0.28918368
25,1.0,tanh,RMSprop,5,1,2,0.28890127
85,1.0,tanh,RMSprop,45,1,2,0.28636688
20,1.0,tanh,RMSprop,40,1,2,0.2842775
30,1.0,tanh,RMSprop,100,1,2,0.2768637
40,1.0,tanh,RMSprop,5,1,2,0.27648136
20,1.0,tanh,RMSprop,20,1,2,0.27606067
45,1.0,tanh,RMSprop,40,1,2,0.27121326
80,1.0,tanh,RMSprop,10,1,2,0.25872684
70,1.0,tanh,RMSprop,80,1,2,0.25796515
100,1.0,tanh,RMSprop,25,1,2,0.24826342
10,1.0,tanh,RMSprop,10,1,2,0.24813268
25,1.0,tanh,RMSprop,15,1,2,0.2467958
70,1.0,tanh,RMSprop,15,1,2,0.24637341
5,1.0,tanh,RMSprop,20,1,2,0.24627124
45,1.0,tanh,RMSprop,65,1,2,0.24283276
70,1.0,tanh,RMSprop,25,1,2,0.24167444
55,1.0,tanh,RMSprop,10,1,2,0.23937416
40,1.0,tanh,RMSprop,10,1,2,0.23779708
30,1.0,tanh,RMSprop,25,1,2,0.23754276
55,1.0,tanh,RMSprop,90,1,2,0.23610805
25,1.0,tanh,RMSprop,20,1,2,0.23455787
45,1.0,tanh,RMSprop,20,1,2,0.23119156
20,1.0,tanh,RMSprop,15,1,2,0.22864015
40,1.0,tanh,RMSprop,55,1,2,0.22834018
90,1.0,tanh,RMSprop,60,1,2,0.2264353
60,1.0,tanh,RMSprop,5,1,2,0.22541009
55,1.0,tanh,RMSprop,15,1,2,0.22043154
90,1.0,tanh,RMSprop,10,1,2,0.21902731
90,1.0,tanh,RMSprop,75,1,2,0.21487467
85,1.0,tanh,RMSprop,5,1,2,0.20996203
50,1.0,tanh,RMSprop,95,1,2,0.2092768
85,1.0,tanh,RMSprop,60,1,2,0.20813729
70,1.0,tanh,RMSprop,30,1,2,0.2062964
95,1.0,tanh,RMSprop,90,1,2,0.20622183
60,1.0,tanh,RMSprop,95,1,2,0.20370224
30,1.0,tanh,RMSprop,5,1,2,0.20319568
5,1.0,tanh,RMSprop,25,1,2,0.19973122
90,1.0,tanh,RMSprop,5,1,2,0.19215222
50,1.0,tanh,RMSprop,5,1,2,0.19183788
65,1.0,tanh,RMSprop,80,1,2,0.19059308
35,1.0,tanh,RMSprop,40,1,2,0.18897264
60,1.0,tanh,RMSprop,50,1,2,0.18520154
5,1.0,tanh,RMSprop,15,1,2,0.18505856
75,1.0,tanh,RMSprop,10,1,2,0.18345247
30,1.0,tanh,RMSprop,15,1,2,0.1813463
65,1.0,tanh,RMSprop,95,1,2,0.1762669
50,1.0,tanh,RMSprop,15,1,2,0.17518815
65,1.0,tanh,RMSprop,25,1,2,0.1700717
20,1.0,tanh,RMSprop,35,1,2,0.16876529
80,1.0,tanh,RMSprop,90,1,2,0.16432008
40,1.0,tanh,RMSprop,80,1,2,0.16229941
15,1.0,tanh,RMSprop,20,1,2,0.16163385
45,1.0,tanh,RMSprop,30,1,2,0.16162804
80,1.0,tanh,RMSprop,20,1,2,0.16150849
10,1.0,tanh,RMSprop,20,1,2,0.15955782
35,1.0,tanh,RMSprop,45,1,2,0.15925103
75,1.0,tanh,RMSprop,95,1,2,0.1564702
30,1.0,tanh,RMSprop,40,1,2,0.15224253
30,1.0,tanh,RMSprop,10,1,2,0.14739403
90,1.0,tanh,RMSprop,95,1,2,0.14475888
20,1.0,tanh,RMSprop,30,1,2,0.14428526
95,1.0,tanh,RMSprop,20,1,2,0.14179409
30,1.0,tanh,RMSprop,30,1,2,0.14017399
30,1.0,tanh,RMSprop,35,1,2,0.13940871
95,1.0,tanh,RMSprop,65,1,2,0.13685976
25,1.0,tanh,RMSprop,90,1,2,0.13303363
95,1.0,tanh,RMSprop,5,1,2,0.13223925
50,1.0,tanh,RMSprop,20,1,2,0.13204661
10,1.0,tanh,RMSprop,25,1,2,0.1318465
5,1.0,tanh,RMSprop,5,1,2,0.13168515
90,1.0,tanh,RMSprop,100,1,2,0.12528236
50,1.0,tanh,RMSprop,55,1,2,0.12324724
100,1.0,tanh,RMSprop,50,1,2,0.12219598
15,1.0,tanh,RMSprop,30,1,2,0.11810542
70,1.0,tanh,RMSprop,90,1,2,0.1179932
40,1.0,tanh,RMSprop,95,1,2,0.11643998
65,1.0,tanh,RMSprop,85,1,2,0.115256086
90,1.0,tanh,RMSprop,70,1,2,0.114037514
65,1.0,tanh,RMSprop,20,1,2,0.11317881
65,1.0,tanh,RMSprop,50,1,2,0.11026575
35,1.0,tanh,RMSprop,90,1,2,0.10956353
5,1.0,tanh,RMSprop,10,1,2,0.108438544
20,1.0,tanh,RMSprop,25,1,2,0.10843653
80,1.0,tanh,RMSprop,100,1,2,0.10764377
70,1.0,tanh,RMSprop,45,1,2,0.104476884
70,1.0,tanh,RMSprop,60,1,2,0.10307879
15,1.0,tanh,RMSprop,85,1,2,0.098644495
65,1.0,tanh,RMSprop,30,1,2,0.097991265
15,1.0,tanh,RMSprop,40,1,2,0.09766289
55,1.0,tanh,RMSprop,85,1,2,0.09755679
35,1.0,tanh,RMSprop,25,1,2,0.09478862
75,1.0,tanh,RMSprop,90,1,2,0.09255935
15,1.0,tanh,RMSprop,80,1,2,0.09232805
60,1.0,tanh,RMSprop,15,1,2,0.09042759
95,1.0,tanh,RMSprop,25,1,2,0.0901103
95,1.0,tanh,RMSprop,85,1,2,0.08908381
10,1.0,tanh,RMSprop,40,1,2,0.08844502
30,1.0,tanh,RMSprop,65,1,2,0.087009214
60,1.0,tanh,RMSprop,40,1,2,0.08333534
65,1.0,tanh,RMSprop,15,1,2,0.08313026
15,1.0,tanh,RMSprop,90,1,2,0.082191445
95,1.0,tanh,RMSprop,70,1,2,0.08091021
40,1.0,tanh,RMSprop,65,1,2,0.08054543
10,1.0,tanh,RMSprop,15,1,2,0.08051105
40,1.0,tanh,RMSprop,60,1,2,0.080138825
90,1.0,tanh,RMSprop,65,1,2,0.07958993
45,1.0,tanh,RMSprop,95,1,2,0.077579685
35,1.0,tanh,RMSprop,50,1,2,0.077260345
80,1.0,tanh,RMSprop,50,1,2,0.076978974
45,1.0,tanh,RMSprop,90,1,2,0.07572232
85,1.0,tanh,RMSprop,30,1,2,0.072759755
20,1.0,tanh,RMSprop,90,1,2,0.072351076
40,1.0,tanh,RMSprop,75,1,2,0.071879454
55,1.0,tanh,RMSprop,60,1,2,0.070800655
25,1.0,tanh,RMSprop,85,1,2,0.0695293
60,1.0,tanh,RMSprop,70,1,2,0.068886004
80,1.0,tanh,RMSprop,65,1,2,0.06600529
15,1.0,tanh,RMSprop,15,1,2,0.06383443
60,1.0,tanh,RMSprop,100,1,2,0.062028058
60,1.0,tanh,RMSprop,90,1,2,0.06201896
65,1.0,tanh,RMSprop,5,1,2,0.059182692
50,1.0,tanh,RMSprop,75,1,2,0.05774258
50,1.0,tanh,RMSprop,65,1,2,0.057241503
75,1.0,tanh,RMSprop,50,1,2,0.056405902
80,1.0,tanh,RMSprop,55,1,2,0.055228207
