epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
35,1.0,tanh,RMSprop,10,1,2,0.7341719
90,1.0,tanh,RMSprop,90,1,2,0.71613884
65,1.0,tanh,RMSprop,50,1,2,0.6370284
50,1.0,tanh,RMSprop,70,1,2,0.6288643
65,1.0,tanh,RMSprop,85,1,2,0.6271392
80,1.0,tanh,RMSprop,90,1,2,0.6229206
30,1.0,tanh,RMSprop,10,1,2,0.6223331
35,1.0,tanh,RMSprop,30,1,2,0.61902905
75,1.0,tanh,RMSprop,25,1,2,0.61860037
65,1.0,tanh,RMSprop,15,1,2,0.6179159
30,1.0,tanh,RMSprop,30,1,2,0.6177394
35,1.0,tanh,RMSprop,25,1,2,0.6168164
20,1.0,tanh,RMSprop,35,1,2,0.615166
45,1.0,tanh,RMSprop,45,1,2,0.6150897
55,1.0,tanh,RMSprop,35,1,2,0.61439276
30,1.0,tanh,RMSprop,20,1,2,0.61393106
15,1.0,tanh,RMSprop,25,1,2,0.6136452
30,1.0,tanh,RMSprop,25,1,2,0.6136135
50,1.0,tanh,RMSprop,10,1,2,0.6113748
55,1.0,tanh,RMSprop,20,1,2,0.61015457
50,1.0,tanh,RMSprop,45,1,2,0.60916734
55,1.0,tanh,RMSprop,60,1,2,0.6084977
50,1.0,tanh,RMSprop,15,1,2,0.60737294
35,1.0,tanh,RMSprop,15,1,2,0.60049576
50,1.0,tanh,RMSprop,80,1,2,0.6000609
90,1.0,tanh,RMSprop,15,1,2,0.59991276
40,1.0,tanh,RMSprop,45,1,2,0.5982456
45,1.0,tanh,RMSprop,30,1,2,0.5975376
70,1.0,tanh,RMSprop,5,1,2,0.59234124
55,1.0,tanh,RMSprop,5,1,2,0.5913941
35,1.0,tanh,RMSprop,20,1,2,0.59112227
15,1.0,tanh,RMSprop,35,1,2,0.5910252
15,1.0,tanh,RMSprop,30,1,2,0.5902923
25,1.0,tanh,RMSprop,60,1,2,0.58822626
40,1.0,tanh,RMSprop,25,1,2,0.5874843
30,1.0,tanh,RMSprop,55,1,2,0.58693755
40,1.0,tanh,RMSprop,5,1,2,0.58433414
25,1.0,tanh,RMSprop,100,1,2,0.5825095
25,1.0,tanh,RMSprop,95,1,2,0.5823277
55,1.0,tanh,RMSprop,55,1,2,0.5804278
5,1.0,tanh,RMSprop,85,1,2,0.5798925
75,1.0,tanh,RMSprop,15,1,2,0.57796085
10,1.0,tanh,RMSprop,55,1,2,0.5776998
25,1.0,tanh,RMSprop,10,1,2,0.57613885
25,1.0,tanh,RMSprop,35,1,2,0.5758887
20,1.0,tanh,RMSprop,55,1,2,0.57565635
40,1.0,tanh,RMSprop,15,1,2,0.5713781
35,1.0,tanh,RMSprop,80,1,2,0.56950474
25,1.0,tanh,RMSprop,40,1,2,0.56941146
85,1.0,tanh,RMSprop,85,1,2,0.5683305
30,1.0,tanh,RMSprop,40,1,2,0.56833
65,1.0,tanh,RMSprop,5,1,2,0.5672109
95,1.0,tanh,RMSprop,20,1,2,0.5669975
15,1.0,tanh,RMSprop,5,1,2,0.56491745
15,1.0,tanh,RMSprop,70,1,2,0.56454045
45,1.0,tanh,RMSprop,55,1,2,0.5643624
55,1.0,tanh,RMSprop,70,1,2,0.56275755
25,1.0,tanh,RMSprop,20,1,2,0.56252754
70,1.0,tanh,RMSprop,65,1,2,0.56132865
100,1.0,tanh,RMSprop,30,1,2,0.5608262
20,1.0,tanh,RMSprop,85,1,2,0.5606586
20,1.0,tanh,RMSprop,50,1,2,0.55990803
10,1.0,tanh,RMSprop,100,1,2,0.5578053
35,1.0,tanh,RMSprop,50,1,2,0.5576771
35,1.0,tanh,RMSprop,65,1,2,0.5575738
15,1.0,tanh,RMSprop,100,1,2,0.55718887
20,1.0,tanh,RMSprop,20,1,2,0.55676705
40,1.0,tanh,RMSprop,70,1,2,0.5564048
20,1.0,tanh,RMSprop,25,1,2,0.5563553
70,1.0,tanh,RMSprop,15,1,2,0.5543397
30,1.0,tanh,RMSprop,75,1,2,0.5540791
10,1.0,tanh,RMSprop,20,1,2,0.5532938
25,1.0,tanh,RMSprop,25,1,2,0.55040574
20,1.0,tanh,RMSprop,95,1,2,0.54948413
20,1.0,tanh,RMSprop,15,1,2,0.5468886
25,1.0,tanh,RMSprop,80,1,2,0.5456036
10,1.0,tanh,RMSprop,90,1,2,0.54445267
40,1.0,tanh,RMSprop,40,1,2,0.5444072
80,1.0,tanh,RMSprop,40,1,2,0.5440088
40,1.0,tanh,RMSprop,85,1,2,0.5424907
60,1.0,tanh,RMSprop,20,1,2,0.540897
15,1.0,tanh,RMSprop,95,1,2,0.5407014
25,1.0,tanh,RMSprop,5,1,2,0.5384627
15,1.0,tanh,RMSprop,45,1,2,0.5378326
45,1.0,tanh,RMSprop,25,1,2,0.5370008
10,1.0,tanh,RMSprop,85,1,2,0.53649575
20,1.0,tanh,RMSprop,100,1,2,0.5358408
40,1.0,tanh,RMSprop,10,1,2,0.5341404
50,1.0,tanh,RMSprop,55,1,2,0.5338631
10,1.0,tanh,RMSprop,30,1,2,0.5323407
45,1.0,tanh,RMSprop,20,1,2,0.53206253
15,1.0,tanh,RMSprop,60,1,2,0.5318827
10,1.0,tanh,RMSprop,75,1,2,0.5299588
30,1.0,tanh,RMSprop,60,1,2,0.52962494
35,1.0,tanh,RMSprop,60,1,2,0.52705896
20,1.0,tanh,RMSprop,80,1,2,0.52692086
45,1.0,tanh,RMSprop,10,1,2,0.52666825
15,1.0,tanh,RMSprop,65,1,2,0.525914
25,1.0,tanh,RMSprop,85,1,2,0.5249967
100,1.0,tanh,RMSprop,35,1,2,0.51885414
15,1.0,tanh,RMSprop,90,1,2,0.5182362
55,1.0,tanh,RMSprop,40,1,2,0.5182096
50,1.0,tanh,RMSprop,65,1,2,0.5179548
