epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
5,1.0,tanh,RMSprop,5,1,2,0.6179907
5,1.0,tanh,RMSprop,15,1,2,0.3803049
5,1.0,tanh,RMSprop,20,1,2,0.3344607
10,1.0,tanh,RMSprop,20,1,2,0.15084565
5,1.0,tanh,RMSprop,25,1,2,0.0940003
5,1.0,tanh,RMSprop,30,1,2,0.08752768
5,1.0,tanh,RMSprop,35,1,2,0.08730578
5,1.0,tanh,RMSprop,40,1,2,0.0857713
5,1.0,tanh,RMSprop,45,1,2,0.08556638
5,1.0,tanh,RMSprop,50,1,2,0.08450694
5,1.0,tanh,RMSprop,55,1,2,0.08363313
5,1.0,tanh,RMSprop,60,1,2,0.08308234
5,1.0,tanh,RMSprop,65,1,2,0.08234711
5,1.0,tanh,RMSprop,80,1,2,0.08219383
5,1.0,tanh,RMSprop,70,1,2,0.08214177
5,1.0,tanh,RMSprop,75,1,2,0.082065895
5,1.0,tanh,RMSprop,85,1,2,0.08101852
5,1.0,tanh,RMSprop,90,1,2,0.08098708
5,1.0,tanh,RMSprop,100,1,2,0.080877244
5,1.0,tanh,RMSprop,95,1,2,0.08033473
10,1.0,tanh,RMSprop,25,1,2,0.07740192
10,1.0,tanh,RMSprop,30,1,2,0.07699679
10,1.0,tanh,RMSprop,35,1,2,0.07507974
10,1.0,tanh,RMSprop,40,1,2,0.074388415
10,1.0,tanh,RMSprop,50,1,2,0.07430528
10,1.0,tanh,RMSprop,45,1,2,0.07380184
10,1.0,tanh,RMSprop,55,1,2,0.072890855
15,1.0,tanh,RMSprop,25,1,2,0.07258214
10,1.0,tanh,RMSprop,60,1,2,0.07249947
10,1.0,tanh,RMSprop,65,1,2,0.07240606
10,1.0,tanh,RMSprop,75,1,2,0.0716971
10,1.0,tanh,RMSprop,70,1,2,0.07161207
10,1.0,tanh,RMSprop,80,1,2,0.0714326
15,1.0,tanh,RMSprop,30,1,2,0.071402624
10,1.0,tanh,RMSprop,85,1,2,0.07137236
20,1.0,tanh,RMSprop,20,1,2,0.0711817
10,1.0,tanh,RMSprop,90,1,2,0.07091132
10,1.0,tanh,RMSprop,100,1,2,0.07086865
15,1.0,tanh,RMSprop,35,1,2,0.07078481
10,1.0,tanh,RMSprop,95,1,2,0.07052746
15,1.0,tanh,RMSprop,40,1,2,0.07015903
15,1.0,tanh,RMSprop,45,1,2,0.06971946
15,1.0,tanh,RMSprop,50,1,2,0.06925997
15,1.0,tanh,RMSprop,55,1,2,0.068948016
20,1.0,tanh,RMSprop,30,1,2,0.06872347
15,1.0,tanh,RMSprop,60,1,2,0.06869313
15,1.0,tanh,RMSprop,75,1,2,0.06827832
15,1.0,tanh,RMSprop,65,1,2,0.06803816
20,1.0,tanh,RMSprop,40,1,2,0.06799988
15,1.0,tanh,RMSprop,70,1,2,0.06799928
15,1.0,tanh,RMSprop,80,1,2,0.06794145
20,1.0,tanh,RMSprop,35,1,2,0.06773173
15,1.0,tanh,RMSprop,85,1,2,0.067524925
15,1.0,tanh,RMSprop,100,1,2,0.067407496
15,1.0,tanh,RMSprop,90,1,2,0.06736064
15,1.0,tanh,RMSprop,95,1,2,0.06734877
20,1.0,tanh,RMSprop,45,1,2,0.06707585
20,1.0,tanh,RMSprop,50,1,2,0.06698077
25,1.0,tanh,RMSprop,30,1,2,0.066503935
20,1.0,tanh,RMSprop,55,1,2,0.06642625
20,1.0,tanh,RMSprop,60,1,2,0.06618368
30,1.0,tanh,RMSprop,25,1,2,0.06605126
25,1.0,tanh,RMSprop,35,1,2,0.066024624
20,1.0,tanh,RMSprop,90,1,2,0.06567503
30,1.0,tanh,RMSprop,30,1,2,0.065644935
20,1.0,tanh,RMSprop,70,1,2,0.06562821
20,1.0,tanh,RMSprop,65,1,2,0.06554533
25,1.0,tanh,RMSprop,40,1,2,0.0654086
20,1.0,tanh,RMSprop,80,1,2,0.06536404
20,1.0,tanh,RMSprop,75,1,2,0.065348186
20,1.0,tanh,RMSprop,85,1,2,0.06514319
20,1.0,tanh,RMSprop,100,1,2,0.064824216
25,1.0,tanh,RMSprop,45,1,2,0.06476406
20,1.0,tanh,RMSprop,95,1,2,0.06474104
25,1.0,tanh,RMSprop,50,1,2,0.0645102
30,1.0,tanh,RMSprop,35,1,2,0.064506024
40,1.0,tanh,RMSprop,20,1,2,0.064464174
25,1.0,tanh,RMSprop,55,1,2,0.06441245
35,1.0,tanh,RMSprop,25,1,2,0.0643413
35,1.0,tanh,RMSprop,30,1,2,0.06416699
25,1.0,tanh,RMSprop,60,1,2,0.06393258
40,1.0,tanh,RMSprop,25,1,2,0.06387864
30,1.0,tanh,RMSprop,40,1,2,0.0637738
25,1.0,tanh,RMSprop,65,1,2,0.06352046
25,1.0,tanh,RMSprop,70,1,2,0.06350028
25,1.0,tanh,RMSprop,75,1,2,0.063456215
30,1.0,tanh,RMSprop,45,1,2,0.06336125
25,1.0,tanh,RMSprop,80,1,2,0.06320676
25,1.0,tanh,RMSprop,85,1,2,0.063127995
30,1.0,tanh,RMSprop,50,1,2,0.06305082
35,1.0,tanh,RMSprop,35,1,2,0.063044526
25,1.0,tanh,RMSprop,90,1,2,0.06280266
25,1.0,tanh,RMSprop,95,1,2,0.06276263
30,1.0,tanh,RMSprop,55,1,2,0.06270416
40,1.0,tanh,RMSprop,30,1,2,0.062613115
45,1.0,tanh,RMSprop,25,1,2,0.062585436
35,1.0,tanh,RMSprop,40,1,2,0.062483937
25,1.0,tanh,RMSprop,100,1,2,0.062436543
30,1.0,tanh,RMSprop,60,1,2,0.06229801
40,1.0,tanh,RMSprop,35,1,2,0.062286165
35,1.0,tanh,RMSprop,45,1,2,0.06215408
30,1.0,tanh,RMSprop,65,1,2,0.062128995
30,1.0,tanh,RMSprop,70,1,2,0.06206496
35,1.0,tanh,RMSprop,50,1,2,0.061981585
100,1.0,tanh,RMSprop,40,1,2,0.061980586
100,1.0,tanh,RMSprop,65,1,2,0.061977766
100,1.0,tanh,RMSprop,35,1,2,0.061967432
100,1.0,tanh,RMSprop,45,1,2,0.061962564
50,1.0,tanh,RMSprop,25,1,2,0.06195612
30,1.0,tanh,RMSprop,80,1,2,0.06194967
100,1.0,tanh,RMSprop,55,1,2,0.061947692
95,1.0,tanh,RMSprop,60,1,2,0.061946522
65,1.0,tanh,RMSprop,35,1,2,0.061942395
95,1.0,tanh,RMSprop,45,1,2,0.061939474
30,1.0,tanh,RMSprop,75,1,2,0.06193843
45,1.0,tanh,RMSprop,30,1,2,0.061935246
95,1.0,tanh,RMSprop,50,1,2,0.061933525
100,1.0,tanh,RMSprop,30,1,2,0.061922487
95,1.0,tanh,RMSprop,35,1,2,0.06191948
95,1.0,tanh,RMSprop,25,1,2,0.061916605
75,1.0,tanh,RMSprop,50,1,2,0.06191619
100,1.0,tanh,RMSprop,50,1,2,0.06191412
95,1.0,tanh,RMSprop,40,1,2,0.061913725
85,1.0,tanh,RMSprop,30,1,2,0.061911795
85,1.0,tanh,RMSprop,40,1,2,0.06191135
90,1.0,tanh,RMSprop,25,1,2,0.06190617
90,1.0,tanh,RMSprop,40,1,2,0.061906006
95,1.0,tanh,RMSprop,30,1,2,0.061897077
90,1.0,tanh,RMSprop,35,1,2,0.061887633
60,1.0,tanh,RMSprop,45,1,2,0.06188447
80,1.0,tanh,RMSprop,40,1,2,0.061879586
90,1.0,tanh,RMSprop,30,1,2,0.06187942
55,1.0,tanh,RMSprop,40,1,2,0.061878346
90,1.0,tanh,RMSprop,45,1,2,0.061877534
80,1.0,tanh,RMSprop,45,1,2,0.06186472
80,1.0,tanh,RMSprop,35,1,2,0.061862465
80,1.0,tanh,RMSprop,25,1,2,0.061862323
85,1.0,tanh,RMSprop,35,1,2,0.06185863
85,1.0,tanh,RMSprop,45,1,2,0.061849643
80,1.0,tanh,RMSprop,30,1,2,0.061849385
90,1.0,tanh,RMSprop,50,1,2,0.0618478
95,1.0,tanh,RMSprop,55,1,2,0.06184285
85,1.0,tanh,RMSprop,55,1,2,0.061841864
75,1.0,tanh,RMSprop,40,1,2,0.061841805
70,1.0,tanh,RMSprop,40,1,2,0.061841223
75,1.0,tanh,RMSprop,35,1,2,0.061837737
70,1.0,tanh,RMSprop,30,1,2,0.06183694
70,1.0,tanh,RMSprop,25,1,2,0.061835557
65,1.0,tanh,RMSprop,30,1,2,0.061833434
75,1.0,tanh,RMSprop,30,1,2,0.061829507
40,1.0,tanh,RMSprop,40,1,2,0.061827447
90,1.0,tanh,RMSprop,55,1,2,0.061826378
55,1.0,tanh,RMSprop,35,1,2,0.06182461
70,1.0,tanh,RMSprop,55,1,2,0.06182421
65,1.0,tanh,RMSprop,25,1,2,0.061824165
65,1.0,tanh,RMSprop,40,1,2,0.061824154
75,1.0,tanh,RMSprop,45,1,2,0.06182354
70,1.0,tanh,RMSprop,35,1,2,0.06182208
90,1.0,tanh,RMSprop,60,1,2,0.06181897
80,1.0,tanh,RMSprop,55,1,2,0.061817367
35,1.0,tanh,RMSprop,55,1,2,0.061815914
80,1.0,tanh,RMSprop,50,1,2,0.061813343
70,1.0,tanh,RMSprop,45,1,2,0.06181316
85,1.0,tanh,RMSprop,50,1,2,0.06181286
65,1.0,tanh,RMSprop,50,1,2,0.061811663
55,1.0,tanh,RMSprop,25,1,2,0.061811376
60,1.0,tanh,RMSprop,35,1,2,0.061809767
30,1.0,tanh,RMSprop,85,1,2,0.061809428
75,1.0,tanh,RMSprop,65,1,2,0.0618004
55,1.0,tanh,RMSprop,50,1,2,0.061798204
65,1.0,tanh,RMSprop,55,1,2,0.06179778
95,1.0,tanh,RMSprop,65,1,2,0.061797433
60,1.0,tanh,RMSprop,30,1,2,0.061794717
55,1.0,tanh,RMSprop,30,1,2,0.061794035
100,1.0,tanh,RMSprop,75,1,2,0.06179368
100,1.0,tanh,RMSprop,60,1,2,0.06178907
90,1.0,tanh,RMSprop,75,1,2,0.061782975
35,1.0,tanh,RMSprop,60,1,2,0.061779756
60,1.0,tanh,RMSprop,50,1,2,0.061779447
