epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
25,1.0,tanh,RMSprop,5,1,2,0.6858534
95,1.0,tanh,RMSprop,5,1,2,0.6352028
55,1.0,tanh,RMSprop,10,1,2,0.6285789
40,1.0,tanh,RMSprop,10,1,2,0.62291884
65,1.0,tanh,RMSprop,5,1,2,0.62001413
30,1.0,tanh,RMSprop,10,1,2,0.6080246
60,1.0,tanh,RMSprop,10,1,2,0.59528327
15,1.0,tanh,RMSprop,5,1,2,0.5933832
10,1.0,tanh,RMSprop,5,1,2,0.5924237
15,1.0,tanh,RMSprop,10,1,2,0.5851826
75,1.0,tanh,RMSprop,5,1,2,0.5844206
45,1.0,tanh,RMSprop,10,1,2,0.58296466
75,1.0,tanh,RMSprop,15,1,2,0.58213997
100,1.0,tanh,RMSprop,10,1,2,0.58141816
95,1.0,tanh,RMSprop,10,1,2,0.5812082
35,1.0,tanh,RMSprop,15,1,2,0.58078283
90,1.0,tanh,RMSprop,5,1,2,0.58021414
45,1.0,tanh,RMSprop,15,1,2,0.5687054
80,1.0,tanh,RMSprop,5,1,2,0.5682857
75,1.0,tanh,RMSprop,10,1,2,0.5631479
55,1.0,tanh,RMSprop,15,1,2,0.5578402
20,1.0,tanh,RMSprop,5,1,2,0.55433786
100,1.0,tanh,RMSprop,5,1,2,0.5532041
85,1.0,tanh,RMSprop,5,1,2,0.5498236
35,1.0,tanh,RMSprop,10,1,2,0.54595286
65,1.0,tanh,RMSprop,10,1,2,0.5450849
90,1.0,tanh,RMSprop,10,1,2,0.54299206
80,1.0,tanh,RMSprop,10,1,2,0.54203403
40,1.0,tanh,RMSprop,15,1,2,0.54138476
30,1.0,tanh,RMSprop,5,1,2,0.52977496
10,1.0,tanh,RMSprop,20,1,2,0.5297707
85,1.0,tanh,RMSprop,15,1,2,0.5264522
45,1.0,tanh,RMSprop,5,1,2,0.5223856
80,1.0,tanh,RMSprop,15,1,2,0.5160358
65,1.0,tanh,RMSprop,15,1,2,0.51350045
70,1.0,tanh,RMSprop,5,1,2,0.49907428
50,1.0,tanh,RMSprop,5,1,2,0.49677482
40,1.0,tanh,RMSprop,5,1,2,0.49264902
35,1.0,tanh,RMSprop,5,1,2,0.4923592
50,1.0,tanh,RMSprop,10,1,2,0.48907593
25,1.0,tanh,RMSprop,10,1,2,0.48194173
5,1.0,tanh,RMSprop,20,1,2,0.47895542
20,1.0,tanh,RMSprop,20,1,2,0.4771213
60,1.0,tanh,RMSprop,5,1,2,0.4607115
15,1.0,tanh,RMSprop,15,1,2,0.45394534
55,1.0,tanh,RMSprop,5,1,2,0.44141597
10,1.0,tanh,RMSprop,15,1,2,0.38852602
50,1.0,tanh,RMSprop,30,1,2,0.3830988
10,1.0,tanh,RMSprop,10,1,2,0.37631044
5,1.0,tanh,RMSprop,5,1,2,0.37236583
75,1.0,tanh,RMSprop,20,1,2,0.3621957
5,1.0,tanh,RMSprop,15,1,2,0.35300022
55,1.0,tanh,RMSprop,20,1,2,0.340428
70,1.0,tanh,RMSprop,10,1,2,0.3355478
20,1.0,tanh,RMSprop,10,1,2,0.30903688
25,1.0,tanh,RMSprop,20,1,2,0.30826896
40,1.0,tanh,RMSprop,25,1,2,0.30358243
5,1.0,tanh,RMSprop,25,1,2,0.3032337
5,1.0,tanh,RMSprop,10,1,2,0.29954728
10,1.0,tanh,RMSprop,100,1,2,0.29785648
85,1.0,tanh,RMSprop,10,1,2,0.27607185
95,1.0,tanh,RMSprop,15,1,2,0.27082786
30,1.0,tanh,RMSprop,15,1,2,0.26726836
15,1.0,tanh,RMSprop,20,1,2,0.25897488
95,1.0,tanh,RMSprop,20,1,2,0.25568223
15,1.0,tanh,RMSprop,30,1,2,0.2433266
30,1.0,tanh,RMSprop,25,1,2,0.24218117
100,1.0,tanh,RMSprop,20,1,2,0.23900211
35,1.0,tanh,RMSprop,20,1,2,0.23868048
20,1.0,tanh,RMSprop,25,1,2,0.22096558
25,1.0,tanh,RMSprop,15,1,2,0.20873082
60,1.0,tanh,RMSprop,15,1,2,0.20520473
45,1.0,tanh,RMSprop,25,1,2,0.18718892
10,1.0,tanh,RMSprop,25,1,2,0.18245219
95,1.0,tanh,RMSprop,25,1,2,0.18212555
25,1.0,tanh,RMSprop,95,1,2,0.16706708
100,1.0,tanh,RMSprop,95,1,2,0.15954955
90,1.0,tanh,RMSprop,20,1,2,0.13674061
55,1.0,tanh,RMSprop,25,1,2,0.13618241
75,1.0,tanh,RMSprop,25,1,2,0.12691817
15,1.0,tanh,RMSprop,25,1,2,0.11744614
20,1.0,tanh,RMSprop,15,1,2,0.11423776
100,1.0,tanh,RMSprop,25,1,2,0.09329505
65,1.0,tanh,RMSprop,25,1,2,0.06946329
50,1.0,tanh,RMSprop,35,1,2,0.065056436
100,1.0,tanh,RMSprop,30,1,2,0.057635084
80,1.0,tanh,RMSprop,35,1,2,0.04235042
85,1.0,tanh,RMSprop,25,1,2,0.039714955
80,1.0,tanh,RMSprop,85,1,2,0.039627045
30,1.0,tanh,RMSprop,20,1,2,0.03640381
90,1.0,tanh,RMSprop,15,1,2,0.03115942
50,1.0,tanh,RMSprop,25,1,2,0.026757859
50,1.0,tanh,RMSprop,20,1,2,0.025860675
85,1.0,tanh,RMSprop,20,1,2,0.023261432
65,1.0,tanh,RMSprop,30,1,2,0.022729598
60,1.0,tanh,RMSprop,95,1,2,0.022093186
50,1.0,tanh,RMSprop,15,1,2,0.016489556
90,1.0,tanh,RMSprop,100,1,2,0.0052759335
40,1.0,tanh,RMSprop,30,1,2,-0.30032405
25,1.0,tanh,RMSprop,25,1,2,-0.23294564
65,1.0,tanh,RMSprop,20,1,2,-0.22802144
80,1.0,tanh,RMSprop,25,1,2,-0.16516821
100,1.0,tanh,RMSprop,15,1,2,-0.14886734
80,1.0,tanh,RMSprop,20,1,2,-0.13508907
70,1.0,tanh,RMSprop,20,1,2,-0.11112169
70,1.0,tanh,RMSprop,25,1,2,-0.08306961
70,1.0,tanh,RMSprop,100,1,2,-0.0710603
5,1.0,tanh,RMSprop,30,1,2,-0.06256735
5,1.0,tanh,RMSprop,40,1,2,-0.062306788
5,1.0,tanh,RMSprop,35,1,2,-0.062018353
5,1.0,tanh,RMSprop,50,1,2,-0.061687622
