epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,RMSprop,100,1,2,0.72551405
90,1.0,tanh,RMSprop,65,1,2,0.67269605
65,1.0,tanh,RMSprop,25,1,2,0.607613
5,1.0,tanh,RMSprop,5,1,2,0.5617479
60,1.0,tanh,RMSprop,65,1,2,0.55355793
80,1.0,tanh,RMSprop,15,1,2,0.5471238
65,1.0,tanh,RMSprop,80,1,2,0.52678657
65,1.0,tanh,RMSprop,75,1,2,0.5177649
90,1.0,tanh,RMSprop,60,1,2,0.5100963
75,1.0,tanh,RMSprop,15,1,2,0.49443567
35,1.0,tanh,RMSprop,20,1,2,0.48669693
15,1.0,tanh,RMSprop,10,1,2,0.4827693
100,1.0,tanh,RMSprop,85,1,2,0.47689593
85,1.0,tanh,RMSprop,10,1,2,0.47127596
75,1.0,tanh,RMSprop,5,1,2,0.46585685
5,1.0,tanh,RMSprop,95,1,2,0.46493986
10,1.0,tanh,RMSprop,95,1,2,0.433837
75,1.0,tanh,RMSprop,65,1,2,0.43262598
95,1.0,tanh,RMSprop,45,1,2,0.41654333
55,1.0,tanh,RMSprop,30,1,2,0.4097277
25,1.0,tanh,RMSprop,5,1,2,0.40392372
85,1.0,tanh,RMSprop,90,1,2,0.39845645
80,1.0,tanh,RMSprop,10,1,2,0.39735225
30,1.0,tanh,RMSprop,5,1,2,0.39408654
100,1.0,tanh,RMSprop,60,1,2,0.38813597
70,1.0,tanh,RMSprop,15,1,2,0.38358778
40,1.0,tanh,RMSprop,15,1,2,0.37766635
85,1.0,tanh,RMSprop,95,1,2,0.37721944
55,1.0,tanh,RMSprop,25,1,2,0.37069932
55,1.0,tanh,RMSprop,5,1,2,0.36973566
85,1.0,tanh,RMSprop,65,1,2,0.35492262
20,1.0,tanh,RMSprop,10,1,2,0.34750572
100,1.0,tanh,RMSprop,5,1,2,0.33249268
55,1.0,tanh,RMSprop,10,1,2,0.32157162
80,1.0,tanh,RMSprop,90,1,2,0.31828016
