epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
90,1.0,tanh,RMSprop,5,1,2,0.7563555
70,1.0,tanh,RMSprop,10,1,2,0.73995066
100,1.0,tanh,RMSprop,5,1,2,0.7371239
50,1.0,tanh,RMSprop,5,1,2,0.72338367
40,1.0,tanh,RMSprop,15,1,2,0.7195936
55,1.0,tanh,RMSprop,5,1,2,0.71898717
55,1.0,tanh,RMSprop,10,1,2,0.71467453
85,1.0,tanh,RMSprop,10,1,2,0.7109253
80,1.0,tanh,RMSprop,5,1,2,0.7109164
80,1.0,tanh,RMSprop,10,1,2,0.71044904
65,1.0,tanh,RMSprop,10,1,2,0.7015146
75,1.0,tanh,RMSprop,10,1,2,0.7006593
45,1.0,tanh,RMSprop,5,1,2,0.69923747
60,1.0,tanh,RMSprop,5,1,2,0.698569
20,1.0,tanh,RMSprop,5,1,2,0.6981341
55,1.0,tanh,RMSprop,15,1,2,0.69692653
90,1.0,tanh,RMSprop,10,1,2,0.69148636
15,1.0,tanh,RMSprop,5,1,2,0.68580055
85,1.0,tanh,RMSprop,5,1,2,0.68571746
65,1.0,tanh,RMSprop,5,1,2,0.6855485
40,1.0,tanh,RMSprop,10,1,2,0.6821879
50,1.0,tanh,RMSprop,10,1,2,0.6807479
75,1.0,tanh,RMSprop,5,1,2,0.67959785
45,1.0,tanh,RMSprop,10,1,2,0.6792267
70,1.0,tanh,RMSprop,5,1,2,0.6784617
60,1.0,tanh,RMSprop,15,1,2,0.6771454
25,1.0,tanh,RMSprop,5,1,2,0.67553747
60,1.0,tanh,RMSprop,10,1,2,0.67420244
10,1.0,tanh,RMSprop,5,1,2,0.6632615
35,1.0,tanh,RMSprop,5,1,2,0.655658
95,1.0,tanh,RMSprop,25,1,2,0.65558034
95,1.0,tanh,RMSprop,5,1,2,0.6485946
95,1.0,tanh,RMSprop,15,1,2,0.6484379
25,1.0,tanh,RMSprop,10,1,2,0.6461409
40,1.0,tanh,RMSprop,20,1,2,0.638115
35,1.0,tanh,RMSprop,10,1,2,0.6343984
35,1.0,tanh,RMSprop,15,1,2,0.6318733
20,1.0,tanh,RMSprop,10,1,2,0.6298649
