epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
45,1.0,tanh,RMSprop,10,1,2,0.784384
25,1.0,tanh,RMSprop,5,1,2,0.7783126
40,1.0,tanh,RMSprop,5,1,2,0.7650362
85,1.0,tanh,RMSprop,10,1,2,0.76468843
55,1.0,tanh,RMSprop,25,1,2,0.761957
75,1.0,tanh,RMSprop,10,1,2,0.7601905
55,1.0,tanh,RMSprop,5,1,2,0.7559635
95,1.0,tanh,RMSprop,10,1,2,0.75527674
10,1.0,tanh,RMSprop,15,1,2,0.7540519
95,1.0,tanh,RMSprop,5,1,2,0.74836326
55,1.0,tanh,RMSprop,20,1,2,0.7475592
50,1.0,tanh,RMSprop,30,1,2,0.7447
50,1.0,tanh,RMSprop,5,1,2,0.7441563
90,1.0,tanh,RMSprop,5,1,2,0.74336016
40,1.0,tanh,RMSprop,20,1,2,0.7417
15,1.0,tanh,RMSprop,15,1,2,0.7413886
85,1.0,tanh,RMSprop,15,1,2,0.7390316
30,1.0,tanh,RMSprop,15,1,2,0.73862416
10,1.0,tanh,RMSprop,5,1,2,0.73438287
60,1.0,tanh,RMSprop,75,1,2,0.72989106
95,1.0,tanh,RMSprop,15,1,2,0.72708446
35,1.0,tanh,RMSprop,10,1,2,0.72635335
15,1.0,tanh,RMSprop,10,1,2,0.72402215
50,1.0,tanh,RMSprop,10,1,2,0.7236957
45,1.0,tanh,RMSprop,20,1,2,0.7232678
70,1.0,tanh,RMSprop,15,1,2,0.7215175
25,1.0,tanh,RMSprop,15,1,2,0.720404
60,1.0,tanh,RMSprop,55,1,2,0.7203784
35,1.0,tanh,RMSprop,60,1,2,0.719383
60,1.0,tanh,RMSprop,5,1,2,0.71724874
40,1.0,tanh,RMSprop,45,1,2,0.71395844
15,1.0,tanh,RMSprop,5,1,2,0.71337515
30,1.0,tanh,RMSprop,5,1,2,0.7092179
25,1.0,tanh,RMSprop,30,1,2,0.7083315
70,1.0,tanh,RMSprop,85,1,2,0.70772785
15,1.0,tanh,RMSprop,20,1,2,0.70769644
75,1.0,tanh,RMSprop,75,1,2,0.70516646
35,1.0,tanh,RMSprop,5,1,2,0.7048968
45,1.0,tanh,RMSprop,45,1,2,0.70457804
30,1.0,tanh,RMSprop,95,1,2,0.70395994
70,1.0,tanh,RMSprop,30,1,2,0.7030423
40,1.0,tanh,RMSprop,10,1,2,0.701942
100,1.0,tanh,RMSprop,25,1,2,0.70170635
45,1.0,tanh,RMSprop,15,1,2,0.69863856
90,1.0,tanh,RMSprop,10,1,2,0.69796085
10,1.0,tanh,RMSprop,10,1,2,0.6969603
45,1.0,tanh,RMSprop,5,1,2,0.69551224
85,1.0,tanh,RMSprop,5,1,2,0.69484395
25,1.0,tanh,RMSprop,60,1,2,0.6923374
65,1.0,tanh,RMSprop,50,1,2,0.6923228
70,1.0,tanh,RMSprop,5,1,2,0.69108534
75,1.0,tanh,RMSprop,25,1,2,0.68831456
30,1.0,tanh,RMSprop,40,1,2,0.68793553
80,1.0,tanh,RMSprop,25,1,2,0.68640244
55,1.0,tanh,RMSprop,60,1,2,0.68600696
80,1.0,tanh,RMSprop,35,1,2,0.6852155
50,1.0,tanh,RMSprop,15,1,2,0.68488574
40,1.0,tanh,RMSprop,60,1,2,0.6835504
85,1.0,tanh,RMSprop,25,1,2,0.68018794
65,1.0,tanh,RMSprop,40,1,2,0.6801308
55,1.0,tanh,RMSprop,15,1,2,0.6795859
65,1.0,tanh,RMSprop,5,1,2,0.677313
35,1.0,tanh,RMSprop,25,1,2,0.67677295
45,1.0,tanh,RMSprop,70,1,2,0.6763333
20,1.0,tanh,RMSprop,15,1,2,0.6755731
30,1.0,tanh,RMSprop,10,1,2,0.6747944
20,1.0,tanh,RMSprop,25,1,2,0.6741226
20,1.0,tanh,RMSprop,20,1,2,0.6733628
75,1.0,tanh,RMSprop,20,1,2,0.6726381
15,1.0,tanh,RMSprop,75,1,2,0.67259866
80,1.0,tanh,RMSprop,15,1,2,0.67171335
60,1.0,tanh,RMSprop,25,1,2,0.66916764
95,1.0,tanh,RMSprop,50,1,2,0.66905177
20,1.0,tanh,RMSprop,80,1,2,0.66754806
80,1.0,tanh,RMSprop,10,1,2,0.66719735
30,1.0,tanh,RMSprop,85,1,2,0.66626316
30,1.0,tanh,RMSprop,20,1,2,0.66593796
60,1.0,tanh,RMSprop,35,1,2,0.66432613
40,1.0,tanh,RMSprop,30,1,2,0.66385174
90,1.0,tanh,RMSprop,25,1,2,0.6634838
75,1.0,tanh,RMSprop,65,1,2,0.6623824
35,1.0,tanh,RMSprop,35,1,2,0.66235286
55,1.0,tanh,RMSprop,10,1,2,0.6611858
15,1.0,tanh,RMSprop,40,1,2,0.66060823
20,1.0,tanh,RMSprop,35,1,2,0.66049397
40,1.0,tanh,RMSprop,70,1,2,0.6599263
65,1.0,tanh,RMSprop,35,1,2,0.6580358
