epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
35,1.0,tanh,RMSprop,10,1,2,0.7466501
25,1.0,tanh,RMSprop,5,1,2,0.7441651
75,1.0,tanh,RMSprop,10,1,2,0.74207973
20,1.0,tanh,RMSprop,45,1,2,0.7415395
25,1.0,tanh,RMSprop,10,1,2,0.7331216
65,1.0,tanh,RMSprop,5,1,2,0.73077905
20,1.0,tanh,RMSprop,15,1,2,0.7305635
100,1.0,tanh,RMSprop,30,1,2,0.7297722
15,1.0,tanh,RMSprop,15,1,2,0.72443795
40,1.0,tanh,RMSprop,15,1,2,0.7174147
40,1.0,tanh,RMSprop,90,1,2,0.7151945
30,1.0,tanh,RMSprop,5,1,2,0.7133224
10,1.0,tanh,RMSprop,5,1,2,0.7118022
90,1.0,tanh,RMSprop,25,1,2,0.7084437
50,1.0,tanh,RMSprop,10,1,2,0.7082128
30,1.0,tanh,RMSprop,10,1,2,0.707795
70,1.0,tanh,RMSprop,10,1,2,0.7040775
40,1.0,tanh,RMSprop,20,1,2,0.7019052
55,1.0,tanh,RMSprop,5,1,2,0.696868
90,1.0,tanh,RMSprop,10,1,2,0.69379807
40,1.0,tanh,RMSprop,5,1,2,0.69256806
50,1.0,tanh,RMSprop,35,1,2,0.6892289
10,1.0,tanh,RMSprop,10,1,2,0.6861717
85,1.0,tanh,RMSprop,5,1,2,0.6828913
30,1.0,tanh,RMSprop,35,1,2,0.68204665
10,1.0,tanh,RMSprop,20,1,2,0.68137866
25,1.0,tanh,RMSprop,15,1,2,0.68088055
75,1.0,tanh,RMSprop,5,1,2,0.68001366
85,1.0,tanh,RMSprop,10,1,2,0.6791923
15,1.0,tanh,RMSprop,30,1,2,0.67906195
85,1.0,tanh,RMSprop,20,1,2,0.6770082
25,1.0,tanh,RMSprop,20,1,2,0.67677516
95,1.0,tanh,RMSprop,25,1,2,0.67546624
70,1.0,tanh,RMSprop,5,1,2,0.6738356
65,1.0,tanh,RMSprop,10,1,2,0.6716567
35,1.0,tanh,RMSprop,20,1,2,0.66617906
40,1.0,tanh,RMSprop,10,1,2,0.6657804
90,1.0,tanh,RMSprop,20,1,2,0.6653546
45,1.0,tanh,RMSprop,15,1,2,0.66475034
25,1.0,tanh,RMSprop,25,1,2,0.6610593
10,1.0,tanh,RMSprop,25,1,2,0.6604779
75,1.0,tanh,RMSprop,20,1,2,0.65683013
15,1.0,tanh,RMSprop,5,1,2,0.65559745
45,1.0,tanh,RMSprop,10,1,2,0.6492367
90,1.0,tanh,RMSprop,75,1,2,0.64656734
15,1.0,tanh,RMSprop,20,1,2,0.6448688
45,1.0,tanh,RMSprop,25,1,2,0.6409604
15,1.0,tanh,RMSprop,10,1,2,0.63837594
45,1.0,tanh,RMSprop,65,1,2,0.6377221
5,1.0,tanh,RMSprop,5,1,2,0.636851
75,1.0,tanh,RMSprop,15,1,2,0.6312534
