epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,1.0,tanh,RMSprop,15,1,2,0.8423049
15,1.0,tanh,RMSprop,20,1,2,0.8359642
25,1.0,tanh,RMSprop,25,1,2,0.82790536
15,1.0,tanh,RMSprop,15,1,2,0.81801164
15,1.0,tanh,RMSprop,50,1,2,0.8162628
55,1.0,tanh,RMSprop,5,1,2,0.8052242
15,1.0,tanh,RMSprop,10,1,2,0.8038327
30,1.0,tanh,RMSprop,15,1,2,0.801696
10,1.0,tanh,RMSprop,25,1,2,0.80126345
35,1.0,tanh,RMSprop,5,1,2,0.8002168
40,1.0,tanh,RMSprop,5,1,2,0.80018735
100,1.0,tanh,RMSprop,35,1,2,0.7955806
20,1.0,tanh,RMSprop,15,1,2,0.785717
45,1.0,tanh,RMSprop,40,1,2,0.7849944
15,1.0,tanh,RMSprop,25,1,2,0.7847526
60,1.0,tanh,RMSprop,10,1,2,0.78072906
55,1.0,tanh,RMSprop,20,1,2,0.77447456
25,1.0,tanh,RMSprop,15,1,2,0.7739124
70,1.0,tanh,RMSprop,25,1,2,0.7732711
15,1.0,tanh,RMSprop,45,1,2,0.7719641
50,1.0,tanh,RMSprop,15,1,2,0.768853
5,1.0,tanh,RMSprop,25,1,2,0.76864284
40,1.0,tanh,RMSprop,35,1,2,0.76764256
20,1.0,tanh,RMSprop,5,1,2,0.76686996
5,1.0,tanh,RMSprop,30,1,2,0.7656238
5,1.0,tanh,RMSprop,10,1,2,0.7600449
60,1.0,tanh,RMSprop,15,1,2,0.7551714
45,1.0,tanh,RMSprop,35,1,2,0.7517367
25,1.0,tanh,RMSprop,10,1,2,0.7511882
15,1.0,tanh,RMSprop,30,1,2,0.7505182
70,1.0,tanh,RMSprop,5,1,2,0.7497156
75,1.0,tanh,RMSprop,10,1,2,0.7493152
5,1.0,tanh,RMSprop,20,1,2,0.7482274
50,1.0,tanh,RMSprop,10,1,2,0.743771
65,1.0,tanh,RMSprop,30,1,2,0.7384074
60,1.0,tanh,RMSprop,35,1,2,0.73362064
55,1.0,tanh,RMSprop,10,1,2,0.73331565
5,1.0,tanh,RMSprop,15,1,2,0.7309938
5,1.0,tanh,RMSprop,35,1,2,0.72630864
85,1.0,tanh,RMSprop,10,1,2,0.72574586
40,1.0,tanh,RMSprop,25,1,2,0.72158015
65,1.0,tanh,RMSprop,10,1,2,0.7209562
15,1.0,tanh,RMSprop,5,1,2,0.72075707
70,1.0,tanh,RMSprop,15,1,2,0.7201709
70,1.0,tanh,RMSprop,30,1,2,0.7129018
20,1.0,tanh,RMSprop,10,1,2,0.70989174
80,1.0,tanh,RMSprop,10,1,2,0.70858175
10,1.0,tanh,RMSprop,10,1,2,0.69895357
35,1.0,tanh,RMSprop,20,1,2,0.6987563
65,1.0,tanh,RMSprop,20,1,2,0.6960277
35,1.0,tanh,RMSprop,15,1,2,0.6922021
30,1.0,tanh,RMSprop,10,1,2,0.69098717
45,1.0,tanh,RMSprop,10,1,2,0.6908045
60,1.0,tanh,RMSprop,5,1,2,0.68729913
75,1.0,tanh,RMSprop,25,1,2,0.6861236
90,1.0,tanh,RMSprop,15,1,2,0.68414146
95,1.0,tanh,RMSprop,5,1,2,0.68310016
35,1.0,tanh,RMSprop,25,1,2,0.6742298
45,1.0,tanh,RMSprop,5,1,2,0.66997
75,1.0,tanh,RMSprop,5,1,2,0.6663545
50,1.0,tanh,RMSprop,20,1,2,0.6650778
40,1.0,tanh,RMSprop,15,1,2,0.6465315
80,1.0,tanh,RMSprop,5,1,2,0.6363556
20,1.0,tanh,RMSprop,20,1,2,0.6323174
90,1.0,tanh,RMSprop,10,1,2,0.61926323
55,1.0,tanh,RMSprop,15,1,2,0.6130233
85,1.0,tanh,RMSprop,25,1,2,0.605778
70,1.0,tanh,RMSprop,10,1,2,0.5988275
25,1.0,tanh,RMSprop,5,1,2,0.5936176
65,1.0,tanh,RMSprop,15,1,2,0.5935626
20,1.0,tanh,RMSprop,35,1,2,0.58562595
35,1.0,tanh,RMSprop,10,1,2,0.5769203
40,1.0,tanh,RMSprop,10,1,2,0.5750411
55,1.0,tanh,RMSprop,30,1,2,0.5697418
30,1.0,tanh,RMSprop,5,1,2,0.5657203
30,1.0,tanh,RMSprop,20,1,2,0.5372123
75,1.0,tanh,RMSprop,15,1,2,0.53211874
10,1.0,tanh,RMSprop,20,1,2,0.5294465
10,1.0,tanh,RMSprop,5,1,2,0.50927204
20,1.0,tanh,RMSprop,25,1,2,0.5072173
100,1.0,tanh,RMSprop,15,1,2,0.50684017
80,1.0,tanh,RMSprop,20,1,2,0.50099975
30,1.0,tanh,RMSprop,25,1,2,0.499849
95,1.0,tanh,RMSprop,10,1,2,0.49923
60,1.0,tanh,RMSprop,20,1,2,0.4933527
100,1.0,tanh,RMSprop,5,1,2,0.4661091
65,1.0,tanh,RMSprop,5,1,2,0.45145825
25,1.0,tanh,RMSprop,20,1,2,0.43828896
85,1.0,tanh,RMSprop,15,1,2,0.43602923
90,1.0,tanh,RMSprop,25,1,2,0.368681
50,1.0,tanh,RMSprop,35,1,2,0.35764435
5,1.0,tanh,RMSprop,5,1,2,0.3498397
95,1.0,tanh,RMSprop,25,1,2,0.34906366
90,1.0,tanh,RMSprop,20,1,2,0.338677
90,1.0,tanh,RMSprop,5,1,2,0.31807864
50,1.0,tanh,RMSprop,25,1,2,0.30760673
95,1.0,tanh,RMSprop,15,1,2,0.2951849
100,1.0,tanh,RMSprop,25,1,2,0.260979
60,1.0,tanh,RMSprop,30,1,2,0.22999892
