epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
50,1.0,tanh,RMSprop,20,1,2,0.8776041
40,1.0,tanh,RMSprop,10,1,2,0.8708093
20,1.0,tanh,RMSprop,10,1,2,0.8624367
45,1.0,tanh,RMSprop,5,1,2,0.8591565
35,1.0,tanh,RMSprop,15,1,2,0.85642487
65,1.0,tanh,RMSprop,5,1,2,0.84791946
85,1.0,tanh,RMSprop,5,1,2,0.84410644
50,1.0,tanh,RMSprop,15,1,2,0.8418833
25,1.0,tanh,RMSprop,10,1,2,0.8416192
50,1.0,tanh,RMSprop,5,1,2,0.84126425
20,1.0,tanh,RMSprop,5,1,2,0.83918095
60,1.0,tanh,RMSprop,10,1,2,0.8384771
20,1.0,tanh,RMSprop,15,1,2,0.8317128
80,1.0,tanh,RMSprop,5,1,2,0.8315585
15,1.0,tanh,RMSprop,40,1,2,0.8302246
85,1.0,tanh,RMSprop,15,1,2,0.82398385
35,1.0,tanh,RMSprop,20,1,2,0.8234588
65,1.0,tanh,RMSprop,10,1,2,0.8231699
10,1.0,tanh,RMSprop,10,1,2,0.822862
70,1.0,tanh,RMSprop,5,1,2,0.8220532
5,1.0,tanh,RMSprop,10,1,2,0.8218259
15,1.0,tanh,RMSprop,20,1,2,0.821626
5,1.0,tanh,RMSprop,20,1,2,0.8210453
20,1.0,tanh,RMSprop,25,1,2,0.8200606
15,1.0,tanh,RMSprop,25,1,2,0.81751364
25,1.0,tanh,RMSprop,20,1,2,0.81628454
25,1.0,tanh,RMSprop,25,1,2,0.81600636
70,1.0,tanh,RMSprop,10,1,2,0.81538737
15,1.0,tanh,RMSprop,15,1,2,0.8147719
55,1.0,tanh,RMSprop,15,1,2,0.81097656
40,1.0,tanh,RMSprop,20,1,2,0.81016296
85,1.0,tanh,RMSprop,20,1,2,0.80980057
20,1.0,tanh,RMSprop,20,1,2,0.80493295
100,1.0,tanh,RMSprop,5,1,2,0.80352056
10,1.0,tanh,RMSprop,20,1,2,0.8007234
