epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
25,1.0,tanh,RMSprop,100,1,2,0.597662
35,1.0,tanh,RMSprop,65,1,2,0.56883013
100,1.0,tanh,RMSprop,20,1,2,0.53627867
45,1.0,tanh,RMSprop,60,1,2,0.51610714
35,1.0,tanh,RMSprop,100,1,2,0.49844944
65,1.0,tanh,RMSprop,5,1,2,0.4942687
30,1.0,tanh,RMSprop,65,1,2,0.490117
40,1.0,tanh,RMSprop,70,1,2,0.48984134
30,1.0,tanh,RMSprop,70,1,2,0.4846992
40,1.0,tanh,RMSprop,90,1,2,0.47747478
25,1.0,tanh,RMSprop,85,1,2,0.47692034
85,1.0,tanh,RMSprop,40,1,2,0.46653354
65,1.0,tanh,RMSprop,50,1,2,0.45997623
20,1.0,tanh,RMSprop,90,1,2,0.45966595
75,1.0,tanh,RMSprop,20,1,2,0.44314682
25,1.0,tanh,RMSprop,10,1,2,0.43907505
45,1.0,tanh,RMSprop,85,1,2,0.4344836
20,1.0,tanh,RMSprop,95,1,2,0.43005016
50,1.0,tanh,RMSprop,25,1,2,0.42742515
80,1.0,tanh,RMSprop,40,1,2,0.42628205
65,1.0,tanh,RMSprop,55,1,2,0.41931462
10,1.0,tanh,RMSprop,90,1,2,0.41484222
30,1.0,tanh,RMSprop,40,1,2,0.41425017
15,1.0,tanh,RMSprop,60,1,2,0.41048256
90,1.0,tanh,RMSprop,25,1,2,0.4100228
15,1.0,tanh,RMSprop,90,1,2,0.40911102
70,1.0,tanh,RMSprop,5,1,2,0.40749925
25,1.0,tanh,RMSprop,70,1,2,0.40501997
40,1.0,tanh,RMSprop,85,1,2,0.40385935
30,1.0,tanh,RMSprop,25,1,2,0.4025007
45,1.0,tanh,RMSprop,5,1,2,0.40208945
30,1.0,tanh,RMSprop,5,1,2,0.4012604
45,1.0,tanh,RMSprop,95,1,2,0.40073386
95,1.0,tanh,RMSprop,50,1,2,0.39816007
85,1.0,tanh,RMSprop,20,1,2,0.3942868
15,1.0,tanh,RMSprop,95,1,2,0.39092287
60,1.0,tanh,RMSprop,100,1,2,0.3906872
55,1.0,tanh,RMSprop,5,1,2,0.3855693
100,1.0,tanh,RMSprop,5,1,2,0.3774053
10,1.0,tanh,RMSprop,100,1,2,0.3768197
20,1.0,tanh,RMSprop,75,1,2,0.37225398
85,1.0,tanh,RMSprop,80,1,2,0.36821342
10,1.0,tanh,RMSprop,95,1,2,0.36530274
50,1.0,tanh,RMSprop,70,1,2,0.36487558
85,1.0,tanh,RMSprop,15,1,2,0.361273
95,1.0,tanh,RMSprop,10,1,2,0.35867053
95,1.0,tanh,RMSprop,30,1,2,0.35810792
50,1.0,tanh,RMSprop,95,1,2,0.35760397
15,1.0,tanh,RMSprop,45,1,2,0.35699415
90,1.0,tanh,RMSprop,35,1,2,0.35237002
70,1.0,tanh,RMSprop,45,1,2,0.35005176
10,1.0,tanh,RMSprop,55,1,2,0.34533402
45,1.0,tanh,RMSprop,10,1,2,0.34183377
35,1.0,tanh,RMSprop,15,1,2,0.3383358
20,1.0,tanh,RMSprop,20,1,2,0.3369826
45,1.0,tanh,RMSprop,15,1,2,0.3358877
60,1.0,tanh,RMSprop,10,1,2,0.3329256
100,1.0,tanh,RMSprop,35,1,2,0.33259416
20,1.0,tanh,RMSprop,40,1,2,0.3301139
50,1.0,tanh,RMSprop,20,1,2,0.3226351
55,1.0,tanh,RMSprop,95,1,2,0.32109544
90,1.0,tanh,RMSprop,10,1,2,0.31846914
25,1.0,tanh,RMSprop,25,1,2,0.3156568
40,1.0,tanh,RMSprop,10,1,2,0.3100062
45,1.0,tanh,RMSprop,35,1,2,0.3099381
40,1.0,tanh,RMSprop,60,1,2,0.30785507
15,1.0,tanh,RMSprop,10,1,2,0.30705857
85,1.0,tanh,RMSprop,25,1,2,0.30654326
30,1.0,tanh,RMSprop,55,1,2,0.30599976
10,1.0,tanh,RMSprop,60,1,2,0.3056763
60,1.0,tanh,RMSprop,85,1,2,0.30237296
40,1.0,tanh,RMSprop,50,1,2,0.30209997
30,1.0,tanh,RMSprop,15,1,2,0.29889408
80,1.0,tanh,RMSprop,5,1,2,0.29831603
70,1.0,tanh,RMSprop,100,1,2,0.29809576
45,1.0,tanh,RMSprop,30,1,2,0.29742667
15,1.0,tanh,RMSprop,75,1,2,0.29460114
60,1.0,tanh,RMSprop,5,1,2,0.2943097
85,1.0,tanh,RMSprop,95,1,2,0.2938035
75,1.0,tanh,RMSprop,45,1,2,0.29323375
20,1.0,tanh,RMSprop,60,1,2,0.2925969
20,1.0,tanh,RMSprop,85,1,2,0.2922328
85,1.0,tanh,RMSprop,65,1,2,0.29162294
15,1.0,tanh,RMSprop,35,1,2,0.2914187
20,1.0,tanh,RMSprop,45,1,2,0.2909556
10,1.0,tanh,RMSprop,35,1,2,0.290518
75,1.0,tanh,RMSprop,85,1,2,0.28992254
90,1.0,tanh,RMSprop,15,1,2,0.28675902
10,1.0,tanh,RMSprop,10,1,2,0.28615585
20,1.0,tanh,RMSprop,30,1,2,0.28365508
10,1.0,tanh,RMSprop,5,1,2,0.28173405
15,1.0,tanh,RMSprop,30,1,2,0.2804833
35,1.0,tanh,RMSprop,5,1,2,0.27887848
25,1.0,tanh,RMSprop,15,1,2,0.2787183
10,1.0,tanh,RMSprop,20,1,2,0.2785894
20,1.0,tanh,RMSprop,10,1,2,0.27573323
40,1.0,tanh,RMSprop,25,1,2,0.2739937
35,1.0,tanh,RMSprop,20,1,2,0.27359116
15,1.0,tanh,RMSprop,5,1,2,0.27300483
20,1.0,tanh,RMSprop,5,1,2,0.27232647
90,1.0,tanh,RMSprop,55,1,2,0.26859996
5,1.0,tanh,RMSprop,10,1,2,0.2676848
70,1.0,tanh,RMSprop,55,1,2,0.2667336
15,1.0,tanh,RMSprop,15,1,2,0.26494852
40,1.0,tanh,RMSprop,5,1,2,0.26221737
100,1.0,tanh,RMSprop,25,1,2,0.25951833
65,1.0,tanh,RMSprop,15,1,2,0.2583642
10,1.0,tanh,RMSprop,45,1,2,0.25683695
70,1.0,tanh,RMSprop,50,1,2,0.25516647
40,1.0,tanh,RMSprop,15,1,2,0.2531339
25,1.0,tanh,RMSprop,95,1,2,0.25283214
45,1.0,tanh,RMSprop,25,1,2,0.25260726
20,1.0,tanh,RMSprop,15,1,2,0.2513425
25,1.0,tanh,RMSprop,35,1,2,0.25095528
70,1.0,tanh,RMSprop,20,1,2,0.24740344
25,1.0,tanh,RMSprop,5,1,2,0.24632278
40,1.0,tanh,RMSprop,100,1,2,0.24597573
70,1.0,tanh,RMSprop,15,1,2,0.24178009
40,1.0,tanh,RMSprop,65,1,2,0.24106257
30,1.0,tanh,RMSprop,100,1,2,0.23904207
95,1.0,tanh,RMSprop,5,1,2,0.23887025
10,1.0,tanh,RMSprop,15,1,2,0.23832431
60,1.0,tanh,RMSprop,15,1,2,0.23787946
20,1.0,tanh,RMSprop,25,1,2,0.23698759
30,1.0,tanh,RMSprop,90,1,2,0.23587143
80,1.0,tanh,RMSprop,15,1,2,0.23329622
15,1.0,tanh,RMSprop,40,1,2,0.23135945
75,1.0,tanh,RMSprop,25,1,2,0.2312497
55,1.0,tanh,RMSprop,50,1,2,0.23009801
20,1.0,tanh,RMSprop,100,1,2,0.22685805
75,1.0,tanh,RMSprop,5,1,2,0.2250561
35,1.0,tanh,RMSprop,10,1,2,0.22163174
50,1.0,tanh,RMSprop,35,1,2,0.21848792
65,1.0,tanh,RMSprop,10,1,2,0.21684872
45,1.0,tanh,RMSprop,20,1,2,0.21673848
5,1.0,tanh,RMSprop,100,1,2,0.21475227
15,1.0,tanh,RMSprop,25,1,2,0.20858003
25,1.0,tanh,RMSprop,30,1,2,0.20782311
65,1.0,tanh,RMSprop,20,1,2,0.2073065
25,1.0,tanh,RMSprop,45,1,2,0.20715286
5,1.0,tanh,RMSprop,20,1,2,0.20200236
60,1.0,tanh,RMSprop,40,1,2,0.2020001
55,1.0,tanh,RMSprop,10,1,2,0.20184737
55,1.0,tanh,RMSprop,20,1,2,0.19788545
85,1.0,tanh,RMSprop,5,1,2,0.19738577
50,1.0,tanh,RMSprop,55,1,2,0.19726393
20,1.0,tanh,RMSprop,35,1,2,0.1962663
70,1.0,tanh,RMSprop,35,1,2,0.19450127
90,1.0,tanh,RMSprop,40,1,2,0.19286196
95,1.0,tanh,RMSprop,55,1,2,0.19210093
10,1.0,tanh,RMSprop,40,1,2,0.19129716
90,1.0,tanh,RMSprop,45,1,2,0.19077873
