epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
80,1.0,tanh,RMSprop,80,1,2,0.791322
60,1.0,tanh,RMSprop,90,1,2,0.63182205
35,1.0,tanh,RMSprop,50,1,2,0.5797565
75,1.0,tanh,RMSprop,30,1,2,0.555088
5,1.0,tanh,RMSprop,50,1,2,0.443704
45,1.0,tanh,RMSprop,40,1,2,0.44099203
40,1.0,tanh,RMSprop,30,1,2,0.41629902
60,1.0,tanh,RMSprop,15,1,2,0.40482062
10,1.0,tanh,RMSprop,85,1,2,0.38416287
55,1.0,tanh,RMSprop,40,1,2,0.37107438
15,1.0,tanh,RMSprop,5,1,2,0.36941165
10,1.0,tanh,RMSprop,5,1,2,0.36931366
75,1.0,tanh,RMSprop,5,1,2,0.3686642
90,1.0,tanh,RMSprop,30,1,2,0.3643545
95,1.0,tanh,RMSprop,15,1,2,0.36276117
5,1.0,tanh,RMSprop,40,1,2,0.3595847
5,1.0,tanh,RMSprop,90,1,2,0.3589367
5,1.0,tanh,RMSprop,65,1,2,0.3503373
5,1.0,tanh,RMSprop,55,1,2,0.33880112
10,1.0,tanh,RMSprop,10,1,2,0.33813182
15,1.0,tanh,RMSprop,30,1,2,0.3364652
40,1.0,tanh,RMSprop,40,1,2,0.32730612
50,1.0,tanh,RMSprop,5,1,2,0.31881264
5,1.0,tanh,RMSprop,20,1,2,0.31683335
25,1.0,tanh,RMSprop,80,1,2,0.31604466
40,1.0,tanh,RMSprop,55,1,2,0.31561723
95,1.0,tanh,RMSprop,35,1,2,0.31365463
15,1.0,tanh,RMSprop,40,1,2,0.30976456
90,1.0,tanh,RMSprop,50,1,2,0.3038772
20,1.0,tanh,RMSprop,10,1,2,0.30199733
30,1.0,tanh,RMSprop,90,1,2,0.28895944
5,1.0,tanh,RMSprop,45,1,2,0.28825498
60,1.0,tanh,RMSprop,85,1,2,0.28431368
25,1.0,tanh,RMSprop,55,1,2,0.28417462
20,1.0,tanh,RMSprop,65,1,2,0.28301182
40,1.0,tanh,RMSprop,5,1,2,0.28263316
30,1.0,tanh,RMSprop,25,1,2,0.28109288
15,1.0,tanh,RMSprop,60,1,2,0.2783005
75,1.0,tanh,RMSprop,35,1,2,0.27488822
25,1.0,tanh,RMSprop,95,1,2,0.2669656
10,1.0,tanh,RMSprop,45,1,2,0.261644
40,1.0,tanh,RMSprop,25,1,2,0.25978723
70,1.0,tanh,RMSprop,90,1,2,0.2592613
45,1.0,tanh,RMSprop,55,1,2,0.25874886
50,1.0,tanh,RMSprop,20,1,2,0.2561587
10,1.0,tanh,RMSprop,95,1,2,0.25488696
90,1.0,tanh,RMSprop,90,1,2,0.2545885
80,1.0,tanh,RMSprop,35,1,2,0.25434655
5,1.0,tanh,RMSprop,5,1,2,0.25333366
10,1.0,tanh,RMSprop,90,1,2,0.24936841
75,1.0,tanh,RMSprop,50,1,2,0.24862966
45,1.0,tanh,RMSprop,25,1,2,0.2469961
20,1.0,tanh,RMSprop,55,1,2,0.24491371
35,1.0,tanh,RMSprop,100,1,2,0.24312481
30,1.0,tanh,RMSprop,50,1,2,0.24008767
70,1.0,tanh,RMSprop,80,1,2,0.2369881
85,1.0,tanh,RMSprop,15,1,2,0.23151472
15,1.0,tanh,RMSprop,80,1,2,0.22318867
10,1.0,tanh,RMSprop,35,1,2,0.21754175
85,1.0,tanh,RMSprop,5,1,2,0.2163075
35,1.0,tanh,RMSprop,10,1,2,0.21353827
70,1.0,tanh,RMSprop,20,1,2,0.2115876
60,1.0,tanh,RMSprop,5,1,2,0.20955989
10,1.0,tanh,RMSprop,100,1,2,0.2061319
10,1.0,tanh,RMSprop,70,1,2,0.20202716
30,1.0,tanh,RMSprop,10,1,2,0.20151623
35,1.0,tanh,RMSprop,70,1,2,0.20038934
15,1.0,tanh,RMSprop,65,1,2,0.19160274
5,1.0,tanh,RMSprop,100,1,2,0.1870331
30,1.0,tanh,RMSprop,70,1,2,0.1864684
90,1.0,tanh,RMSprop,35,1,2,0.18580085
55,1.0,tanh,RMSprop,80,1,2,0.18390682
20,1.0,tanh,RMSprop,20,1,2,0.18368489
30,1.0,tanh,RMSprop,80,1,2,0.18207103
15,1.0,tanh,RMSprop,55,1,2,0.1791641
35,1.0,tanh,RMSprop,40,1,2,0.17900057
45,1.0,tanh,RMSprop,5,1,2,0.17847095
15,1.0,tanh,RMSprop,25,1,2,0.17297828
25,1.0,tanh,RMSprop,70,1,2,0.17295904
25,1.0,tanh,RMSprop,15,1,2,0.17193939
10,1.0,tanh,RMSprop,60,1,2,0.17093399
80,1.0,tanh,RMSprop,10,1,2,0.16926411
45,1.0,tanh,RMSprop,85,1,2,0.16839741
85,1.0,tanh,RMSprop,60,1,2,0.1673716
35,1.0,tanh,RMSprop,25,1,2,0.16622603
90,1.0,tanh,RMSprop,10,1,2,0.16341074
55,1.0,tanh,RMSprop,55,1,2,0.16272193
45,1.0,tanh,RMSprop,75,1,2,0.1613602
90,1.0,tanh,RMSprop,5,1,2,0.16135624
5,1.0,tanh,RMSprop,80,1,2,0.16019042
45,1.0,tanh,RMSprop,15,1,2,0.15387635
15,1.0,tanh,RMSprop,100,1,2,0.15353492
85,1.0,tanh,RMSprop,95,1,2,0.15302904
95,1.0,tanh,RMSprop,85,1,2,0.15001294
15,1.0,tanh,RMSprop,75,1,2,0.14559713
65,1.0,tanh,RMSprop,65,1,2,0.13972335
35,1.0,tanh,RMSprop,65,1,2,0.13839538
45,1.0,tanh,RMSprop,20,1,2,0.13629436
10,1.0,tanh,RMSprop,25,1,2,0.13345027
100,1.0,tanh,RMSprop,5,1,2,0.13201866
20,1.0,tanh,RMSprop,45,1,2,0.13015549
20,1.0,tanh,RMSprop,50,1,2,0.12924396
10,1.0,tanh,RMSprop,80,1,2,0.12887695
40,1.0,tanh,RMSprop,50,1,2,0.12468362
30,1.0,tanh,RMSprop,40,1,2,0.12334475
35,1.0,tanh,RMSprop,75,1,2,0.12225918
20,1.0,tanh,RMSprop,15,1,2,0.12143932
80,1.0,tanh,RMSprop,25,1,2,0.119326696
25,1.0,tanh,RMSprop,90,1,2,0.11828239
45,1.0,tanh,RMSprop,30,1,2,0.11792044
80,1.0,tanh,RMSprop,60,1,2,0.11693524
80,1.0,tanh,RMSprop,5,1,2,0.11518479
25,1.0,tanh,RMSprop,45,1,2,0.10833047
55,1.0,tanh,RMSprop,5,1,2,0.107466824
20,1.0,tanh,RMSprop,95,1,2,0.10737597
65,1.0,tanh,RMSprop,5,1,2,0.10479558
25,1.0,tanh,RMSprop,5,1,2,0.10348189
30,1.0,tanh,RMSprop,20,1,2,0.10127573
55,1.0,tanh,RMSprop,20,1,2,0.09050361
10,1.0,tanh,RMSprop,75,1,2,0.08776462
20,1.0,tanh,RMSprop,60,1,2,0.086617
85,1.0,tanh,RMSprop,100,1,2,0.085713446
40,1.0,tanh,RMSprop,100,1,2,0.08365345
65,1.0,tanh,RMSprop,90,1,2,0.0824616
70,1.0,tanh,RMSprop,35,1,2,0.08155798
20,1.0,tanh,RMSprop,30,1,2,0.08130026
85,1.0,tanh,RMSprop,40,1,2,0.07841931
20,1.0,tanh,RMSprop,25,1,2,0.07709723
15,1.0,tanh,RMSprop,10,1,2,0.07678714
60,1.0,tanh,RMSprop,30,1,2,0.07557596
25,1.0,tanh,RMSprop,50,1,2,0.07470573
30,1.0,tanh,RMSprop,65,1,2,0.07248228
55,1.0,tanh,RMSprop,95,1,2,0.07142854
65,1.0,tanh,RMSprop,100,1,2,0.07080219
35,1.0,tanh,RMSprop,5,1,2,0.070456594
50,1.0,tanh,RMSprop,85,1,2,0.06885494
25,1.0,tanh,RMSprop,100,1,2,0.06494722
90,1.0,tanh,RMSprop,100,1,2,0.06096082
15,1.0,tanh,RMSprop,95,1,2,0.058763463
5,1.0,tanh,RMSprop,10,1,2,0.055431604
25,1.0,tanh,RMSprop,10,1,2,0.052013185
70,1.0,tanh,RMSprop,95,1,2,0.050040428
100,1.0,tanh,RMSprop,20,1,2,0.049388606
30,1.0,tanh,RMSprop,55,1,2,0.048816957
45,1.0,tanh,RMSprop,80,1,2,0.04560576
70,1.0,tanh,RMSprop,65,1,2,0.03971024
35,1.0,tanh,RMSprop,80,1,2,0.03879733
70,1.0,tanh,RMSprop,45,1,2,0.03819116
50,1.0,tanh,RMSprop,60,1,2,0.035853673
100,1.0,tanh,RMSprop,100,1,2,0.032931026
40,1.0,tanh,RMSprop,85,1,2,0.03124767
85,1.0,tanh,RMSprop,45,1,2,0.030864662
30,1.0,tanh,RMSprop,35,1,2,0.030513639
20,1.0,tanh,RMSprop,5,1,2,0.028437465
95,1.0,tanh,RMSprop,75,1,2,0.028426696
65,1.0,tanh,RMSprop,10,1,2,0.026419586
90,1.0,tanh,RMSprop,75,1,2,0.025348
90,1.0,tanh,RMSprop,70,1,2,0.02534025
30,1.0,tanh,RMSprop,75,1,2,0.023178224
60,1.0,tanh,RMSprop,100,1,2,0.022167068
15,1.0,tanh,RMSprop,15,1,2,0.017859252
5,1.0,tanh,RMSprop,15,1,2,0.01608611
30,1.0,tanh,RMSprop,100,1,2,0.014315485
80,1.0,tanh,RMSprop,15,1,2,0.013804011
45,1.0,tanh,RMSprop,100,1,2,0.013801496
45,1.0,tanh,RMSprop,60,1,2,0.013196047
70,1.0,tanh,RMSprop,10,1,2,0.01016723
50,1.0,tanh,RMSprop,50,1,2,0.0029558574
15,1.0,tanh,RMSprop,35,1,2,0.0012839081
60,1.0,tanh,RMSprop,75,1,2,0.0012032451
85,1.0,tanh,RMSprop,90,1,2,-0.7068546
95,1.0,tanh,RMSprop,40,1,2,-0.7030635
85,1.0,tanh,RMSprop,70,1,2,-0.60707814
100,1.0,tanh,RMSprop,45,1,2,-0.5919539
60,1.0,tanh,RMSprop,55,1,2,-0.588154
45,1.0,tanh,RMSprop,90,1,2,-0.57849395
50,1.0,tanh,RMSprop,25,1,2,-0.5638442
90,1.0,tanh,RMSprop,40,1,2,-0.54809386
55,1.0,tanh,RMSprop,50,1,2,-0.5260435
50,1.0,tanh,RMSprop,100,1,2,-0.50847733
55,1.0,tanh,RMSprop,15,1,2,-0.4916197
35,1.0,tanh,RMSprop,90,1,2,-0.4805688
100,1.0,tanh,RMSprop,65,1,2,-0.47568363
100,1.0,tanh,RMSprop,10,1,2,-0.47148457
90,1.0,tanh,RMSprop,20,1,2,-0.47122225
80,1.0,tanh,RMSprop,85,1,2,-0.47084522
50,1.0,tanh,RMSprop,80,1,2,-0.44573137
70,1.0,tanh,RMSprop,30,1,2,-0.4432959
50,1.0,tanh,RMSprop,35,1,2,-0.43317622
75,1.0,tanh,RMSprop,90,1,2,-0.43229643
55,1.0,tanh,RMSprop,70,1,2,-0.43108216
85,1.0,tanh,RMSprop,30,1,2,-0.42781797
70,1.0,tanh,RMSprop,25,1,2,-0.42711562
90,1.0,tanh,RMSprop,55,1,2,-0.42343807
90,1.0,tanh,RMSprop,85,1,2,-0.42240813
85,1.0,tanh,RMSprop,85,1,2,-0.40749514
45,1.0,tanh,RMSprop,10,1,2,-0.40736142
65,1.0,tanh,RMSprop,45,1,2,-0.40294766
30,1.0,tanh,RMSprop,15,1,2,-0.40120918
95,1.0,tanh,RMSprop,30,1,2,-0.39475507
50,1.0,tanh,RMSprop,15,1,2,-0.39430076
65,1.0,tanh,RMSprop,25,1,2,-0.36843997
65,1.0,tanh,RMSprop,75,1,2,-0.36438555
80,1.0,tanh,RMSprop,70,1,2,-0.36049742
75,1.0,tanh,RMSprop,85,1,2,-0.35823807
65,1.0,tanh,RMSprop,15,1,2,-0.35742015
60,1.0,tanh,RMSprop,35,1,2,-0.3527679
