epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
80,1.0,tanh,RMSprop,15,1,2,0.8589677
85,1.0,tanh,RMSprop,5,1,2,0.8569901
65,1.0,tanh,RMSprop,15,1,2,0.83609104
30,1.0,tanh,RMSprop,15,1,2,0.8359711
60,1.0,tanh,RMSprop,10,1,2,0.83596927
75,1.0,tanh,RMSprop,10,1,2,0.82635516
45,1.0,tanh,RMSprop,20,1,2,0.8247739
80,1.0,tanh,RMSprop,10,1,2,0.8181083
60,1.0,tanh,RMSprop,20,1,2,0.8179145
85,1.0,tanh,RMSprop,15,1,2,0.81452155
75,1.0,tanh,RMSprop,5,1,2,0.812011
70,1.0,tanh,RMSprop,5,1,2,0.8120056
65,1.0,tanh,RMSprop,10,1,2,0.81195176
50,1.0,tanh,RMSprop,10,1,2,0.81124324
70,1.0,tanh,RMSprop,10,1,2,0.80989975
45,1.0,tanh,RMSprop,10,1,2,0.808048
35,1.0,tanh,RMSprop,15,1,2,0.80592966
55,1.0,tanh,RMSprop,15,1,2,0.8047826
15,1.0,tanh,RMSprop,10,1,2,0.797693
90,1.0,tanh,RMSprop,15,1,2,0.7965863
25,1.0,tanh,RMSprop,10,1,2,0.79379106
40,1.0,tanh,RMSprop,5,1,2,0.79097885
20,1.0,tanh,RMSprop,5,1,2,0.7904592
50,1.0,tanh,RMSprop,15,1,2,0.78970283
95,1.0,tanh,RMSprop,10,1,2,0.7873434
20,1.0,tanh,RMSprop,10,1,2,0.786027
30,1.0,tanh,RMSprop,10,1,2,0.78433836
50,1.0,tanh,RMSprop,5,1,2,0.7812911
15,1.0,tanh,RMSprop,15,1,2,0.78122085
15,1.0,tanh,RMSprop,5,1,2,0.7799618
45,1.0,tanh,RMSprop,15,1,2,0.77948135
40,1.0,tanh,RMSprop,10,1,2,0.77938986
95,1.0,tanh,RMSprop,5,1,2,0.7783456
70,1.0,tanh,RMSprop,15,1,2,0.7736357
25,1.0,tanh,RMSprop,15,1,2,0.7709672
35,1.0,tanh,RMSprop,10,1,2,0.7706338
60,1.0,tanh,RMSprop,15,1,2,0.7704291
55,1.0,tanh,RMSprop,5,1,2,0.76896554
10,1.0,tanh,RMSprop,10,1,2,0.76884055
95,1.0,tanh,RMSprop,20,1,2,0.76840043
65,1.0,tanh,RMSprop,25,1,2,0.76399124
