epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
45,1.0,tanh,RMSprop,25,1,2,0.86217403
45,1.0,tanh,RMSprop,40,1,2,0.8611426
75,1.0,tanh,RMSprop,10,1,2,0.860598
35,1.0,tanh,RMSprop,5,1,2,0.8601458
80,1.0,tanh,RMSprop,10,1,2,0.85918987
100,1.0,tanh,RMSprop,5,1,2,0.85645944
95,1.0,tanh,RMSprop,15,1,2,0.8455025
50,1.0,tanh,RMSprop,55,1,2,0.83922875
65,1.0,tanh,RMSprop,10,1,2,0.83242303
100,1.0,tanh,RMSprop,25,1,2,0.82699144
85,1.0,tanh,RMSprop,10,1,2,0.82572156
40,1.0,tanh,RMSprop,70,1,2,0.8251695
35,1.0,tanh,RMSprop,55,1,2,0.82388073
65,1.0,tanh,RMSprop,15,1,2,0.822211
85,1.0,tanh,RMSprop,100,1,2,0.80894554
55,1.0,tanh,RMSprop,95,1,2,0.80766064
35,1.0,tanh,RMSprop,25,1,2,0.8062447
30,1.0,tanh,RMSprop,20,1,2,0.80318415
55,1.0,tanh,RMSprop,45,1,2,0.80305773
45,1.0,tanh,RMSprop,20,1,2,0.801982
60,1.0,tanh,RMSprop,15,1,2,0.7965623
10,1.0,tanh,RMSprop,40,1,2,0.7955279
45,1.0,tanh,RMSprop,15,1,2,0.79429406
55,1.0,tanh,RMSprop,5,1,2,0.79322654
5,1.0,tanh,RMSprop,5,1,2,0.7902483
20,1.0,tanh,RMSprop,20,1,2,0.78859097
5,1.0,tanh,RMSprop,20,1,2,0.78856176
5,1.0,tanh,RMSprop,40,1,2,0.7884026
60,1.0,tanh,RMSprop,55,1,2,0.78804636
40,1.0,tanh,RMSprop,45,1,2,0.78710884
25,1.0,tanh,RMSprop,35,1,2,0.78626156
5,1.0,tanh,RMSprop,15,1,2,0.7858337
5,1.0,tanh,RMSprop,30,1,2,0.78571874
5,1.0,tanh,RMSprop,35,1,2,0.78569484
60,1.0,tanh,RMSprop,10,1,2,0.7846163
25,1.0,tanh,RMSprop,100,1,2,0.78316396
10,1.0,tanh,RMSprop,10,1,2,0.7825696
100,1.0,tanh,RMSprop,55,1,2,0.7816891
100,1.0,tanh,RMSprop,45,1,2,0.7813833
80,1.0,tanh,RMSprop,25,1,2,0.7803698
10,1.0,tanh,RMSprop,25,1,2,0.77907336
15,1.0,tanh,RMSprop,25,1,2,0.7780401
15,1.0,tanh,RMSprop,35,1,2,0.7764496
35,1.0,tanh,RMSprop,15,1,2,0.76994973
20,1.0,tanh,RMSprop,40,1,2,0.7698145
70,1.0,tanh,RMSprop,10,1,2,0.7691042
90,1.0,tanh,RMSprop,45,1,2,0.76894933
70,1.0,tanh,RMSprop,20,1,2,0.76820105
65,1.0,tanh,RMSprop,25,1,2,0.7669062
10,1.0,tanh,RMSprop,5,1,2,0.7657602
15,1.0,tanh,RMSprop,15,1,2,0.76511246
5,1.0,tanh,RMSprop,25,1,2,0.7640063
15,1.0,tanh,RMSprop,5,1,2,0.7639101
50,1.0,tanh,RMSprop,50,1,2,0.7638512
15,1.0,tanh,RMSprop,10,1,2,0.76382685
25,1.0,tanh,RMSprop,40,1,2,0.7626127
10,1.0,tanh,RMSprop,15,1,2,0.7612555
50,1.0,tanh,RMSprop,5,1,2,0.76100606
55,1.0,tanh,RMSprop,10,1,2,0.7609082
65,1.0,tanh,RMSprop,5,1,2,0.7606939
15,1.0,tanh,RMSprop,30,1,2,0.75964445
25,1.0,tanh,RMSprop,5,1,2,0.75762063
25,1.0,tanh,RMSprop,25,1,2,0.7574112
25,1.0,tanh,RMSprop,15,1,2,0.75648737
25,1.0,tanh,RMSprop,20,1,2,0.75449544
