epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
40,1.0,tanh,RMSprop,25,1,2,0.80624264
80,1.0,tanh,RMSprop,10,1,2,0.79782754
75,1.0,tanh,RMSprop,5,1,2,0.79503584
95,1.0,tanh,RMSprop,5,1,2,0.79138994
55,1.0,tanh,RMSprop,10,1,2,0.79045266
80,1.0,tanh,RMSprop,20,1,2,0.7849127
55,1.0,tanh,RMSprop,20,1,2,0.77776194
30,1.0,tanh,RMSprop,5,1,2,0.77445674
25,1.0,tanh,RMSprop,15,1,2,0.77023727
90,1.0,tanh,RMSprop,15,1,2,0.7682678
50,1.0,tanh,RMSprop,10,1,2,0.7664336
40,1.0,tanh,RMSprop,5,1,2,0.76460904
75,1.0,tanh,RMSprop,10,1,2,0.7621639
45,1.0,tanh,RMSprop,10,1,2,0.75985485
35,1.0,tanh,RMSprop,20,1,2,0.7595078
30,1.0,tanh,RMSprop,10,1,2,0.7581602
20,1.0,tanh,RMSprop,15,1,2,0.7554885
60,1.0,tanh,RMSprop,10,1,2,0.7549986
35,1.0,tanh,RMSprop,5,1,2,0.74799
40,1.0,tanh,RMSprop,10,1,2,0.7416594
95,1.0,tanh,RMSprop,15,1,2,0.7383543
60,1.0,tanh,RMSprop,15,1,2,0.7361092
15,1.0,tanh,RMSprop,15,1,2,0.7341304
80,1.0,tanh,RMSprop,5,1,2,0.73412764
30,1.0,tanh,RMSprop,15,1,2,0.73381835
100,1.0,tanh,RMSprop,10,1,2,0.733576
55,1.0,tanh,RMSprop,5,1,2,0.7314549
70,1.0,tanh,RMSprop,10,1,2,0.7283888
90,1.0,tanh,RMSprop,10,1,2,0.720752
15,1.0,tanh,RMSprop,20,1,2,0.7193302
70,1.0,tanh,RMSprop,5,1,2,0.7184982
65,1.0,tanh,RMSprop,15,1,2,0.7145788
50,1.0,tanh,RMSprop,15,1,2,0.7142587
55,1.0,tanh,RMSprop,30,1,2,0.7136581
95,1.0,tanh,RMSprop,10,1,2,0.71314025
45,1.0,tanh,RMSprop,5,1,2,0.71098983
35,1.0,tanh,RMSprop,10,1,2,0.7109802
70,1.0,tanh,RMSprop,15,1,2,0.7090804
35,1.0,tanh,RMSprop,25,1,2,0.7085121
25,1.0,tanh,RMSprop,5,1,2,0.7073187
15,1.0,tanh,RMSprop,10,1,2,0.7068066
50,1.0,tanh,RMSprop,5,1,2,0.7065228
85,1.0,tanh,RMSprop,5,1,2,0.70623684
10,1.0,tanh,RMSprop,5,1,2,0.70442957
65,1.0,tanh,RMSprop,5,1,2,0.7039909
90,1.0,tanh,RMSprop,5,1,2,0.69367844
40,1.0,tanh,RMSprop,15,1,2,0.69116694
45,1.0,tanh,RMSprop,15,1,2,0.6906341
5,1.0,tanh,RMSprop,25,1,2,0.69002503
55,1.0,tanh,RMSprop,15,1,2,0.68637395
80,1.0,tanh,RMSprop,15,1,2,0.6796919
85,1.0,tanh,RMSprop,20,1,2,0.67501533
100,1.0,tanh,RMSprop,25,1,2,0.66804785
35,1.0,tanh,RMSprop,15,1,2,0.66429126
60,1.0,tanh,RMSprop,5,1,2,0.66355765
65,1.0,tanh,RMSprop,10,1,2,0.6621343
5,1.0,tanh,RMSprop,15,1,2,0.6555475
100,1.0,tanh,RMSprop,5,1,2,0.655166
65,1.0,tanh,RMSprop,20,1,2,0.64933187
20,1.0,tanh,RMSprop,20,1,2,0.6472415
10,1.0,tanh,RMSprop,15,1,2,0.6462701
75,1.0,tanh,RMSprop,15,1,2,0.6374217
30,1.0,tanh,RMSprop,30,1,2,0.63600904
