epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
80,1.0,tanh,RMSprop,15,1,2,0.83913136
70,1.0,tanh,RMSprop,15,1,2,0.82838255
60,1.0,tanh,RMSprop,25,1,2,0.80799234
30,1.0,tanh,RMSprop,15,1,2,0.8066089
40,1.0,tanh,RMSprop,20,1,2,0.7957604
100,1.0,tanh,RMSprop,5,1,2,0.78910935
30,1.0,tanh,RMSprop,100,1,2,0.78822446
55,1.0,tanh,RMSprop,15,1,2,0.7871898
85,1.0,tanh,RMSprop,30,1,2,0.7843827
60,1.0,tanh,RMSprop,15,1,2,0.7789142
40,1.0,tanh,RMSprop,10,1,2,0.77865124
65,1.0,tanh,RMSprop,10,1,2,0.77795947
50,1.0,tanh,RMSprop,20,1,2,0.776639
65,1.0,tanh,RMSprop,15,1,2,0.7754667
40,1.0,tanh,RMSprop,15,1,2,0.77068406
45,1.0,tanh,RMSprop,15,1,2,0.76583594
90,1.0,tanh,RMSprop,5,1,2,0.7614936
55,1.0,tanh,RMSprop,10,1,2,0.7613612
35,1.0,tanh,RMSprop,10,1,2,0.7593843
10,1.0,tanh,RMSprop,15,1,2,0.75881416
45,1.0,tanh,RMSprop,10,1,2,0.7588033
20,1.0,tanh,RMSprop,20,1,2,0.74954575
60,1.0,tanh,RMSprop,5,1,2,0.7494134
95,1.0,tanh,RMSprop,10,1,2,0.745634
95,1.0,tanh,RMSprop,15,1,2,0.74444294
30,1.0,tanh,RMSprop,10,1,2,0.7357966
15,1.0,tanh,RMSprop,15,1,2,0.7357541
95,1.0,tanh,RMSprop,5,1,2,0.7341372
5,1.0,tanh,RMSprop,10,1,2,0.73373294
50,1.0,tanh,RMSprop,35,1,2,0.7302515
80,1.0,tanh,RMSprop,5,1,2,0.7285487
100,1.0,tanh,RMSprop,15,1,2,0.72027415
70,1.0,tanh,RMSprop,20,1,2,0.7186888
40,1.0,tanh,RMSprop,95,1,2,0.7154832
85,1.0,tanh,RMSprop,40,1,2,0.71266115
20,1.0,tanh,RMSprop,10,1,2,0.712368
50,1.0,tanh,RMSprop,15,1,2,0.71090114
90,1.0,tanh,RMSprop,10,1,2,0.7106085
40,1.0,tanh,RMSprop,5,1,2,0.71034503
35,1.0,tanh,RMSprop,100,1,2,0.7088859
65,1.0,tanh,RMSprop,40,1,2,0.7073329
50,1.0,tanh,RMSprop,5,1,2,0.7064793
25,1.0,tanh,RMSprop,10,1,2,0.70636547
20,1.0,tanh,RMSprop,15,1,2,0.7050157
35,1.0,tanh,RMSprop,5,1,2,0.7043141
60,1.0,tanh,RMSprop,10,1,2,0.70303506
15,1.0,tanh,RMSprop,10,1,2,0.70278174
45,1.0,tanh,RMSprop,25,1,2,0.6990045
45,1.0,tanh,RMSprop,5,1,2,0.6910416
70,1.0,tanh,RMSprop,10,1,2,0.6904791
55,1.0,tanh,RMSprop,55,1,2,0.6894519
75,1.0,tanh,RMSprop,40,1,2,0.688412
100,1.0,tanh,RMSprop,30,1,2,0.68839085
15,1.0,tanh,RMSprop,20,1,2,0.6876314
95,1.0,tanh,RMSprop,20,1,2,0.68516237
50,1.0,tanh,RMSprop,10,1,2,0.6842266
50,1.0,tanh,RMSprop,65,1,2,0.6815583
30,1.0,tanh,RMSprop,95,1,2,0.66974294
75,1.0,tanh,RMSprop,5,1,2,0.6682697
65,1.0,tanh,RMSprop,5,1,2,0.66586506
50,1.0,tanh,RMSprop,70,1,2,0.6616425
30,1.0,tanh,RMSprop,75,1,2,0.65443146
70,1.0,tanh,RMSprop,25,1,2,0.6528174
85,1.0,tanh,RMSprop,35,1,2,0.65099704
25,1.0,tanh,RMSprop,15,1,2,0.64789367
20,1.0,tanh,RMSprop,5,1,2,0.64508766
15,1.0,tanh,RMSprop,5,1,2,0.6446154
70,1.0,tanh,RMSprop,35,1,2,0.64195484
45,1.0,tanh,RMSprop,90,1,2,0.64097977
55,1.0,tanh,RMSprop,45,1,2,0.63656074
30,1.0,tanh,RMSprop,5,1,2,0.6302787
75,1.0,tanh,RMSprop,30,1,2,0.62809163
80,1.0,tanh,RMSprop,20,1,2,0.627198
65,1.0,tanh,RMSprop,35,1,2,0.6240062
85,1.0,tanh,RMSprop,15,1,2,0.62156427
10,1.0,tanh,RMSprop,5,1,2,0.62012136
30,1.0,tanh,RMSprop,20,1,2,0.61491305
25,1.0,tanh,RMSprop,5,1,2,0.6121682
75,1.0,tanh,RMSprop,60,1,2,0.61000544
5,1.0,tanh,RMSprop,15,1,2,0.6084912
90,1.0,tanh,RMSprop,15,1,2,0.6079192
70,1.0,tanh,RMSprop,5,1,2,0.5913633
90,1.0,tanh,RMSprop,30,1,2,0.58394176
80,1.0,tanh,RMSprop,40,1,2,0.5832507
85,1.0,tanh,RMSprop,10,1,2,0.576807
45,1.0,tanh,RMSprop,30,1,2,0.5703611
100,1.0,tanh,RMSprop,25,1,2,0.5610753
35,1.0,tanh,RMSprop,15,1,2,0.5581323
30,1.0,tanh,RMSprop,85,1,2,0.55683917
5,1.0,tanh,RMSprop,5,1,2,0.5538596
75,1.0,tanh,RMSprop,10,1,2,0.5475078
100,1.0,tanh,RMSprop,35,1,2,0.5462207
85,1.0,tanh,RMSprop,100,1,2,0.5406468
55,1.0,tanh,RMSprop,60,1,2,0.54001987
80,1.0,tanh,RMSprop,30,1,2,0.5323469
55,1.0,tanh,RMSprop,5,1,2,0.53063935
55,1.0,tanh,RMSprop,85,1,2,0.5295547
25,1.0,tanh,RMSprop,20,1,2,0.5288718
10,1.0,tanh,RMSprop,10,1,2,0.5173427
85,1.0,tanh,RMSprop,5,1,2,0.5125925
85,1.0,tanh,RMSprop,20,1,2,0.51137537
50,1.0,tanh,RMSprop,60,1,2,0.50650007
55,1.0,tanh,RMSprop,50,1,2,0.5045977
40,1.0,tanh,RMSprop,70,1,2,0.4925986
45,1.0,tanh,RMSprop,20,1,2,0.46980748
100,1.0,tanh,RMSprop,55,1,2,0.46648955
50,1.0,tanh,RMSprop,75,1,2,0.45706856
