epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
50,1.0,tanh,RMSprop,10,1,2,0.900214
55,1.0,tanh,RMSprop,25,1,2,0.8949773
95,1.0,tanh,RMSprop,10,1,2,0.88950074
35,1.0,tanh,RMSprop,15,1,2,0.87276894
10,1.0,tanh,RMSprop,15,1,2,0.8720889
15,1.0,tanh,RMSprop,15,1,2,0.87138975
25,1.0,tanh,RMSprop,10,1,2,0.8677627
60,1.0,tanh,RMSprop,5,1,2,0.85255355
20,1.0,tanh,RMSprop,25,1,2,0.8505899
95,1.0,tanh,RMSprop,40,1,2,0.8491326
100,1.0,tanh,RMSprop,80,1,2,0.8450206
30,1.0,tanh,RMSprop,5,1,2,0.84175956
55,1.0,tanh,RMSprop,5,1,2,0.83873826
90,1.0,tanh,RMSprop,15,1,2,0.83765507
15,1.0,tanh,RMSprop,10,1,2,0.8373497
40,1.0,tanh,RMSprop,15,1,2,0.8341685
20,1.0,tanh,RMSprop,10,1,2,0.82705903
5,1.0,tanh,RMSprop,5,1,2,0.82581717
90,1.0,tanh,RMSprop,5,1,2,0.8251174
95,1.0,tanh,RMSprop,5,1,2,0.8215709
75,1.0,tanh,RMSprop,10,1,2,0.81791383
15,1.0,tanh,RMSprop,5,1,2,0.81555897
55,1.0,tanh,RMSprop,20,1,2,0.8102791
10,1.0,tanh,RMSprop,5,1,2,0.80994403
90,1.0,tanh,RMSprop,85,1,2,0.80974424
70,1.0,tanh,RMSprop,70,1,2,0.80813897
35,1.0,tanh,RMSprop,10,1,2,0.8073366
100,1.0,tanh,RMSprop,5,1,2,0.8069378
65,1.0,tanh,RMSprop,15,1,2,0.8038876
95,1.0,tanh,RMSprop,60,1,2,0.8038287
50,1.0,tanh,RMSprop,30,1,2,0.8025668
25,1.0,tanh,RMSprop,50,1,2,0.80013174
60,1.0,tanh,RMSprop,15,1,2,0.7987914
65,1.0,tanh,RMSprop,5,1,2,0.79835033
25,1.0,tanh,RMSprop,15,1,2,0.79827553
20,1.0,tanh,RMSprop,20,1,2,0.7972669
50,1.0,tanh,RMSprop,5,1,2,0.78225243
90,1.0,tanh,RMSprop,55,1,2,0.7764469
55,1.0,tanh,RMSprop,10,1,2,0.7761983
85,1.0,tanh,RMSprop,5,1,2,0.77449274
45,1.0,tanh,RMSprop,5,1,2,0.77437055
70,1.0,tanh,RMSprop,80,1,2,0.7728768
10,1.0,tanh,RMSprop,20,1,2,0.7712373
40,1.0,tanh,RMSprop,5,1,2,0.7680572
60,1.0,tanh,RMSprop,50,1,2,0.76698375
65,1.0,tanh,RMSprop,10,1,2,0.76280653
65,1.0,tanh,RMSprop,40,1,2,0.7595664
45,1.0,tanh,RMSprop,15,1,2,0.7572387
75,1.0,tanh,RMSprop,5,1,2,0.75623953
5,1.0,tanh,RMSprop,25,1,2,0.7485893
70,1.0,tanh,RMSprop,10,1,2,0.74500924
10,1.0,tanh,RMSprop,40,1,2,0.74265933
65,1.0,tanh,RMSprop,70,1,2,0.73650014
30,1.0,tanh,RMSprop,10,1,2,0.73200244
100,1.0,tanh,RMSprop,20,1,2,0.7283344
90,1.0,tanh,RMSprop,80,1,2,0.72649956
5,1.0,tanh,RMSprop,15,1,2,0.7222235
20,1.0,tanh,RMSprop,15,1,2,0.72189796
20,1.0,tanh,RMSprop,5,1,2,0.7215022
10,1.0,tanh,RMSprop,25,1,2,0.7131404
80,1.0,tanh,RMSprop,5,1,2,0.70385796
75,1.0,tanh,RMSprop,45,1,2,0.70383644
60,1.0,tanh,RMSprop,10,1,2,0.69780624
80,1.0,tanh,RMSprop,65,1,2,0.69447714
80,1.0,tanh,RMSprop,50,1,2,0.68932784
90,1.0,tanh,RMSprop,45,1,2,0.6891094
70,1.0,tanh,RMSprop,5,1,2,0.68004566
15,1.0,tanh,RMSprop,20,1,2,0.67539907
100,1.0,tanh,RMSprop,75,1,2,0.6724211
90,1.0,tanh,RMSprop,40,1,2,0.65825015
25,1.0,tanh,RMSprop,5,1,2,0.6565742
85,1.0,tanh,RMSprop,45,1,2,0.6542037
35,1.0,tanh,RMSprop,5,1,2,0.6528012
