epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
85,1.0,tanh,RMSprop,10,1,2,0.7228624
95,1.0,tanh,RMSprop,40,1,2,0.69849366
70,1.0,tanh,RMSprop,80,1,2,0.5138614
5,1.0,tanh,RMSprop,20,1,2,0.50878227
75,1.0,tanh,RMSprop,65,1,2,0.45654786
90,1.0,tanh,RMSprop,80,1,2,0.40715656
70,1.0,tanh,RMSprop,100,1,2,0.39902672
85,1.0,tanh,RMSprop,5,1,2,0.34655726
90,1.0,tanh,RMSprop,60,1,2,0.32794803
35,1.0,tanh,RMSprop,5,1,2,0.30248332
15,1.0,tanh,RMSprop,20,1,2,0.24244744
10,1.0,tanh,RMSprop,20,1,2,0.22380017
95,1.0,tanh,RMSprop,65,1,2,0.17014189
75,1.0,tanh,RMSprop,100,1,2,0.15073611
20,1.0,tanh,RMSprop,5,1,2,0.14884229
85,1.0,tanh,RMSprop,65,1,2,0.12787451
100,1.0,tanh,RMSprop,85,1,2,0.12513264
95,1.0,tanh,RMSprop,50,1,2,0.11958427
10,1.0,tanh,RMSprop,25,1,2,0.11932664
80,1.0,tanh,RMSprop,95,1,2,0.07577338
95,1.0,tanh,RMSprop,70,1,2,0.073481485
90,1.0,tanh,RMSprop,85,1,2,0.06231017
60,1.0,tanh,RMSprop,100,1,2,0.05616266
90,1.0,tanh,RMSprop,40,1,2,0.041470643
80,1.0,tanh,RMSprop,55,1,2,0.041439615
95,1.0,tanh,RMSprop,30,1,2,0.040966783
85,1.0,tanh,RMSprop,70,1,2,0.040964767
90,1.0,tanh,RMSprop,35,1,2,0.040902335
85,1.0,tanh,RMSprop,45,1,2,0.040828038
75,1.0,tanh,RMSprop,55,1,2,0.040601045
85,1.0,tanh,RMSprop,40,1,2,0.040428746
70,1.0,tanh,RMSprop,70,1,2,0.040412996
60,1.0,tanh,RMSprop,85,1,2,0.040405344
50,1.0,tanh,RMSprop,80,1,2,0.0403496
70,1.0,tanh,RMSprop,55,1,2,0.040338628
80,1.0,tanh,RMSprop,45,1,2,0.040269908
85,1.0,tanh,RMSprop,35,1,2,0.040248718
80,1.0,tanh,RMSprop,40,1,2,0.040211383
65,1.0,tanh,RMSprop,60,1,2,0.04015817
65,1.0,tanh,RMSprop,70,1,2,0.040146228
90,1.0,tanh,RMSprop,30,1,2,0.04014251
75,1.0,tanh,RMSprop,45,1,2,0.04007091
85,1.0,tanh,RMSprop,30,1,2,0.040002722
75,1.0,tanh,RMSprop,40,1,2,0.039992332
80,1.0,tanh,RMSprop,30,1,2,0.03997495
80,1.0,tanh,RMSprop,35,1,2,0.03987209
5,1.0,tanh,RMSprop,30,1,2,0.039866704
5,1.0,tanh,RMSprop,25,1,2,0.039844673
70,1.0,tanh,RMSprop,50,1,2,0.039839175
55,1.0,tanh,RMSprop,80,1,2,0.03982819
70,1.0,tanh,RMSprop,45,1,2,0.039820023
60,1.0,tanh,RMSprop,65,1,2,0.039727554
60,1.0,tanh,RMSprop,70,1,2,0.039719418
65,1.0,tanh,RMSprop,55,1,2,0.03971827
75,1.0,tanh,RMSprop,35,1,2,0.039694242
5,1.0,tanh,RMSprop,35,1,2,0.039692655
5,1.0,tanh,RMSprop,45,1,2,0.039686833
60,1.0,tanh,RMSprop,60,1,2,0.03967792
50,1.0,tanh,RMSprop,100,1,2,0.039673112
50,1.0,tanh,RMSprop,85,1,2,0.03964808
75,1.0,tanh,RMSprop,25,1,2,0.039644834
65,1.0,tanh,RMSprop,80,1,2,0.039631765
65,1.0,tanh,RMSprop,50,1,2,0.039629593
70,1.0,tanh,RMSprop,40,1,2,0.03962795
5,1.0,tanh,RMSprop,50,1,2,0.0396175
5,1.0,tanh,RMSprop,40,1,2,0.039615963
75,1.0,tanh,RMSprop,30,1,2,0.039607447
70,1.0,tanh,RMSprop,35,1,2,0.03960296
45,1.0,tanh,RMSprop,85,1,2,0.039587505
5,1.0,tanh,RMSprop,60,1,2,0.039583523
55,1.0,tanh,RMSprop,75,1,2,0.03958054
65,1.0,tanh,RMSprop,40,1,2,0.039562605
5,1.0,tanh,RMSprop,85,1,2,0.0395612
55,1.0,tanh,RMSprop,70,1,2,0.039550487
70,1.0,tanh,RMSprop,30,1,2,0.039545935
5,1.0,tanh,RMSprop,90,1,2,0.039534
5,1.0,tanh,RMSprop,55,1,2,0.039531395
60,1.0,tanh,RMSprop,55,1,2,0.039525084
65,1.0,tanh,RMSprop,45,1,2,0.039522845
5,1.0,tanh,RMSprop,70,1,2,0.039512705
55,1.0,tanh,RMSprop,65,1,2,0.03951235
60,1.0,tanh,RMSprop,50,1,2,0.039499335
5,1.0,tanh,RMSprop,65,1,2,0.039489523
5,1.0,tanh,RMSprop,100,1,2,0.039480243
60,1.0,tanh,RMSprop,45,1,2,0.039470084
55,1.0,tanh,RMSprop,60,1,2,0.03946267
5,1.0,tanh,RMSprop,75,1,2,0.039411336
65,1.0,tanh,RMSprop,35,1,2,0.03940675
