epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,1.0,tanh,RMSprop,5,1,2,0.7589559
5,1.0,tanh,RMSprop,25,1,2,0.4782079
95,1.0,tanh,RMSprop,15,1,2,0.47440553
5,1.0,tanh,RMSprop,30,1,2,0.47135952
5,1.0,tanh,RMSprop,20,1,2,0.4621916
5,1.0,tanh,RMSprop,35,1,2,0.460766
5,1.0,tanh,RMSprop,40,1,2,0.45368227
5,1.0,tanh,RMSprop,55,1,2,0.44308427
90,1.0,tanh,RMSprop,15,1,2,0.4404893
5,1.0,tanh,RMSprop,60,1,2,0.43788943
5,1.0,tanh,RMSprop,45,1,2,0.43626118
5,1.0,tanh,RMSprop,50,1,2,0.4353303
5,1.0,tanh,RMSprop,65,1,2,0.43048453
5,1.0,tanh,RMSprop,70,1,2,0.42804807
5,1.0,tanh,RMSprop,75,1,2,0.42588732
5,1.0,tanh,RMSprop,80,1,2,0.4256494
5,1.0,tanh,RMSprop,85,1,2,0.4215219
5,1.0,tanh,RMSprop,100,1,2,0.4209417
5,1.0,tanh,RMSprop,90,1,2,0.41893378
5,1.0,tanh,RMSprop,95,1,2,0.41882142
80,1.0,tanh,RMSprop,5,1,2,0.41613984
75,1.0,tanh,RMSprop,15,1,2,0.40745765
10,1.0,tanh,RMSprop,30,1,2,0.39825344
10,1.0,tanh,RMSprop,40,1,2,0.3801934
10,1.0,tanh,RMSprop,35,1,2,0.37854892
10,1.0,tanh,RMSprop,45,1,2,0.37625828
15,1.0,tanh,RMSprop,30,1,2,0.37481248
10,1.0,tanh,RMSprop,50,1,2,0.37375075
15,1.0,tanh,RMSprop,35,1,2,0.37095767
10,1.0,tanh,RMSprop,65,1,2,0.37076244
10,1.0,tanh,RMSprop,55,1,2,0.37066376
10,1.0,tanh,RMSprop,60,1,2,0.37055665
15,1.0,tanh,RMSprop,40,1,2,0.36970675
10,1.0,tanh,RMSprop,70,1,2,0.3680602
10,1.0,tanh,RMSprop,75,1,2,0.36690456
15,1.0,tanh,RMSprop,45,1,2,0.36690152
20,1.0,tanh,RMSprop,30,1,2,0.365545
40,1.0,tanh,RMSprop,20,1,2,0.3649819
15,1.0,tanh,RMSprop,50,1,2,0.36378285
10,1.0,tanh,RMSprop,95,1,2,0.3635961
10,1.0,tanh,RMSprop,80,1,2,0.363583
20,1.0,tanh,RMSprop,35,1,2,0.36324266
10,1.0,tanh,RMSprop,100,1,2,0.36308533
25,1.0,tanh,RMSprop,30,1,2,0.36299145
20,1.0,tanh,RMSprop,40,1,2,0.3625384
10,1.0,tanh,RMSprop,85,1,2,0.36195076
25,1.0,tanh,RMSprop,35,1,2,0.36160266
15,1.0,tanh,RMSprop,55,1,2,0.3594692
15,1.0,tanh,RMSprop,60,1,2,0.35936126
15,1.0,tanh,RMSprop,65,1,2,0.3591207
15,1.0,tanh,RMSprop,70,1,2,0.35861167
10,1.0,tanh,RMSprop,90,1,2,0.35834262
15,1.0,tanh,RMSprop,100,1,2,0.35789317
20,1.0,tanh,RMSprop,45,1,2,0.35773683
15,1.0,tanh,RMSprop,80,1,2,0.35704768
20,1.0,tanh,RMSprop,55,1,2,0.3566918
15,1.0,tanh,RMSprop,75,1,2,0.35639155
25,1.0,tanh,RMSprop,45,1,2,0.35568872
25,1.0,tanh,RMSprop,40,1,2,0.35481915
30,1.0,tanh,RMSprop,35,1,2,0.35473764
15,1.0,tanh,RMSprop,85,1,2,0.35331
20,1.0,tanh,RMSprop,60,1,2,0.35257658
15,1.0,tanh,RMSprop,90,1,2,0.35247463
20,1.0,tanh,RMSprop,65,1,2,0.35246816
20,1.0,tanh,RMSprop,70,1,2,0.35244662
25,1.0,tanh,RMSprop,50,1,2,0.35172978
40,1.0,tanh,RMSprop,35,1,2,0.35162595
20,1.0,tanh,RMSprop,75,1,2,0.35124242
30,1.0,tanh,RMSprop,45,1,2,0.35121137
20,1.0,tanh,RMSprop,85,1,2,0.35113135
20,1.0,tanh,RMSprop,90,1,2,0.35074052
35,1.0,tanh,RMSprop,35,1,2,0.350664
20,1.0,tanh,RMSprop,80,1,2,0.3501402
25,1.0,tanh,RMSprop,55,1,2,0.35013315
20,1.0,tanh,RMSprop,50,1,2,0.34986517
45,1.0,tanh,RMSprop,30,1,2,0.3497506
25,1.0,tanh,RMSprop,60,1,2,0.34967184
25,1.0,tanh,RMSprop,70,1,2,0.34938842
25,1.0,tanh,RMSprop,75,1,2,0.3490804
40,1.0,tanh,RMSprop,40,1,2,0.3488556
15,1.0,tanh,RMSprop,95,1,2,0.34878108
20,1.0,tanh,RMSprop,95,1,2,0.3485607
35,1.0,tanh,RMSprop,50,1,2,0.3485011
25,1.0,tanh,RMSprop,95,1,2,0.34753203
20,1.0,tanh,RMSprop,100,1,2,0.34729838
25,1.0,tanh,RMSprop,65,1,2,0.34706452
45,1.0,tanh,RMSprop,35,1,2,0.34694272
35,1.0,tanh,RMSprop,30,1,2,0.34680024
35,1.0,tanh,RMSprop,40,1,2,0.34641686
25,1.0,tanh,RMSprop,80,1,2,0.34623104
30,1.0,tanh,RMSprop,55,1,2,0.3461925
35,1.0,tanh,RMSprop,45,1,2,0.34619156
25,1.0,tanh,RMSprop,85,1,2,0.34540817
30,1.0,tanh,RMSprop,50,1,2,0.3452823
30,1.0,tanh,RMSprop,60,1,2,0.34525466
30,1.0,tanh,RMSprop,40,1,2,0.3441399
35,1.0,tanh,RMSprop,55,1,2,0.3440113
55,1.0,tanh,RMSprop,30,1,2,0.34381795
30,1.0,tanh,RMSprop,80,1,2,0.3435008
35,1.0,tanh,RMSprop,60,1,2,0.3432855
70,1.0,tanh,RMSprop,25,1,2,0.34272358
25,1.0,tanh,RMSprop,100,1,2,0.34249762
40,1.0,tanh,RMSprop,45,1,2,0.34241456
30,1.0,tanh,RMSprop,70,1,2,0.34209624
35,1.0,tanh,RMSprop,65,1,2,0.34161845
30,1.0,tanh,RMSprop,95,1,2,0.3415308
25,1.0,tanh,RMSprop,90,1,2,0.34146667
35,1.0,tanh,RMSprop,75,1,2,0.34102374
50,1.0,tanh,RMSprop,35,1,2,0.34102058
55,1.0,tanh,RMSprop,35,1,2,0.34071502
30,1.0,tanh,RMSprop,90,1,2,0.3401722
65,1.0,tanh,RMSprop,30,1,2,0.33986798
40,1.0,tanh,RMSprop,50,1,2,0.3398352
60,1.0,tanh,RMSprop,30,1,2,0.33970663
45,1.0,tanh,RMSprop,50,1,2,0.33962467
45,1.0,tanh,RMSprop,45,1,2,0.33959046
35,1.0,tanh,RMSprop,70,1,2,0.33951452
35,1.0,tanh,RMSprop,80,1,2,0.33949324
30,1.0,tanh,RMSprop,65,1,2,0.33946872
60,1.0,tanh,RMSprop,35,1,2,0.33944535
35,1.0,tanh,RMSprop,100,1,2,0.33911788
35,1.0,tanh,RMSprop,85,1,2,0.3388413
40,1.0,tanh,RMSprop,55,1,2,0.33882636
30,1.0,tanh,RMSprop,85,1,2,0.3384222
40,1.0,tanh,RMSprop,60,1,2,0.3381521
50,1.0,tanh,RMSprop,45,1,2,0.33810398
40,1.0,tanh,RMSprop,65,1,2,0.33786812
35,1.0,tanh,RMSprop,90,1,2,0.33781973
45,1.0,tanh,RMSprop,55,1,2,0.337668
35,1.0,tanh,RMSprop,95,1,2,0.3372695
45,1.0,tanh,RMSprop,60,1,2,0.3372351
40,1.0,tanh,RMSprop,95,1,2,0.33686006
40,1.0,tanh,RMSprop,70,1,2,0.3364988
40,1.0,tanh,RMSprop,75,1,2,0.33623853
45,1.0,tanh,RMSprop,40,1,2,0.33600184
30,1.0,tanh,RMSprop,75,1,2,0.3359599
55,1.0,tanh,RMSprop,40,1,2,0.3357578
30,1.0,tanh,RMSprop,100,1,2,0.33544496
45,1.0,tanh,RMSprop,70,1,2,0.3353263
60,1.0,tanh,RMSprop,40,1,2,0.33471727
75,1.0,tanh,RMSprop,30,1,2,0.33468384
70,1.0,tanh,RMSprop,30,1,2,0.3345288
40,1.0,tanh,RMSprop,80,1,2,0.33423173
40,1.0,tanh,RMSprop,85,1,2,0.3340884
45,1.0,tanh,RMSprop,75,1,2,0.33362296
55,1.0,tanh,RMSprop,45,1,2,0.33358505
50,1.0,tanh,RMSprop,50,1,2,0.33338812
45,1.0,tanh,RMSprop,65,1,2,0.33322117
45,1.0,tanh,RMSprop,80,1,2,0.33269796
55,1.0,tanh,RMSprop,55,1,2,0.33239642
80,1.0,tanh,RMSprop,35,1,2,0.33219886
55,1.0,tanh,RMSprop,50,1,2,0.33218646
40,1.0,tanh,RMSprop,90,1,2,0.33213863
60,1.0,tanh,RMSprop,45,1,2,0.3321303
70,1.0,tanh,RMSprop,35,1,2,0.33207947
65,1.0,tanh,RMSprop,40,1,2,0.33175737
50,1.0,tanh,RMSprop,60,1,2,0.33174214
45,1.0,tanh,RMSprop,95,1,2,0.33149403
50,1.0,tanh,RMSprop,65,1,2,0.33127418
90,1.0,tanh,RMSprop,30,1,2,0.33123496
65,1.0,tanh,RMSprop,45,1,2,0.33103606
75,1.0,tanh,RMSprop,35,1,2,0.33086345
50,1.0,tanh,RMSprop,40,1,2,0.3307362
45,1.0,tanh,RMSprop,90,1,2,0.33056098
45,1.0,tanh,RMSprop,100,1,2,0.33055943
50,1.0,tanh,RMSprop,70,1,2,0.33005372
95,1.0,tanh,RMSprop,30,1,2,0.32988966
50,1.0,tanh,RMSprop,80,1,2,0.32979223
