epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
5,1.0,tanh,RMSprop,5,1,2,0.69246185
5,1.0,tanh,RMSprop,25,1,2,0.49650654
80,1.0,tanh,RMSprop,5,1,2,0.4517872
75,1.0,tanh,RMSprop,15,1,2,0.45019636
50,1.0,tanh,RMSprop,5,1,2,0.43842256
5,1.0,tanh,RMSprop,30,1,2,0.43467242
35,1.0,tanh,RMSprop,5,1,2,0.43019885
5,1.0,tanh,RMSprop,35,1,2,0.42632264
5,1.0,tanh,RMSprop,40,1,2,0.40705907
5,1.0,tanh,RMSprop,45,1,2,0.40348142
5,1.0,tanh,RMSprop,50,1,2,0.40248278
95,1.0,tanh,RMSprop,5,1,2,0.40114218
5,1.0,tanh,RMSprop,55,1,2,0.39963236
5,1.0,tanh,RMSprop,65,1,2,0.39873877
5,1.0,tanh,RMSprop,60,1,2,0.39286447
5,1.0,tanh,RMSprop,70,1,2,0.39115798
5,1.0,tanh,RMSprop,75,1,2,0.3870248
5,1.0,tanh,RMSprop,85,1,2,0.38550335
5,1.0,tanh,RMSprop,80,1,2,0.3854741
85,1.0,tanh,RMSprop,5,1,2,0.383026
5,1.0,tanh,RMSprop,90,1,2,0.38107568
5,1.0,tanh,RMSprop,95,1,2,0.38017488
5,1.0,tanh,RMSprop,100,1,2,0.37947708
10,1.0,tanh,RMSprop,30,1,2,0.3642057
10,1.0,tanh,RMSprop,35,1,2,0.359869
50,1.0,tanh,RMSprop,10,1,2,0.35886508
60,1.0,tanh,RMSprop,15,1,2,0.35602367
10,1.0,tanh,RMSprop,40,1,2,0.3540066
20,1.0,tanh,RMSprop,25,1,2,0.35206538
15,1.0,tanh,RMSprop,30,1,2,0.35078788
10,1.0,tanh,RMSprop,45,1,2,0.34993723
15,1.0,tanh,RMSprop,35,1,2,0.34929496
10,1.0,tanh,RMSprop,50,1,2,0.34833735
10,1.0,tanh,RMSprop,60,1,2,0.34656298
10,1.0,tanh,RMSprop,55,1,2,0.34582633
25,1.0,tanh,RMSprop,25,1,2,0.34576908
25,1.0,tanh,RMSprop,30,1,2,0.34513748
10,1.0,tanh,RMSprop,65,1,2,0.34417376
20,1.0,tanh,RMSprop,30,1,2,0.34387922
15,1.0,tanh,RMSprop,40,1,2,0.34361455
70,1.0,tanh,RMSprop,10,1,2,0.3430776
15,1.0,tanh,RMSprop,45,1,2,0.34219712
10,1.0,tanh,RMSprop,95,1,2,0.34178707
20,1.0,tanh,RMSprop,35,1,2,0.340988
10,1.0,tanh,RMSprop,80,1,2,0.34061858
10,1.0,tanh,RMSprop,85,1,2,0.34060773
10,1.0,tanh,RMSprop,70,1,2,0.34017608
10,1.0,tanh,RMSprop,100,1,2,0.33964095
25,1.0,tanh,RMSprop,35,1,2,0.33954325
10,1.0,tanh,RMSprop,75,1,2,0.33954135
15,1.0,tanh,RMSprop,65,1,2,0.33875248
20,1.0,tanh,RMSprop,40,1,2,0.33871996
10,1.0,tanh,RMSprop,90,1,2,0.33794188
15,1.0,tanh,RMSprop,55,1,2,0.33792564
15,1.0,tanh,RMSprop,50,1,2,0.3377743
20,1.0,tanh,RMSprop,45,1,2,0.33735818
15,1.0,tanh,RMSprop,60,1,2,0.33693546
20,1.0,tanh,RMSprop,50,1,2,0.33593604
15,1.0,tanh,RMSprop,85,1,2,0.3352355
15,1.0,tanh,RMSprop,70,1,2,0.33467475
30,1.0,tanh,RMSprop,35,1,2,0.33422795
15,1.0,tanh,RMSprop,90,1,2,0.3333609
15,1.0,tanh,RMSprop,75,1,2,0.33312067
25,1.0,tanh,RMSprop,45,1,2,0.3330654
20,1.0,tanh,RMSprop,55,1,2,0.3322256
20,1.0,tanh,RMSprop,65,1,2,0.33200175
30,1.0,tanh,RMSprop,30,1,2,0.33192268
15,1.0,tanh,RMSprop,100,1,2,0.33169532
40,1.0,tanh,RMSprop,35,1,2,0.33136198
15,1.0,tanh,RMSprop,95,1,2,0.33112618
40,1.0,tanh,RMSprop,30,1,2,0.3309902
15,1.0,tanh,RMSprop,80,1,2,0.33090258
25,1.0,tanh,RMSprop,40,1,2,0.33073014
35,1.0,tanh,RMSprop,35,1,2,0.3302818
20,1.0,tanh,RMSprop,85,1,2,0.33019686
30,1.0,tanh,RMSprop,40,1,2,0.33001778
30,1.0,tanh,RMSprop,55,1,2,0.32975405
25,1.0,tanh,RMSprop,60,1,2,0.32900584
20,1.0,tanh,RMSprop,70,1,2,0.32899392
25,1.0,tanh,RMSprop,50,1,2,0.32873648
95,1.0,tanh,RMSprop,15,1,2,0.32835773
20,1.0,tanh,RMSprop,90,1,2,0.32829213
20,1.0,tanh,RMSprop,80,1,2,0.3280791
35,1.0,tanh,RMSprop,40,1,2,0.32792482
35,1.0,tanh,RMSprop,45,1,2,0.32775947
25,1.0,tanh,RMSprop,55,1,2,0.32773834
20,1.0,tanh,RMSprop,75,1,2,0.32770965
20,1.0,tanh,RMSprop,95,1,2,0.32762447
30,1.0,tanh,RMSprop,45,1,2,0.32760194
25,1.0,tanh,RMSprop,70,1,2,0.32690984
50,1.0,tanh,RMSprop,30,1,2,0.32636467
20,1.0,tanh,RMSprop,60,1,2,0.3256851
30,1.0,tanh,RMSprop,50,1,2,0.32565507
25,1.0,tanh,RMSprop,80,1,2,0.3254193
25,1.0,tanh,RMSprop,65,1,2,0.32526296
20,1.0,tanh,RMSprop,100,1,2,0.32512608
30,1.0,tanh,RMSprop,65,1,2,0.32485294
25,1.0,tanh,RMSprop,75,1,2,0.3248478
50,1.0,tanh,RMSprop,35,1,2,0.3248167
60,1.0,tanh,RMSprop,30,1,2,0.32474634
40,1.0,tanh,RMSprop,45,1,2,0.32460463
25,1.0,tanh,RMSprop,85,1,2,0.32441956
30,1.0,tanh,RMSprop,60,1,2,0.32356805
40,1.0,tanh,RMSprop,40,1,2,0.3231344
25,1.0,tanh,RMSprop,90,1,2,0.32301223
30,1.0,tanh,RMSprop,75,1,2,0.32192773
35,1.0,tanh,RMSprop,50,1,2,0.3219066
30,1.0,tanh,RMSprop,95,1,2,0.3218296
55,1.0,tanh,RMSprop,35,1,2,0.32169834
25,1.0,tanh,RMSprop,100,1,2,0.32164916
30,1.0,tanh,RMSprop,70,1,2,0.32160878
45,1.0,tanh,RMSprop,40,1,2,0.32145652
40,1.0,tanh,RMSprop,50,1,2,0.3213567
30,1.0,tanh,RMSprop,90,1,2,0.3213494
25,1.0,tanh,RMSprop,95,1,2,0.32126227
35,1.0,tanh,RMSprop,60,1,2,0.3211805
50,1.0,tanh,RMSprop,40,1,2,0.32098383
35,1.0,tanh,RMSprop,55,1,2,0.32086715
45,1.0,tanh,RMSprop,35,1,2,0.32083166
30,1.0,tanh,RMSprop,80,1,2,0.32066807
35,1.0,tanh,RMSprop,70,1,2,0.32059538
45,1.0,tanh,RMSprop,45,1,2,0.3201793
40,1.0,tanh,RMSprop,55,1,2,0.32010055
35,1.0,tanh,RMSprop,85,1,2,0.3200427
35,1.0,tanh,RMSprop,80,1,2,0.31969067
35,1.0,tanh,RMSprop,65,1,2,0.31965935
55,1.0,tanh,RMSprop,45,1,2,0.31882203
45,1.0,tanh,RMSprop,55,1,2,0.3185111
50,1.0,tanh,RMSprop,45,1,2,0.3183844
40,1.0,tanh,RMSprop,60,1,2,0.31829026
40,1.0,tanh,RMSprop,65,1,2,0.31815284
35,1.0,tanh,RMSprop,75,1,2,0.31801376
30,1.0,tanh,RMSprop,100,1,2,0.318007
35,1.0,tanh,RMSprop,100,1,2,0.31771645
60,1.0,tanh,RMSprop,35,1,2,0.3177009
40,1.0,tanh,RMSprop,70,1,2,0.31763342
35,1.0,tanh,RMSprop,90,1,2,0.3175386
45,1.0,tanh,RMSprop,50,1,2,0.3174642
30,1.0,tanh,RMSprop,85,1,2,0.31720465
35,1.0,tanh,RMSprop,95,1,2,0.31715503
40,1.0,tanh,RMSprop,85,1,2,0.31706774
65,1.0,tanh,RMSprop,30,1,2,0.31678188
65,1.0,tanh,RMSprop,35,1,2,0.316683
55,1.0,tanh,RMSprop,40,1,2,0.31668067
40,1.0,tanh,RMSprop,90,1,2,0.316662
40,1.0,tanh,RMSprop,75,1,2,0.31660318
90,1.0,tanh,RMSprop,30,1,2,0.3164656
55,1.0,tanh,RMSprop,50,1,2,0.316435
40,1.0,tanh,RMSprop,95,1,2,0.3161161
45,1.0,tanh,RMSprop,70,1,2,0.31601825
45,1.0,tanh,RMSprop,85,1,2,0.31585586
75,1.0,tanh,RMSprop,35,1,2,0.31554738
50,1.0,tanh,RMSprop,50,1,2,0.31551567
70,1.0,tanh,RMSprop,30,1,2,0.3154435
40,1.0,tanh,RMSprop,80,1,2,0.31540012
70,1.0,tanh,RMSprop,35,1,2,0.3153879
50,1.0,tanh,RMSprop,55,1,2,0.31534085
50,1.0,tanh,RMSprop,60,1,2,0.31506363
45,1.0,tanh,RMSprop,65,1,2,0.31489268
65,1.0,tanh,RMSprop,40,1,2,0.314768
80,1.0,tanh,RMSprop,30,1,2,0.3145252
45,1.0,tanh,RMSprop,60,1,2,0.31430456
95,1.0,tanh,RMSprop,30,1,2,0.31422624
45,1.0,tanh,RMSprop,100,1,2,0.3142145
60,1.0,tanh,RMSprop,55,1,2,0.31420183
60,1.0,tanh,RMSprop,45,1,2,0.3141561
60,1.0,tanh,RMSprop,40,1,2,0.31387243
70,1.0,tanh,RMSprop,45,1,2,0.313469
55,1.0,tanh,RMSprop,55,1,2,0.3133428
40,1.0,tanh,RMSprop,100,1,2,0.31329027
55,1.0,tanh,RMSprop,60,1,2,0.3130695
80,1.0,tanh,RMSprop,35,1,2,0.31261763
45,1.0,tanh,RMSprop,95,1,2,0.31254688
45,1.0,tanh,RMSprop,75,1,2,0.3125312
90,1.0,tanh,RMSprop,35,1,2,0.3124504
85,1.0,tanh,RMSprop,35,1,2,0.31235117
45,1.0,tanh,RMSprop,90,1,2,0.31231654
50,1.0,tanh,RMSprop,65,1,2,0.3122107
50,1.0,tanh,RMSprop,70,1,2,0.31216207
60,1.0,tanh,RMSprop,50,1,2,0.3117228
65,1.0,tanh,RMSprop,45,1,2,0.3114921
50,1.0,tanh,RMSprop,75,1,2,0.31139216
75,1.0,tanh,RMSprop,40,1,2,0.31123197
45,1.0,tanh,RMSprop,80,1,2,0.31100702
60,1.0,tanh,RMSprop,65,1,2,0.3110039
15,1.0,tanh,RMSprop,20,1,2,0.31061304
70,1.0,tanh,RMSprop,40,1,2,0.31059813
50,1.0,tanh,RMSprop,80,1,2,0.31054404
70,1.0,tanh,RMSprop,55,1,2,0.3104741
55,1.0,tanh,RMSprop,65,1,2,0.3101638
50,1.0,tanh,RMSprop,100,1,2,0.310092
60,1.0,tanh,RMSprop,60,1,2,0.31007543
50,1.0,tanh,RMSprop,95,1,2,0.3098665
55,1.0,tanh,RMSprop,75,1,2,0.30972442
95,1.0,tanh,RMSprop,35,1,2,0.30963728
70,1.0,tanh,RMSprop,60,1,2,0.30963668
70,1.0,tanh,RMSprop,50,1,2,0.30959952
50,1.0,tanh,RMSprop,90,1,2,0.30949214
65,1.0,tanh,RMSprop,50,1,2,0.3093243
80,1.0,tanh,RMSprop,40,1,2,0.3092283
75,1.0,tanh,RMSprop,45,1,2,0.30919874
90,1.0,tanh,RMSprop,40,1,2,0.3089223
55,1.0,tanh,RMSprop,90,1,2,0.3088009
80,1.0,tanh,RMSprop,45,1,2,0.30874234
65,1.0,tanh,RMSprop,55,1,2,0.30840197
55,1.0,tanh,RMSprop,70,1,2,0.30827713
85,1.0,tanh,RMSprop,40,1,2,0.30825236
55,1.0,tanh,RMSprop,80,1,2,0.30815133
55,1.0,tanh,RMSprop,85,1,2,0.3078209
50,1.0,tanh,RMSprop,85,1,2,0.30744877
65,1.0,tanh,RMSprop,60,1,2,0.307368
60,1.0,tanh,RMSprop,75,1,2,0.30733594
55,1.0,tanh,RMSprop,100,1,2,0.30718717
55,1.0,tanh,RMSprop,95,1,2,0.30709547
100,1.0,tanh,RMSprop,35,1,2,0.30701795
60,1.0,tanh,RMSprop,85,1,2,0.30676696
90,1.0,tanh,RMSprop,45,1,2,0.30643207
60,1.0,tanh,RMSprop,95,1,2,0.30634224
65,1.0,tanh,RMSprop,95,1,2,0.3062187
65,1.0,tanh,RMSprop,65,1,2,0.30593094
95,1.0,tanh,RMSprop,40,1,2,0.30584243
60,1.0,tanh,RMSprop,80,1,2,0.30576357
70,1.0,tanh,RMSprop,65,1,2,0.30556056
85,1.0,tanh,RMSprop,45,1,2,0.30532292
60,1.0,tanh,RMSprop,70,1,2,0.30518693
60,1.0,tanh,RMSprop,90,1,2,0.30495712
75,1.0,tanh,RMSprop,55,1,2,0.3045869
65,1.0,tanh,RMSprop,70,1,2,0.30437675
75,1.0,tanh,RMSprop,60,1,2,0.3043702
100,1.0,tanh,RMSprop,45,1,2,0.3043562
85,1.0,tanh,RMSprop,50,1,2,0.30418447
65,1.0,tanh,RMSprop,75,1,2,0.30400145
65,1.0,tanh,RMSprop,100,1,2,0.30378667
70,1.0,tanh,RMSprop,75,1,2,0.3037293
75,1.0,tanh,RMSprop,50,1,2,0.3037277
