epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
90,1.0,tanh,RMSprop,15,1,2,0.8309867
55,1.0,tanh,RMSprop,45,1,2,0.79758584
80,1.0,tanh,RMSprop,55,1,2,0.79319704
10,1.0,tanh,RMSprop,15,1,2,0.7923113
60,1.0,tanh,RMSprop,30,1,2,0.79147834
55,1.0,tanh,RMSprop,50,1,2,0.7904849
20,1.0,tanh,RMSprop,80,1,2,0.7897182
95,1.0,tanh,RMSprop,10,1,2,0.7889397
100,1.0,tanh,RMSprop,10,1,2,0.78409123
20,1.0,tanh,RMSprop,90,1,2,0.7839889
40,1.0,tanh,RMSprop,75,1,2,0.7831383
55,1.0,tanh,RMSprop,10,1,2,0.7814069
35,1.0,tanh,RMSprop,45,1,2,0.7813343
100,1.0,tanh,RMSprop,30,1,2,0.77654254
40,1.0,tanh,RMSprop,15,1,2,0.7751179
80,1.0,tanh,RMSprop,15,1,2,0.7739296
30,1.0,tanh,RMSprop,50,1,2,0.77179945
30,1.0,tanh,RMSprop,55,1,2,0.7715985
35,1.0,tanh,RMSprop,100,1,2,0.76929325
75,1.0,tanh,RMSprop,20,1,2,0.76875436
95,1.0,tanh,RMSprop,15,1,2,0.76744914
40,1.0,tanh,RMSprop,35,1,2,0.7657826
50,1.0,tanh,RMSprop,10,1,2,0.76568997
55,1.0,tanh,RMSprop,35,1,2,0.7638931
35,1.0,tanh,RMSprop,60,1,2,0.76154566
95,1.0,tanh,RMSprop,5,1,2,0.7613249
40,1.0,tanh,RMSprop,50,1,2,0.76116925
60,1.0,tanh,RMSprop,10,1,2,0.76045585
20,1.0,tanh,RMSprop,5,1,2,0.7574673
60,1.0,tanh,RMSprop,55,1,2,0.75672656
95,1.0,tanh,RMSprop,30,1,2,0.75508106
20,1.0,tanh,RMSprop,10,1,2,0.75280464
50,1.0,tanh,RMSprop,5,1,2,0.7519487
80,1.0,tanh,RMSprop,30,1,2,0.75037515
100,1.0,tanh,RMSprop,20,1,2,0.7495831
90,1.0,tanh,RMSprop,55,1,2,0.74790233
20,1.0,tanh,RMSprop,75,1,2,0.74772215
60,1.0,tanh,RMSprop,15,1,2,0.74698776
15,1.0,tanh,RMSprop,10,1,2,0.74682075
45,1.0,tanh,RMSprop,15,1,2,0.7463383
20,1.0,tanh,RMSprop,15,1,2,0.7461793
65,1.0,tanh,RMSprop,5,1,2,0.74599504
30,1.0,tanh,RMSprop,15,1,2,0.7448395
40,1.0,tanh,RMSprop,80,1,2,0.74089724
40,1.0,tanh,RMSprop,30,1,2,0.7394723
30,1.0,tanh,RMSprop,45,1,2,0.73930025
30,1.0,tanh,RMSprop,95,1,2,0.737709
90,1.0,tanh,RMSprop,65,1,2,0.73507756
85,1.0,tanh,RMSprop,10,1,2,0.73300564
60,1.0,tanh,RMSprop,60,1,2,0.7321496
70,1.0,tanh,RMSprop,30,1,2,0.73156345
15,1.0,tanh,RMSprop,15,1,2,0.7282997
25,1.0,tanh,RMSprop,5,1,2,0.7267007
75,1.0,tanh,RMSprop,5,1,2,0.7258298
35,1.0,tanh,RMSprop,10,1,2,0.7254347
30,1.0,tanh,RMSprop,5,1,2,0.7238685
55,1.0,tanh,RMSprop,95,1,2,0.72332627
35,1.0,tanh,RMSprop,15,1,2,0.72197574
25,1.0,tanh,RMSprop,10,1,2,0.71647894
30,1.0,tanh,RMSprop,40,1,2,0.7147398
50,1.0,tanh,RMSprop,25,1,2,0.71304566
35,1.0,tanh,RMSprop,5,1,2,0.71210384
65,1.0,tanh,RMSprop,15,1,2,0.7114693
40,1.0,tanh,RMSprop,10,1,2,0.7102608
40,1.0,tanh,RMSprop,45,1,2,0.70855266
70,1.0,tanh,RMSprop,10,1,2,0.70812505
55,1.0,tanh,RMSprop,40,1,2,0.7066759
60,1.0,tanh,RMSprop,20,1,2,0.7058126
50,1.0,tanh,RMSprop,90,1,2,0.705269
95,1.0,tanh,RMSprop,20,1,2,0.69791764
10,1.0,tanh,RMSprop,10,1,2,0.6961858
85,1.0,tanh,RMSprop,20,1,2,0.69468457
50,1.0,tanh,RMSprop,15,1,2,0.6934359
25,1.0,tanh,RMSprop,100,1,2,0.68601894
25,1.0,tanh,RMSprop,60,1,2,0.6859003
80,1.0,tanh,RMSprop,35,1,2,0.68532854
40,1.0,tanh,RMSprop,95,1,2,0.68466777
30,1.0,tanh,RMSprop,10,1,2,0.68027186
95,1.0,tanh,RMSprop,40,1,2,0.674892
40,1.0,tanh,RMSprop,20,1,2,0.6723317
30,1.0,tanh,RMSprop,75,1,2,0.6692845
80,1.0,tanh,RMSprop,25,1,2,0.6692313
70,1.0,tanh,RMSprop,20,1,2,0.66835994
90,1.0,tanh,RMSprop,10,1,2,0.6676761
55,1.0,tanh,RMSprop,20,1,2,0.6674221
25,1.0,tanh,RMSprop,85,1,2,0.6644051
65,1.0,tanh,RMSprop,10,1,2,0.6636585
10,1.0,tanh,RMSprop,5,1,2,0.65882397
70,1.0,tanh,RMSprop,15,1,2,0.6581248
90,1.0,tanh,RMSprop,20,1,2,0.65683675
5,1.0,tanh,RMSprop,10,1,2,0.6558115
65,1.0,tanh,RMSprop,55,1,2,0.6555003
100,1.0,tanh,RMSprop,5,1,2,0.6541122
35,1.0,tanh,RMSprop,35,1,2,0.6503643
55,1.0,tanh,RMSprop,5,1,2,0.6494522
80,1.0,tanh,RMSprop,10,1,2,0.641216
60,1.0,tanh,RMSprop,5,1,2,0.6403224
15,1.0,tanh,RMSprop,5,1,2,0.6378962
25,1.0,tanh,RMSprop,15,1,2,0.6315246
75,1.0,tanh,RMSprop,55,1,2,0.626884
5,1.0,tanh,RMSprop,15,1,2,0.62687373
45,1.0,tanh,RMSprop,25,1,2,0.6218722
55,1.0,tanh,RMSprop,25,1,2,0.61686826
15,1.0,tanh,RMSprop,20,1,2,0.6155592
20,1.0,tanh,RMSprop,35,1,2,0.6135773
35,1.0,tanh,RMSprop,20,1,2,0.6112029
45,1.0,tanh,RMSprop,10,1,2,0.6098508
40,1.0,tanh,RMSprop,5,1,2,0.60689294
70,1.0,tanh,RMSprop,5,1,2,0.6055239
100,1.0,tanh,RMSprop,25,1,2,0.60301894
50,1.0,tanh,RMSprop,35,1,2,0.60035145
95,1.0,tanh,RMSprop,35,1,2,0.60021526
35,1.0,tanh,RMSprop,75,1,2,0.59887254
90,1.0,tanh,RMSprop,5,1,2,0.598697
35,1.0,tanh,RMSprop,65,1,2,0.5946679
75,1.0,tanh,RMSprop,25,1,2,0.5926233
40,1.0,tanh,RMSprop,90,1,2,0.58896744
90,1.0,tanh,RMSprop,25,1,2,0.5835035
20,1.0,tanh,RMSprop,20,1,2,0.5801766
85,1.0,tanh,RMSprop,15,1,2,0.57685757
25,1.0,tanh,RMSprop,70,1,2,0.5753338
