epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
50,1.0,tanh,RMSprop,10,1,2,0.32086655
5,1.0,tanh,RMSprop,5,1,2,0.30963606
60,1.0,tanh,RMSprop,5,1,2,0.3078955
35,1.0,tanh,RMSprop,20,1,2,0.29556894
80,1.0,tanh,RMSprop,20,1,2,0.28438017
90,1.0,tanh,RMSprop,20,1,2,0.27739635
65,1.0,tanh,RMSprop,20,1,2,0.26747587
10,1.0,tanh,RMSprop,20,1,2,0.25778416
40,1.0,tanh,RMSprop,5,1,2,0.2552424
95,1.0,tanh,RMSprop,10,1,2,0.23437634
35,1.0,tanh,RMSprop,15,1,2,0.22995016
95,1.0,tanh,RMSprop,5,1,2,0.2290735
55,1.0,tanh,RMSprop,20,1,2,0.22790712
65,1.0,tanh,RMSprop,5,1,2,0.22515155
60,1.0,tanh,RMSprop,10,1,2,0.22349142
20,1.0,tanh,RMSprop,15,1,2,0.2227354
30,1.0,tanh,RMSprop,10,1,2,0.21644162
85,1.0,tanh,RMSprop,5,1,2,0.21305293
35,1.0,tanh,RMSprop,10,1,2,0.21261676
75,1.0,tanh,RMSprop,20,1,2,0.20981021
20,1.0,tanh,RMSprop,5,1,2,0.20856987
30,1.0,tanh,RMSprop,5,1,2,0.20643204
25,1.0,tanh,RMSprop,10,1,2,0.20470853
70,1.0,tanh,RMSprop,20,1,2,0.20305079
80,1.0,tanh,RMSprop,5,1,2,0.2016141
35,1.0,tanh,RMSprop,5,1,2,0.20100263
5,1.0,tanh,RMSprop,20,1,2,0.19719145
25,1.0,tanh,RMSprop,20,1,2,0.18906893
50,1.0,tanh,RMSprop,5,1,2,0.18758337
10,1.0,tanh,RMSprop,5,1,2,0.18711753
15,1.0,tanh,RMSprop,5,1,2,0.18391314
100,1.0,tanh,RMSprop,15,1,2,0.18185598
45,1.0,tanh,RMSprop,5,1,2,0.18154113
45,1.0,tanh,RMSprop,15,1,2,0.18093945
90,1.0,tanh,RMSprop,5,1,2,0.178382
20,1.0,tanh,RMSprop,20,1,2,0.17469889
40,1.0,tanh,RMSprop,10,1,2,0.17394367
10,1.0,tanh,RMSprop,15,1,2,0.16336654
85,1.0,tanh,RMSprop,25,1,2,0.16175976
60,1.0,tanh,RMSprop,15,1,2,0.15908912
65,1.0,tanh,RMSprop,10,1,2,0.15077816
55,1.0,tanh,RMSprop,5,1,2,0.14917506
70,1.0,tanh,RMSprop,10,1,2,0.14833736
95,1.0,tanh,RMSprop,20,1,2,0.14631532
80,1.0,tanh,RMSprop,10,1,2,0.14569156
55,1.0,tanh,RMSprop,10,1,2,0.14521414
60,1.0,tanh,RMSprop,20,1,2,0.14500107
45,1.0,tanh,RMSprop,10,1,2,0.14439602
70,1.0,tanh,RMSprop,5,1,2,0.13762999
85,1.0,tanh,RMSprop,15,1,2,0.12816913
80,1.0,tanh,RMSprop,15,1,2,0.1271191
20,1.0,tanh,RMSprop,10,1,2,0.12143701
80,1.0,tanh,RMSprop,25,1,2,0.11850571
100,1.0,tanh,RMSprop,5,1,2,0.11419071
45,1.0,tanh,RMSprop,20,1,2,0.11418649
100,1.0,tanh,RMSprop,20,1,2,0.11373022
95,1.0,tanh,RMSprop,25,1,2,0.11059904
25,1.0,tanh,RMSprop,5,1,2,0.10281837
55,1.0,tanh,RMSprop,15,1,2,0.10140251
40,1.0,tanh,RMSprop,20,1,2,0.09510704
100,1.0,tanh,RMSprop,25,1,2,0.08717042
5,1.0,tanh,RMSprop,25,1,2,0.08553801
25,1.0,tanh,RMSprop,15,1,2,0.08538852
65,1.0,tanh,RMSprop,25,1,2,0.0845066
30,1.0,tanh,RMSprop,20,1,2,0.07989904
85,1.0,tanh,RMSprop,20,1,2,0.07935053
40,1.0,tanh,RMSprop,30,1,2,0.07896492
