epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
5,1.0,tanh,RMSprop,30,1,2,0.7573972
85,1.0,tanh,RMSprop,15,1,2,0.74495536
90,1.0,tanh,RMSprop,30,1,2,0.70667887
55,1.0,tanh,RMSprop,70,1,2,0.70544106
10,1.0,tanh,RMSprop,90,1,2,0.6667916
90,1.0,tanh,RMSprop,60,1,2,0.6503575
80,1.0,tanh,RMSprop,35,1,2,0.6485149
5,1.0,tanh,RMSprop,20,1,2,0.6439934
50,1.0,tanh,RMSprop,70,1,2,0.6423376
30,1.0,tanh,RMSprop,15,1,2,0.6350766
95,1.0,tanh,RMSprop,20,1,2,0.633553
70,1.0,tanh,RMSprop,35,1,2,0.62756246
75,1.0,tanh,RMSprop,100,1,2,0.6274272
10,1.0,tanh,RMSprop,25,1,2,0.62332684
20,1.0,tanh,RMSprop,5,1,2,0.6183239
40,1.0,tanh,RMSprop,30,1,2,0.61082196
55,1.0,tanh,RMSprop,20,1,2,0.6071616
45,1.0,tanh,RMSprop,10,1,2,0.607136
85,1.0,tanh,RMSprop,30,1,2,0.6050607
75,1.0,tanh,RMSprop,35,1,2,0.60042375
75,1.0,tanh,RMSprop,10,1,2,0.5975398
50,1.0,tanh,RMSprop,5,1,2,0.57901156
55,1.0,tanh,RMSprop,15,1,2,0.56369114
5,1.0,tanh,RMSprop,5,1,2,0.55329907
55,1.0,tanh,RMSprop,80,1,2,0.5498893
5,1.0,tanh,RMSprop,85,1,2,0.54827094
40,1.0,tanh,RMSprop,55,1,2,0.5385869
10,1.0,tanh,RMSprop,10,1,2,0.5385696
35,1.0,tanh,RMSprop,75,1,2,0.53772146
60,1.0,tanh,RMSprop,60,1,2,0.53765565
40,1.0,tanh,RMSprop,5,1,2,0.5346032
75,1.0,tanh,RMSprop,5,1,2,0.52820235
65,1.0,tanh,RMSprop,95,1,2,0.5279956
35,1.0,tanh,RMSprop,5,1,2,0.51632655
100,1.0,tanh,RMSprop,5,1,2,0.51425207
30,1.0,tanh,RMSprop,10,1,2,0.50123566
20,1.0,tanh,RMSprop,30,1,2,0.4988761
30,1.0,tanh,RMSprop,5,1,2,0.49815547
5,1.0,tanh,RMSprop,10,1,2,0.4969284
15,1.0,tanh,RMSprop,10,1,2,0.4850267
5,1.0,tanh,RMSprop,50,1,2,0.4824344
5,1.0,tanh,RMSprop,35,1,2,0.48076388
95,1.0,tanh,RMSprop,10,1,2,0.47748354
30,1.0,tanh,RMSprop,70,1,2,0.4646788
35,1.0,tanh,RMSprop,15,1,2,0.46337515
55,1.0,tanh,RMSprop,5,1,2,0.45942748
70,1.0,tanh,RMSprop,5,1,2,0.4578449
90,1.0,tanh,RMSprop,55,1,2,0.43504268
5,1.0,tanh,RMSprop,45,1,2,0.43497145
5,1.0,tanh,RMSprop,15,1,2,0.4341629
5,1.0,tanh,RMSprop,40,1,2,0.4290825
85,1.0,tanh,RMSprop,95,1,2,0.42680144
5,1.0,tanh,RMSprop,25,1,2,0.4263768
85,1.0,tanh,RMSprop,10,1,2,0.42417595
75,1.0,tanh,RMSprop,15,1,2,0.41321132
20,1.0,tanh,RMSprop,20,1,2,0.40226576
60,1.0,tanh,RMSprop,100,1,2,0.39439952
25,1.0,tanh,RMSprop,5,1,2,0.3841632
75,1.0,tanh,RMSprop,25,1,2,0.37977493
50,1.0,tanh,RMSprop,10,1,2,0.37600052
90,1.0,tanh,RMSprop,35,1,2,0.37336758
60,1.0,tanh,RMSprop,5,1,2,0.36460787
25,1.0,tanh,RMSprop,15,1,2,0.36124828
70,1.0,tanh,RMSprop,70,1,2,0.35325158
70,1.0,tanh,RMSprop,10,1,2,0.35191974
75,1.0,tanh,RMSprop,70,1,2,0.35006133
75,1.0,tanh,RMSprop,85,1,2,0.34982094
90,1.0,tanh,RMSprop,10,1,2,0.34563518
40,1.0,tanh,RMSprop,85,1,2,0.3406103
55,1.0,tanh,RMSprop,95,1,2,0.33729342
50,1.0,tanh,RMSprop,25,1,2,0.3244539
45,1.0,tanh,RMSprop,40,1,2,0.3232267
50,1.0,tanh,RMSprop,20,1,2,0.32001883
70,1.0,tanh,RMSprop,60,1,2,0.31806114
90,1.0,tanh,RMSprop,20,1,2,0.31682125
65,1.0,tanh,RMSprop,5,1,2,0.31601438
70,1.0,tanh,RMSprop,90,1,2,0.31559768
