epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,1.0,tanh,RMSprop,15,1,2,0.8420817
45,1.0,tanh,RMSprop,65,1,2,0.809058
75,1.0,tanh,RMSprop,5,1,2,0.7971411
45,1.0,tanh,RMSprop,10,1,2,0.78828466
95,1.0,tanh,RMSprop,5,1,2,0.78138924
80,1.0,tanh,RMSprop,15,1,2,0.7694068
60,1.0,tanh,RMSprop,10,1,2,0.7386126
5,1.0,tanh,RMSprop,5,1,2,0.7195162
35,1.0,tanh,RMSprop,20,1,2,0.7118293
100,1.0,tanh,RMSprop,10,1,2,0.70972097
35,1.0,tanh,RMSprop,25,1,2,0.7082288
15,1.0,tanh,RMSprop,20,1,2,0.707202
10,1.0,tanh,RMSprop,5,1,2,0.7050213
50,1.0,tanh,RMSprop,5,1,2,0.70358384
20,1.0,tanh,RMSprop,5,1,2,0.701414
15,1.0,tanh,RMSprop,5,1,2,0.70103866
75,1.0,tanh,RMSprop,15,1,2,0.69966394
50,1.0,tanh,RMSprop,15,1,2,0.6955795
40,1.0,tanh,RMSprop,5,1,2,0.6866304
20,1.0,tanh,RMSprop,20,1,2,0.6836136
50,1.0,tanh,RMSprop,80,1,2,0.6816121
70,1.0,tanh,RMSprop,15,1,2,0.678329
20,1.0,tanh,RMSprop,30,1,2,0.6780188
10,1.0,tanh,RMSprop,20,1,2,0.67626506
60,1.0,tanh,RMSprop,35,1,2,0.67540115
10,1.0,tanh,RMSprop,10,1,2,0.6719904
55,1.0,tanh,RMSprop,15,1,2,0.66794664
25,1.0,tanh,RMSprop,20,1,2,0.667819
75,1.0,tanh,RMSprop,30,1,2,0.6662237
60,1.0,tanh,RMSprop,5,1,2,0.65958
65,1.0,tanh,RMSprop,95,1,2,0.6576219
35,1.0,tanh,RMSprop,15,1,2,0.65608495
20,1.0,tanh,RMSprop,10,1,2,0.65530306
55,1.0,tanh,RMSprop,40,1,2,0.6540324
50,1.0,tanh,RMSprop,10,1,2,0.6536508
45,1.0,tanh,RMSprop,20,1,2,0.6531057
40,1.0,tanh,RMSprop,15,1,2,0.6510877
85,1.0,tanh,RMSprop,80,1,2,0.6502345
80,1.0,tanh,RMSprop,85,1,2,0.64408183
20,1.0,tanh,RMSprop,15,1,2,0.6440059
100,1.0,tanh,RMSprop,5,1,2,0.6418931
55,1.0,tanh,RMSprop,25,1,2,0.6402681
95,1.0,tanh,RMSprop,40,1,2,0.638764
50,1.0,tanh,RMSprop,30,1,2,0.63747495
90,1.0,tanh,RMSprop,25,1,2,0.6350006
40,1.0,tanh,RMSprop,20,1,2,0.6320412
55,1.0,tanh,RMSprop,10,1,2,0.6297423
5,1.0,tanh,RMSprop,30,1,2,0.627739
65,1.0,tanh,RMSprop,20,1,2,0.627196
35,1.0,tanh,RMSprop,10,1,2,0.62659055
40,1.0,tanh,RMSprop,100,1,2,0.62573016
55,1.0,tanh,RMSprop,30,1,2,0.6204395
35,1.0,tanh,RMSprop,85,1,2,0.61452824
15,1.0,tanh,RMSprop,25,1,2,0.61355937
85,1.0,tanh,RMSprop,15,1,2,0.6132305
45,1.0,tanh,RMSprop,5,1,2,0.60605973
30,1.0,tanh,RMSprop,15,1,2,0.60558885
15,1.0,tanh,RMSprop,15,1,2,0.60544366
15,1.0,tanh,RMSprop,10,1,2,0.6051891
65,1.0,tanh,RMSprop,10,1,2,0.60391766
85,1.0,tanh,RMSprop,95,1,2,0.6015926
10,1.0,tanh,RMSprop,35,1,2,0.598518
60,1.0,tanh,RMSprop,75,1,2,0.5969162
5,1.0,tanh,RMSprop,15,1,2,0.5885039
10,1.0,tanh,RMSprop,15,1,2,0.5792289
35,1.0,tanh,RMSprop,5,1,2,0.57311445
70,1.0,tanh,RMSprop,20,1,2,0.57020015
30,1.0,tanh,RMSprop,25,1,2,0.5644031
5,1.0,tanh,RMSprop,85,1,2,0.5636026
10,1.0,tanh,RMSprop,90,1,2,0.5574732
25,1.0,tanh,RMSprop,5,1,2,0.556635
55,1.0,tanh,RMSprop,5,1,2,0.55227894
85,1.0,tanh,RMSprop,5,1,2,0.55168444
90,1.0,tanh,RMSprop,5,1,2,0.55101556
45,1.0,tanh,RMSprop,15,1,2,0.54963493
70,1.0,tanh,RMSprop,30,1,2,0.54248595
5,1.0,tanh,RMSprop,10,1,2,0.5423342
65,1.0,tanh,RMSprop,5,1,2,0.5402774
75,1.0,tanh,RMSprop,10,1,2,0.5391946
70,1.0,tanh,RMSprop,10,1,2,0.53596103
90,1.0,tanh,RMSprop,10,1,2,0.5346602
60,1.0,tanh,RMSprop,30,1,2,0.53285354
55,1.0,tanh,RMSprop,75,1,2,0.5296839
40,1.0,tanh,RMSprop,25,1,2,0.5257195
100,1.0,tanh,RMSprop,80,1,2,0.5233249
95,1.0,tanh,RMSprop,20,1,2,0.51652473
75,1.0,tanh,RMSprop,25,1,2,0.51616687
45,1.0,tanh,RMSprop,70,1,2,0.51476127
30,1.0,tanh,RMSprop,10,1,2,0.5111916
45,1.0,tanh,RMSprop,100,1,2,0.50911605
25,1.0,tanh,RMSprop,25,1,2,0.50535715
30,1.0,tanh,RMSprop,20,1,2,0.50438976
70,1.0,tanh,RMSprop,90,1,2,0.5017899
70,1.0,tanh,RMSprop,95,1,2,0.49680272
20,1.0,tanh,RMSprop,25,1,2,0.4863954
95,1.0,tanh,RMSprop,10,1,2,0.48435038
55,1.0,tanh,RMSprop,50,1,2,0.48279503
55,1.0,tanh,RMSprop,100,1,2,0.48272914
20,1.0,tanh,RMSprop,90,1,2,0.47979084
40,1.0,tanh,RMSprop,75,1,2,0.47786415
70,1.0,tanh,RMSprop,45,1,2,0.47387382
30,1.0,tanh,RMSprop,5,1,2,0.46819332
95,1.0,tanh,RMSprop,100,1,2,0.46359995
80,1.0,tanh,RMSprop,45,1,2,0.4604087
60,1.0,tanh,RMSprop,85,1,2,0.4595011
15,1.0,tanh,RMSprop,35,1,2,0.45855266
65,1.0,tanh,RMSprop,40,1,2,0.45332462
70,1.0,tanh,RMSprop,5,1,2,0.45320514
35,1.0,tanh,RMSprop,70,1,2,0.45104417
80,1.0,tanh,RMSprop,5,1,2,0.44625816
90,1.0,tanh,RMSprop,30,1,2,0.44357258
95,1.0,tanh,RMSprop,15,1,2,0.43675274
80,1.0,tanh,RMSprop,10,1,2,0.4275016
25,1.0,tanh,RMSprop,85,1,2,0.42687917
5,1.0,tanh,RMSprop,20,1,2,0.42430672
85,1.0,tanh,RMSprop,20,1,2,0.4228303
5,1.0,tanh,RMSprop,55,1,2,0.41854453
50,1.0,tanh,RMSprop,20,1,2,0.41837904
25,1.0,tanh,RMSprop,15,1,2,0.4129175
30,1.0,tanh,RMSprop,100,1,2,0.40332258
10,1.0,tanh,RMSprop,25,1,2,0.4001965
80,1.0,tanh,RMSprop,30,1,2,0.39816943
30,1.0,tanh,RMSprop,85,1,2,0.3957955
75,1.0,tanh,RMSprop,20,1,2,0.39300475
65,1.0,tanh,RMSprop,55,1,2,0.37639156
55,1.0,tanh,RMSprop,85,1,2,0.37493864
85,1.0,tanh,RMSprop,10,1,2,0.374827
5,1.0,tanh,RMSprop,25,1,2,0.37463674
5,1.0,tanh,RMSprop,40,1,2,0.3735612
40,1.0,tanh,RMSprop,10,1,2,0.3725883
90,1.0,tanh,RMSprop,95,1,2,0.36581522
15,1.0,tanh,RMSprop,95,1,2,0.36362296
5,1.0,tanh,RMSprop,65,1,2,0.36361554
5,1.0,tanh,RMSprop,35,1,2,0.36268747
5,1.0,tanh,RMSprop,60,1,2,0.3625643
30,1.0,tanh,RMSprop,95,1,2,0.35926205
40,1.0,tanh,RMSprop,90,1,2,0.3552388
15,1.0,tanh,RMSprop,85,1,2,0.352586
5,1.0,tanh,RMSprop,70,1,2,0.3523196
5,1.0,tanh,RMSprop,50,1,2,0.35058612
5,1.0,tanh,RMSprop,45,1,2,0.35051432
5,1.0,tanh,RMSprop,95,1,2,0.35012534
25,1.0,tanh,RMSprop,10,1,2,0.34729412
