epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
35,1.0,tanh,RMSprop,5,1,2,0.7489406
95,1.0,tanh,RMSprop,5,1,2,0.64454675
60,1.0,tanh,RMSprop,5,1,2,0.61680865
10,1.0,tanh,RMSprop,10,1,2,0.5983019
50,1.0,tanh,RMSprop,10,1,2,0.5914004
20,1.0,tanh,RMSprop,10,1,2,0.5857203
70,1.0,tanh,RMSprop,5,1,2,0.576777
45,1.0,tanh,RMSprop,10,1,2,0.55872077
5,1.0,tanh,RMSprop,15,1,2,0.5557861
5,1.0,tanh,RMSprop,5,1,2,0.54920065
65,1.0,tanh,RMSprop,5,1,2,0.53294986
80,1.0,tanh,RMSprop,5,1,2,0.5255995
85,1.0,tanh,RMSprop,5,1,2,0.51745397
20,1.0,tanh,RMSprop,5,1,2,0.49892196
25,1.0,tanh,RMSprop,10,1,2,0.48024487
100,1.0,tanh,RMSprop,5,1,2,0.46513462
95,1.0,tanh,RMSprop,10,1,2,0.46185228
10,1.0,tanh,RMSprop,15,1,2,0.45338562
55,1.0,tanh,RMSprop,10,1,2,0.45177686
5,1.0,tanh,RMSprop,10,1,2,0.43786922
35,1.0,tanh,RMSprop,10,1,2,0.43041843
50,1.0,tanh,RMSprop,5,1,2,0.42391276
25,1.0,tanh,RMSprop,5,1,2,0.4200609
45,1.0,tanh,RMSprop,5,1,2,0.41250587
15,1.0,tanh,RMSprop,10,1,2,0.4041632
15,1.0,tanh,RMSprop,20,1,2,0.3845181
15,1.0,tanh,RMSprop,5,1,2,0.3842152
70,1.0,tanh,RMSprop,10,1,2,0.38203782
5,1.0,tanh,RMSprop,20,1,2,0.3655409
25,1.0,tanh,RMSprop,15,1,2,0.35544696
30,1.0,tanh,RMSprop,10,1,2,0.35096633
55,1.0,tanh,RMSprop,5,1,2,0.35028577
10,1.0,tanh,RMSprop,5,1,2,0.34377277
45,1.0,tanh,RMSprop,15,1,2,0.34253633
20,1.0,tanh,RMSprop,15,1,2,0.3359478
35,1.0,tanh,RMSprop,15,1,2,0.3359007
30,1.0,tanh,RMSprop,15,1,2,0.3087106
85,1.0,tanh,RMSprop,20,1,2,0.30614346
75,1.0,tanh,RMSprop,15,1,2,0.27595952
60,1.0,tanh,RMSprop,15,1,2,0.2694575
95,1.0,tanh,RMSprop,20,1,2,0.2633633
15,1.0,tanh,RMSprop,15,1,2,0.25535643
