epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,8,1,2,0.7540631
30,1.0,tanh,Adagrad,8,1,2,0.7445239
22,1.0,tanh,Adagrad,6,1,2,0.7405909
30,1.0,tanh,Adagrad,12,1,2,0.7373471
24,1.0,tanh,Adagrad,12,1,2,0.7360426
26,1.0,tanh,Adagrad,6,1,2,0.73462224
28,1.0,tanh,Adagrad,10,1,2,0.7236516
28,1.0,tanh,Adagrad,16,1,2,0.7225696
24,1.0,tanh,Adagrad,10,1,2,0.7220042
22,1.0,tanh,Adagrad,16,1,2,0.72191334
30,1.0,tanh,Adagrad,14,1,2,0.7152374
26,1.0,tanh,Adagrad,10,1,2,0.7141592
22,1.0,tanh,Adagrad,12,1,2,0.71245867
30,1.0,tanh,Adagrad,6,1,2,0.71162325
26,1.0,tanh,Adagrad,8,1,2,0.70510334
30,1.0,tanh,Adagrad,10,1,2,0.6998857
22,1.0,tanh,Adagrad,10,1,2,0.6949321
20,1.0,tanh,Adagrad,8,1,2,0.6915062
24,1.0,tanh,Adagrad,14,1,2,0.6894759
28,1.0,tanh,Adagrad,6,1,2,0.6853936
20,1.0,tanh,Adagrad,12,1,2,0.6822815
28,1.0,tanh,Adagrad,14,1,2,0.68021387
20,1.0,tanh,Adagrad,14,1,2,0.6723759
26,1.0,tanh,Adagrad,14,1,2,0.66385716
26,1.0,tanh,Adagrad,12,1,2,0.65862054
28,1.0,tanh,Adagrad,12,1,2,0.6576732
24,1.0,tanh,Adagrad,16,1,2,0.6548155
30,1.0,tanh,Adagrad,16,1,2,0.6491476
22,1.0,tanh,Adagrad,14,1,2,0.6474041
24,1.0,tanh,Adagrad,8,1,2,0.64530367
24,1.0,tanh,Adagrad,6,1,2,0.63925266
20,1.0,tanh,Adagrad,16,1,2,0.63539827
26,1.0,tanh,Adagrad,16,1,2,0.63109505
20,1.0,tanh,Adagrad,6,1,2,0.62417704
20,1.0,tanh,Adagrad,10,1,2,0.5943592
28,1.0,tanh,Adagrad,8,1,2,0.56476367
