epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,16,1,2,0.87060964
30,1.0,tanh,Adagrad,16,1,2,0.85938567
26,1.0,tanh,Adagrad,16,1,2,0.85618573
24,1.0,tanh,Adagrad,12,1,2,0.8520113
28,1.0,tanh,Adagrad,16,1,2,0.8499865
22,1.0,tanh,Adagrad,16,1,2,0.84816575
28,1.0,tanh,Adagrad,12,1,2,0.84662616
20,1.0,tanh,Adagrad,16,1,2,0.84414136
30,1.0,tanh,Adagrad,12,1,2,0.84275293
26,1.0,tanh,Adagrad,14,1,2,0.84219766
22,1.0,tanh,Adagrad,8,1,2,0.8418542
26,1.0,tanh,Adagrad,12,1,2,0.8416205
30,1.0,tanh,Adagrad,14,1,2,0.84094876
22,1.0,tanh,Adagrad,10,1,2,0.8407472
24,1.0,tanh,Adagrad,14,1,2,0.83871543
22,1.0,tanh,Adagrad,12,1,2,0.8343155
22,1.0,tanh,Adagrad,6,1,2,0.8277736
24,1.0,tanh,Adagrad,8,1,2,0.8267444
22,1.0,tanh,Adagrad,14,1,2,0.8257633
24,1.0,tanh,Adagrad,10,1,2,0.82341576
20,1.0,tanh,Adagrad,12,1,2,0.81564003
26,1.0,tanh,Adagrad,10,1,2,0.81256634
28,1.0,tanh,Adagrad,10,1,2,0.81122
26,1.0,tanh,Adagrad,6,1,2,0.79477847
30,1.0,tanh,Adagrad,8,1,2,0.7789153
24,1.0,tanh,Adagrad,6,1,2,0.77879566
20,1.0,tanh,Adagrad,10,1,2,0.770918
30,1.0,tanh,Adagrad,10,1,2,0.76283354
28,1.0,tanh,Adagrad,6,1,2,0.76256055
28,1.0,tanh,Adagrad,8,1,2,0.7564519
26,1.0,tanh,Adagrad,8,1,2,0.6835638
20,1.0,tanh,Adagrad,14,1,2,0.6830234
20,1.0,tanh,Adagrad,8,1,2,0.6824529
20,1.0,tanh,Adagrad,6,1,2,0.6777689
28,1.0,tanh,Adagrad,14,1,2,0.6379078
30,1.0,tanh,Adagrad,6,1,2,0.44291672
