epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,1.0,tanh,RMSprop,15,1,2,0.51739705
25,1.0,tanh,RMSprop,45,1,2,0.38448128
30,1.0,tanh,RMSprop,85,1,2,0.37087682
45,1.0,tanh,RMSprop,10,1,2,0.36111352
85,1.0,tanh,RMSprop,5,1,2,0.3602366
75,1.0,tanh,RMSprop,80,1,2,0.34994948
50,1.0,tanh,RMSprop,10,1,2,0.34965086
45,1.0,tanh,RMSprop,35,1,2,0.3419143
60,1.0,tanh,RMSprop,90,1,2,0.3383619
80,1.0,tanh,RMSprop,5,1,2,0.32958758
25,1.0,tanh,RMSprop,10,1,2,0.328958
40,1.0,tanh,RMSprop,30,1,2,0.3214162
30,1.0,tanh,RMSprop,5,1,2,0.3195345
20,1.0,tanh,RMSprop,5,1,2,0.31805083
20,1.0,tanh,RMSprop,20,1,2,0.31704795
70,1.0,tanh,RMSprop,10,1,2,0.31648105
55,1.0,tanh,RMSprop,5,1,2,0.31526616
75,1.0,tanh,RMSprop,5,1,2,0.30759495
15,1.0,tanh,RMSprop,5,1,2,0.30710164
35,1.0,tanh,RMSprop,5,1,2,0.30632672
40,1.0,tanh,RMSprop,20,1,2,0.3058297
65,1.0,tanh,RMSprop,20,1,2,0.30184776
10,1.0,tanh,RMSprop,5,1,2,0.30173355
15,1.0,tanh,RMSprop,10,1,2,0.30147308
45,1.0,tanh,RMSprop,75,1,2,0.30048895
10,1.0,tanh,RMSprop,25,1,2,0.29976475
70,1.0,tanh,RMSprop,5,1,2,0.28982323
60,1.0,tanh,RMSprop,100,1,2,0.28876603
95,1.0,tanh,RMSprop,10,1,2,0.28873205
25,1.0,tanh,RMSprop,5,1,2,0.28427336
45,1.0,tanh,RMSprop,5,1,2,0.28394723
40,1.0,tanh,RMSprop,5,1,2,0.27709356
30,1.0,tanh,RMSprop,15,1,2,0.274573
50,1.0,tanh,RMSprop,45,1,2,0.27178156
50,1.0,tanh,RMSprop,80,1,2,0.27154508
5,1.0,tanh,RMSprop,15,1,2,0.26056856
80,1.0,tanh,RMSprop,10,1,2,0.25582135
10,1.0,tanh,RMSprop,10,1,2,0.25295866
100,1.0,tanh,RMSprop,10,1,2,0.25112447
90,1.0,tanh,RMSprop,5,1,2,0.24782316
35,1.0,tanh,RMSprop,15,1,2,0.2467387
90,1.0,tanh,RMSprop,40,1,2,0.24339862
40,1.0,tanh,RMSprop,25,1,2,0.24009413
15,1.0,tanh,RMSprop,90,1,2,0.23945521
40,1.0,tanh,RMSprop,90,1,2,0.23786458
75,1.0,tanh,RMSprop,10,1,2,0.2313996
20,1.0,tanh,RMSprop,40,1,2,0.2311568
10,1.0,tanh,RMSprop,30,1,2,0.22644024
100,1.0,tanh,RMSprop,5,1,2,0.22600734
45,1.0,tanh,RMSprop,20,1,2,0.22446702
60,1.0,tanh,RMSprop,45,1,2,0.2230889
5,1.0,tanh,RMSprop,20,1,2,0.22230868
95,1.0,tanh,RMSprop,5,1,2,0.20667101
30,1.0,tanh,RMSprop,10,1,2,0.20573248
75,1.0,tanh,RMSprop,20,1,2,0.20264462
50,1.0,tanh,RMSprop,50,1,2,0.19862595
15,1.0,tanh,RMSprop,20,1,2,0.19571117
50,1.0,tanh,RMSprop,95,1,2,0.19423717
100,1.0,tanh,RMSprop,40,1,2,0.19367114
95,1.0,tanh,RMSprop,45,1,2,0.19336157
10,1.0,tanh,RMSprop,20,1,2,0.1911228
40,1.0,tanh,RMSprop,75,1,2,0.186636
40,1.0,tanh,RMSprop,10,1,2,0.18632855
30,1.0,tanh,RMSprop,20,1,2,0.18514554
90,1.0,tanh,RMSprop,35,1,2,0.1836859
10,1.0,tanh,RMSprop,15,1,2,0.18325368
100,1.0,tanh,RMSprop,80,1,2,0.18204078
75,1.0,tanh,RMSprop,35,1,2,0.1817867
25,1.0,tanh,RMSprop,30,1,2,0.17349398
