epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
35,1.0,tanh,RMSprop,10,1,2,0.73390144
70,1.0,tanh,RMSprop,15,1,2,0.64511377
50,1.0,tanh,RMSprop,70,1,2,0.6396734
75,1.0,tanh,RMSprop,25,1,2,0.6348396
60,1.0,tanh,RMSprop,35,1,2,0.63065016
30,1.0,tanh,RMSprop,20,1,2,0.6280751
65,1.0,tanh,RMSprop,85,1,2,0.6271392
80,1.0,tanh,RMSprop,90,1,2,0.62291837
30,1.0,tanh,RMSprop,10,1,2,0.62217873
35,1.0,tanh,RMSprop,30,1,2,0.61892134
30,1.0,tanh,RMSprop,30,1,2,0.6178079
35,1.0,tanh,RMSprop,25,1,2,0.6168218
20,1.0,tanh,RMSprop,35,1,2,0.615166
45,1.0,tanh,RMSprop,45,1,2,0.61504924
15,1.0,tanh,RMSprop,25,1,2,0.6136477
30,1.0,tanh,RMSprop,25,1,2,0.613606
55,1.0,tanh,RMSprop,60,1,2,0.613517
55,1.0,tanh,RMSprop,35,1,2,0.61343634
50,1.0,tanh,RMSprop,45,1,2,0.61164963
50,1.0,tanh,RMSprop,10,1,2,0.6113881
70,1.0,tanh,RMSprop,5,1,2,0.6082873
50,1.0,tanh,RMSprop,15,1,2,0.60726243
65,1.0,tanh,RMSprop,15,1,2,0.6051801
75,1.0,tanh,RMSprop,10,1,2,0.60252154
80,1.0,tanh,RMSprop,25,1,2,0.60027254
85,1.0,tanh,RMSprop,65,1,2,0.60003185
35,1.0,tanh,RMSprop,15,1,2,0.59887296
40,1.0,tanh,RMSprop,45,1,2,0.5981424
45,1.0,tanh,RMSprop,30,1,2,0.59699166
55,1.0,tanh,RMSprop,5,1,2,0.5913779
35,1.0,tanh,RMSprop,20,1,2,0.59102696
15,1.0,tanh,RMSprop,35,1,2,0.5910211
15,1.0,tanh,RMSprop,30,1,2,0.5902923
60,1.0,tanh,RMSprop,40,1,2,0.5889568
40,1.0,tanh,RMSprop,25,1,2,0.58843005
25,1.0,tanh,RMSprop,60,1,2,0.588245
40,1.0,tanh,RMSprop,5,1,2,0.58428144
30,1.0,tanh,RMSprop,55,1,2,0.58406365
25,1.0,tanh,RMSprop,100,1,2,0.5825095
25,1.0,tanh,RMSprop,95,1,2,0.5823277
55,1.0,tanh,RMSprop,55,1,2,0.58211184
5,1.0,tanh,RMSprop,85,1,2,0.5798925
55,1.0,tanh,RMSprop,20,1,2,0.57776195
10,1.0,tanh,RMSprop,55,1,2,0.5776998
20,1.0,tanh,RMSprop,55,1,2,0.5765806
25,1.0,tanh,RMSprop,10,1,2,0.5761686
25,1.0,tanh,RMSprop,35,1,2,0.5758805
45,1.0,tanh,RMSprop,90,1,2,0.57488745
40,1.0,tanh,RMSprop,15,1,2,0.57132953
30,1.0,tanh,RMSprop,40,1,2,0.56938505
25,1.0,tanh,RMSprop,40,1,2,0.5693399
35,1.0,tanh,RMSprop,80,1,2,0.5681033
65,1.0,tanh,RMSprop,20,1,2,0.56808394
65,1.0,tanh,RMSprop,5,1,2,0.56723964
45,1.0,tanh,RMSprop,75,1,2,0.5652384
15,1.0,tanh,RMSprop,5,1,2,0.56492317
45,1.0,tanh,RMSprop,55,1,2,0.5643024
25,1.0,tanh,RMSprop,20,1,2,0.56252754
15,1.0,tanh,RMSprop,70,1,2,0.5624884
