epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
35,1.0,tanh,RMSprop,10,1,2,0.608166
50,1.0,tanh,RMSprop,90,1,2,0.6068177
85,1.0,tanh,RMSprop,5,1,2,0.55781716
50,1.0,tanh,RMSprop,5,1,2,0.55337065
45,1.0,tanh,RMSprop,25,1,2,0.5507917
40,1.0,tanh,RMSprop,30,1,2,0.550249
20,1.0,tanh,RMSprop,10,1,2,0.54791474
95,1.0,tanh,RMSprop,10,1,2,0.53766316
30,1.0,tanh,RMSprop,10,1,2,0.5355002
20,1.0,tanh,RMSprop,25,1,2,0.53310466
35,1.0,tanh,RMSprop,70,1,2,0.530696
95,1.0,tanh,RMSprop,35,1,2,0.5251634
35,1.0,tanh,RMSprop,55,1,2,0.5224673
25,1.0,tanh,RMSprop,75,1,2,0.5179177
25,1.0,tanh,RMSprop,5,1,2,0.51773685
80,1.0,tanh,RMSprop,5,1,2,0.51697594
50,1.0,tanh,RMSprop,60,1,2,0.51639754
95,1.0,tanh,RMSprop,20,1,2,0.5143203
55,1.0,tanh,RMSprop,20,1,2,0.51147175
40,1.0,tanh,RMSprop,20,1,2,0.5103004
15,1.0,tanh,RMSprop,15,1,2,0.5044736
35,1.0,tanh,RMSprop,50,1,2,0.5043205
20,1.0,tanh,RMSprop,30,1,2,0.5040105
60,1.0,tanh,RMSprop,30,1,2,0.5032274
25,1.0,tanh,RMSprop,30,1,2,0.49911106
30,1.0,tanh,RMSprop,95,1,2,0.49819198
65,1.0,tanh,RMSprop,40,1,2,0.49714157
45,1.0,tanh,RMSprop,95,1,2,0.4956578
20,1.0,tanh,RMSprop,20,1,2,0.49402636
45,1.0,tanh,RMSprop,15,1,2,0.49331078
25,1.0,tanh,RMSprop,10,1,2,0.49322745
15,1.0,tanh,RMSprop,10,1,2,0.49295208
65,1.0,tanh,RMSprop,30,1,2,0.48948938
60,1.0,tanh,RMSprop,60,1,2,0.4885763
20,1.0,tanh,RMSprop,40,1,2,0.48789054
85,1.0,tanh,RMSprop,10,1,2,0.48695973
40,1.0,tanh,RMSprop,100,1,2,0.48594847
55,1.0,tanh,RMSprop,30,1,2,0.48380697
40,1.0,tanh,RMSprop,35,1,2,0.48075038
100,1.0,tanh,RMSprop,85,1,2,0.48046383
50,1.0,tanh,RMSprop,75,1,2,0.4802099
60,1.0,tanh,RMSprop,55,1,2,0.47963855
20,1.0,tanh,RMSprop,35,1,2,0.47898054
80,1.0,tanh,RMSprop,85,1,2,0.47463182
40,1.0,tanh,RMSprop,15,1,2,0.4697149
