epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,RMSprop,10,1,2,0.7078613
15,1.0,tanh,RMSprop,5,1,2,0.5501338
95,1.0,tanh,RMSprop,5,1,2,0.53053397
100,1.0,tanh,RMSprop,10,1,2,0.5295499
45,1.0,tanh,RMSprop,10,1,2,0.51517093
10,1.0,tanh,RMSprop,5,1,2,0.5056856
55,1.0,tanh,RMSprop,15,1,2,0.50087935
85,1.0,tanh,RMSprop,10,1,2,0.49882996
65,1.0,tanh,RMSprop,15,1,2,0.4985906
5,1.0,tanh,RMSprop,5,1,2,0.4929979
95,1.0,tanh,RMSprop,20,1,2,0.48923606
30,1.0,tanh,RMSprop,15,1,2,0.4874879
60,1.0,tanh,RMSprop,5,1,2,0.47557187
35,1.0,tanh,RMSprop,5,1,2,0.47140035
25,1.0,tanh,RMSprop,15,1,2,0.47102216
65,1.0,tanh,RMSprop,10,1,2,0.45228574
35,1.0,tanh,RMSprop,20,1,2,0.45169675
20,1.0,tanh,RMSprop,15,1,2,0.4505139
80,1.0,tanh,RMSprop,5,1,2,0.44693404
85,1.0,tanh,RMSprop,5,1,2,0.4462182
40,1.0,tanh,RMSprop,10,1,2,0.44058952
50,1.0,tanh,RMSprop,10,1,2,0.4405018
30,1.0,tanh,RMSprop,10,1,2,0.4386939
15,1.0,tanh,RMSprop,15,1,2,0.43520364
15,1.0,tanh,RMSprop,10,1,2,0.4220862
80,1.0,tanh,RMSprop,10,1,2,0.4210152
75,1.0,tanh,RMSprop,10,1,2,0.41702124
40,1.0,tanh,RMSprop,15,1,2,0.41112396
90,1.0,tanh,RMSprop,10,1,2,0.4097801
90,1.0,tanh,RMSprop,5,1,2,0.40701568
95,1.0,tanh,RMSprop,15,1,2,0.40414697
5,1.0,tanh,RMSprop,20,1,2,0.39718506
10,1.0,tanh,RMSprop,25,1,2,0.39276224
35,1.0,tanh,RMSprop,15,1,2,0.38851562
45,1.0,tanh,RMSprop,5,1,2,0.3724861
40,1.0,tanh,RMSprop,5,1,2,0.3663136
100,1.0,tanh,RMSprop,20,1,2,0.35895833
65,1.0,tanh,RMSprop,5,1,2,0.34690043
45,1.0,tanh,RMSprop,20,1,2,0.34613144
10,1.0,tanh,RMSprop,15,1,2,0.33563572
75,1.0,tanh,RMSprop,5,1,2,0.3345073
60,1.0,tanh,RMSprop,15,1,2,0.33269623
70,1.0,tanh,RMSprop,5,1,2,0.33243763
20,1.0,tanh,RMSprop,5,1,2,0.33152202
30,1.0,tanh,RMSprop,20,1,2,0.32106224
25,1.0,tanh,RMSprop,10,1,2,0.31630996
35,1.0,tanh,RMSprop,10,1,2,0.31278583
100,1.0,tanh,RMSprop,5,1,2,0.30809617
25,1.0,tanh,RMSprop,5,1,2,0.30054745
55,1.0,tanh,RMSprop,5,1,2,0.29680866
55,1.0,tanh,RMSprop,20,1,2,0.29677254
95,1.0,tanh,RMSprop,10,1,2,0.29326513
5,1.0,tanh,RMSprop,25,1,2,0.2806871
75,1.0,tanh,RMSprop,15,1,2,0.27950326
80,1.0,tanh,RMSprop,15,1,2,0.27763128
40,1.0,tanh,RMSprop,20,1,2,0.2656545
90,1.0,tanh,RMSprop,15,1,2,0.2437862
50,1.0,tanh,RMSprop,5,1,2,0.23469695
30,1.0,tanh,RMSprop,5,1,2,0.23213978
10,1.0,tanh,RMSprop,10,1,2,0.22930048
50,1.0,tanh,RMSprop,20,1,2,0.21178828
