epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,6,1,2,0.5626882
28,1.0,tanh,Adagrad,14,1,2,0.51765025
22,1.0,tanh,Adagrad,10,1,2,0.49363333
30,1.0,tanh,Adagrad,12,1,2,0.42310652
28,1.0,tanh,Adagrad,6,1,2,0.41678452
20,1.0,tanh,Adagrad,16,1,2,0.40391156
26,1.0,tanh,Adagrad,12,1,2,0.40315947
26,1.0,tanh,Adagrad,10,1,2,0.40025055
28,1.0,tanh,Adagrad,8,1,2,0.39043766
22,1.0,tanh,Adagrad,12,1,2,0.37538737
30,1.0,tanh,Adagrad,6,1,2,0.3745621
28,1.0,tanh,Adagrad,10,1,2,0.36163017
24,1.0,tanh,Adagrad,10,1,2,0.36008522
22,1.0,tanh,Adagrad,14,1,2,0.35798246
30,1.0,tanh,Adagrad,14,1,2,0.35711402
26,1.0,tanh,Adagrad,16,1,2,0.34126145
24,1.0,tanh,Adagrad,12,1,2,0.3194008
20,1.0,tanh,Adagrad,6,1,2,0.3193123
20,1.0,tanh,Adagrad,8,1,2,0.31028667
30,1.0,tanh,Adagrad,10,1,2,0.28440842
20,1.0,tanh,Adagrad,12,1,2,0.2760145
30,1.0,tanh,Adagrad,8,1,2,0.27528557
20,1.0,tanh,Adagrad,14,1,2,0.2649658
22,1.0,tanh,Adagrad,8,1,2,0.25635135
28,1.0,tanh,Adagrad,12,1,2,0.2336815
26,1.0,tanh,Adagrad,14,1,2,0.21588668
26,1.0,tanh,Adagrad,8,1,2,0.21363148
24,1.0,tanh,Adagrad,8,1,2,0.19827913
22,1.0,tanh,Adagrad,16,1,2,0.17635165
20,1.0,tanh,Adagrad,10,1,2,0.16336714
22,1.0,tanh,Adagrad,6,1,2,0.0722412
28,1.0,tanh,Adagrad,16,1,2,0.06755813
24,1.0,tanh,Adagrad,14,1,2,0.061407134
24,1.0,tanh,Adagrad,6,1,2,0.03992562
24,1.0,tanh,Adagrad,16,1,2,-0.27023047
30,1.0,tanh,Adagrad,16,1,2,-0.26669282
