epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
35,1.0,tanh,RMSprop,15,1,2,0.7322574
85,1.0,tanh,RMSprop,45,1,2,0.71678436
30,1.0,tanh,RMSprop,10,1,2,0.7161178
60,1.0,tanh,RMSprop,10,1,2,0.7152076
45,1.0,tanh,RMSprop,75,1,2,0.7081189
60,1.0,tanh,RMSprop,85,1,2,0.7036965
10,1.0,tanh,RMSprop,20,1,2,0.69915104
10,1.0,tanh,RMSprop,25,1,2,0.69494677
10,1.0,tanh,RMSprop,10,1,2,0.6944627
10,1.0,tanh,RMSprop,30,1,2,0.69234645
90,1.0,tanh,RMSprop,10,1,2,0.69100064
30,1.0,tanh,RMSprop,5,1,2,0.6885409
90,1.0,tanh,RMSprop,55,1,2,0.68501985
75,1.0,tanh,RMSprop,5,1,2,0.684618
45,1.0,tanh,RMSprop,50,1,2,0.68306756
5,1.0,tanh,RMSprop,15,1,2,0.6812395
45,1.0,tanh,RMSprop,100,1,2,0.677259
40,1.0,tanh,RMSprop,15,1,2,0.6763683
15,1.0,tanh,RMSprop,25,1,2,0.6755366
60,1.0,tanh,RMSprop,55,1,2,0.6745934
45,1.0,tanh,RMSprop,65,1,2,0.67424667
55,1.0,tanh,RMSprop,35,1,2,0.67361194
25,1.0,tanh,RMSprop,5,1,2,0.6717036
65,1.0,tanh,RMSprop,45,1,2,0.6706946
60,1.0,tanh,RMSprop,70,1,2,0.67045736
60,1.0,tanh,RMSprop,75,1,2,0.67005724
25,1.0,tanh,RMSprop,20,1,2,0.6677994
90,1.0,tanh,RMSprop,40,1,2,0.6628909
5,1.0,tanh,RMSprop,20,1,2,0.66037416
10,1.0,tanh,RMSprop,15,1,2,0.6585567
70,1.0,tanh,RMSprop,5,1,2,0.65738916
45,1.0,tanh,RMSprop,5,1,2,0.65577555
85,1.0,tanh,RMSprop,40,1,2,0.65472853
60,1.0,tanh,RMSprop,50,1,2,0.6525488
90,1.0,tanh,RMSprop,30,1,2,0.649979
55,1.0,tanh,RMSprop,60,1,2,0.6471073
55,1.0,tanh,RMSprop,55,1,2,0.64411837
5,1.0,tanh,RMSprop,25,1,2,0.6430487
50,1.0,tanh,RMSprop,85,1,2,0.6426159
15,1.0,tanh,RMSprop,30,1,2,0.64082706
35,1.0,tanh,RMSprop,10,1,2,0.63830984
50,1.0,tanh,RMSprop,70,1,2,0.6380354
5,1.0,tanh,RMSprop,10,1,2,0.63765484
40,1.0,tanh,RMSprop,85,1,2,0.6369101
25,1.0,tanh,RMSprop,100,1,2,0.636673
60,1.0,tanh,RMSprop,45,1,2,0.63603646
75,1.0,tanh,RMSprop,35,1,2,0.6334276
30,1.0,tanh,RMSprop,85,1,2,0.6282572
20,1.0,tanh,RMSprop,15,1,2,0.62794024
5,1.0,tanh,RMSprop,30,1,2,0.6229429
50,1.0,tanh,RMSprop,40,1,2,0.6228736
35,1.0,tanh,RMSprop,90,1,2,0.61569035
75,1.0,tanh,RMSprop,65,1,2,0.61130327
40,1.0,tanh,RMSprop,80,1,2,0.61014086
95,1.0,tanh,RMSprop,50,1,2,0.6097617
60,1.0,tanh,RMSprop,5,1,2,0.60679543
10,1.0,tanh,RMSprop,5,1,2,0.60628045
50,1.0,tanh,RMSprop,60,1,2,0.6047526
95,1.0,tanh,RMSprop,100,1,2,0.6044554
55,1.0,tanh,RMSprop,25,1,2,0.6034623
40,1.0,tanh,RMSprop,25,1,2,0.6014418
30,1.0,tanh,RMSprop,95,1,2,0.59490544
35,1.0,tanh,RMSprop,80,1,2,0.5924016
75,1.0,tanh,RMSprop,55,1,2,0.59053785
