epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,14,1,2,0.35478246
28,1.0,tanh,Adagrad,14,1,2,0.09392112
22,1.0,tanh,Adagrad,14,1,2,0.09042125
20,1.0,tanh,Adagrad,16,1,2,0.08966157
22,1.0,tanh,Adagrad,16,1,2,0.08947671
24,1.0,tanh,Adagrad,16,1,2,0.08938683
30,1.0,tanh,Adagrad,16,1,2,0.08895211
28,1.0,tanh,Adagrad,16,1,2,0.0883213
26,1.0,tanh,Adagrad,16,1,2,0.08554368
20,1.0,tanh,Adagrad,14,1,2,-0.78122187
22,1.0,tanh,Adagrad,12,1,2,-0.71835375
20,1.0,tanh,Adagrad,6,1,2,-0.69929636
30,1.0,tanh,Adagrad,10,1,2,-0.6762196
22,1.0,tanh,Adagrad,8,1,2,-0.6686293
28,1.0,tanh,Adagrad,10,1,2,-0.60520625
30,1.0,tanh,Adagrad,14,1,2,-0.57812107
26,1.0,tanh,Adagrad,6,1,2,-0.5608342
24,1.0,tanh,Adagrad,14,1,2,-0.53023475
26,1.0,tanh,Adagrad,10,1,2,-0.50349045
30,1.0,tanh,Adagrad,12,1,2,-0.48428902
30,1.0,tanh,Adagrad,8,1,2,-0.44751346
28,1.0,tanh,Adagrad,6,1,2,-0.42018023
26,1.0,tanh,Adagrad,12,1,2,-0.3642375
28,1.0,tanh,Adagrad,12,1,2,-0.2997238
28,1.0,tanh,Adagrad,8,1,2,-0.27392164
22,1.0,tanh,Adagrad,6,1,2,-0.2734002
26,1.0,tanh,Adagrad,8,1,2,-0.25979936
22,1.0,tanh,Adagrad,10,1,2,-0.24242677
30,1.0,tanh,Adagrad,6,1,2,-0.23254867
24,1.0,tanh,Adagrad,10,1,2,-0.20311981
24,1.0,tanh,Adagrad,6,1,2,-0.17785573
20,1.0,tanh,Adagrad,10,1,2,-0.16520925
24,1.0,tanh,Adagrad,8,1,2,-0.11893673
24,1.0,tanh,Adagrad,12,1,2,-0.10356396
20,1.0,tanh,Adagrad,12,1,2,-0.094186634
20,1.0,tanh,Adagrad,8,1,2,-0.08572803
