epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
85,1.0,tanh,RMSprop,10,1,2,0.54060936
95,1.0,tanh,RMSprop,15,1,2,0.5266382
40,1.0,tanh,RMSprop,15,1,2,0.43066084
30,1.0,tanh,RMSprop,5,1,2,0.37536737
35,1.0,tanh,RMSprop,10,1,2,0.34893486
75,1.0,tanh,RMSprop,5,1,2,0.33339497
80,1.0,tanh,RMSprop,5,1,2,0.3309628
45,1.0,tanh,RMSprop,15,1,2,0.31355524
90,1.0,tanh,RMSprop,15,1,2,0.2863438
60,1.0,tanh,RMSprop,5,1,2,0.28474447
80,1.0,tanh,RMSprop,15,1,2,0.26533943
65,1.0,tanh,RMSprop,5,1,2,0.26119122
50,1.0,tanh,RMSprop,5,1,2,0.2447387
70,1.0,tanh,RMSprop,10,1,2,0.22461928
60,1.0,tanh,RMSprop,10,1,2,0.21798699
70,1.0,tanh,RMSprop,5,1,2,0.21766046
30,1.0,tanh,RMSprop,15,1,2,0.21500444
90,1.0,tanh,RMSprop,5,1,2,0.21223858
20,1.0,tanh,RMSprop,10,1,2,0.21030597
35,1.0,tanh,RMSprop,5,1,2,0.18951705
95,1.0,tanh,RMSprop,5,1,2,0.18237768
55,1.0,tanh,RMSprop,5,1,2,0.17956714
25,1.0,tanh,RMSprop,5,1,2,0.16663487
20,1.0,tanh,RMSprop,5,1,2,0.15625899
40,1.0,tanh,RMSprop,5,1,2,0.1438818
85,1.0,tanh,RMSprop,5,1,2,0.14239429
25,1.0,tanh,RMSprop,20,1,2,0.140457
35,1.0,tanh,RMSprop,15,1,2,0.13093032
100,1.0,tanh,RMSprop,20,1,2,0.12916622
60,1.0,tanh,RMSprop,15,1,2,0.10874234
95,1.0,tanh,RMSprop,10,1,2,0.10138855
100,1.0,tanh,RMSprop,15,1,2,0.075863734
10,1.0,tanh,RMSprop,5,1,2,0.066659756
50,1.0,tanh,RMSprop,10,1,2,0.06418866
20,1.0,tanh,RMSprop,20,1,2,0.06345751
15,1.0,tanh,RMSprop,10,1,2,0.05547957
35,1.0,tanh,RMSprop,20,1,2,0.04786215
45,1.0,tanh,RMSprop,20,1,2,0.04597365
70,1.0,tanh,RMSprop,15,1,2,0.04311623
15,1.0,tanh,RMSprop,5,1,2,0.038985517
25,1.0,tanh,RMSprop,10,1,2,0.038805433
90,1.0,tanh,RMSprop,20,1,2,0.024956793
20,1.0,tanh,RMSprop,15,1,2,0.02059162
15,1.0,tanh,RMSprop,20,1,2,0.019285904
75,1.0,tanh,RMSprop,15,1,2,0.019246189
65,1.0,tanh,RMSprop,15,1,2,0.017828349
75,1.0,tanh,RMSprop,20,1,2,-0.39665753
80,1.0,tanh,RMSprop,20,1,2,-0.37923548
65,1.0,tanh,RMSprop,20,1,2,-0.33677587
30,1.0,tanh,RMSprop,20,1,2,-0.2980646
65,1.0,tanh,RMSprop,25,1,2,-0.29202592
95,1.0,tanh,RMSprop,20,1,2,-0.29103062
5,1.0,tanh,RMSprop,25,1,2,-0.27601767
5,1.0,tanh,RMSprop,30,1,2,-0.27165848
5,1.0,tanh,RMSprop,35,1,2,-0.26103172
5,1.0,tanh,RMSprop,45,1,2,-0.25588527
10,1.0,tanh,RMSprop,25,1,2,-0.25379482
5,1.0,tanh,RMSprop,40,1,2,-0.2534382
5,1.0,tanh,RMSprop,50,1,2,-0.24983516
15,1.0,tanh,RMSprop,15,1,2,-0.24899949
5,1.0,tanh,RMSprop,55,1,2,-0.24896106
5,1.0,tanh,RMSprop,60,1,2,-0.24810104
5,1.0,tanh,RMSprop,65,1,2,-0.24719517
5,1.0,tanh,RMSprop,70,1,2,-0.2469147
5,1.0,tanh,RMSprop,10,1,2,-0.24660738
5,1.0,tanh,RMSprop,80,1,2,-0.24649869
5,1.0,tanh,RMSprop,75,1,2,-0.24639092
5,1.0,tanh,RMSprop,85,1,2,-0.24356233
5,1.0,tanh,RMSprop,90,1,2,-0.24144468
5,1.0,tanh,RMSprop,95,1,2,-0.23991127
55,1.0,tanh,RMSprop,25,1,2,-0.23596092
5,1.0,tanh,RMSprop,100,1,2,-0.2346231
70,1.0,tanh,RMSprop,20,1,2,-0.23084868
10,1.0,tanh,RMSprop,30,1,2,-0.21567053
100,1.0,tanh,RMSprop,5,1,2,-0.21500298
40,1.0,tanh,RMSprop,20,1,2,-0.2146052
10,1.0,tanh,RMSprop,35,1,2,-0.2121987
60,1.0,tanh,RMSprop,25,1,2,-0.21211566
10,1.0,tanh,RMSprop,40,1,2,-0.20795316
10,1.0,tanh,RMSprop,45,1,2,-0.20643212
10,1.0,tanh,RMSprop,50,1,2,-0.2051082
70,1.0,tanh,RMSprop,25,1,2,-0.20494658
50,1.0,tanh,RMSprop,25,1,2,-0.20477904
10,1.0,tanh,RMSprop,55,1,2,-0.20412044
10,1.0,tanh,RMSprop,60,1,2,-0.20329046
10,1.0,tanh,RMSprop,65,1,2,-0.20264253
10,1.0,tanh,RMSprop,70,1,2,-0.20204738
10,1.0,tanh,RMSprop,75,1,2,-0.201299
10,1.0,tanh,RMSprop,80,1,2,-0.20098844
10,1.0,tanh,RMSprop,85,1,2,-0.20016043
10,1.0,tanh,RMSprop,90,1,2,-0.20007905
25,1.0,tanh,RMSprop,15,1,2,-0.19839515
10,1.0,tanh,RMSprop,95,1,2,-0.1979452
10,1.0,tanh,RMSprop,100,1,2,-0.19778988
10,1.0,tanh,RMSprop,15,1,2,-0.19634888
15,1.0,tanh,RMSprop,35,1,2,-0.19597082
5,1.0,tanh,RMSprop,15,1,2,-0.19480273
15,1.0,tanh,RMSprop,40,1,2,-0.1931926
15,1.0,tanh,RMSprop,45,1,2,-0.19235478
15,1.0,tanh,RMSprop,50,1,2,-0.19015776
15,1.0,tanh,RMSprop,55,1,2,-0.1891693
20,1.0,tanh,RMSprop,25,1,2,-0.18883595
15,1.0,tanh,RMSprop,60,1,2,-0.18821225
15,1.0,tanh,RMSprop,65,1,2,-0.18684918
15,1.0,tanh,RMSprop,70,1,2,-0.18536666
5,1.0,tanh,RMSprop,5,1,2,-0.18532646
20,1.0,tanh,RMSprop,30,1,2,-0.18489628
15,1.0,tanh,RMSprop,75,1,2,-0.18473195
15,1.0,tanh,RMSprop,80,1,2,-0.1841882
15,1.0,tanh,RMSprop,85,1,2,-0.1830188
15,1.0,tanh,RMSprop,90,1,2,-0.18235198
20,1.0,tanh,RMSprop,35,1,2,-0.18211007
15,1.0,tanh,RMSprop,95,1,2,-0.18051952
20,1.0,tanh,RMSprop,40,1,2,-0.18013321
15,1.0,tanh,RMSprop,100,1,2,-0.17800674
45,1.0,tanh,RMSprop,5,1,2,-0.17799571
20,1.0,tanh,RMSprop,45,1,2,-0.17548068
95,1.0,tanh,RMSprop,25,1,2,-0.17399698
20,1.0,tanh,RMSprop,50,1,2,-0.17260686
20,1.0,tanh,RMSprop,55,1,2,-0.17137316
25,1.0,tanh,RMSprop,30,1,2,-0.17061739
20,1.0,tanh,RMSprop,60,1,2,-0.1690199
20,1.0,tanh,RMSprop,65,1,2,-0.16747479
25,1.0,tanh,RMSprop,35,1,2,-0.16635004
55,1.0,tanh,RMSprop,10,1,2,-0.16574003
20,1.0,tanh,RMSprop,70,1,2,-0.16559984
15,1.0,tanh,RMSprop,30,1,2,-0.16501299
55,1.0,tanh,RMSprop,20,1,2,-0.16471645
20,1.0,tanh,RMSprop,75,1,2,-0.16422021
10,1.0,tanh,RMSprop,10,1,2,-0.16350141
20,1.0,tanh,RMSprop,80,1,2,-0.16267335
30,1.0,tanh,RMSprop,25,1,2,-0.16262639
20,1.0,tanh,RMSprop,90,1,2,-0.16206063
20,1.0,tanh,RMSprop,85,1,2,-0.16170111
25,1.0,tanh,RMSprop,40,1,2,-0.16149342
25,1.0,tanh,RMSprop,45,1,2,-0.16007788
30,1.0,tanh,RMSprop,30,1,2,-0.1599718
25,1.0,tanh,RMSprop,50,1,2,-0.15880325
20,1.0,tanh,RMSprop,95,1,2,-0.15872464
20,1.0,tanh,RMSprop,100,1,2,-0.15860173
25,1.0,tanh,RMSprop,55,1,2,-0.15831405
35,1.0,tanh,RMSprop,25,1,2,-0.15821746
30,1.0,tanh,RMSprop,35,1,2,-0.15820113
25,1.0,tanh,RMSprop,60,1,2,-0.15805992
25,1.0,tanh,RMSprop,65,1,2,-0.15798835
30,1.0,tanh,RMSprop,40,1,2,-0.15798816
80,1.0,tanh,RMSprop,25,1,2,-0.15795557
85,1.0,tanh,RMSprop,25,1,2,-0.15795413
90,1.0,tanh,RMSprop,25,1,2,-0.15794356
45,1.0,tanh,RMSprop,25,1,2,-0.157943
35,1.0,tanh,RMSprop,30,1,2,-0.15794145
100,1.0,tanh,RMSprop,25,1,2,-0.15793616
95,1.0,tanh,RMSprop,30,1,2,-0.15793127
45,1.0,tanh,RMSprop,30,1,2,-0.15792666
40,1.0,tanh,RMSprop,25,1,2,-0.1579266
75,1.0,tanh,RMSprop,25,1,2,-0.1579256
65,1.0,tanh,RMSprop,30,1,2,-0.1579253
25,1.0,tanh,RMSprop,70,1,2,-0.15792343
