epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
60,1.0,tanh,RMSprop,15,1,2,0.7494099
95,1.0,tanh,RMSprop,10,1,2,0.7432413
50,1.0,tanh,RMSprop,5,1,2,0.72546613
80,1.0,tanh,RMSprop,15,1,2,0.7240953
100,1.0,tanh,RMSprop,5,1,2,0.71960443
35,1.0,tanh,RMSprop,5,1,2,0.71954083
60,1.0,tanh,RMSprop,5,1,2,0.7186317
90,1.0,tanh,RMSprop,5,1,2,0.716446
50,1.0,tanh,RMSprop,10,1,2,0.7164361
40,1.0,tanh,RMSprop,5,1,2,0.71520776
30,1.0,tanh,RMSprop,5,1,2,0.7056003
65,1.0,tanh,RMSprop,5,1,2,0.7043162
85,1.0,tanh,RMSprop,5,1,2,0.69913346
80,1.0,tanh,RMSprop,5,1,2,0.6953433
65,1.0,tanh,RMSprop,15,1,2,0.69514567
75,1.0,tanh,RMSprop,5,1,2,0.694965
55,1.0,tanh,RMSprop,10,1,2,0.6928356
70,1.0,tanh,RMSprop,15,1,2,0.68890613
60,1.0,tanh,RMSprop,10,1,2,0.68308544
80,1.0,tanh,RMSprop,25,1,2,0.6819342
70,1.0,tanh,RMSprop,5,1,2,0.6808365
90,1.0,tanh,RMSprop,20,1,2,0.6806376
35,1.0,tanh,RMSprop,10,1,2,0.6778123
75,1.0,tanh,RMSprop,15,1,2,0.6761941
40,1.0,tanh,RMSprop,10,1,2,0.6747145
80,1.0,tanh,RMSprop,10,1,2,0.6742862
65,1.0,tanh,RMSprop,10,1,2,0.6711088
95,1.0,tanh,RMSprop,5,1,2,0.67085236
100,1.0,tanh,RMSprop,10,1,2,0.6702033
85,1.0,tanh,RMSprop,20,1,2,0.6630266
30,1.0,tanh,RMSprop,10,1,2,0.6595148
50,1.0,tanh,RMSprop,20,1,2,0.65804446
40,1.0,tanh,RMSprop,15,1,2,0.6504011
45,1.0,tanh,RMSprop,5,1,2,0.64575446
70,1.0,tanh,RMSprop,10,1,2,0.6414021
75,1.0,tanh,RMSprop,20,1,2,0.6395319
75,1.0,tanh,RMSprop,10,1,2,0.6394983
85,1.0,tanh,RMSprop,10,1,2,0.6310447
