epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
90,1.0,tanh,RMSprop,85,1,2,0.8157155
70,1.0,tanh,RMSprop,70,1,2,0.7834709
45,1.0,tanh,RMSprop,85,1,2,0.77569175
60,1.0,tanh,RMSprop,30,1,2,0.7646525
100,1.0,tanh,RMSprop,25,1,2,0.7220844
80,1.0,tanh,RMSprop,45,1,2,0.7063966
100,1.0,tanh,RMSprop,15,1,2,0.7053423
65,1.0,tanh,RMSprop,70,1,2,0.6942286
80,1.0,tanh,RMSprop,25,1,2,0.668889
100,1.0,tanh,RMSprop,65,1,2,0.63660735
85,1.0,tanh,RMSprop,75,1,2,0.6351991
60,1.0,tanh,RMSprop,75,1,2,0.6247527
80,1.0,tanh,RMSprop,60,1,2,0.6161859
50,1.0,tanh,RMSprop,60,1,2,0.60794336
70,1.0,tanh,RMSprop,10,1,2,0.60240215
60,1.0,tanh,RMSprop,10,1,2,0.58304656
10,1.0,tanh,RMSprop,5,1,2,0.5743066
20,1.0,tanh,RMSprop,5,1,2,0.5599528
50,1.0,tanh,RMSprop,85,1,2,0.55948615
95,1.0,tanh,RMSprop,100,1,2,0.5568051
65,1.0,tanh,RMSprop,85,1,2,0.5439943
80,1.0,tanh,RMSprop,5,1,2,0.54375774
35,1.0,tanh,RMSprop,5,1,2,0.54131013
65,1.0,tanh,RMSprop,25,1,2,0.541251
100,1.0,tanh,RMSprop,30,1,2,0.53819716
15,1.0,tanh,RMSprop,100,1,2,0.53707135
10,1.0,tanh,RMSprop,15,1,2,0.5341019
70,1.0,tanh,RMSprop,45,1,2,0.52953875
15,1.0,tanh,RMSprop,5,1,2,0.5295386
70,1.0,tanh,RMSprop,95,1,2,0.5277014
50,1.0,tanh,RMSprop,5,1,2,0.52583075
5,1.0,tanh,RMSprop,5,1,2,0.5211369
50,1.0,tanh,RMSprop,35,1,2,0.5190908
25,1.0,tanh,RMSprop,70,1,2,0.5157036
50,1.0,tanh,RMSprop,10,1,2,0.51276743
60,1.0,tanh,RMSprop,55,1,2,0.502908
25,1.0,tanh,RMSprop,5,1,2,0.49540195
5,1.0,tanh,RMSprop,10,1,2,0.49112058
10,1.0,tanh,RMSprop,20,1,2,0.48540053
30,1.0,tanh,RMSprop,10,1,2,0.4804613
65,1.0,tanh,RMSprop,10,1,2,0.4771811
40,1.0,tanh,RMSprop,5,1,2,0.47594205
25,1.0,tanh,RMSprop,15,1,2,0.47247258
