epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,8,1,2,0.5543584
20,1.0,tanh,Adagrad,10,1,2,0.5229015
28,1.0,tanh,Adagrad,8,1,2,0.5228368
28,1.0,tanh,Adagrad,10,1,2,0.51024073
22,1.0,tanh,Adagrad,8,1,2,0.4989833
22,1.0,tanh,Adagrad,10,1,2,0.4871709
22,1.0,tanh,Adagrad,6,1,2,0.4549923
24,1.0,tanh,Adagrad,8,1,2,0.45284903
20,1.0,tanh,Adagrad,8,1,2,0.43445513
26,1.0,tanh,Adagrad,6,1,2,0.38694605
30,1.0,tanh,Adagrad,10,1,2,0.33541784
20,1.0,tanh,Adagrad,6,1,2,0.31509057
24,1.0,tanh,Adagrad,6,1,2,0.3010451
20,1.0,tanh,Adagrad,14,1,2,0.24756496
30,1.0,tanh,Adagrad,8,1,2,0.22270842
30,1.0,tanh,Adagrad,6,1,2,0.18631649
28,1.0,tanh,Adagrad,6,1,2,0.041493356
22,1.0,tanh,Adagrad,12,1,2,0.034509405
20,1.0,tanh,Adagrad,12,1,2,0.034240384
24,1.0,tanh,Adagrad,10,1,2,0.033987902
26,1.0,tanh,Adagrad,10,1,2,0.033937544
22,1.0,tanh,Adagrad,14,1,2,0.033525527
20,1.0,tanh,Adagrad,16,1,2,0.0333719
24,1.0,tanh,Adagrad,12,1,2,0.033348348
26,1.0,tanh,Adagrad,12,1,2,0.033277716
22,1.0,tanh,Adagrad,16,1,2,0.033207998
28,1.0,tanh,Adagrad,12,1,2,0.033187807
24,1.0,tanh,Adagrad,14,1,2,0.033106532
24,1.0,tanh,Adagrad,16,1,2,0.033094354
26,1.0,tanh,Adagrad,14,1,2,0.033073664
30,1.0,tanh,Adagrad,14,1,2,0.03307143
28,1.0,tanh,Adagrad,14,1,2,0.03306018
26,1.0,tanh,Adagrad,16,1,2,0.03304127
30,1.0,tanh,Adagrad,16,1,2,0.033027753
28,1.0,tanh,Adagrad,16,1,2,0.03302599
30,1.0,tanh,Adagrad,12,1,2,0.0057989196
