epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,8,1,2,0.7236819
24,1.0,tanh,Adagrad,10,1,2,0.5370297
22,1.0,tanh,Adagrad,10,1,2,0.37501186
30,1.0,tanh,Adagrad,8,1,2,0.34399724
20,1.0,tanh,Adagrad,10,1,2,0.34065577
24,1.0,tanh,Adagrad,8,1,2,0.32083264
30,1.0,tanh,Adagrad,10,1,2,0.14031151
22,1.0,tanh,Adagrad,8,1,2,0.10753457
28,1.0,tanh,Adagrad,10,1,2,0.09718669
26,1.0,tanh,Adagrad,6,1,2,0.093289346
24,1.0,tanh,Adagrad,6,1,2,0.06917052
26,1.0,tanh,Adagrad,8,1,2,0.05793506
20,1.0,tanh,Adagrad,8,1,2,0.04253182
30,1.0,tanh,Adagrad,6,1,2,0.012780753
20,1.0,tanh,Adagrad,6,1,2,-0.12511334
24,1.0,tanh,Adagrad,14,1,2,-0.062209047
28,1.0,tanh,Adagrad,6,1,2,-0.057615936
22,1.0,tanh,Adagrad,6,1,2,-0.055802293
26,1.0,tanh,Adagrad,10,1,2,-0.038466774
20,1.0,tanh,Adagrad,12,1,2,-0.029624097
22,1.0,tanh,Adagrad,12,1,2,-0.029573992
22,1.0,tanh,Adagrad,14,1,2,-0.028969597
24,1.0,tanh,Adagrad,12,1,2,-0.028437302
20,1.0,tanh,Adagrad,14,1,2,-0.028431913
30,1.0,tanh,Adagrad,12,1,2,-0.028415916
26,1.0,tanh,Adagrad,12,1,2,-0.026703341
20,1.0,tanh,Adagrad,16,1,2,-0.0261213
24,1.0,tanh,Adagrad,16,1,2,-0.025764285
26,1.0,tanh,Adagrad,14,1,2,-0.025682868
28,1.0,tanh,Adagrad,14,1,2,-0.02559745
28,1.0,tanh,Adagrad,12,1,2,-0.025562689
22,1.0,tanh,Adagrad,16,1,2,-0.025059054
30,1.0,tanh,Adagrad,14,1,2,-0.02495534
28,1.0,tanh,Adagrad,16,1,2,-0.024198053
26,1.0,tanh,Adagrad,16,1,2,-0.024116896
30,1.0,tanh,Adagrad,16,1,2,-0.023664175
