epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,6,1,2,0.6385919
28,1.0,tanh,Adagrad,12,1,2,0.58159906
28,1.0,tanh,Adagrad,16,1,2,0.562903
24,1.0,tanh,Adagrad,16,1,2,0.56011057
28,1.0,tanh,Adagrad,14,1,2,0.5540661
20,1.0,tanh,Adagrad,12,1,2,0.5375621
22,1.0,tanh,Adagrad,16,1,2,0.51274073
20,1.0,tanh,Adagrad,16,1,2,0.49593797
20,1.0,tanh,Adagrad,10,1,2,0.4933474
20,1.0,tanh,Adagrad,14,1,2,0.46471786
24,1.0,tanh,Adagrad,8,1,2,0.45218945
28,1.0,tanh,Adagrad,6,1,2,0.42820215
30,1.0,tanh,Adagrad,14,1,2,0.4198874
22,1.0,tanh,Adagrad,10,1,2,0.363675
22,1.0,tanh,Adagrad,14,1,2,0.35972166
30,1.0,tanh,Adagrad,8,1,2,0.35862026
22,1.0,tanh,Adagrad,6,1,2,0.34665015
24,1.0,tanh,Adagrad,6,1,2,0.3285483
30,1.0,tanh,Adagrad,6,1,2,0.29377365
30,1.0,tanh,Adagrad,10,1,2,0.21434334
30,1.0,tanh,Adagrad,12,1,2,0.17098074
22,1.0,tanh,Adagrad,8,1,2,0.14832717
28,1.0,tanh,Adagrad,8,1,2,0.10457543
26,1.0,tanh,Adagrad,14,1,2,0.018204244
26,1.0,tanh,Adagrad,8,1,2,0.010494801
26,1.0,tanh,Adagrad,16,1,2,-0.4324414
24,1.0,tanh,Adagrad,14,1,2,-0.37174794
26,1.0,tanh,Adagrad,10,1,2,-0.24342357
24,1.0,tanh,Adagrad,10,1,2,-0.22453505
24,1.0,tanh,Adagrad,12,1,2,-0.2156978
26,1.0,tanh,Adagrad,6,1,2,-0.19570088
26,1.0,tanh,Adagrad,12,1,2,-0.15115294
20,1.0,tanh,Adagrad,8,1,2,-0.116714746
28,1.0,tanh,Adagrad,10,1,2,-0.1030143
22,1.0,tanh,Adagrad,12,1,2,-0.09223365
30,1.0,tanh,Adagrad,16,1,2,-0.06924575
