epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,RMSprop,85,1,2,0.68680906
50,1.0,tanh,RMSprop,20,1,2,0.6400087
65,1.0,tanh,RMSprop,60,1,2,0.637851
20,1.0,tanh,RMSprop,95,1,2,0.6258003
40,1.0,tanh,RMSprop,35,1,2,0.6095478
30,1.0,tanh,RMSprop,30,1,2,0.6028351
20,1.0,tanh,RMSprop,65,1,2,0.58750373
65,1.0,tanh,RMSprop,65,1,2,0.55430067
35,1.0,tanh,RMSprop,25,1,2,0.5421878
20,1.0,tanh,RMSprop,30,1,2,0.5329334
45,1.0,tanh,RMSprop,25,1,2,0.52761
25,1.0,tanh,RMSprop,85,1,2,0.5164183
25,1.0,tanh,RMSprop,75,1,2,0.5150031
40,1.0,tanh,RMSprop,85,1,2,0.48916367
60,1.0,tanh,RMSprop,20,1,2,0.47737423
70,1.0,tanh,RMSprop,75,1,2,0.47664878
75,1.0,tanh,RMSprop,20,1,2,0.47450164
85,1.0,tanh,RMSprop,30,1,2,0.46654093
15,1.0,tanh,RMSprop,100,1,2,0.46057534
20,1.0,tanh,RMSprop,80,1,2,0.45413
25,1.0,tanh,RMSprop,55,1,2,0.45098028
55,1.0,tanh,RMSprop,100,1,2,0.44121754
90,1.0,tanh,RMSprop,10,1,2,0.44041312
65,1.0,tanh,RMSprop,50,1,2,0.4246151
70,1.0,tanh,RMSprop,50,1,2,0.4182312
30,1.0,tanh,RMSprop,65,1,2,0.41623783
80,1.0,tanh,RMSprop,15,1,2,0.41008812
40,1.0,tanh,RMSprop,10,1,2,0.3994688
10,1.0,tanh,RMSprop,70,1,2,0.393777
65,1.0,tanh,RMSprop,40,1,2,0.39028913
30,1.0,tanh,RMSprop,55,1,2,0.39005393
45,1.0,tanh,RMSprop,30,1,2,0.38015547
5,1.0,tanh,RMSprop,20,1,2,0.3765128
20,1.0,tanh,RMSprop,55,1,2,0.3731435
30,1.0,tanh,RMSprop,35,1,2,0.36841896
15,1.0,tanh,RMSprop,75,1,2,0.3643027
50,1.0,tanh,RMSprop,95,1,2,0.35310283
25,1.0,tanh,RMSprop,60,1,2,0.34457853
15,1.0,tanh,RMSprop,70,1,2,0.3415043
20,1.0,tanh,RMSprop,70,1,2,0.34144345
50,1.0,tanh,RMSprop,85,1,2,0.34111276
30,1.0,tanh,RMSprop,75,1,2,0.33932176
25,1.0,tanh,RMSprop,70,1,2,0.3331349
15,1.0,tanh,RMSprop,55,1,2,0.32978368
40,1.0,tanh,RMSprop,50,1,2,0.32073602
5,1.0,tanh,RMSprop,15,1,2,0.31928357
95,1.0,tanh,RMSprop,100,1,2,0.31883895
50,1.0,tanh,RMSprop,30,1,2,0.30980167
100,1.0,tanh,RMSprop,30,1,2,0.3083723
40,1.0,tanh,RMSprop,25,1,2,0.30392238
30,1.0,tanh,RMSprop,45,1,2,0.30233955
25,1.0,tanh,RMSprop,45,1,2,0.30011618
20,1.0,tanh,RMSprop,85,1,2,0.29135337
50,1.0,tanh,RMSprop,70,1,2,0.29002085
45,1.0,tanh,RMSprop,35,1,2,0.28286642
5,1.0,tanh,RMSprop,5,1,2,0.2700443
20,1.0,tanh,RMSprop,35,1,2,0.26884437
10,1.0,tanh,RMSprop,100,1,2,0.2646072
15,1.0,tanh,RMSprop,95,1,2,0.26051542
15,1.0,tanh,RMSprop,10,1,2,0.25460666
15,1.0,tanh,RMSprop,90,1,2,0.25368586
30,1.0,tanh,RMSprop,40,1,2,0.25019395
30,1.0,tanh,RMSprop,90,1,2,0.24901527
10,1.0,tanh,RMSprop,95,1,2,0.24730656
80,1.0,tanh,RMSprop,20,1,2,0.24508774
75,1.0,tanh,RMSprop,10,1,2,0.24054195
15,1.0,tanh,RMSprop,65,1,2,0.23401994
20,1.0,tanh,RMSprop,45,1,2,0.22342429
45,1.0,tanh,RMSprop,15,1,2,0.22111946
45,1.0,tanh,RMSprop,10,1,2,0.20901212
60,1.0,tanh,RMSprop,55,1,2,0.20165992
45,1.0,tanh,RMSprop,55,1,2,0.20046876
80,1.0,tanh,RMSprop,45,1,2,0.20014511
100,1.0,tanh,RMSprop,70,1,2,0.19896604
30,1.0,tanh,RMSprop,25,1,2,0.19419175
20,1.0,tanh,RMSprop,15,1,2,0.19408832
95,1.0,tanh,RMSprop,55,1,2,0.19391122
60,1.0,tanh,RMSprop,10,1,2,0.19114968
65,1.0,tanh,RMSprop,75,1,2,0.19075848
40,1.0,tanh,RMSprop,45,1,2,0.18850158
30,1.0,tanh,RMSprop,15,1,2,0.18491912
10,1.0,tanh,RMSprop,75,1,2,0.1823767
60,1.0,tanh,RMSprop,90,1,2,0.18139113
35,1.0,tanh,RMSprop,50,1,2,0.1812884
80,1.0,tanh,RMSprop,35,1,2,0.17835473
100,1.0,tanh,RMSprop,25,1,2,0.17676865
15,1.0,tanh,RMSprop,80,1,2,0.17062171
20,1.0,tanh,RMSprop,90,1,2,0.16834705
35,1.0,tanh,RMSprop,40,1,2,0.16641316
25,1.0,tanh,RMSprop,50,1,2,0.16494967
100,1.0,tanh,RMSprop,50,1,2,0.16319354
80,1.0,tanh,RMSprop,25,1,2,0.15742391
30,1.0,tanh,RMSprop,70,1,2,0.15667212
30,1.0,tanh,RMSprop,5,1,2,0.15511581
50,1.0,tanh,RMSprop,60,1,2,0.15511104
10,1.0,tanh,RMSprop,90,1,2,0.15504763
20,1.0,tanh,RMSprop,100,1,2,0.15494213
40,1.0,tanh,RMSprop,15,1,2,0.15333708
35,1.0,tanh,RMSprop,45,1,2,0.15081757
10,1.0,tanh,RMSprop,65,1,2,0.14965168
25,1.0,tanh,RMSprop,15,1,2,0.14932948
75,1.0,tanh,RMSprop,25,1,2,0.14832935
35,1.0,tanh,RMSprop,35,1,2,0.14164653
80,1.0,tanh,RMSprop,5,1,2,0.13604848
50,1.0,tanh,RMSprop,50,1,2,0.1354603
35,1.0,tanh,RMSprop,60,1,2,0.13323577
35,1.0,tanh,RMSprop,90,1,2,0.13044843
25,1.0,tanh,RMSprop,90,1,2,0.12706608
40,1.0,tanh,RMSprop,40,1,2,0.12640722
90,1.0,tanh,RMSprop,50,1,2,0.12564708
35,1.0,tanh,RMSprop,15,1,2,0.12492846
65,1.0,tanh,RMSprop,5,1,2,0.12055341
40,1.0,tanh,RMSprop,5,1,2,0.12049579
70,1.0,tanh,RMSprop,40,1,2,0.11985973
10,1.0,tanh,RMSprop,15,1,2,0.11874407
55,1.0,tanh,RMSprop,80,1,2,0.11802445
45,1.0,tanh,RMSprop,5,1,2,0.11775519
90,1.0,tanh,RMSprop,95,1,2,0.11730407
50,1.0,tanh,RMSprop,5,1,2,0.11717645
85,1.0,tanh,RMSprop,15,1,2,0.1163654
65,1.0,tanh,RMSprop,30,1,2,0.116319545
35,1.0,tanh,RMSprop,30,1,2,0.116187215
15,1.0,tanh,RMSprop,60,1,2,0.11275738
10,1.0,tanh,RMSprop,80,1,2,0.11216868
25,1.0,tanh,RMSprop,80,1,2,0.10998168
100,1.0,tanh,RMSprop,20,1,2,0.10916807
95,1.0,tanh,RMSprop,90,1,2,0.10684253
95,1.0,tanh,RMSprop,30,1,2,0.10575542
90,1.0,tanh,RMSprop,35,1,2,0.10575027
70,1.0,tanh,RMSprop,70,1,2,0.10512164
80,1.0,tanh,RMSprop,55,1,2,0.10422777
75,1.0,tanh,RMSprop,65,1,2,0.10410587
30,1.0,tanh,RMSprop,20,1,2,0.10397277
25,1.0,tanh,RMSprop,40,1,2,0.10151519
50,1.0,tanh,RMSprop,10,1,2,0.10053051
60,1.0,tanh,RMSprop,75,1,2,0.09830453
60,1.0,tanh,RMSprop,85,1,2,0.096454844
20,1.0,tanh,RMSprop,25,1,2,0.09621738
95,1.0,tanh,RMSprop,50,1,2,0.09333415
55,1.0,tanh,RMSprop,85,1,2,0.0896922
15,1.0,tanh,RMSprop,50,1,2,0.08641477
50,1.0,tanh,RMSprop,40,1,2,0.08625472
70,1.0,tanh,RMSprop,65,1,2,0.08570344
80,1.0,tanh,RMSprop,60,1,2,0.08202616
35,1.0,tanh,RMSprop,55,1,2,0.08197538
70,1.0,tanh,RMSprop,5,1,2,0.079353526
10,1.0,tanh,RMSprop,20,1,2,0.07914944
85,1.0,tanh,RMSprop,5,1,2,0.07845442
85,1.0,tanh,RMSprop,85,1,2,0.077618584
20,1.0,tanh,RMSprop,50,1,2,0.07690427
75,1.0,tanh,RMSprop,75,1,2,0.0768478
35,1.0,tanh,RMSprop,10,1,2,0.07562516
20,1.0,tanh,RMSprop,40,1,2,0.0750003
70,1.0,tanh,RMSprop,95,1,2,0.074466825
75,1.0,tanh,RMSprop,5,1,2,0.074381076
10,1.0,tanh,RMSprop,30,1,2,0.071830206
15,1.0,tanh,RMSprop,40,1,2,0.07151229
80,1.0,tanh,RMSprop,85,1,2,0.066069
75,1.0,tanh,RMSprop,85,1,2,0.065049574
15,1.0,tanh,RMSprop,45,1,2,0.061878372
15,1.0,tanh,RMSprop,20,1,2,0.060972154
95,1.0,tanh,RMSprop,10,1,2,0.059047803
35,1.0,tanh,RMSprop,70,1,2,0.058647726
100,1.0,tanh,RMSprop,65,1,2,0.05766738
40,1.0,tanh,RMSprop,75,1,2,0.05690253
30,1.0,tanh,RMSprop,10,1,2,0.056662526
50,1.0,tanh,RMSprop,80,1,2,0.053960133
80,1.0,tanh,RMSprop,50,1,2,0.052747626
60,1.0,tanh,RMSprop,70,1,2,0.05252183
75,1.0,tanh,RMSprop,55,1,2,0.050311286
40,1.0,tanh,RMSprop,20,1,2,0.05015122
95,1.0,tanh,RMSprop,45,1,2,0.04994661
55,1.0,tanh,RMSprop,95,1,2,0.046677478
20,1.0,tanh,RMSprop,20,1,2,0.044916917
75,1.0,tanh,RMSprop,60,1,2,0.043783054
55,1.0,tanh,RMSprop,70,1,2,0.041701447
85,1.0,tanh,RMSprop,95,1,2,0.038825244
50,1.0,tanh,RMSprop,100,1,2,0.034733593
55,1.0,tanh,RMSprop,5,1,2,0.033474844
15,1.0,tanh,RMSprop,85,1,2,0.032423895
85,1.0,tanh,RMSprop,80,1,2,0.03188841
95,1.0,tanh,RMSprop,5,1,2,0.030984037
85,1.0,tanh,RMSprop,60,1,2,0.030738559
90,1.0,tanh,RMSprop,5,1,2,0.030188436
90,1.0,tanh,RMSprop,80,1,2,0.028757693
10,1.0,tanh,RMSprop,10,1,2,0.028372051
85,1.0,tanh,RMSprop,70,1,2,0.026372444
5,1.0,tanh,RMSprop,25,1,2,0.026268082
90,1.0,tanh,RMSprop,20,1,2,0.024370896
40,1.0,tanh,RMSprop,70,1,2,0.021422029
95,1.0,tanh,RMSprop,95,1,2,0.02111899
80,1.0,tanh,RMSprop,70,1,2,0.020579224
15,1.0,tanh,RMSprop,15,1,2,0.019825242
70,1.0,tanh,RMSprop,85,1,2,0.019525412
65,1.0,tanh,RMSprop,10,1,2,0.016530009
100,1.0,tanh,RMSprop,85,1,2,0.016215434
15,1.0,tanh,RMSprop,5,1,2,0.014988225
95,1.0,tanh,RMSprop,85,1,2,0.013359123
60,1.0,tanh,RMSprop,35,1,2,0.013352873
100,1.0,tanh,RMSprop,60,1,2,0.012260446
55,1.0,tanh,RMSprop,10,1,2,0.012042192
55,1.0,tanh,RMSprop,60,1,2,0.010302168
85,1.0,tanh,RMSprop,40,1,2,0.0051230495
65,1.0,tanh,RMSprop,70,1,2,0.0050557796
85,1.0,tanh,RMSprop,10,1,2,0.0017929206
60,1.0,tanh,RMSprop,45,1,2,-0.53123724
85,1.0,tanh,RMSprop,65,1,2,-0.5161013
55,1.0,tanh,RMSprop,35,1,2,-0.5051886
35,1.0,tanh,RMSprop,80,1,2,-0.5030883
70,1.0,tanh,RMSprop,30,1,2,-0.5011875
75,1.0,tanh,RMSprop,95,1,2,-0.48286146
30,1.0,tanh,RMSprop,95,1,2,-0.48050654
100,1.0,tanh,RMSprop,45,1,2,-0.47577813
30,1.0,tanh,RMSprop,80,1,2,-0.47068587
55,1.0,tanh,RMSprop,25,1,2,-0.4704275
85,1.0,tanh,RMSprop,100,1,2,-0.4655364
45,1.0,tanh,RMSprop,65,1,2,-0.45856145
50,1.0,tanh,RMSprop,25,1,2,-0.4545056
40,1.0,tanh,RMSprop,80,1,2,-0.42521277
100,1.0,tanh,RMSprop,100,1,2,-0.4202643
50,1.0,tanh,RMSprop,90,1,2,-0.41053915
35,1.0,tanh,RMSprop,85,1,2,-0.41010055
50,1.0,tanh,RMSprop,15,1,2,-0.40450874
40,1.0,tanh,RMSprop,30,1,2,-0.4001882
70,1.0,tanh,RMSprop,15,1,2,-0.39330497
35,1.0,tanh,RMSprop,100,1,2,-0.38759255
45,1.0,tanh,RMSprop,40,1,2,-0.3843007
60,1.0,tanh,RMSprop,40,1,2,-0.3810399
30,1.0,tanh,RMSprop,50,1,2,-0.37212875
45,1.0,tanh,RMSprop,60,1,2,-0.36988315
10,1.0,tanh,RMSprop,55,1,2,-0.36924732
40,1.0,tanh,RMSprop,65,1,2,-0.36588782
40,1.0,tanh,RMSprop,95,1,2,-0.36231387
50,1.0,tanh,RMSprop,45,1,2,-0.35727727
5,1.0,tanh,RMSprop,90,1,2,-0.3565135
100,1.0,tanh,RMSprop,35,1,2,-0.35522205
75,1.0,tanh,RMSprop,45,1,2,-0.35355735
5,1.0,tanh,RMSprop,95,1,2,-0.3519586
55,1.0,tanh,RMSprop,55,1,2,-0.35138243
40,1.0,tanh,RMSprop,100,1,2,-0.34718263
70,1.0,tanh,RMSprop,45,1,2,-0.34056383
80,1.0,tanh,RMSprop,75,1,2,-0.33957177
5,1.0,tanh,RMSprop,100,1,2,-0.33680764
10,1.0,tanh,RMSprop,45,1,2,-0.33485207
20,1.0,tanh,RMSprop,10,1,2,-0.3314237
100,1.0,tanh,RMSprop,55,1,2,-0.33051607
95,1.0,tanh,RMSprop,65,1,2,-0.3278117
65,1.0,tanh,RMSprop,90,1,2,-0.32671332
5,1.0,tanh,RMSprop,85,1,2,-0.32160082
5,1.0,tanh,RMSprop,80,1,2,-0.31787378
25,1.0,tanh,RMSprop,95,1,2,-0.31587955
85,1.0,tanh,RMSprop,45,1,2,-0.31470641
100,1.0,tanh,RMSprop,75,1,2,-0.31357953
25,1.0,tanh,RMSprop,65,1,2,-0.31344232
10,1.0,tanh,RMSprop,35,1,2,-0.31195533
90,1.0,tanh,RMSprop,70,1,2,-0.30824134
30,1.0,tanh,RMSprop,100,1,2,-0.30317596
5,1.0,tanh,RMSprop,70,1,2,-0.3015554
5,1.0,tanh,RMSprop,65,1,2,-0.29973012
20,1.0,tanh,RMSprop,60,1,2,-0.2947731
95,1.0,tanh,RMSprop,40,1,2,-0.29460686
35,1.0,tanh,RMSprop,65,1,2,-0.28839108
90,1.0,tanh,RMSprop,100,1,2,-0.28681472
90,1.0,tanh,RMSprop,45,1,2,-0.28563738
90,1.0,tanh,RMSprop,55,1,2,-0.28561112
5,1.0,tanh,RMSprop,60,1,2,-0.28336594
5,1.0,tanh,RMSprop,75,1,2,-0.2805665
40,1.0,tanh,RMSprop,90,1,2,-0.27830887
5,1.0,tanh,RMSprop,55,1,2,-0.27510232
60,1.0,tanh,RMSprop,95,1,2,-0.270188
100,1.0,tanh,RMSprop,90,1,2,-0.26940945
70,1.0,tanh,RMSprop,55,1,2,-0.2679949
60,1.0,tanh,RMSprop,25,1,2,-0.2654957
25,1.0,tanh,RMSprop,25,1,2,-0.26401716
80,1.0,tanh,RMSprop,65,1,2,-0.2633889
85,1.0,tanh,RMSprop,35,1,2,-0.26155457
60,1.0,tanh,RMSprop,65,1,2,-0.2602846
5,1.0,tanh,RMSprop,45,1,2,-0.2585626
70,1.0,tanh,RMSprop,100,1,2,-0.25796652
5,1.0,tanh,RMSprop,50,1,2,-0.25632986
5,1.0,tanh,RMSprop,30,1,2,-0.25018984
15,1.0,tanh,RMSprop,25,1,2,-0.24819984
5,1.0,tanh,RMSprop,35,1,2,-0.24689826
55,1.0,tanh,RMSprop,40,1,2,-0.24218792
65,1.0,tanh,RMSprop,15,1,2,-0.24148814
5,1.0,tanh,RMSprop,40,1,2,-0.23881839
100,1.0,tanh,RMSprop,5,1,2,-0.2322774
45,1.0,tanh,RMSprop,90,1,2,-0.22822668
65,1.0,tanh,RMSprop,85,1,2,-0.22736369
90,1.0,tanh,RMSprop,60,1,2,-0.2208721
60,1.0,tanh,RMSprop,30,1,2,-0.22035435
25,1.0,tanh,RMSprop,30,1,2,-0.21308134
15,1.0,tanh,RMSprop,30,1,2,-0.20760566
70,1.0,tanh,RMSprop,35,1,2,-0.20711218
55,1.0,tanh,RMSprop,45,1,2,-0.20567144
75,1.0,tanh,RMSprop,35,1,2,-0.20172848
80,1.0,tanh,RMSprop,30,1,2,-0.20090257
90,1.0,tanh,RMSprop,25,1,2,-0.19719355
10,1.0,tanh,RMSprop,5,1,2,-0.19492263
20,1.0,tanh,RMSprop,5,1,2,-0.19395575
95,1.0,tanh,RMSprop,60,1,2,-0.1883519
25,1.0,tanh,RMSprop,100,1,2,-0.18617094
100,1.0,tanh,RMSprop,15,1,2,-0.18608736
75,1.0,tanh,RMSprop,15,1,2,-0.18330075
100,1.0,tanh,RMSprop,40,1,2,-0.1827719
95,1.0,tanh,RMSprop,35,1,2,-0.17334445
80,1.0,tanh,RMSprop,90,1,2,-0.17223844
45,1.0,tanh,RMSprop,80,1,2,-0.1717034
10,1.0,tanh,RMSprop,40,1,2,-0.16796337
85,1.0,tanh,RMSprop,55,1,2,-0.1675878
65,1.0,tanh,RMSprop,95,1,2,-0.16757292
65,1.0,tanh,RMSprop,80,1,2,-0.16090858
50,1.0,tanh,RMSprop,65,1,2,-0.16005321
60,1.0,tanh,RMSprop,50,1,2,-0.15798198
55,1.0,tanh,RMSprop,50,1,2,-0.15507835
35,1.0,tanh,RMSprop,95,1,2,-0.15316375
30,1.0,tanh,RMSprop,60,1,2,-0.15186019
10,1.0,tanh,RMSprop,50,1,2,-0.15161385
80,1.0,tanh,RMSprop,95,1,2,-0.15160711
65,1.0,tanh,RMSprop,35,1,2,-0.15029055
75,1.0,tanh,RMSprop,40,1,2,-0.1490409
65,1.0,tanh,RMSprop,25,1,2,-0.14338072
80,1.0,tanh,RMSprop,100,1,2,-0.14178585
55,1.0,tanh,RMSprop,65,1,2,-0.13956346
15,1.0,tanh,RMSprop,35,1,2,-0.13807799
10,1.0,tanh,RMSprop,85,1,2,-0.13653275
10,1.0,tanh,RMSprop,25,1,2,-0.13367222
85,1.0,tanh,RMSprop,75,1,2,-0.13269678
55,1.0,tanh,RMSprop,15,1,2,-0.12962294
90,1.0,tanh,RMSprop,65,1,2,-0.1262137
90,1.0,tanh,RMSprop,40,1,2,-0.11989137
90,1.0,tanh,RMSprop,30,1,2,-0.117538534
65,1.0,tanh,RMSprop,20,1,2,-0.117268436
45,1.0,tanh,RMSprop,45,1,2,-0.115980946
55,1.0,tanh,RMSprop,75,1,2,-0.11088466
100,1.0,tanh,RMSprop,95,1,2,-0.108876854
100,1.0,tanh,RMSprop,80,1,2,-0.10332651
95,1.0,tanh,RMSprop,20,1,2,-0.096651286
55,1.0,tanh,RMSprop,90,1,2,-0.094868496
25,1.0,tanh,RMSprop,5,1,2,-0.0936251
45,1.0,tanh,RMSprop,75,1,2,-0.09360667
80,1.0,tanh,RMSprop,10,1,2,-0.09183389
80,1.0,tanh,RMSprop,40,1,2,-0.089354575
70,1.0,tanh,RMSprop,90,1,2,-0.08930238
85,1.0,tanh,RMSprop,50,1,2,-0.08770623
90,1.0,tanh,RMSprop,90,1,2,-0.08621735
85,1.0,tanh,RMSprop,90,1,2,-0.08519388
50,1.0,tanh,RMSprop,75,1,2,-0.0833447
90,1.0,tanh,RMSprop,15,1,2,-0.080720596
75,1.0,tanh,RMSprop,100,1,2,-0.08039166
60,1.0,tanh,RMSprop,100,1,2,-0.08025928
95,1.0,tanh,RMSprop,25,1,2,-0.07909008
75,1.0,tanh,RMSprop,90,1,2,-0.07618637
100,1.0,tanh,RMSprop,10,1,2,-0.07508915
95,1.0,tanh,RMSprop,70,1,2,-0.07070829
90,1.0,tanh,RMSprop,85,1,2,-0.07050043
65,1.0,tanh,RMSprop,55,1,2,-0.067545064
75,1.0,tanh,RMSprop,50,1,2,-0.06728051
5,1.0,tanh,RMSprop,10,1,2,-0.058652338
90,1.0,tanh,RMSprop,75,1,2,-0.05693295
25,1.0,tanh,RMSprop,20,1,2,-0.055343665
45,1.0,tanh,RMSprop,70,1,2,-0.053506583
20,1.0,tanh,RMSprop,75,1,2,-0.05332923
35,1.0,tanh,RMSprop,75,1,2,-0.05272848
45,1.0,tanh,RMSprop,85,1,2,-0.052037064
45,1.0,tanh,RMSprop,100,1,2,-0.049576342
45,1.0,tanh,RMSprop,50,1,2,-0.048240162
65,1.0,tanh,RMSprop,45,1,2,-0.04812188
70,1.0,tanh,RMSprop,80,1,2,-0.045868166
65,1.0,tanh,RMSprop,100,1,2,-0.04328437
85,1.0,tanh,RMSprop,25,1,2,-0.037861336
95,1.0,tanh,RMSprop,15,1,2,-0.034746274
50,1.0,tanh,RMSprop,35,1,2,-0.03369097
60,1.0,tanh,RMSprop,5,1,2,-0.033350833
60,1.0,tanh,RMSprop,60,1,2,-0.03317193
25,1.0,tanh,RMSprop,35,1,2,-0.03159072
35,1.0,tanh,RMSprop,5,1,2,-0.030800287
80,1.0,tanh,RMSprop,80,1,2,-0.030690191
45,1.0,tanh,RMSprop,20,1,2,-0.029765904
75,1.0,tanh,RMSprop,80,1,2,-0.029302942
70,1.0,tanh,RMSprop,60,1,2,-0.027548572
55,1.0,tanh,RMSprop,20,1,2,-0.026774194
70,1.0,tanh,RMSprop,20,1,2,-0.024946703
60,1.0,tanh,RMSprop,80,1,2,-0.024620706
45,1.0,tanh,RMSprop,95,1,2,-0.022999028
85,1.0,tanh,RMSprop,20,1,2,-0.022120494
55,1.0,tanh,RMSprop,30,1,2,-0.021825269
40,1.0,tanh,RMSprop,60,1,2,-0.019673286
95,1.0,tanh,RMSprop,75,1,2,-0.017686926
70,1.0,tanh,RMSprop,25,1,2,-0.016132636
95,1.0,tanh,RMSprop,80,1,2,-0.016120706
70,1.0,tanh,RMSprop,10,1,2,-0.01369378
10,1.0,tanh,RMSprop,60,1,2,-0.013322671
40,1.0,tanh,RMSprop,55,1,2,-0.011645158
60,1.0,tanh,RMSprop,15,1,2,-0.01081274
75,1.0,tanh,RMSprop,70,1,2,-0.008593605
50,1.0,tanh,RMSprop,55,1,2,-0.0039855754
75,1.0,tanh,RMSprop,30,1,2,-0.0033276672
35,1.0,tanh,RMSprop,20,1,2,-0.0011416218
25,1.0,tanh,RMSprop,10,1,2,-0.00046888346
