epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
80,1.0,tanh,RMSprop,30,1,2,0.73283106
70,1.0,tanh,RMSprop,25,1,2,0.5412879
65,1.0,tanh,RMSprop,50,1,2,0.52938735
80,1.0,tanh,RMSprop,60,1,2,0.527746
40,1.0,tanh,RMSprop,10,1,2,0.5187444
100,1.0,tanh,RMSprop,10,1,2,0.5171715
45,1.0,tanh,RMSprop,30,1,2,0.51585263
95,1.0,tanh,RMSprop,30,1,2,0.5121734
90,1.0,tanh,RMSprop,20,1,2,0.51132244
60,1.0,tanh,RMSprop,40,1,2,0.50539553
95,1.0,tanh,RMSprop,5,1,2,0.49709356
45,1.0,tanh,RMSprop,35,1,2,0.4904932
60,1.0,tanh,RMSprop,75,1,2,0.48573548
45,1.0,tanh,RMSprop,25,1,2,0.485474
55,1.0,tanh,RMSprop,35,1,2,0.48399878
45,1.0,tanh,RMSprop,45,1,2,0.4781588
80,1.0,tanh,RMSprop,45,1,2,0.46614817
60,1.0,tanh,RMSprop,55,1,2,0.46575204
70,1.0,tanh,RMSprop,15,1,2,0.4641474
50,1.0,tanh,RMSprop,25,1,2,0.46287072
55,1.0,tanh,RMSprop,55,1,2,0.46219528
85,1.0,tanh,RMSprop,5,1,2,0.46068597
65,1.0,tanh,RMSprop,45,1,2,0.45554033
45,1.0,tanh,RMSprop,15,1,2,0.45396367
75,1.0,tanh,RMSprop,20,1,2,0.45096987
25,1.0,tanh,RMSprop,10,1,2,0.45089713
60,1.0,tanh,RMSprop,30,1,2,0.44962034
75,1.0,tanh,RMSprop,30,1,2,0.44948423
35,1.0,tanh,RMSprop,40,1,2,0.4493737
80,1.0,tanh,RMSprop,15,1,2,0.44812468
80,1.0,tanh,RMSprop,5,1,2,0.44664946
65,1.0,tanh,RMSprop,5,1,2,0.44366333
65,1.0,tanh,RMSprop,15,1,2,0.44219136
20,1.0,tanh,RMSprop,5,1,2,0.4411494
75,1.0,tanh,RMSprop,5,1,2,0.4373783
45,1.0,tanh,RMSprop,50,1,2,0.43685454
70,1.0,tanh,RMSprop,5,1,2,0.43622452
50,1.0,tanh,RMSprop,45,1,2,0.4360666
35,1.0,tanh,RMSprop,80,1,2,0.43506247
90,1.0,tanh,RMSprop,5,1,2,0.43172452
70,1.0,tanh,RMSprop,75,1,2,0.43135902
90,1.0,tanh,RMSprop,15,1,2,0.4306359
55,1.0,tanh,RMSprop,70,1,2,0.42910224
65,1.0,tanh,RMSprop,10,1,2,0.42851266
35,1.0,tanh,RMSprop,10,1,2,0.42834872
70,1.0,tanh,RMSprop,10,1,2,0.42811674
55,1.0,tanh,RMSprop,5,1,2,0.423212
35,1.0,tanh,RMSprop,75,1,2,0.42310318
40,1.0,tanh,RMSprop,50,1,2,0.42246225
85,1.0,tanh,RMSprop,55,1,2,0.42178783
55,1.0,tanh,RMSprop,50,1,2,0.4208652
45,1.0,tanh,RMSprop,70,1,2,0.41965264
90,1.0,tanh,RMSprop,30,1,2,0.41464168
45,1.0,tanh,RMSprop,10,1,2,0.41409296
40,1.0,tanh,RMSprop,55,1,2,0.41310224
80,1.0,tanh,RMSprop,35,1,2,0.41304144
30,1.0,tanh,RMSprop,10,1,2,0.41227862
70,1.0,tanh,RMSprop,20,1,2,0.4099556
25,1.0,tanh,RMSprop,30,1,2,0.40663213
60,1.0,tanh,RMSprop,5,1,2,0.40616205
50,1.0,tanh,RMSprop,60,1,2,0.40478897
20,1.0,tanh,RMSprop,50,1,2,0.4046654
85,1.0,tanh,RMSprop,75,1,2,0.39837515
75,1.0,tanh,RMSprop,85,1,2,0.3973207
30,1.0,tanh,RMSprop,20,1,2,0.39513913
35,1.0,tanh,RMSprop,15,1,2,0.39492366
40,1.0,tanh,RMSprop,40,1,2,0.3941214
40,1.0,tanh,RMSprop,25,1,2,0.39349613
10,1.0,tanh,RMSprop,5,1,2,0.39227173
20,1.0,tanh,RMSprop,15,1,2,0.38785955
60,1.0,tanh,RMSprop,10,1,2,0.3871203
90,1.0,tanh,RMSprop,35,1,2,0.38554904
