epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,6,1,2,0.6745861
28,1.0,tanh,Adagrad,14,1,2,0.6605868
30,1.0,tanh,Adagrad,10,1,2,0.6596406
24,1.0,tanh,Adagrad,16,1,2,0.63496095
20,1.0,tanh,Adagrad,8,1,2,0.6336537
30,1.0,tanh,Adagrad,6,1,2,0.63238007
20,1.0,tanh,Adagrad,10,1,2,0.6281957
28,1.0,tanh,Adagrad,6,1,2,0.6265833
20,1.0,tanh,Adagrad,12,1,2,0.61974674
26,1.0,tanh,Adagrad,8,1,2,0.6181727
22,1.0,tanh,Adagrad,10,1,2,0.6173398
26,1.0,tanh,Adagrad,10,1,2,0.604785
28,1.0,tanh,Adagrad,8,1,2,0.5931051
22,1.0,tanh,Adagrad,8,1,2,0.590378
24,1.0,tanh,Adagrad,14,1,2,0.5894377
24,1.0,tanh,Adagrad,10,1,2,0.5870171
30,1.0,tanh,Adagrad,8,1,2,0.5866985
24,1.0,tanh,Adagrad,8,1,2,0.57082766
22,1.0,tanh,Adagrad,14,1,2,0.56462103
26,1.0,tanh,Adagrad,6,1,2,0.564218
26,1.0,tanh,Adagrad,16,1,2,0.56171596
26,1.0,tanh,Adagrad,12,1,2,0.5598412
30,1.0,tanh,Adagrad,12,1,2,0.55851114
28,1.0,tanh,Adagrad,16,1,2,0.5543564
20,1.0,tanh,Adagrad,14,1,2,0.55045766
22,1.0,tanh,Adagrad,12,1,2,0.549773
22,1.0,tanh,Adagrad,16,1,2,0.54500574
30,1.0,tanh,Adagrad,16,1,2,0.54030037
30,1.0,tanh,Adagrad,14,1,2,0.5141847
20,1.0,tanh,Adagrad,16,1,2,0.4982987
24,1.0,tanh,Adagrad,12,1,2,0.4905711
20,1.0,tanh,Adagrad,6,1,2,0.48968777
26,1.0,tanh,Adagrad,14,1,2,0.42847645
28,1.0,tanh,Adagrad,12,1,2,0.34491888
22,1.0,tanh,Adagrad,6,1,2,0.30567867
28,1.0,tanh,Adagrad,10,1,2,0.20875256
