epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,6,1,2,0.6470287
22,1.0,tanh,Adagrad,8,1,2,0.63089436
24,1.0,tanh,Adagrad,8,1,2,0.6277226
26,1.0,tanh,Adagrad,12,1,2,0.62717646
26,1.0,tanh,Adagrad,6,1,2,0.62667876
24,1.0,tanh,Adagrad,16,1,2,0.62602335
20,1.0,tanh,Adagrad,8,1,2,0.62362903
20,1.0,tanh,Adagrad,12,1,2,0.6209729
20,1.0,tanh,Adagrad,10,1,2,0.61510634
28,1.0,tanh,Adagrad,6,1,2,0.61491466
24,1.0,tanh,Adagrad,14,1,2,0.61094207
28,1.0,tanh,Adagrad,8,1,2,0.60797954
26,1.0,tanh,Adagrad,14,1,2,0.6064022
22,1.0,tanh,Adagrad,10,1,2,0.60188323
30,1.0,tanh,Adagrad,10,1,2,0.6017832
26,1.0,tanh,Adagrad,10,1,2,0.6007179
28,1.0,tanh,Adagrad,12,1,2,0.6002395
24,1.0,tanh,Adagrad,12,1,2,0.5960694
24,1.0,tanh,Adagrad,10,1,2,0.59525573
22,1.0,tanh,Adagrad,6,1,2,0.59337515
22,1.0,tanh,Adagrad,12,1,2,0.5923903
30,1.0,tanh,Adagrad,12,1,2,0.58814836
30,1.0,tanh,Adagrad,16,1,2,0.58169913
30,1.0,tanh,Adagrad,14,1,2,0.5809805
30,1.0,tanh,Adagrad,8,1,2,0.5803572
26,1.0,tanh,Adagrad,16,1,2,0.5762296
28,1.0,tanh,Adagrad,14,1,2,0.56757945
20,1.0,tanh,Adagrad,16,1,2,0.5605642
26,1.0,tanh,Adagrad,8,1,2,0.55544823
20,1.0,tanh,Adagrad,6,1,2,0.54235685
30,1.0,tanh,Adagrad,6,1,2,0.5343429
20,1.0,tanh,Adagrad,14,1,2,0.52684623
22,1.0,tanh,Adagrad,16,1,2,0.5122289
28,1.0,tanh,Adagrad,10,1,2,0.5035852
28,1.0,tanh,Adagrad,16,1,2,0.48778194
22,1.0,tanh,Adagrad,14,1,2,0.4333001
