epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
95,1.0,tanh,RMSprop,10,1,2,0.6453787
45,1.0,tanh,RMSprop,5,1,2,0.63527364
40,1.0,tanh,RMSprop,5,1,2,0.6165002
50,1.0,tanh,RMSprop,10,1,2,0.5911674
10,1.0,tanh,RMSprop,25,1,2,0.57320833
55,1.0,tanh,RMSprop,15,1,2,0.5665981
75,1.0,tanh,RMSprop,15,1,2,0.56426185
80,1.0,tanh,RMSprop,10,1,2,0.5640114
60,1.0,tanh,RMSprop,5,1,2,0.55119526
55,1.0,tanh,RMSprop,25,1,2,0.5482548
75,1.0,tanh,RMSprop,10,1,2,0.5463833
100,1.0,tanh,RMSprop,20,1,2,0.53481513
30,1.0,tanh,RMSprop,5,1,2,0.5344219
65,1.0,tanh,RMSprop,5,1,2,0.53131044
70,1.0,tanh,RMSprop,5,1,2,0.527041
90,1.0,tanh,RMSprop,10,1,2,0.5267079
50,1.0,tanh,RMSprop,5,1,2,0.52637035
95,1.0,tanh,RMSprop,5,1,2,0.5254375
15,1.0,tanh,RMSprop,5,1,2,0.5199243
90,1.0,tanh,RMSprop,15,1,2,0.51634157
85,1.0,tanh,RMSprop,15,1,2,0.51414526
75,1.0,tanh,RMSprop,5,1,2,0.5114483
40,1.0,tanh,RMSprop,10,1,2,0.5098975
20,1.0,tanh,RMSprop,20,1,2,0.50388664
75,1.0,tanh,RMSprop,35,1,2,0.50082684
60,1.0,tanh,RMSprop,10,1,2,0.5000704
50,1.0,tanh,RMSprop,30,1,2,0.49926364
35,1.0,tanh,RMSprop,5,1,2,0.49735442
85,1.0,tanh,RMSprop,10,1,2,0.495357
60,1.0,tanh,RMSprop,15,1,2,0.4908539
5,1.0,tanh,RMSprop,20,1,2,0.48440728
65,1.0,tanh,RMSprop,25,1,2,0.48308352
15,1.0,tanh,RMSprop,20,1,2,0.4827024
100,1.0,tanh,RMSprop,35,1,2,0.48146144
45,1.0,tanh,RMSprop,10,1,2,0.48133707
