epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
75,1.0,tanh,RMSprop,15,1,2,0.9021976
85,1.0,tanh,RMSprop,15,1,2,0.8936815
75,1.0,tanh,RMSprop,5,1,2,0.8895479
30,1.0,tanh,RMSprop,10,1,2,0.8734533
55,1.0,tanh,RMSprop,15,1,2,0.86747396
85,1.0,tanh,RMSprop,10,1,2,0.84729576
50,1.0,tanh,RMSprop,60,1,2,0.84434235
65,1.0,tanh,RMSprop,90,1,2,0.83482695
50,1.0,tanh,RMSprop,20,1,2,0.831376
45,1.0,tanh,RMSprop,10,1,2,0.8282078
45,1.0,tanh,RMSprop,5,1,2,0.8186537
60,1.0,tanh,RMSprop,10,1,2,0.81767493
85,1.0,tanh,RMSprop,5,1,2,0.81545454
40,1.0,tanh,RMSprop,55,1,2,0.8150622
30,1.0,tanh,RMSprop,55,1,2,0.81331867
95,1.0,tanh,RMSprop,15,1,2,0.8132315
70,1.0,tanh,RMSprop,20,1,2,0.8129979
100,1.0,tanh,RMSprop,40,1,2,0.8078793
95,1.0,tanh,RMSprop,25,1,2,0.8067275
55,1.0,tanh,RMSprop,35,1,2,0.8067087
65,1.0,tanh,RMSprop,70,1,2,0.805839
25,1.0,tanh,RMSprop,50,1,2,0.7996927
75,1.0,tanh,RMSprop,10,1,2,0.7977653
30,1.0,tanh,RMSprop,5,1,2,0.7971878
5,1.0,tanh,RMSprop,25,1,2,0.79705423
5,1.0,tanh,RMSprop,5,1,2,0.79531866
5,1.0,tanh,RMSprop,45,1,2,0.79257065
55,1.0,tanh,RMSprop,5,1,2,0.78917164
5,1.0,tanh,RMSprop,15,1,2,0.78903925
10,1.0,tanh,RMSprop,20,1,2,0.78864264
25,1.0,tanh,RMSprop,20,1,2,0.78808165
15,1.0,tanh,RMSprop,45,1,2,0.78387743
5,1.0,tanh,RMSprop,35,1,2,0.78255796
15,1.0,tanh,RMSprop,10,1,2,0.78252006
35,1.0,tanh,RMSprop,15,1,2,0.7815752
55,1.0,tanh,RMSprop,85,1,2,0.77977455
5,1.0,tanh,RMSprop,40,1,2,0.77813125
20,1.0,tanh,RMSprop,15,1,2,0.776234
95,1.0,tanh,RMSprop,40,1,2,0.7753377
45,1.0,tanh,RMSprop,85,1,2,0.774458
30,1.0,tanh,RMSprop,85,1,2,0.77250475
25,1.0,tanh,RMSprop,70,1,2,0.7717822
60,1.0,tanh,RMSprop,15,1,2,0.77076936
60,1.0,tanh,RMSprop,5,1,2,0.769727
55,1.0,tanh,RMSprop,10,1,2,0.76815706
45,1.0,tanh,RMSprop,90,1,2,0.7674282
20,1.0,tanh,RMSprop,25,1,2,0.7628173
40,1.0,tanh,RMSprop,5,1,2,0.7623972
15,1.0,tanh,RMSprop,5,1,2,0.7571974
35,1.0,tanh,RMSprop,10,1,2,0.75561774
40,1.0,tanh,RMSprop,10,1,2,0.75539523
95,1.0,tanh,RMSprop,35,1,2,0.75255233
25,1.0,tanh,RMSprop,45,1,2,0.75162625
25,1.0,tanh,RMSprop,25,1,2,0.75018436
20,1.0,tanh,RMSprop,20,1,2,0.74913275
60,1.0,tanh,RMSprop,50,1,2,0.7488436
25,1.0,tanh,RMSprop,5,1,2,0.74826574
20,1.0,tanh,RMSprop,100,1,2,0.7470367
15,1.0,tanh,RMSprop,20,1,2,0.74674666
10,1.0,tanh,RMSprop,10,1,2,0.7456001
25,1.0,tanh,RMSprop,15,1,2,0.74202394
50,1.0,tanh,RMSprop,50,1,2,0.73923326
45,1.0,tanh,RMSprop,15,1,2,0.7389544
45,1.0,tanh,RMSprop,40,1,2,0.7384525
40,1.0,tanh,RMSprop,80,1,2,0.73474956
35,1.0,tanh,RMSprop,20,1,2,0.7313731
85,1.0,tanh,RMSprop,55,1,2,0.7293414
40,1.0,tanh,RMSprop,35,1,2,0.7253308
10,1.0,tanh,RMSprop,45,1,2,0.7245803
50,1.0,tanh,RMSprop,10,1,2,0.72388893
65,1.0,tanh,RMSprop,25,1,2,0.7231712
80,1.0,tanh,RMSprop,90,1,2,0.72033924
20,1.0,tanh,RMSprop,10,1,2,0.719743
80,1.0,tanh,RMSprop,15,1,2,0.71724045
80,1.0,tanh,RMSprop,5,1,2,0.71626496
5,1.0,tanh,RMSprop,20,1,2,0.71533835
50,1.0,tanh,RMSprop,15,1,2,0.7134474
85,1.0,tanh,RMSprop,80,1,2,0.7133854
60,1.0,tanh,RMSprop,20,1,2,0.71032804
35,1.0,tanh,RMSprop,85,1,2,0.71027035
30,1.0,tanh,RMSprop,65,1,2,0.7087438
65,1.0,tanh,RMSprop,75,1,2,0.7058511
60,1.0,tanh,RMSprop,75,1,2,0.70393366
15,1.0,tanh,RMSprop,30,1,2,0.7029843
20,1.0,tanh,RMSprop,30,1,2,0.7012088
90,1.0,tanh,RMSprop,10,1,2,0.6989091
65,1.0,tanh,RMSprop,80,1,2,0.69842416
50,1.0,tanh,RMSprop,75,1,2,0.6976882
30,1.0,tanh,RMSprop,50,1,2,0.6973443
80,1.0,tanh,RMSprop,40,1,2,0.69587266
45,1.0,tanh,RMSprop,20,1,2,0.6948695
75,1.0,tanh,RMSprop,25,1,2,0.6938093
25,1.0,tanh,RMSprop,10,1,2,0.68544143
100,1.0,tanh,RMSprop,10,1,2,0.6852547
65,1.0,tanh,RMSprop,5,1,2,0.6843166
35,1.0,tanh,RMSprop,90,1,2,0.6837531
85,1.0,tanh,RMSprop,30,1,2,0.67983794
80,1.0,tanh,RMSprop,10,1,2,0.6791998
80,1.0,tanh,RMSprop,60,1,2,0.6791729
20,1.0,tanh,RMSprop,5,1,2,0.67855126
10,1.0,tanh,RMSprop,5,1,2,0.67661595
30,1.0,tanh,RMSprop,70,1,2,0.67654824
30,1.0,tanh,RMSprop,30,1,2,0.6756493
65,1.0,tanh,RMSprop,50,1,2,0.67433584
25,1.0,tanh,RMSprop,90,1,2,0.67366
60,1.0,tanh,RMSprop,80,1,2,0.67322576
20,1.0,tanh,RMSprop,40,1,2,0.67249084
65,1.0,tanh,RMSprop,65,1,2,0.67177963
95,1.0,tanh,RMSprop,45,1,2,0.671057
35,1.0,tanh,RMSprop,80,1,2,0.66970253
50,1.0,tanh,RMSprop,45,1,2,0.6680864
60,1.0,tanh,RMSprop,55,1,2,0.66792816
5,1.0,tanh,RMSprop,100,1,2,0.6663082
95,1.0,tanh,RMSprop,10,1,2,0.661574
5,1.0,tanh,RMSprop,95,1,2,0.66075355
65,1.0,tanh,RMSprop,15,1,2,0.66055846
70,1.0,tanh,RMSprop,55,1,2,0.66017294
10,1.0,tanh,RMSprop,100,1,2,0.6576486
5,1.0,tanh,RMSprop,65,1,2,0.65609014
5,1.0,tanh,RMSprop,90,1,2,0.65173477
65,1.0,tanh,RMSprop,10,1,2,0.6510295
45,1.0,tanh,RMSprop,45,1,2,0.6499529
20,1.0,tanh,RMSprop,65,1,2,0.64957684
90,1.0,tanh,RMSprop,15,1,2,0.64750123
40,1.0,tanh,RMSprop,90,1,2,0.64749116
15,1.0,tanh,RMSprop,15,1,2,0.646015
95,1.0,tanh,RMSprop,90,1,2,0.6455353
15,1.0,tanh,RMSprop,25,1,2,0.6448078
5,1.0,tanh,RMSprop,80,1,2,0.6442511
90,1.0,tanh,RMSprop,80,1,2,0.64373696
100,1.0,tanh,RMSprop,25,1,2,0.643189
5,1.0,tanh,RMSprop,30,1,2,0.64117485
10,1.0,tanh,RMSprop,60,1,2,0.63942426
55,1.0,tanh,RMSprop,75,1,2,0.63853174
20,1.0,tanh,RMSprop,45,1,2,0.6315994
45,1.0,tanh,RMSprop,60,1,2,0.63121235
20,1.0,tanh,RMSprop,80,1,2,0.6305862
35,1.0,tanh,RMSprop,5,1,2,0.6297037
40,1.0,tanh,RMSprop,15,1,2,0.6285533
30,1.0,tanh,RMSprop,15,1,2,0.62836504
30,1.0,tanh,RMSprop,90,1,2,0.6250185
90,1.0,tanh,RMSprop,40,1,2,0.62122685
5,1.0,tanh,RMSprop,55,1,2,0.6171086
50,1.0,tanh,RMSprop,25,1,2,0.6163922
45,1.0,tanh,RMSprop,65,1,2,0.61374557
45,1.0,tanh,RMSprop,75,1,2,0.6135625
45,1.0,tanh,RMSprop,30,1,2,0.6120107
10,1.0,tanh,RMSprop,15,1,2,0.6101045
35,1.0,tanh,RMSprop,75,1,2,0.6100927
70,1.0,tanh,RMSprop,5,1,2,0.6072729
25,1.0,tanh,RMSprop,75,1,2,0.6049008
30,1.0,tanh,RMSprop,45,1,2,0.6020486
15,1.0,tanh,RMSprop,60,1,2,0.59881234
40,1.0,tanh,RMSprop,100,1,2,0.5931989
5,1.0,tanh,RMSprop,10,1,2,0.58918184
20,1.0,tanh,RMSprop,70,1,2,0.5863148
25,1.0,tanh,RMSprop,30,1,2,0.58562905
80,1.0,tanh,RMSprop,80,1,2,0.5848229
50,1.0,tanh,RMSprop,35,1,2,0.5828048
100,1.0,tanh,RMSprop,60,1,2,0.5815496
95,1.0,tanh,RMSprop,5,1,2,0.5793799
25,1.0,tanh,RMSprop,95,1,2,0.5792363
