epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
5,1.0,tanh,RMSprop,5,1,2,0.6747877
5,1.0,tanh,RMSprop,75,1,2,0.66794854
25,1.0,tanh,RMSprop,5,1,2,0.66347355
50,1.0,tanh,RMSprop,10,1,2,0.6487147
5,1.0,tanh,RMSprop,55,1,2,0.6352345
15,1.0,tanh,RMSprop,5,1,2,0.6051226
5,1.0,tanh,RMSprop,65,1,2,0.5985161
5,1.0,tanh,RMSprop,70,1,2,0.581748
5,1.0,tanh,RMSprop,60,1,2,0.57518023
95,1.0,tanh,RMSprop,5,1,2,0.56926084
75,1.0,tanh,RMSprop,10,1,2,0.5554951
55,1.0,tanh,RMSprop,10,1,2,0.5495752
45,1.0,tanh,RMSprop,5,1,2,0.5284567
5,1.0,tanh,RMSprop,20,1,2,0.52743244
5,1.0,tanh,RMSprop,80,1,2,0.5057614
55,1.0,tanh,RMSprop,20,1,2,0.50136065
90,1.0,tanh,RMSprop,25,1,2,0.49447915
60,1.0,tanh,RMSprop,20,1,2,0.48035455
60,1.0,tanh,RMSprop,10,1,2,0.48027536
10,1.0,tanh,RMSprop,5,1,2,0.47852683
5,1.0,tanh,RMSprop,35,1,2,0.4741659
75,1.0,tanh,RMSprop,20,1,2,0.47281358
5,1.0,tanh,RMSprop,25,1,2,0.4711057
45,1.0,tanh,RMSprop,10,1,2,0.46628445
35,1.0,tanh,RMSprop,5,1,2,0.46613395
5,1.0,tanh,RMSprop,15,1,2,0.4653134
80,1.0,tanh,RMSprop,5,1,2,0.46433672
70,1.0,tanh,RMSprop,5,1,2,0.46311045
5,1.0,tanh,RMSprop,50,1,2,0.45892385
85,1.0,tanh,RMSprop,45,1,2,0.45889148
55,1.0,tanh,RMSprop,5,1,2,0.45871744
40,1.0,tanh,RMSprop,5,1,2,0.45171466
80,1.0,tanh,RMSprop,15,1,2,0.45120034
45,1.0,tanh,RMSprop,95,1,2,0.44710833
5,1.0,tanh,RMSprop,30,1,2,0.44117478
80,1.0,tanh,RMSprop,10,1,2,0.42598596
5,1.0,tanh,RMSprop,45,1,2,0.41958213
85,1.0,tanh,RMSprop,20,1,2,0.41449836
5,1.0,tanh,RMSprop,40,1,2,0.4137154
70,1.0,tanh,RMSprop,10,1,2,0.410566
65,1.0,tanh,RMSprop,15,1,2,0.40990326
100,1.0,tanh,RMSprop,5,1,2,0.4086137
50,1.0,tanh,RMSprop,25,1,2,0.4000102
85,1.0,tanh,RMSprop,25,1,2,0.39363018
45,1.0,tanh,RMSprop,15,1,2,0.38885862
85,1.0,tanh,RMSprop,5,1,2,0.38418537
10,1.0,tanh,RMSprop,15,1,2,0.38158742
5,1.0,tanh,RMSprop,95,1,2,0.38071144
85,1.0,tanh,RMSprop,30,1,2,0.3806934
100,1.0,tanh,RMSprop,25,1,2,0.37898886
50,1.0,tanh,RMSprop,5,1,2,0.37878844
10,1.0,tanh,RMSprop,10,1,2,0.37501007
20,1.0,tanh,RMSprop,90,1,2,0.3730393
90,1.0,tanh,RMSprop,10,1,2,0.37093377
5,1.0,tanh,RMSprop,10,1,2,0.3703227
35,1.0,tanh,RMSprop,10,1,2,0.36719266
20,1.0,tanh,RMSprop,25,1,2,0.36114934
20,1.0,tanh,RMSprop,5,1,2,0.35636494
15,1.0,tanh,RMSprop,25,1,2,0.34563443
90,1.0,tanh,RMSprop,5,1,2,0.34153357
90,1.0,tanh,RMSprop,55,1,2,0.3410008
40,1.0,tanh,RMSprop,15,1,2,0.34061354
40,1.0,tanh,RMSprop,10,1,2,0.33066416
35,1.0,tanh,RMSprop,100,1,2,0.3294843
5,1.0,tanh,RMSprop,85,1,2,0.32758868
30,1.0,tanh,RMSprop,5,1,2,0.3234817
30,1.0,tanh,RMSprop,70,1,2,0.32245708
10,1.0,tanh,RMSprop,35,1,2,0.32175985
65,1.0,tanh,RMSprop,25,1,2,0.32151544
15,1.0,tanh,RMSprop,65,1,2,0.3179668
