epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
45,1.0,tanh,RMSprop,15,1,2,0.6926939
25,1.0,tanh,RMSprop,15,1,2,0.6552605
75,1.0,tanh,RMSprop,10,1,2,0.6187908
40,1.0,tanh,RMSprop,10,1,2,0.6099984
30,1.0,tanh,RMSprop,15,1,2,0.59730905
100,1.0,tanh,RMSprop,20,1,2,0.588003
90,1.0,tanh,RMSprop,15,1,2,0.58787715
45,1.0,tanh,RMSprop,5,1,2,0.57939637
15,1.0,tanh,RMSprop,20,1,2,0.57735574
5,1.0,tanh,RMSprop,10,1,2,0.5667568
55,1.0,tanh,RMSprop,10,1,2,0.55446845
35,1.0,tanh,RMSprop,20,1,2,0.5539139
15,1.0,tanh,RMSprop,10,1,2,0.5497599
80,1.0,tanh,RMSprop,15,1,2,0.54777664
10,1.0,tanh,RMSprop,15,1,2,0.5440183
55,1.0,tanh,RMSprop,5,1,2,0.51782906
35,1.0,tanh,RMSprop,10,1,2,0.5134842
45,1.0,tanh,RMSprop,10,1,2,0.5118301
60,1.0,tanh,RMSprop,20,1,2,0.5099749
50,1.0,tanh,RMSprop,5,1,2,0.50718457
80,1.0,tanh,RMSprop,20,1,2,0.49166027
75,1.0,tanh,RMSprop,20,1,2,0.4907581
70,1.0,tanh,RMSprop,5,1,2,0.49066088
100,1.0,tanh,RMSprop,10,1,2,0.4905511
35,1.0,tanh,RMSprop,5,1,2,0.48897696
30,1.0,tanh,RMSprop,10,1,2,0.48774716
60,1.0,tanh,RMSprop,5,1,2,0.4751065
25,1.0,tanh,RMSprop,10,1,2,0.47315502
15,1.0,tanh,RMSprop,15,1,2,0.46617913
10,1.0,tanh,RMSprop,10,1,2,0.4641737
10,1.0,tanh,RMSprop,5,1,2,0.45751214
65,1.0,tanh,RMSprop,10,1,2,0.45744133
95,1.0,tanh,RMSprop,10,1,2,0.45424166
100,1.0,tanh,RMSprop,15,1,2,0.45255136
85,1.0,tanh,RMSprop,15,1,2,0.44711077
40,1.0,tanh,RMSprop,20,1,2,0.44527146
20,1.0,tanh,RMSprop,10,1,2,0.4410417
50,1.0,tanh,RMSprop,10,1,2,0.43581814
30,1.0,tanh,RMSprop,5,1,2,0.4339946
10,1.0,tanh,RMSprop,20,1,2,0.41453892
90,1.0,tanh,RMSprop,5,1,2,0.411671
85,1.0,tanh,RMSprop,10,1,2,0.39954963
90,1.0,tanh,RMSprop,10,1,2,0.39739382
90,1.0,tanh,RMSprop,25,1,2,0.396976
65,1.0,tanh,RMSprop,5,1,2,0.39356053
85,1.0,tanh,RMSprop,5,1,2,0.38687494
5,1.0,tanh,RMSprop,15,1,2,0.38641417
15,1.0,tanh,RMSprop,5,1,2,0.3818612
25,1.0,tanh,RMSprop,5,1,2,0.3780989
95,1.0,tanh,RMSprop,5,1,2,0.37656558
95,1.0,tanh,RMSprop,15,1,2,0.36926815
35,1.0,tanh,RMSprop,15,1,2,0.3631219
70,1.0,tanh,RMSprop,10,1,2,0.3622843
75,1.0,tanh,RMSprop,5,1,2,0.3596137
40,1.0,tanh,RMSprop,5,1,2,0.34980798
65,1.0,tanh,RMSprop,25,1,2,0.34957966
70,1.0,tanh,RMSprop,20,1,2,0.3468843
85,1.0,tanh,RMSprop,25,1,2,0.34599763
60,1.0,tanh,RMSprop,25,1,2,0.34564328
100,1.0,tanh,RMSprop,25,1,2,0.3428801
95,1.0,tanh,RMSprop,20,1,2,0.34220642
60,1.0,tanh,RMSprop,15,1,2,0.33840644
20,1.0,tanh,RMSprop,15,1,2,0.33684486
80,1.0,tanh,RMSprop,10,1,2,0.33075184
80,1.0,tanh,RMSprop,5,1,2,0.32794476
100,1.0,tanh,RMSprop,5,1,2,0.324785
85,1.0,tanh,RMSprop,20,1,2,0.32459223
30,1.0,tanh,RMSprop,25,1,2,0.3137395
20,1.0,tanh,RMSprop,5,1,2,0.31150028
70,1.0,tanh,RMSprop,25,1,2,0.30468428
45,1.0,tanh,RMSprop,20,1,2,0.29976335
35,1.0,tanh,RMSprop,25,1,2,0.2883326
65,1.0,tanh,RMSprop,20,1,2,0.27535784
50,1.0,tanh,RMSprop,25,1,2,0.2735753
60,1.0,tanh,RMSprop,10,1,2,0.25072235
75,1.0,tanh,RMSprop,15,1,2,0.23805012
30,1.0,tanh,RMSprop,20,1,2,0.22544543
25,1.0,tanh,RMSprop,20,1,2,0.19165444
55,1.0,tanh,RMSprop,20,1,2,0.18672347
25,1.0,tanh,RMSprop,25,1,2,0.17965992
40,1.0,tanh,RMSprop,15,1,2,0.1725957
5,1.0,tanh,RMSprop,20,1,2,0.16721773
5,1.0,tanh,RMSprop,5,1,2,0.12714985
5,1.0,tanh,RMSprop,25,1,2,0.12393032
5,1.0,tanh,RMSprop,30,1,2,0.11948124
5,1.0,tanh,RMSprop,35,1,2,0.11480694
5,1.0,tanh,RMSprop,40,1,2,0.112374745
5,1.0,tanh,RMSprop,45,1,2,0.1116698
5,1.0,tanh,RMSprop,50,1,2,0.1096729
5,1.0,tanh,RMSprop,55,1,2,0.109565936
5,1.0,tanh,RMSprop,65,1,2,0.10834876
5,1.0,tanh,RMSprop,60,1,2,0.108170226
5,1.0,tanh,RMSprop,70,1,2,0.107853554
20,1.0,tanh,RMSprop,20,1,2,0.107829265
5,1.0,tanh,RMSprop,75,1,2,0.107667215
5,1.0,tanh,RMSprop,85,1,2,0.1070641
5,1.0,tanh,RMSprop,80,1,2,0.10697982
5,1.0,tanh,RMSprop,95,1,2,0.106445976
5,1.0,tanh,RMSprop,90,1,2,0.106408164
5,1.0,tanh,RMSprop,100,1,2,0.10578703
65,1.0,tanh,RMSprop,15,1,2,0.094530456
10,1.0,tanh,RMSprop,30,1,2,0.0938699
15,1.0,tanh,RMSprop,25,1,2,0.09248113
55,1.0,tanh,RMSprop,15,1,2,0.09178116
10,1.0,tanh,RMSprop,35,1,2,0.09104019
10,1.0,tanh,RMSprop,40,1,2,0.08757453
10,1.0,tanh,RMSprop,45,1,2,0.08656894
10,1.0,tanh,RMSprop,50,1,2,0.085892096
10,1.0,tanh,RMSprop,55,1,2,0.085844815
10,1.0,tanh,RMSprop,60,1,2,0.08541842
10,1.0,tanh,RMSprop,65,1,2,0.08495515
10,1.0,tanh,RMSprop,70,1,2,0.08489728
10,1.0,tanh,RMSprop,75,1,2,0.08478318
10,1.0,tanh,RMSprop,85,1,2,0.084718555
10,1.0,tanh,RMSprop,80,1,2,0.08471694
15,1.0,tanh,RMSprop,30,1,2,0.08465054
10,1.0,tanh,RMSprop,90,1,2,0.08464658
10,1.0,tanh,RMSprop,95,1,2,0.08463748
10,1.0,tanh,RMSprop,100,1,2,0.08447542
15,1.0,tanh,RMSprop,35,1,2,0.08411192
15,1.0,tanh,RMSprop,40,1,2,0.083610296
15,1.0,tanh,RMSprop,45,1,2,0.08333305
15,1.0,tanh,RMSprop,50,1,2,0.08308055
15,1.0,tanh,RMSprop,55,1,2,0.082866244
15,1.0,tanh,RMSprop,60,1,2,0.08271082
20,1.0,tanh,RMSprop,30,1,2,0.082608484
15,1.0,tanh,RMSprop,65,1,2,0.082509
15,1.0,tanh,RMSprop,70,1,2,0.08249115
15,1.0,tanh,RMSprop,75,1,2,0.0824047
15,1.0,tanh,RMSprop,80,1,2,0.08229732
15,1.0,tanh,RMSprop,85,1,2,0.08225811
15,1.0,tanh,RMSprop,90,1,2,0.082225636
15,1.0,tanh,RMSprop,95,1,2,0.08220772
15,1.0,tanh,RMSprop,100,1,2,0.082155764
20,1.0,tanh,RMSprop,35,1,2,0.08194889
20,1.0,tanh,RMSprop,40,1,2,0.0816611
20,1.0,tanh,RMSprop,45,1,2,0.08117192
20,1.0,tanh,RMSprop,50,1,2,0.08103303
20,1.0,tanh,RMSprop,55,1,2,0.080598615
25,1.0,tanh,RMSprop,30,1,2,0.0804587
20,1.0,tanh,RMSprop,60,1,2,0.0803158
20,1.0,tanh,RMSprop,65,1,2,0.08003386
25,1.0,tanh,RMSprop,35,1,2,0.07982962
20,1.0,tanh,RMSprop,70,1,2,0.07961109
20,1.0,tanh,RMSprop,75,1,2,0.07947903
20,1.0,tanh,RMSprop,80,1,2,0.07944659
20,1.0,tanh,RMSprop,85,1,2,0.07936269
25,1.0,tanh,RMSprop,40,1,2,0.079071246
20,1.0,tanh,RMSprop,95,1,2,0.07896863
20,1.0,tanh,RMSprop,100,1,2,0.078718625
20,1.0,tanh,RMSprop,90,1,2,0.07869606
70,1.0,tanh,RMSprop,15,1,2,0.07791823
25,1.0,tanh,RMSprop,45,1,2,0.077769496
50,1.0,tanh,RMSprop,15,1,2,0.0775882
25,1.0,tanh,RMSprop,50,1,2,0.07730013
30,1.0,tanh,RMSprop,30,1,2,0.07694752
25,1.0,tanh,RMSprop,55,1,2,0.0764345
25,1.0,tanh,RMSprop,60,1,2,0.07563963
30,1.0,tanh,RMSprop,35,1,2,0.075375825
25,1.0,tanh,RMSprop,65,1,2,0.074843325
30,1.0,tanh,RMSprop,40,1,2,0.07480818
25,1.0,tanh,RMSprop,70,1,2,0.0739433
25,1.0,tanh,RMSprop,75,1,2,0.073546305
35,1.0,tanh,RMSprop,30,1,2,0.0734307
25,1.0,tanh,RMSprop,80,1,2,0.07307785
25,1.0,tanh,RMSprop,85,1,2,0.07302264
30,1.0,tanh,RMSprop,45,1,2,0.07270311
25,1.0,tanh,RMSprop,90,1,2,0.072454125
25,1.0,tanh,RMSprop,95,1,2,0.07206346
30,1.0,tanh,RMSprop,50,1,2,0.07004492
25,1.0,tanh,RMSprop,100,1,2,0.06979434
90,1.0,tanh,RMSprop,20,1,2,0.06935005
85,1.0,tanh,RMSprop,30,1,2,0.06926931
90,1.0,tanh,RMSprop,35,1,2,0.06898626
100,1.0,tanh,RMSprop,35,1,2,0.06841881
35,1.0,tanh,RMSprop,35,1,2,0.06836402
100,1.0,tanh,RMSprop,30,1,2,0.06830017
75,1.0,tanh,RMSprop,30,1,2,0.06827925
95,1.0,tanh,RMSprop,35,1,2,0.068252414
95,1.0,tanh,RMSprop,30,1,2,0.068191096
70,1.0,tanh,RMSprop,30,1,2,0.068111084
100,1.0,tanh,RMSprop,40,1,2,0.0680474
30,1.0,tanh,RMSprop,55,1,2,0.067902125
80,1.0,tanh,RMSprop,25,1,2,0.0677877
90,1.0,tanh,RMSprop,30,1,2,0.06767905
10,1.0,tanh,RMSprop,25,1,2,0.067439824
75,1.0,tanh,RMSprop,25,1,2,0.06736357
30,1.0,tanh,RMSprop,60,1,2,0.06701295
80,1.0,tanh,RMSprop,30,1,2,0.06696145
65,1.0,tanh,RMSprop,35,1,2,0.06680952
30,1.0,tanh,RMSprop,65,1,2,0.066529945
40,1.0,tanh,RMSprop,30,1,2,0.06604746
45,1.0,tanh,RMSprop,25,1,2,0.06596863
30,1.0,tanh,RMSprop,70,1,2,0.06590355
85,1.0,tanh,RMSprop,35,1,2,0.06588763
90,1.0,tanh,RMSprop,40,1,2,0.06581839
35,1.0,tanh,RMSprop,40,1,2,0.06577502
75,1.0,tanh,RMSprop,40,1,2,0.06576858
60,1.0,tanh,RMSprop,30,1,2,0.06574946
60,1.0,tanh,RMSprop,40,1,2,0.065725505
85,1.0,tanh,RMSprop,40,1,2,0.06571581
65,1.0,tanh,RMSprop,30,1,2,0.0657014
50,1.0,tanh,RMSprop,35,1,2,0.06567218
75,1.0,tanh,RMSprop,35,1,2,0.06566866
50,1.0,tanh,RMSprop,30,1,2,0.06564189
95,1.0,tanh,RMSprop,40,1,2,0.06555251
60,1.0,tanh,RMSprop,35,1,2,0.06551453
45,1.0,tanh,RMSprop,35,1,2,0.06551211
45,1.0,tanh,RMSprop,30,1,2,0.06550841
80,1.0,tanh,RMSprop,35,1,2,0.065458104
30,1.0,tanh,RMSprop,75,1,2,0.06545699
100,1.0,tanh,RMSprop,45,1,2,0.06540603
90,1.0,tanh,RMSprop,55,1,2,0.06540129
55,1.0,tanh,RMSprop,30,1,2,0.06539788
70,1.0,tanh,RMSprop,45,1,2,0.065395616
95,1.0,tanh,RMSprop,55,1,2,0.06537268
55,1.0,tanh,RMSprop,40,1,2,0.06534745
95,1.0,tanh,RMSprop,45,1,2,0.0653455
95,1.0,tanh,RMSprop,50,1,2,0.06534174
70,1.0,tanh,RMSprop,35,1,2,0.0653415
90,1.0,tanh,RMSprop,45,1,2,0.06532694
30,1.0,tanh,RMSprop,80,1,2,0.06530931
60,1.0,tanh,RMSprop,45,1,2,0.06530126
95,1.0,tanh,RMSprop,65,1,2,0.06529954
100,1.0,tanh,RMSprop,55,1,2,0.06528938
85,1.0,tanh,RMSprop,55,1,2,0.065282896
55,1.0,tanh,RMSprop,35,1,2,0.06528126
65,1.0,tanh,RMSprop,40,1,2,0.065279625
65,1.0,tanh,RMSprop,60,1,2,0.0652762
35,1.0,tanh,RMSprop,50,1,2,0.065269224
45,1.0,tanh,RMSprop,40,1,2,0.06526826
35,1.0,tanh,RMSprop,60,1,2,0.065267645
100,1.0,tanh,RMSprop,65,1,2,0.06526514
75,1.0,tanh,RMSprop,50,1,2,0.0652608
55,1.0,tanh,RMSprop,55,1,2,0.06524391
35,1.0,tanh,RMSprop,70,1,2,0.06523853
35,1.0,tanh,RMSprop,45,1,2,0.065237075
40,1.0,tanh,RMSprop,65,1,2,0.06523529
65,1.0,tanh,RMSprop,50,1,2,0.06523211
80,1.0,tanh,RMSprop,45,1,2,0.06523038
60,1.0,tanh,RMSprop,50,1,2,0.06522512
35,1.0,tanh,RMSprop,95,1,2,0.065222114
40,1.0,tanh,RMSprop,35,1,2,0.06522114
80,1.0,tanh,RMSprop,65,1,2,0.065213025
55,1.0,tanh,RMSprop,50,1,2,0.06520918
85,1.0,tanh,RMSprop,75,1,2,0.065208666
45,1.0,tanh,RMSprop,50,1,2,0.06520833
70,1.0,tanh,RMSprop,65,1,2,0.065205574
70,1.0,tanh,RMSprop,40,1,2,0.065203756
55,1.0,tanh,RMSprop,100,1,2,0.065202236
40,1.0,tanh,RMSprop,80,1,2,0.06520096
65,1.0,tanh,RMSprop,95,1,2,0.065200455
60,1.0,tanh,RMSprop,70,1,2,0.06519922
35,1.0,tanh,RMSprop,100,1,2,0.06519822
60,1.0,tanh,RMSprop,55,1,2,0.06519171
85,1.0,tanh,RMSprop,70,1,2,0.06518781
100,1.0,tanh,RMSprop,85,1,2,0.06518617
50,1.0,tanh,RMSprop,85,1,2,0.065186135
70,1.0,tanh,RMSprop,80,1,2,0.06518517
70,1.0,tanh,RMSprop,60,1,2,0.06518276
100,1.0,tanh,RMSprop,80,1,2,0.06518127
40,1.0,tanh,RMSprop,85,1,2,0.06517873
45,1.0,tanh,RMSprop,95,1,2,0.06517562
80,1.0,tanh,RMSprop,40,1,2,0.06517526
75,1.0,tanh,RMSprop,75,1,2,0.06517484
55,1.0,tanh,RMSprop,60,1,2,0.06517377
40,1.0,tanh,RMSprop,45,1,2,0.06517195
85,1.0,tanh,RMSprop,100,1,2,0.06517054
45,1.0,tanh,RMSprop,60,1,2,0.065170474
85,1.0,tanh,RMSprop,45,1,2,0.06517036
45,1.0,tanh,RMSprop,100,1,2,0.065170154
95,1.0,tanh,RMSprop,100,1,2,0.06516924
50,1.0,tanh,RMSprop,95,1,2,0.06516816
65,1.0,tanh,RMSprop,75,1,2,0.06516793
50,1.0,tanh,RMSprop,55,1,2,0.06516764
70,1.0,tanh,RMSprop,85,1,2,0.06516642
60,1.0,tanh,RMSprop,85,1,2,0.06516541
55,1.0,tanh,RMSprop,65,1,2,0.06516414
50,1.0,tanh,RMSprop,40,1,2,0.065163404
90,1.0,tanh,RMSprop,70,1,2,0.06516232
90,1.0,tanh,RMSprop,90,1,2,0.065160036
90,1.0,tanh,RMSprop,85,1,2,0.06515996
90,1.0,tanh,RMSprop,65,1,2,0.06515946
90,1.0,tanh,RMSprop,95,1,2,0.06515772
55,1.0,tanh,RMSprop,75,1,2,0.06515676
100,1.0,tanh,RMSprop,70,1,2,0.065156125
100,1.0,tanh,RMSprop,50,1,2,0.06515583
30,1.0,tanh,RMSprop,85,1,2,0.06515515
40,1.0,tanh,RMSprop,60,1,2,0.06515421
55,1.0,tanh,RMSprop,80,1,2,0.06515267
40,1.0,tanh,RMSprop,40,1,2,0.0651525
100,1.0,tanh,RMSprop,90,1,2,0.06515069
65,1.0,tanh,RMSprop,45,1,2,0.0651506
75,1.0,tanh,RMSprop,95,1,2,0.06514966
50,1.0,tanh,RMSprop,70,1,2,0.06514965
35,1.0,tanh,RMSprop,75,1,2,0.065149404
40,1.0,tanh,RMSprop,55,1,2,0.06514762
75,1.0,tanh,RMSprop,80,1,2,0.06514685
95,1.0,tanh,RMSprop,80,1,2,0.06514561
75,1.0,tanh,RMSprop,70,1,2,0.065144256
70,1.0,tanh,RMSprop,90,1,2,0.065143496
45,1.0,tanh,RMSprop,75,1,2,0.06514343
65,1.0,tanh,RMSprop,100,1,2,0.065141976
50,1.0,tanh,RMSprop,45,1,2,0.06514115
50,1.0,tanh,RMSprop,90,1,2,0.065139845
80,1.0,tanh,RMSprop,50,1,2,0.06513961
75,1.0,tanh,RMSprop,45,1,2,0.06513934
90,1.0,tanh,RMSprop,50,1,2,0.06513869
75,1.0,tanh,RMSprop,100,1,2,0.0651378
40,1.0,tanh,RMSprop,90,1,2,0.06513606
85,1.0,tanh,RMSprop,85,1,2,0.0651357
80,1.0,tanh,RMSprop,85,1,2,0.06513394
35,1.0,tanh,RMSprop,80,1,2,0.06512876
50,1.0,tanh,RMSprop,50,1,2,0.06512606
85,1.0,tanh,RMSprop,50,1,2,0.06512561
95,1.0,tanh,RMSprop,60,1,2,0.06512383
40,1.0,tanh,RMSprop,70,1,2,0.06512354
55,1.0,tanh,RMSprop,45,1,2,0.06512188
70,1.0,tanh,RMSprop,95,1,2,0.06512146
45,1.0,tanh,RMSprop,45,1,2,0.06511797
65,1.0,tanh,RMSprop,65,1,2,0.065116726
40,1.0,tanh,RMSprop,50,1,2,0.06511494
60,1.0,tanh,RMSprop,60,1,2,0.0651137
70,1.0,tanh,RMSprop,50,1,2,0.06511089
65,1.0,tanh,RMSprop,55,1,2,0.06511052
90,1.0,tanh,RMSprop,60,1,2,0.06511032
35,1.0,tanh,RMSprop,55,1,2,0.06510834
100,1.0,tanh,RMSprop,60,1,2,0.0651079
30,1.0,tanh,RMSprop,90,1,2,0.06510689
75,1.0,tanh,RMSprop,60,1,2,0.06510531
80,1.0,tanh,RMSprop,60,1,2,0.0651042
100,1.0,tanh,RMSprop,75,1,2,0.065104164
80,1.0,tanh,RMSprop,55,1,2,0.06510303
70,1.0,tanh,RMSprop,55,1,2,0.06510266
85,1.0,tanh,RMSprop,65,1,2,0.06510259
75,1.0,tanh,RMSprop,55,1,2,0.06510247
45,1.0,tanh,RMSprop,80,1,2,0.06510142
70,1.0,tanh,RMSprop,70,1,2,0.06510139
80,1.0,tanh,RMSprop,75,1,2,0.06510037
85,1.0,tanh,RMSprop,60,1,2,0.06509994
30,1.0,tanh,RMSprop,95,1,2,0.065099426
75,1.0,tanh,RMSprop,85,1,2,0.06509691
45,1.0,tanh,RMSprop,55,1,2,0.06509657
80,1.0,tanh,RMSprop,70,1,2,0.065096356
35,1.0,tanh,RMSprop,90,1,2,0.065096
75,1.0,tanh,RMSprop,65,1,2,0.0650956
95,1.0,tanh,RMSprop,75,1,2,0.06509559
30,1.0,tanh,RMSprop,100,1,2,0.06509531
90,1.0,tanh,RMSprop,75,1,2,0.065094374
95,1.0,tanh,RMSprop,70,1,2,0.06509433
55,1.0,tanh,RMSprop,85,1,2,0.06509374
35,1.0,tanh,RMSprop,65,1,2,0.06509277
50,1.0,tanh,RMSprop,65,1,2,0.065091945
60,1.0,tanh,RMSprop,90,1,2,0.06509176
65,1.0,tanh,RMSprop,85,1,2,0.0650915
50,1.0,tanh,RMSprop,60,1,2,0.06509034
60,1.0,tanh,RMSprop,65,1,2,0.06509025
75,1.0,tanh,RMSprop,90,1,2,0.06509011
50,1.0,tanh,RMSprop,75,1,2,0.06508949
45,1.0,tanh,RMSprop,85,1,2,0.06508942
85,1.0,tanh,RMSprop,80,1,2,0.06508897
60,1.0,tanh,RMSprop,95,1,2,0.06508856
60,1.0,tanh,RMSprop,75,1,2,0.06508849
85,1.0,tanh,RMSprop,95,1,2,0.06508849
90,1.0,tanh,RMSprop,80,1,2,0.06508836
65,1.0,tanh,RMSprop,80,1,2,0.06508766
65,1.0,tanh,RMSprop,70,1,2,0.06508758
40,1.0,tanh,RMSprop,100,1,2,0.065087564
85,1.0,tanh,RMSprop,90,1,2,0.06508754
55,1.0,tanh,RMSprop,70,1,2,0.065087184
35,1.0,tanh,RMSprop,85,1,2,0.06508665
40,1.0,tanh,RMSprop,95,1,2,0.0650862
80,1.0,tanh,RMSprop,95,1,2,0.06508602
55,1.0,tanh,RMSprop,90,1,2,0.06508596
45,1.0,tanh,RMSprop,65,1,2,0.0650859
95,1.0,tanh,RMSprop,95,1,2,0.06508557
50,1.0,tanh,RMSprop,100,1,2,0.0650855
70,1.0,tanh,RMSprop,75,1,2,0.06508545
60,1.0,tanh,RMSprop,80,1,2,0.06508533
70,1.0,tanh,RMSprop,100,1,2,0.06508513
80,1.0,tanh,RMSprop,80,1,2,0.06508499
80,1.0,tanh,RMSprop,90,1,2,0.06508467
