,epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
7,22,1,tanh,Adagrad,8,1,2,0.82183456
24,28,1,tanh,Adagrad,6,1,2,0.6503524
1,20,1,tanh,Adagrad,8,1,2,0.6434775
12,24,1,tanh,Adagrad,6,1,2,0.6294715
34,30,1,tanh,Adagrad,14,1,2,0.6220249
30,30,1,tanh,Adagrad,6,1,2,0.5664782
19,26,1,tanh,Adagrad,8,1,2,0.55606616
25,28,1,tanh,Adagrad,8,1,2,0.5453335
13,24,1,tanh,Adagrad,8,1,2,0.5327966
18,26,1,tanh,Adagrad,6,1,2,0.52757436
0,20,1,tanh,Adagrad,6,1,2,0.50988793
31,30,1,tanh,Adagrad,8,1,2,0.4285332
14,24,1,tanh,Adagrad,10,1,2,0.4066655
23,26,1,tanh,Adagrad,16,1,2,0.31412238
32,30,1,tanh,Adagrad,10,1,2,0.29118928
35,30,1,tanh,Adagrad,16,1,2,0.25432765
26,28,1,tanh,Adagrad,10,1,2,0.24744752
17,24,1,tanh,Adagrad,16,1,2,0.2359394
6,22,1,tanh,Adagrad,6,1,2,0.21842577
9,22,1,tanh,Adagrad,12,1,2,0.20473626
20,26,1,tanh,Adagrad,10,1,2,0.17149948
22,26,1,tanh,Adagrad,14,1,2,0.09284284
21,26,1,tanh,Adagrad,12,1,2,0.08749035
27,28,1,tanh,Adagrad,12,1,2,0.0824355
29,28,1,tanh,Adagrad,16,1,2,0.057443798
8,22,1,tanh,Adagrad,10,1,2,0.018319814
11,22,1,tanh,Adagrad,16,1,2,0.000920086
10,22,1,tanh,Adagrad,14,1,2,-0.300632
15,24,1,tanh,Adagrad,12,1,2,-0.22798641
33,30,1,tanh,Adagrad,12,1,2,-0.19192429
2,20,1,tanh,Adagrad,10,1,2,-0.1517157
5,20,1,tanh,Adagrad,16,1,2,-0.13306022
3,20,1,tanh,Adagrad,12,1,2,-0.09270014
4,20,1,tanh,Adagrad,14,1,2,-0.04053778
28,28,1,tanh,Adagrad,14,1,2,-0.035924625
16,24,1,tanh,Adagrad,14,1,2,-0.030021304
