batch_size;neurons;hidden_layers;dropout;epochs;optimization;activation;CORRELATION;FISHER
198;40;2;0.6;10;RMSprop;softsign;0.3659943982789441;0.3837900746906394
198;30;2;0.6;10;RMSprop;softsign;0.36583164912012534;0.38360216599616886
198;20;2;0.6;10;RMSprop;softsign;0.365156532648874;0.382822958290704
198;60;2;0.6;10;RMSprop;softsign;0.36482032414806553;0.38243507766398055
198;50;2;0.6;10;RMSprop;softsign;0.3647055139456907;0.3823026473441658
198;50;2;0.6;10;RMSprop;linear;0.3644347503213618;0.38199037980708883
198;50;2;0.6;10;RMSprop;tanh;0.3644238693280619;0.3819778324100217
198;40;2;0.6;10;RMSprop;tanh;0.36440798003035924;0.3819595099022256
198;60;2;0.6;10;RMSprop;tanh;0.3643510551639956;0.38189386984585727
198;40;2;0.6;10;RMSprop;linear;0.36421779791343567;0.3817402232023635
198;30;2;0.6;10;RMSprop;tanh;0.3640959467879265;0.38159974295959626
198;30;2;0.6;10;RMSprop;linear;0.36383377445857157;0.38129753731944593
198;60;2;0.6;10;RMSprop;linear;0.3635102459634469;0.38092469809887797
198;20;2;0.6;10;RMSprop;tanh;0.3630310615378199;0.380372664187687
198;20;2;0.6;10;RMSprop;linear;0.36285546928726475;0.3801704323827268
198;70;2;0.6;10;RMSprop;linear;0.3622974988637251;0.3795280076851985
198;70;2;0.6;10;RMSprop;tanh;0.3592261973324497;0.37599716578242054
198;10;2;0.6;10;RMSprop;linear;0.346780805039192;0.36177984410447495
198;90;2;0.6;10;RMSprop;linear;0.3408748965374267;0.3550821164684498
198;70;2;0.6;10;RMSprop;softsign;0.33663947863803045;0.3502976380331314
198;90;2;0.6;10;RMSprop;sigmoid;0.3233992821867361;0.33543880095931494
198;70;2;0.6;10;RMSprop;sigmoid;0.32333209299337806;0.33536376567366527
198;30;2;0.6;10;RMSprop;sigmoid;0.32327642506930326;0.33530159982411345
198;80;3;0.6;10;RMSprop;sigmoid;0.32326827428670246;0.3352924978383841
198;10;3;0.6;10;RMSprop;hard_sigmoid;0.3232663571152896;0.33529035693924925
198;80;2;0.6;10;RMSprop;sigmoid;0.3232546271734546;0.3352772582155549
198;40;3;0.6;10;RMSprop;sigmoid;0.3232482461169709;0.335270132592044
198;100;3;0.6;10;RMSprop;sigmoid;0.32324229356196227;0.3352634854988562
198;60;2;0.6;10;RMSprop;sigmoid;0.32321424120656156;0.33523216040710174
198;100;2;0.6;10;RMSprop;sigmoid;0.32318896446285594;0.335203935287872
198;40;2;0.6;10;RMSprop;sigmoid;0.32318720547693;0.33520197114630185
198;90;3;0.6;10;RMSprop;sigmoid;0.3231667232725383;0.33517910022641106
198;100;2;0.6;10;RMSprop;hard_sigmoid;0.32316326088170955;0.33517523407130756
198;40;2;0.6;10;RMSprop;hard_sigmoid;0.3231608288759956;0.3351725184647315
198;80;2;0.6;10;RMSprop;hard_sigmoid;0.3231581881514273;0.3351695698055915
198;70;3;0.6;10;RMSprop;sigmoid;0.32311776992902186;0.335124439120359
198;30;3;0.6;10;RMSprop;sigmoid;0.3230860484110973;0.3350890200322641
198;90;2;0.6;10;RMSprop;hard_sigmoid;0.32304308570927837;0.33504105074125845
198;70;2;0.6;10;RMSprop;hard_sigmoid;0.3230003673164934;0.33499335570342254
198;60;2;0.6;10;RMSprop;hard_sigmoid;0.32294129105156266;0.3349273995408203
198;100;3;0.6;10;RMSprop;hard_sigmoid;0.3229233769430487;0.334907399748072
198;90;3;0.6;10;RMSprop;hard_sigmoid;0.32289797736987835;0.3348790434239682
198;100;4;0.6;10;RMSprop;sigmoid;0.3228912659934255;0.33487155086645004
