epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,6,1,2,0.5977908
20,1.0,tanh,Adagrad,6,1,2,0.5944093
24,1.0,tanh,Adagrad,8,1,2,0.5686416
20,1.0,tanh,Adagrad,16,1,2,0.5581979
22,1.0,tanh,Adagrad,14,1,2,0.55439043
28,1.0,tanh,Adagrad,8,1,2,0.5507468
24,1.0,tanh,Adagrad,10,1,2,0.5492625
28,1.0,tanh,Adagrad,10,1,2,0.54871863
28,1.0,tanh,Adagrad,16,1,2,0.5476845
30,1.0,tanh,Adagrad,10,1,2,0.54678404
28,1.0,tanh,Adagrad,6,1,2,0.5398788
26,1.0,tanh,Adagrad,12,1,2,0.53983563
20,1.0,tanh,Adagrad,10,1,2,0.53953135
26,1.0,tanh,Adagrad,14,1,2,0.5369412
30,1.0,tanh,Adagrad,14,1,2,0.5358846
30,1.0,tanh,Adagrad,6,1,2,0.53401715
22,1.0,tanh,Adagrad,12,1,2,0.53257334
22,1.0,tanh,Adagrad,16,1,2,0.52978784
30,1.0,tanh,Adagrad,8,1,2,0.52928495
22,1.0,tanh,Adagrad,10,1,2,0.52841055
26,1.0,tanh,Adagrad,8,1,2,0.5279225
26,1.0,tanh,Adagrad,16,1,2,0.5273538
30,1.0,tanh,Adagrad,16,1,2,0.52647066
22,1.0,tanh,Adagrad,6,1,2,0.52545816
26,1.0,tanh,Adagrad,6,1,2,0.5171948
28,1.0,tanh,Adagrad,12,1,2,0.516835
20,1.0,tanh,Adagrad,14,1,2,0.51038754
24,1.0,tanh,Adagrad,14,1,2,0.50801545
30,1.0,tanh,Adagrad,12,1,2,0.5039861
26,1.0,tanh,Adagrad,10,1,2,0.49891746
24,1.0,tanh,Adagrad,12,1,2,0.4973066
20,1.0,tanh,Adagrad,12,1,2,0.47018918
28,1.0,tanh,Adagrad,14,1,2,0.4605884
24,1.0,tanh,Adagrad,16,1,2,0.45586556
22,1.0,tanh,Adagrad,8,1,2,0.3668365
20,1.0,tanh,Adagrad,8,1,2,0.35247746
