epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,8,1,2,0.56695
24,1.0,tanh,Adagrad,6,1,2,0.55035096
30,1.0,tanh,Adagrad,6,1,2,0.5440732
30,1.0,tanh,Adagrad,10,1,2,0.53916055
24,1.0,tanh,Adagrad,10,1,2,0.50231373
24,1.0,tanh,Adagrad,14,1,2,0.5011477
28,1.0,tanh,Adagrad,12,1,2,0.49702203
26,1.0,tanh,Adagrad,6,1,2,0.4857224
26,1.0,tanh,Adagrad,8,1,2,0.47829938
22,1.0,tanh,Adagrad,14,1,2,0.47756484
28,1.0,tanh,Adagrad,6,1,2,0.47640836
28,1.0,tanh,Adagrad,10,1,2,0.4167042
20,1.0,tanh,Adagrad,6,1,2,0.3975845
26,1.0,tanh,Adagrad,16,1,2,0.36042276
22,1.0,tanh,Adagrad,10,1,2,0.35686582
30,1.0,tanh,Adagrad,14,1,2,0.35616615
22,1.0,tanh,Adagrad,6,1,2,0.3509731
30,1.0,tanh,Adagrad,8,1,2,0.34910122
28,1.0,tanh,Adagrad,14,1,2,0.33333603
20,1.0,tanh,Adagrad,10,1,2,0.32332593
24,1.0,tanh,Adagrad,8,1,2,0.31462598
30,1.0,tanh,Adagrad,12,1,2,0.3027787
20,1.0,tanh,Adagrad,8,1,2,0.29790664
26,1.0,tanh,Adagrad,12,1,2,0.28821203
24,1.0,tanh,Adagrad,12,1,2,0.22136317
22,1.0,tanh,Adagrad,12,1,2,0.21902505
20,1.0,tanh,Adagrad,16,1,2,0.17188685
26,1.0,tanh,Adagrad,10,1,2,0.16375352
20,1.0,tanh,Adagrad,12,1,2,0.1473109
26,1.0,tanh,Adagrad,14,1,2,0.122827806
22,1.0,tanh,Adagrad,8,1,2,0.10974823
20,1.0,tanh,Adagrad,14,1,2,0.030139389
24,1.0,tanh,Adagrad,16,1,2,0.028517436
22,1.0,tanh,Adagrad,16,1,2,0.028276015
30,1.0,tanh,Adagrad,16,1,2,0.026793048
28,1.0,tanh,Adagrad,16,1,2,0.026677921
